,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:40.0,,Shooting foul by T. Bryant (drawn by H. Whiteside),0,0
1,1,11:40.0,,H. Whiteside makes free throw 1 of 2,0,1
2,1,11:40.0,,H. Whiteside makes free throw 2 of 2,0,2
3,1,11:23.0,J. Green makes 2-pt jump shot from 17 ft (assist by B. Beal),,2,2
4,1,11:04.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Richardson),2,5
5,1,10:55.0,T. Ariza misses 3-pt jump shot from 25 ft,,2,5
6,1,10:53.0,,Defensive rebound by J. Johnson,2,5
7,1,10:44.0,,J. Johnson misses 3-pt jump shot from 23 ft,2,5
8,1,10:44.0,Defensive rebound by B. Beal,,2,5
9,1,10:38.0,Turnover by B. Beal (bad pass; steal by J. Richardson),,2,5
10,1,10:27.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,5
11,1,10:25.0,Defensive rebound by B. Beal,,2,5
12,1,10:20.0,Shooting foul by H. Whiteside (drawn by B. Beal),,2,5
13,1,10:20.0,B. Beal makes free throw 1 of 2,,3,5
14,1,10:20.0,B. Beal makes free throw 2 of 2,,4,5
15,1,10:06.0,,H. Whiteside makes 2-pt dunk from 1 ft,4,7
16,1,9:47.0,J. Green misses 3-pt jump shot from 23 ft,,4,7
17,1,9:44.0,,Defensive rebound by H. Whiteside,4,7
18,1,9:36.0,,J. Johnson misses 2-pt layup from 2 ft,4,7
19,1,9:35.0,,Offensive rebound by Team,4,7
20,1,9:35.0,Loose ball foul by T. Bryant (drawn by J. Winslow),,4,7
21,1,9:35.0,I. Mahinmi enters the game for T. Bryant,,4,7
22,1,9:23.0,,J. Richardson misses 3-pt jump shot from 26 ft,4,7
23,1,9:22.0,,Offensive rebound by Team,4,7
24,1,9:21.0,,Turnover by Team (shot clock),4,7
25,1,9:12.0,Personal foul by R. McGruder (drawn by B. Beal),,4,7
26,1,9:03.0,T. Ariza misses 2-pt layup from 2 ft,,4,7
27,1,9:01.0,,Defensive rebound by Team,4,7
28,1,8:50.0,,J. Richardson misses 2-pt layup from 1 ft,4,7
29,1,8:49.0,,Offensive rebound by H. Whiteside,4,7
30,1,8:49.0,,H. Whiteside makes 2-pt layup at rim,4,9
31,1,8:49.0,,Shooting foul by J. Green (drawn by H. Whiteside),4,9
32,1,8:49.0,,H. Whiteside misses free throw 1 of 1,4,9
33,1,8:47.0,Defensive rebound by T. Ariza,,4,9
34,1,8:41.0,J. Green misses 2-pt layup from 1 ft,,4,9
35,1,8:39.0,,Defensive rebound by J. Richardson,4,9
36,1,8:39.0,,Technical foul by S. Brooks,4,9
37,1,8:39.0,,J. Richardson makes technical free throw,4,10
38,1,8:25.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Winslow),4,13
39,1,8:24.0,Washington full timeout,,4,13
40,1,8:04.0,B. Beal misses 2-pt jump shot from 22 ft,,4,13
41,1,8:00.0,Offensive rebound by I. Mahinmi,,4,13
42,1,8:00.0,I. Mahinmi misses 2-pt layup from 1 ft,,4,13
43,1,8:00.0,,Defensive rebound by H. Whiteside,4,13
44,1,7:46.0,,J. Winslow makes 2-pt jump shot from 16 ft,4,15
45,1,7:34.0,B. Beal makes 2-pt layup from 1 ft,,6,15
46,1,7:17.0,,J. Johnson makes 2-pt layup from 1 ft,6,17
