,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:55.0,,R. Kurucs makes 2-pt layup from 1 ft,0,2
1,1,11:35.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,2,2
2,1,11:15.0,,D. Russell misses 2-pt jump shot from 16 ft,2,2
3,1,11:10.0,,Offensive rebound by J. Allen,2,2
4,1,11:10.0,,J. Allen makes 2-pt dunk at rim,2,4
5,1,10:58.0,B. Lopez misses 3-pt jump shot from 25 ft,,2,4
6,1,10:55.0,,Defensive rebound by R. Kurucs,2,4
7,1,10:54.0,,Turnover by R. Kurucs (lost ball; steal by E. Bledsoe),2,4
8,1,10:48.0,K. Middleton misses 3-pt jump shot from 24 ft,,2,4
9,1,10:47.0,,Defensive rebound by J. Allen,2,4
10,1,10:34.0,,Shooting foul by E. Bledsoe (drawn by S. Napier),2,4
11,1,10:34.0,,S. Napier makes free throw 1 of 3,2,5
12,1,10:34.0,,S. Napier makes free throw 2 of 3,2,6
13,1,10:34.0,,S. Napier makes free throw 3 of 3,2,7
14,1,10:25.0,E. Bledsoe misses 2-pt jump shot from 11 ft,,2,7
15,1,10:22.0,Offensive rebound by G. Antetokounmpo,,2,7
16,1,10:20.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Allen),,2,7
17,1,10:20.0,,Defensive rebound by T. Graham,2,7
18,1,10:15.0,,S. Napier misses 3-pt jump shot from 24 ft,2,7
19,1,10:11.0,Defensive rebound by K. Middleton,,2,7
20,1,10:09.0,Shooting foul by T. Graham (drawn by G. Antetokounmpo),,2,7
21,1,10:09.0,G. Antetokounmpo makes free throw 1 of 2,,3,7
22,1,10:09.0,G. Antetokounmpo makes free throw 2 of 2,,4,7
23,1,9:55.0,,D. Russell misses 2-pt jump shot from 12 ft,4,7
24,1,9:51.0,Defensive rebound by G. Antetokounmpo,,4,7
25,1,9:45.0,M. Brogdon misses 2-pt layup from 2 ft (block by J. Allen),,4,7
26,1,9:43.0,,Defensive rebound by J. Allen,4,7
27,1,9:35.0,,T. Graham misses 3-pt jump shot from 25 ft,4,7
28,1,9:31.0,Defensive rebound by G. Antetokounmpo,,4,7
29,1,9:24.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by T. Graham),,4,7
30,1,9:24.0,Offensive rebound by Team,,4,7
31,1,9:10.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,4,7
32,1,9:09.0,Offensive rebound by Team,,4,7
33,1,9:09.0,Turnover by Team (shot clock),,4,7
34,1,8:57.0,,Turnover by J. Allen (bad pass; steal by E. Bledsoe),4,7
35,1,8:54.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by B. Lopez),,6,7
36,1,8:54.0,Shooting foul by J. Allen (drawn by G. Antetokounmpo),,6,7
37,1,8:54.0,G. Antetokounmpo makes free throw 1 of 1,,7,7
38,1,8:42.0,,R. Kurucs misses 2-pt layup from 3 ft (block by K. Middleton),7,7
39,1,8:40.0,Defensive rebound by K. Middleton,,7,7
40,1,8:35.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,9,7
41,1,8:27.0,,D. Russell misses 2-pt jump shot from 12 ft,9,7
42,1,8:27.0,Defensive rebound by B. Lopez,,9,7
43,1,8:19.0,Shooting foul by R. Kurucs (drawn by E. Bledsoe),,9,7
44,1,8:19.0,,Brooklyn full timeout,9,7
45,1,8:19.0,E. Bledsoe makes free throw 1 of 2,,10,7
46,1,8:19.0,E. Bledsoe makes free throw 2 of 2,,11,7
47,1,8:05.0,,J. Allen makes 2-pt dunk from 2 ft (assist by S. Napier),11,9
48,1,7:51.0,M. Brogdon makes 3-pt jump shot from 26 ft,,14,9
49,1,7:41.0,,Turnover by D. Russell (bad pass; steal by E. Bledsoe),14,9
50,1,7:37.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),,16,9
51,1,7:27.0,,S. Napier misses 3-pt jump shot from 25 ft,16,9
52,1,7:27.0,Defensive rebound by G. Antetokounmpo,,16,9
53,1,7:19.0,B. Lopez misses 3-pt jump shot from 26 ft,,16,9
54,1,7:17.0,,Defensive rebound by Team,16,9
55,1,7:17.0,S. Brown enters the game for M. Brogdon,,16,9
56,1,7:05.0,,D. Russell makes 2-pt jump shot from 8 ft,16,11
57,1,6:53.0,K. Middleton misses 2-pt jump shot from 7 ft,,16,11
58,1,6:51.0,,Defensive rebound by T. Graham,16,11
59,1,6:46.0,,D. Russell misses 3-pt jump shot from 26 ft,16,11
60,1,6:42.0,Defensive rebound by K. Middleton,,16,11
61,1,6:32.0,Turnover by K. Middleton (lost ball; steal by S. Napier),,16,11
62,1,6:20.0,,D. Russell makes 2-pt jump shot from 13 ft,16,13
63,1,6:20.0,G. Hill enters the game for E. Bledsoe,,16,13
64,1,6:20.0,,D. Carroll enters the game for D. Russell,16,13
65,1,6:01.0,Turnover by G. Antetokounmpo (lost ball; steal by S. Napier),,16,13
66,1,5:52.0,,S. Napier misses 3-pt jump shot from 24 ft,16,13
67,1,5:47.0,Defensive rebound by B. Lopez,,16,13
