,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
0,1,11:46.0,,Turnover by T. Young (bad pass; steal by K. Looney),0,0
1,1,11:40.0,K. Durant misses 3-pt jump shot from 24 ft,,0,0
2,1,11:37.0,,Defensive rebound by Team,0,0
3,1,11:20.0,,T. Prince misses 2-pt jump shot from 19 ft,0,0
4,1,11:18.0,Defensive rebound by K. Looney,,0,0
5,1,11:10.0,K. Looney makes 2-pt dunk from 2 ft (assist by A. Iguodala),,2,0
6,1,10:46.0,,Turnover by T. Young (bad pass; steal by K. Durant),2,0
7,1,10:32.0,K. Thompson misses 2-pt jump shot from 1 ft,,2,0
8,1,10:29.0,,Defensive rebound by J. Collins,2,0
9,1,10:25.0,,Turnover by K. Huerter (out of bounds lost ball),2,0
10,1,10:08.0,A. Iguodala misses 3-pt jump shot from 25 ft,,2,0
11,1,10:04.0,,Defensive rebound by D. Dedmon,2,0
12,1,9:47.0,,T. Young misses 3-pt jump shot from 25 ft,2,0
13,1,9:45.0,,Offensive rebound by Team,2,0
14,1,9:40.0,,Personal foul by S. Curry (drawn by T. Young),2,0
15,1,9:36.0,,T. Young misses 3-pt jump shot from 26 ft (block by S. Curry),2,0
16,1,9:33.0,,Offensive rebound by K. Huerter,2,0
17,1,9:26.0,,T. Young makes 2-pt layup from 1 ft (assist by T. Prince),2,2
18,1,9:12.0,K. Looney misses 2-pt jump shot from 22 ft,,2,2
19,1,9:08.0,,Defensive rebound by T. Prince,2,2
20,1,9:06.0,,Turnover by T. Prince (bad pass),2,2
21,1,8:50.0,K. Durant makes 2-pt jump shot from 17 ft,,4,2
22,1,8:39.0,,T. Young misses 2-pt jump shot from 21 ft,4,2
23,1,8:36.0,Defensive rebound by K. Thompson,,4,2
24,1,8:32.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,7,2
25,1,8:11.0,,J. Collins makes 2-pt jump shot from 12 ft,7,4
26,1,8:00.0,K. Thompson misses 2-pt jump shot from 13 ft,,7,4
27,1,7:57.0,,Defensive rebound by D. Dedmon,7,4
28,1,7:50.0,,J. Collins misses 3-pt jump shot from 25 ft,7,4
29,1,7:47.0,Defensive rebound by K. Thompson,,7,4
30,1,7:43.0,Shooting foul by J. Collins (drawn by K. Thompson),,7,4
31,1,7:43.0,K. Thompson makes free throw 1 of 2,,8,4
32,1,7:43.0,,K. Bazemore enters the game for K. Huerter,8,4
33,1,7:43.0,K. Thompson makes free throw 2 of 2,,9,4
34,1,7:27.0,,Turnover by T. Young (bad pass; steal by K. Durant),9,4
35,1,7:14.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Durant),,12,4
36,1,7:12.0,,Atlanta full timeout,12,4
37,1,6:58.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),12,6
38,1,6:36.0,K. Thompson misses 3-pt jump shot from 25 ft,,12,6
39,1,6:33.0,,Defensive rebound by J. Collins,12,6
40,1,6:19.0,,Turnover by J. Collins (traveling),12,6
41,1,6:19.0,,A. Len enters the game for D. Dedmon,12,6
42,1,6:19.0,,J. Lin enters the game for T. Young,12,6
43,1,6:03.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),,15,6
44,1,5:51.0,,Turnover by J. Collins (bad pass),15,6
45,1,5:51.0,J. Bell enters the game for K. Looney,,15,6
46,1,5:33.0,K. Durant makes 2-pt jump shot from 15 ft,,17,6
47,1,5:18.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),17,9
48,1,4:55.0,A. Iguodala misses 2-pt jump shot from 14 ft,,17,9
49,1,4:54.0,Offensive rebound by Team,,17,9
50,1,4:54.0,,V. Carter enters the game for J. Collins,17,9
51,1,4:45.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Thompson),,19,9
52,1,4:28.0,,T. Prince makes 2-pt jump shot from 12 ft,19,11
53,1,4:18.0,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),,21,11
54,1,4:18.0,,Atlanta full timeout,21,11
55,1,4:18.0,J. Jerebko enters the game for A. Iguodala,,21,11
56,1,4:18.0,S. Livingston enters the game for K. Thompson,,21,11
57,1,4:07.0,,V. Carter makes 2-pt layup from 1 ft (assist by J. Lin),21,13
58,1,3:54.0,K. Durant makes 2-pt jump shot from 13 ft (assist by J. Jerebko),,23,13
59,1,3:47.0,,Turnover by J. Lin (lost ball; steal by S. Curry),23,13
60,1,3:45.0,Personal foul by T. Prince (drawn by S. Curry),,23,13
61,1,3:45.0,,D. Bembry enters the game for T. Prince,23,13
62,1,3:38.0,S. Curry makes 3-pt jump shot from 25 ft,,26,13
63,1,3:26.0,,Turnover by K. Bazemore (bad pass),26,13
64,1,3:18.0,S. Curry misses 3-pt jump shot from 26 ft,,26,13
65,1,3:14.0,,Defensive rebound by J. Lin,26,13
66,1,3:08.0,,Personal foul by J. Jerebko (drawn by A. Len),26,13
67,1,2:55.0,,D. Bembry misses 3-pt jump shot from 26 ft,26,13
68,1,2:51.0,Defensive rebound by K. Durant,,26,13
