,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:41.0,J. Randle misses 2-pt layup from 1 ft,,0,0
1,1,11:35.0,,Defensive rebound by D. Bender,0,0
2,1,11:29.0,,D. Bender makes 2-pt jump shot from 5 ft,0,2
3,1,11:17.0,Shooting foul by D. Bender (drawn by K. Williams),,0,2
4,1,11:17.0,K. Williams makes free throw 1 of 2,,1,2
5,1,11:17.0,K. Williams makes free throw 2 of 2,,2,2
6,1,10:59.0,,M. Bridges misses 3-pt jump shot from 26 ft,2,2
7,1,10:57.0,Defensive rebound by J. Okafor,,2,2
8,1,10:48.0,Shooting foul by R. Spalding (drawn by J. Okafor),,2,2
9,1,10:48.0,J. Okafor makes free throw 1 of 2,,3,2
10,1,10:48.0,J. Okafor makes free throw 2 of 2,,4,2
11,1,10:31.0,,R. Spalding misses 2-pt jump shot from 16 ft,4,2
12,1,10:28.0,Defensive rebound by E. Payton,,4,2
13,1,10:19.0,I. Clark makes 3-pt jump shot from 25 ft (assist by J. Randle),,7,2
14,1,10:04.0,,E. Okobo misses 3-pt jump shot from 26 ft,7,2
15,1,10:02.0,Defensive rebound by I. Clark,,7,2
16,1,9:51.0,J. Randle makes 2-pt jump shot from 8 ft,,9,2
17,1,9:35.0,,J. Jackson makes 2-pt layup at rim (assist by E. Okobo),9,4
18,1,9:19.0,E. Payton misses 2-pt layup from 2 ft,,9,4
19,1,9:17.0,Offensive rebound by J. Randle,,9,4
20,1,9:11.0,Turnover by J. Randle (bad pass; steal by R. Spalding),,9,4
21,1,9:06.0,,E. Okobo makes 2-pt layup at rim (assist by J. Jackson),9,6
22,1,8:56.0,J. Okafor misses 2-pt hook shot from 6 ft,,9,6
23,1,8:54.0,,Defensive rebound by R. Spalding,9,6
24,1,8:49.0,,M. Bridges makes 2-pt layup at rim,9,8
25,1,8:29.0,J. Okafor misses 2-pt hook shot from 3 ft,,9,8
26,1,8:27.0,,Defensive rebound by J. Jackson,9,8
27,1,8:20.0,,J. Jackson misses 2-pt hook shot from 7 ft,9,8
28,1,8:19.0,Defensive rebound by J. Randle,,9,8
29,1,8:10.0,Shooting foul by R. Spalding (drawn by J. Randle),,9,8
30,1,8:10.0,J. Randle makes free throw 1 of 2,,10,8
31,1,8:10.0,J. Randle misses free throw 2 of 2,,10,8
32,1,8:08.0,,Defensive rebound by M. Bridges,10,8
33,1,7:56.0,,E. Okobo misses 3-pt jump shot from 24 ft,10,8
34,1,7:52.0,Defensive rebound by J. Okafor,,10,8
35,1,7:35.0,J. Okafor misses 2-pt hook shot from 2 ft (block by R. Spalding),,10,8
36,1,7:32.0,Offensive rebound by J. Okafor,,10,8
37,1,7:31.0,J. Okafor makes 2-pt layup from 1 ft,,12,8
38,1,7:19.0,,D. Bender misses 3-pt jump shot from 26 ft,12,8
