,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BROOKLYN_ACTION,HOUSTON_SCORE,BROOKLYN_SCORE
0,1,11:41.0,C. Paul makes 3-pt jump shot from 26 ft (assist by P. Tucker),,3,0
1,1,11:18.0,,D. Russell misses 3-pt jump shot from 26 ft,3,0
2,1,11:16.0,Defensive rebound by C. Capela,,3,0
3,1,11:04.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,5,0
4,1,10:48.0,,Personal foul by J. Ennis (drawn by J. Dudley),5,0
5,1,10:45.0,,D. Russell makes 2-pt layup from 2 ft (assist by J. Harris),5,2
6,1,10:26.0,J. Ennis makes 2-pt layup from 1 ft (assist by E. Gordon),,7,2
7,1,10:18.0,,Turnover by C. LeVert (bad pass),7,2
8,1,10:12.0,C. Paul makes 2-pt jump shot from 11 ft,,9,2
9,1,9:47.0,,C. LeVert makes 2-pt jump shot from 11 ft,9,4
10,1,9:47.0,,Shooting foul by C. Paul (drawn by C. LeVert),9,4
11,1,9:47.0,,C. LeVert makes free throw 1 of 1,9,5
12,1,9:25.0,C. Paul misses 3-pt jump shot from 23 ft,,9,5
13,1,9:22.0,,Defensive rebound by C. LeVert,9,5
14,1,9:15.0,,J. Allen makes 2-pt dunk from 2 ft (assist by J. Dudley),9,7
15,1,8:52.0,E. Gordon misses 3-pt jump shot from 31 ft,,9,7
16,1,8:50.0,,Defensive rebound by J. Allen,9,7
17,1,8:38.0,,D. Russell misses 2-pt jump shot from 3 ft,9,7
18,1,8:37.0,Defensive rebound by C. Capela,,9,7
19,1,8:31.0,Turnover by E. Gordon (lost ball; steal by C. LeVert),,9,7
20,1,8:17.0,,C. LeVert makes 2-pt jump shot from 2 ft,9,9
21,1,8:00.0,Houston full timeout,,9,9
22,1,8:00.0,C. Anthony enters the game for P. Tucker,,9,9
23,1,7:51.0,C. Capela makes 2-pt layup from 3 ft (assist by C. Paul),,11,9
24,1,7:35.0,,D. Russell makes 2-pt layup from 2 ft,11,11
25,1,7:24.0,E. Gordon misses 2-pt layup from 4 ft,,11,11
26,1,7:22.0,,Defensive rebound by J. Allen,11,11
27,1,7:16.0,,C. LeVert makes 3-pt jump shot from 27 ft,11,14
28,1,7:02.0,J. Ennis misses 2-pt layup from 2 ft,,11,14
29,1,7:00.0,,Defensive rebound by J. Allen,11,14
30,1,6:56.0,,Turnover by D. Russell (out of bounds lost ball),11,14
31,1,6:43.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,13,14
32,1,6:25.0,,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),13,16
33,1,6:15.0,C. Anthony makes 2-pt layup from 1 ft (assist by C. Paul),,15,16
34,1,6:08.0,,Personal foul by E. Gordon (drawn by J. Allen),15,16
35,1,6:08.0,G. Green enters the game for J. Ennis,,15,16
36,1,6:08.0,,A. Crabbe enters the game for J. Dudley,15,16
37,1,6:08.0,,R. Hollis-Jefferson enters the game for J. Harris,15,16
38,1,5:57.0,,C. LeVert makes 2-pt layup from 1 ft,15,18
39,1,5:47.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by C. Paul),,18,18
40,1,5:46.0,,Brooklyn full timeout,18,18
41,1,5:46.0,M. Chriss enters the game for C. Capela,,18,18
42,1,5:22.0,,C. LeVert makes 2-pt layup from 2 ft,18,20
43,1,5:14.0,Personal foul by J. Allen (drawn by E. Gordon),,18,20
44,1,5:07.0,M. Chriss misses 2-pt dunk from 3 ft,,18,20
45,1,5:04.0,,Defensive rebound by D. Russell,18,20
46,1,4:55.0,,D. Russell makes 2-pt jump shot from 7 ft,18,22
47,1,4:41.0,C. Paul makes 2-pt jump shot from 11 ft,,20,22
48,1,4:27.0,,D. Russell makes 2-pt layup from 1 ft,20,24
49,1,4:06.0,C. Paul misses 2-pt layup from 1 ft,,20,24
50,1,4:04.0,,Defensive rebound by J. Allen,20,24
51,1,3:57.0,,D. Russell misses 3-pt jump shot from 26 ft,20,24
52,1,3:52.0,Defensive rebound by G. Green,,20,24
53,1,3:48.0,Personal foul by C. LeVert (drawn by C. Anthony),,20,24
54,1,3:48.0,M. Carter-Williams enters the game for C. Paul,,20,24
55,1,3:48.0,,E. Davis enters the game for J. Allen,20,24
56,1,3:48.0,,S. Dinwiddie enters the game for D. Russell,20,24
57,1,3:40.0,M. Chriss misses 3-pt jump shot from 26 ft,,20,24
58,1,3:37.0,,Defensive rebound by E. Davis,20,24
59,1,3:29.0,,Personal foul by C. Anthony (drawn by C. LeVert),20,24
60,1,3:29.0,,S. Napier enters the game for C. LeVert,20,24
61,1,3:16.0,,A. Crabbe misses 3-pt jump shot from 26 ft,20,24
62,1,3:09.0,,Offensive rebound by E. Davis,20,24
63,1,3:09.0,,E. Davis makes 2-pt layup from 1 ft,20,26
64,1,3:00.0,G. Green misses 3-pt jump shot from 26 ft,,20,26
65,1,2:58.0,,Defensive rebound by R. Hollis-Jefferson,20,26
66,1,2:51.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,20,28
67,1,2:48.0,Houston full timeout,,20,28
68,1,2:48.0,C. Capela enters the game for M. Chriss,,20,28
69,1,2:48.0,P. Tucker enters the game for E. Gordon,,20,28
70,1,2:41.0,Personal foul by S. Napier (drawn by C. Capela),,20,28
71,1,2:33.0,G. Green misses 3-pt jump shot from 25 ft,,20,28
72,1,2:29.0,,Defensive rebound by R. Hollis-Jefferson,20,28
73,1,2:15.0,,S. Dinwiddie makes 2-pt jump shot from 16 ft,20,30
74,1,2:00.0,Shooting foul by E. Davis (drawn by M. Carter-Williams),,20,30
75,1,2:00.0,M. Carter-Williams misses free throw 1 of 2,,20,30
76,1,2:00.0,Offensive rebound by Team,,20,30
77,1,2:00.0,M. Carter-Williams misses free throw 2 of 2,,20,30
78,1,1:58.0,,Defensive rebound by R. Hollis-Jefferson,20,30
79,1,1:45.0,,A. Crabbe misses 2-pt jump shot from 16 ft,20,30
80,1,1:43.0,Defensive rebound by C. Capela,,20,30
81,1,1:36.0,C. Anthony misses 3-pt jump shot from 27 ft,,20,30
82,1,1:32.0,,Defensive rebound by A. Crabbe,20,30
83,1,1:24.0,,Turnover by S. Dinwiddie (bad pass; steal by M. Carter-Williams),20,30
84,1,1:19.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),,23,30
85,1,0:55.0,,Offensive foul by S. Dinwiddie (drawn by P. Tucker),23,30
86,1,0:55.0,,Turnover by S. Dinwiddie (offensive foul),23,30
87,1,0:55.0,G. Clark enters the game for G. Green,,23,30
88,1,0:45.0,C. Anthony misses 3-pt jump shot from 24 ft,,23,30
89,1,0:43.0,Offensive rebound by C. Capela,,23,30
90,1,0:39.0,C. Capela makes 2-pt jump shot from 4 ft,,25,30
