,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ATLANTA_ACTION,PHOENIX_SCORE,ATLANTA_SCORE
0,1,11:44.0,,J. Collins misses 2-pt layup from 9 ft (block by D. Ayton),0,0
1,1,11:43.0,Defensive rebound by Team,,0,0
2,1,11:25.0,J. Jackson makes 2-pt jump shot from 5 ft (assist by T. Johnson),,2,0
3,1,11:02.0,,K. Bazemore misses 2-pt layup from 1 ft,2,0
4,1,10:59.0,Defensive rebound by K. Oubre,,2,0
5,1,10:56.0,T. Johnson makes 2-pt layup from 1 ft (assist by J. Jackson),,4,0
6,1,10:43.0,,Shooting foul by K. Oubre (drawn by J. Collins),4,0
7,1,10:43.0,,J. Collins makes free throw 1 of 2,4,1
8,1,10:43.0,,J. Collins makes free throw 2 of 2,4,2
9,1,10:27.0,Personal foul by D. Dedmon (drawn by D. Ayton),,4,2
10,1,10:17.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,6,2
11,1,10:09.0,,K. Bazemore misses 3-pt jump shot from 24 ft,6,2
12,1,10:03.0,Defensive rebound by D. Ayton,,6,2
13,1,9:54.0,K. Oubre misses 3-pt jump shot from 25 ft,,6,2
14,1,9:52.0,,Defensive rebound by T. Prince,6,2
15,1,9:45.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Prince),6,4
16,1,9:25.0,D. Booker misses 2-pt layup from 2 ft,,6,4
17,1,9:21.0,Offensive rebound by D. Ayton,,6,4
18,1,9:21.0,D. Ayton makes 2-pt layup at rim,,8,4
19,1,9:09.0,,T. Young misses 3-pt jump shot from 28 ft,8,4
20,1,9:06.0,Defensive rebound by D. Ayton,,8,4
21,1,8:57.0,K. Oubre misses 2-pt layup from 4 ft (block by D. Dedmon),,8,4
22,1,8:53.0,,Defensive rebound by J. Collins,8,4
23,1,8:47.0,,T. Prince makes 2-pt layup from 2 ft (assist by T. Young),8,6
24,1,8:47.0,,Shooting foul by J. Jackson (drawn by T. Prince),8,6
25,1,8:47.0,,T. Prince makes free throw 1 of 1,8,7
26,1,8:35.0,D. Booker misses 2-pt jump shot from 20 ft,,8,7
27,1,8:32.0,,Defensive rebound by J. Collins,8,7
28,1,8:29.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),8,10
29,1,8:15.0,K. Oubre misses 2-pt layup from 2 ft (block by D. Dedmon),,8,10
30,1,8:15.0,Offensive rebound by Team,,8,10
31,1,8:08.0,D. Booker makes 3-pt jump shot from 27 ft,,11,10
32,1,7:55.0,,D. Dedmon misses 3-pt jump shot from 23 ft,11,10
33,1,7:50.0,Defensive rebound by D. Booker,,11,10
34,1,7:45.0,T. Johnson misses 2-pt jump shot from 9 ft,,11,10
35,1,7:42.0,Offensive rebound by D. Ayton,,11,10
36,1,7:41.0,D. Ayton makes 2-pt layup from 2 ft,,13,10
37,1,7:23.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),13,12
38,1,7:16.0,D. Booker misses 2-pt layup from 3 ft (block by D. Dedmon),,13,12
39,1,7:16.0,,Defensive rebound by T. Prince,13,12
40,1,7:11.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by T. Prince),13,15
41,1,7:09.0,Phoenix full timeout,,13,15
42,1,6:59.0,K. Oubre misses 2-pt layup from 1 ft (block by K. Bazemore),,13,15
43,1,6:59.0,Offensive rebound by Team,,13,15
44,1,6:48.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by T. Johnson),,16,15
45,1,6:33.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by D. Dedmon),16,18
46,1,6:10.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Booker),,19,18
47,1,5:58.0,,T. Young misses 3-pt jump shot from 26 ft,19,18
48,1,5:55.0,Defensive rebound by D. Ayton,,19,18
49,1,5:48.0,Offensive rebound by Team,,19,18
50,1,5:48.0,J. Jackson misses 2-pt layup from 1 ft,,19,18
51,1,5:47.0,,Loose ball foul by D. Dedmon (drawn by K. Oubre),19,18
52,1,5:47.0,,D. Bembry enters the game for K. Bazemore,19,18
53,1,5:47.0,,A. Len enters the game for D. Dedmon,19,18
54,1,5:37.0,J. Jackson misses 3-pt jump shot from 26 ft,,19,18
55,1,5:32.0,,Defensive rebound by D. Bembry,19,18
