,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
0,1,11:38.0,Turnover by B. Biyombo (bad pass; steal by R. Rondo),,0,0
1,1,11:34.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by J. McGee),0,2
2,1,11:11.0,M. Bridges misses 2-pt jump shot from 11 ft,,0,2
3,1,11:09.0,,Defensive rebound by J. McGee,0,2
4,1,10:54.0,,L. James misses 3-pt jump shot from 25 ft,0,2
5,1,10:52.0,,Offensive rebound by R. Rondo,0,2
6,1,10:50.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),0,4
7,1,10:37.0,M. Williams misses 3-pt jump shot from 27 ft,,0,4
8,1,10:32.0,,Defensive rebound by J. McGee,0,4
9,1,10:16.0,,R. Rondo misses 3-pt jump shot from 24 ft,0,4
10,1,10:13.0,Defensive rebound by B. Biyombo,,0,4
11,1,10:05.0,D. Bacon makes 2-pt jump shot from 13 ft (assist by K. Walker),,2,4
12,1,9:45.0,,Turnover by L. James (bad pass; steal by M. Williams),2,4
13,1,9:41.0,M. Williams makes 3-pt jump shot from 26 ft (assist by M. Bridges),,5,4
14,1,9:21.0,,J. McGee misses 2-pt layup from 4 ft,5,4
15,1,9:19.0,Defensive rebound by B. Biyombo,,5,4
16,1,9:16.0,Personal foul by K. Caldwell-Pope (drawn by D. Bacon),,5,4
17,1,9:09.0,M. Bridges misses 2-pt layup from 2 ft,,5,4
18,1,9:07.0,Offensive rebound by B. Biyombo,,5,4
19,1,9:06.0,B. Biyombo misses 2-pt layup from 4 ft (block by J. McGee),,5,4
20,1,9:03.0,,Defensive rebound by R. Rondo,5,4
21,1,9:01.0,,R. Rondo misses 2-pt layup from 2 ft,5,4
22,1,9:01.0,Defensive rebound by K. Walker,,5,4
23,1,8:54.0,K. Walker misses 2-pt jump shot from 5 ft,,5,4
24,1,8:52.0,Offensive rebound by Team,,5,4
25,1,8:52.0,Personal foul by K. Kuzma (drawn by M. Williams),,5,4
26,1,8:48.0,M. Williams misses 2-pt layup from 3 ft,,5,4
27,1,8:45.0,Offensive rebound by M. Bridges,,5,4
28,1,8:44.0,M. Bridges makes 3-pt jump shot from 24 ft,,8,4
29,1,8:34.0,,Turnover by L. James (bad pass; steal by M. Bridges),8,4
30,1,8:29.0,D. Bacon makes 2-pt layup from 1 ft (assist by M. Bridges),,10,4
31,1,8:18.0,,K. Kuzma misses 3-pt jump shot from 26 ft,10,4
32,1,8:14.0,Defensive rebound by M. Williams,,10,4
33,1,8:10.0,K. Walker misses 3-pt jump shot from 25 ft,,10,4
34,1,8:07.0,,Defensive rebound by J. McGee,10,4
35,1,8:01.0,,L. James misses 3-pt jump shot from 27 ft,10,4
36,1,7:57.0,Defensive rebound by M. Williams,,10,4
37,1,7:51.0,D. Bacon makes 2-pt jump shot from 13 ft,,12,4
38,1,7:49.0,,LA Lakers full timeout,12,4
39,1,7:30.0,,L. James makes 2-pt layup from 1 ft,12,6
40,1,7:30.0,,Shooting foul by D. Bacon (drawn by L. James),12,6
41,1,7:30.0,,L. James makes free throw 1 of 1,12,7
