,QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
0,1,11:44.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),0,2
1,1,11:32.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Brown),,3,2
2,1,11:20.0,,Turnover by D. Mitchell (bad pass),3,2
3,1,11:10.0,Shooting foul by D. Mitchell (drawn by B. Brown),,3,2
4,1,11:10.0,B. Brown makes free throw 1 of 2,,4,2
5,1,11:10.0,B. Brown makes free throw 2 of 2,,5,2
6,1,10:59.0,,Turnover by J. Ingles (bad pass; steal by A. Drummond),5,2
7,1,10:51.0,A. Drummond makes 2-pt layup from 3 ft,,7,2
8,1,10:34.0,,D. Mitchell misses 2-pt jump shot from 14 ft,7,2
9,1,10:31.0,Defensive rebound by R. Jackson,,7,2
10,1,10:25.0,R. Jackson makes 2-pt jump shot from 6 ft,,9,2
11,1,10:25.0,,Utah full timeout,9,2
12,1,10:14.0,,D. Mitchell misses 2-pt jump shot from 20 ft,9,2
13,1,10:10.0,Defensive rebound by R. Jackson,,9,2
14,1,10:05.0,B. Brown misses 3-pt jump shot from 25 ft,,9,2
15,1,10:03.0,,Defensive rebound by D. Mitchell,9,2
16,1,9:45.0,,J. Ingles makes 3-pt jump shot from 28 ft (assist by R. O'Neale),9,5
17,1,9:24.0,B. Brown misses 2-pt layup from 4 ft,,9,5
18,1,9:21.0,,Defensive rebound by R. Gobert,9,5
19,1,9:08.0,,R. Gobert misses 2-pt hook shot from 6 ft,9,5
20,1,9:05.0,Defensive rebound by A. Drummond,,9,5
21,1,8:51.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by B. Griffin),,12,5
22,1,8:39.0,,D. Mitchell makes 2-pt jump shot from 11 ft,12,7
23,1,8:26.0,R. Jackson misses 2-pt jump shot from 22 ft,,12,7
24,1,8:24.0,,Defensive rebound by R. Gobert,12,7
25,1,8:09.0,,D. Favors misses 3-pt jump shot from 23 ft,12,7
26,1,8:05.0,Defensive rebound by B. Griffin,,12,7
27,1,8:02.0,A. Drummond misses 2-pt layup from 2 ft,,12,7
28,1,8:00.0,Offensive rebound by B. Brown,,12,7
29,1,8:00.0,B. Brown misses 2-pt layup from 2 ft,,12,7
30,1,7:57.0,,Defensive rebound by D. Mitchell,12,7
31,1,7:48.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),12,10
32,1,7:38.0,Detroit full timeout,,12,10
33,1,7:38.0,,K. Korver enters the game for J. Ingles,12,10
34,1,7:32.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,10
35,1,7:28.0,Offensive rebound by B. Brown,,12,10
36,1,7:15.0,R. Jackson misses 2-pt jump shot from 20 ft,,12,10
37,1,7:10.0,,Defensive rebound by R. Gobert,12,10
38,1,7:04.0,,R. Gobert misses 2-pt layup from 2 ft,12,10
39,1,7:00.0,Defensive rebound by B. Brown,,12,10
40,1,6:57.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,10
41,1,6:53.0,,Defensive rebound by R. Gobert,12,10
42,1,6:42.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Gobert),12,13
43,1,6:16.0,R. Jackson makes 2-pt jump shot from 17 ft,,14,13
44,1,5:56.0,,Shooting foul by B. Brown (drawn by D. Mitchell),14,13
45,1,5:56.0,,D. Mitchell makes free throw 1 of 2,14,14
46,1,5:56.0,,J. Crowder enters the game for D. Favors,14,14
47,1,5:56.0,,D. Mitchell misses free throw 2 of 2,14,14
48,1,5:53.0,,Offensive rebound by R. Gobert,14,14
49,1,5:52.0,,R. Gobert misses 2-pt layup from 2 ft,14,14
50,1,5:49.0,,Offensive rebound by J. Crowder,14,14
51,1,5:49.0,,Turnover by J. Crowder (lost ball; steal by R. Jackson),14,14
52,1,5:49.0,Personal take foul by R. O'Neale (drawn by R. Jackson),,14,14
53,1,5:49.0,L. Galloway enters the game for B. Brown,,14,14
54,1,5:38.0,Shooting foul by R. O'Neale (drawn by R. Bullock),,14,14
55,1,5:38.0,R. Bullock makes free throw 1 of 3,,15,14
56,1,5:38.0,R. Bullock makes free throw 2 of 3,,16,14
57,1,5:38.0,R. Bullock makes free throw 3 of 3,,17,14
58,1,5:19.0,,J. Crowder misses 3-pt jump shot from 26 ft,17,14
59,1,5:16.0,Defensive rebound by A. Drummond,,17,14
60,1,5:11.0,B. Griffin misses 2-pt layup from 3 ft,,17,14
61,1,5:10.0,,Defensive rebound by R. Gobert,17,14
62,1,5:00.0,,K. Korver makes 3-pt jump shot from 27 ft (assist by R. Gobert),17,17
63,1,4:42.0,R. Bullock makes 2-pt dunk from 2 ft (assist by A. Drummond),,19,17
64,1,4:28.0,,K. Korver misses 3-pt jump shot from 25 ft,19,17
65,1,4:26.0,Defensive rebound by L. Galloway,,19,17
66,1,4:19.0,B. Griffin misses 3-pt jump shot from 24 ft,,19,17
67,1,4:17.0,,Defensive rebound by D. Mitchell,19,17
68,1,4:11.0,,Shooting foul by R. Bullock (drawn by R. Gobert),19,17
69,1,4:11.0,,R. Gobert misses free throw 1 of 2,19,17
70,1,4:11.0,,Offensive rebound by Team,19,17
71,1,4:11.0,I. Smith enters the game for R. Jackson,,19,17
72,1,4:11.0,,G. Allen enters the game for R. O'Neale,19,17
73,1,4:11.0,,R. Gobert makes free throw 2 of 2,19,18
74,1,3:50.0,A. Drummond misses 2-pt jump shot from 11 ft,,19,18
75,1,3:48.0,,Defensive rebound by R. Gobert,19,18
76,1,3:42.0,,Turnover by D. Mitchell (lost ball; steal by I. Smith),19,18
77,1,3:32.0,A. Drummond makes 2-pt dunk from 2 ft (assist by I. Smith),,21,18
78,1,3:19.0,,K. Korver misses 2-pt jump shot from 22 ft,21,18
79,1,3:18.0,,Offensive rebound by J. Crowder,21,18
80,1,3:18.0,,Shooting foul by R. Bullock (drawn by J. Crowder),21,18
81,1,3:18.0,,J. Crowder misses free throw 1 of 2,21,18
82,1,3:18.0,,Offensive rebound by Team,21,18
83,1,3:18.0,L. Kennard enters the game for R. Bullock,,21,18
84,1,3:18.0,,D. Favors enters the game for R. Gobert,21,18
85,1,3:18.0,,J. Ingles enters the game for D. Mitchell,21,18
86,1,3:18.0,,J. Crowder makes free throw 2 of 2,21,19
87,1,3:06.0,I. Smith makes 2-pt layup from 3 ft (assist by B. Griffin),,23,19
88,1,3:06.0,,Violation by Team (def goaltending),23,19
89,1,2:56.0,,Turnover by J. Ingles (bad pass; steal by A. Drummond),23,19
90,1,2:52.0,A. Drummond makes 2-pt dunk from 1 ft,,25,19
91,1,2:39.0,,G. Allen misses 2-pt jump shot from 9 ft,25,19
92,1,2:34.0,,Offensive rebound by D. Favors,25,19
93,1,2:34.0,,D. Favors makes 2-pt layup from 1 ft,25,21
94,1,2:26.0,,Violation by Team (kicked ball),25,21
95,1,2:18.0,I. Smith makes 3-pt jump shot from 23 ft,,28,21
