,QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
0,1,11:41.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Jordan),,3,0
1,1,11:26.0,,Turnover by J. Murray (bad pass; steal by D. Jordan),3,0
2,1,11:11.0,W. Matthews misses 2-pt layup from 2 ft (block by J. Hernangómez),,3,0
3,1,11:08.0,,Defensive rebound by M. Plumlee,3,0
4,1,10:56.0,,M. Plumlee makes 2-pt layup from 4 ft (assist by T. Craig),3,2
5,1,10:41.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Dončić),,6,2
6,1,10:20.0,,J. Murray misses 2-pt jump shot from 14 ft,6,2
7,1,10:17.0,Defensive rebound by D. Jordan,,6,2
8,1,10:05.0,J. Brunson misses 2-pt layup from 3 ft,,6,2
9,1,10:04.0,,Defensive rebound by N. Jokić,6,2
10,1,9:57.0,,Offensive foul by N. Jokić (drawn by J. Brunson),6,2
11,1,9:57.0,,Turnover by N. Jokić (offensive foul),6,2
12,1,9:34.0,D. Jordan misses 2-pt jump shot from 14 ft,,6,2
13,1,9:31.0,,Defensive rebound by J. Hernangómez,6,2
14,1,9:24.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by J. Murray),6,5
15,1,9:10.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,8,5
16,1,8:52.0,,Personal foul by D. Jordan (drawn by N. Jokić),8,5
17,1,8:41.0,,N. Jokić makes 2-pt jump shot from 11 ft (assist by J. Murray),8,7
18,1,8:27.0,H. Barnes makes 2-pt jump shot from 16 ft (assist by L. Dončić),,10,7
19,1,8:14.0,,J. Murray makes 2-pt dunk from 2 ft,10,9
20,1,8:14.0,,Technical foul by J. Murray,10,9
21,1,8:14.0,H. Barnes makes technical free throw,,11,9
22,1,8:04.0,J. Brunson misses 3-pt jump shot from 22 ft,,11,9
23,1,8:01.0,,Defensive rebound by M. Plumlee,11,9
24,1,7:59.0,,J. Murray misses 3-pt jump shot from 25 ft,11,9
25,1,7:56.0,,Offensive rebound by M. Plumlee,11,9
26,1,7:43.0,,N. Jokić misses 2-pt jump shot from 4 ft,11,9
27,1,7:40.0,,Offensive rebound by N. Jokić,11,9
28,1,7:40.0,,N. Jokić makes 2-pt layup from 1 ft,11,11
29,1,7:33.0,L. Dončić misses 3-pt jump shot from 26 ft,,11,11
30,1,7:30.0,,Defensive rebound by N. Jokić,11,11
31,1,7:22.0,,T. Craig misses 3-pt jump shot from 24 ft,11,11
32,1,7:20.0,,Offensive rebound by J. Hernangómez,11,11
33,1,7:15.0,,N. Jokić misses 3-pt jump shot from 25 ft,11,11
34,1,7:11.0,Defensive rebound by L. Dončić,,11,11
35,1,7:06.0,L. Dončić misses 2-pt jump shot from 7 ft,,11,11
36,1,7:05.0,,Defensive rebound by N. Jokić,11,11
37,1,7:01.0,,T. Craig makes 2-pt dunk at rim (assist by J. Murray),11,13
38,1,6:59.0,Dallas full timeout,,11,13
39,1,6:46.0,Personal foul by T. Craig (drawn by L. Dončić),,11,13
