,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,Turnover by I. Zubac (bad pass; steal by J. Butler),0,0
1,1,11:41.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),,2,0
2,1,11:21.0,,R. Rondo makes 2-pt jump shot from 8 ft,2,2
3,1,10:57.0,J. Butler misses 3-pt jump shot from 25 ft,,2,2
4,1,10:53.0,,Defensive rebound by M. Beasley,2,2
5,1,10:46.0,,Turnover by I. Zubac (traveling),2,2
6,1,10:40.0,J. Embiid misses 3-pt jump shot from 26 ft,,2,2
7,1,10:37.0,Offensive rebound by W. Chandler,,2,2
8,1,10:31.0,J. Redick makes 3-pt jump shot from 24 ft (assist by W. Chandler),,5,2
9,1,10:20.0,,B. Ingram misses 2-pt jump shot from 17 ft (block by B. Simmons),5,2
10,1,10:17.0,Defensive rebound by W. Chandler,,5,2
11,1,10:08.0,B. Simmons makes 2-pt jump shot from 8 ft,,7,2
12,1,10:08.0,Shooting foul by B. Ingram (drawn by B. Simmons),,7,2
13,1,10:08.0,B. Simmons makes free throw 1 of 1,,8,2
14,1,9:58.0,,Turnover by R. Rondo (bad pass),8,2
15,1,9:41.0,Shooting foul by I. Zubac (drawn by J. Embiid),,8,2
16,1,9:41.0,J. Embiid makes free throw 1 of 2,,9,2
17,1,9:41.0,J. Embiid makes free throw 2 of 2,,10,2
18,1,9:29.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,10,2
19,1,9:25.0,Defensive rebound by B. Simmons,,10,2
20,1,9:24.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,12,2
21,1,9:23.0,,LA Lakers full timeout,12,2
22,1,9:03.0,,M. Beasley misses 2-pt jump shot from 5 ft,12,2
23,1,9:00.0,Defensive rebound by J. Embiid,,12,2
24,1,8:55.0,J. Embiid makes 2-pt jump shot from 15 ft (assist by J. Butler),,14,2
25,1,8:42.0,,B. Ingram misses 2-pt layup from 2 ft,14,2
26,1,8:37.0,,Offensive rebound by B. Ingram,14,2
27,1,8:37.0,,B. Ingram makes 2-pt layup from 1 ft,14,4
28,1,8:24.0,J. Embiid misses 2-pt jump shot from 16 ft,,14,4
29,1,8:22.0,Offensive rebound by Team,,14,4
30,1,8:16.0,Turnover by J. Embiid (bad pass; steal by M. Beasley),,14,4
31,1,8:12.0,,R. Rondo misses 2-pt layup from 1 ft (block by J. Embiid),14,4
32,1,8:09.0,Defensive rebound by W. Chandler,,14,4
33,1,8:08.0,B. Simmons makes 2-pt dunk from 2 ft (assist by W. Chandler),,16,4
34,1,7:49.0,,M. Beasley misses 2-pt layup from 3 ft,16,4
35,1,7:45.0,,Offensive rebound by M. Beasley,16,4
