,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BROOKLYN_ACTION,PHILADELPHIA_SCORE,BROOKLYN_SCORE
0,1,11:45.0,W. Chandler misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Allen,0,0
2,1,11:20.0,,J. Harris misses 2-pt layup from 3 ft,0,0
3,1,11:18.0,Defensive rebound by J. Redick,,0,0
4,1,11:12.0,B. Simmons makes 2-pt hook shot from 3 ft,,2,0
5,1,10:56.0,,D. Russell makes 2-pt jump shot from 17 ft,2,2
6,1,10:56.0,,Shooting foul by J. Butler (drawn by D. Russell),2,2
7,1,10:56.0,,D. Russell makes free throw 1 of 1,2,3
8,1,10:41.0,B. Simmons misses 2-pt jump shot from 12 ft,,2,3
9,1,10:38.0,Offensive rebound by J. Butler,,2,3
10,1,10:28.0,J. Embiid misses 2-pt jump shot from 14 ft,,2,3
11,1,10:26.0,,Defensive rebound by D. Russell,2,3
12,1,10:19.0,,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),2,5
13,1,10:07.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Redick),,5,5
14,1,9:51.0,,D. Russell makes 2-pt layup from 3 ft,5,7
15,1,9:39.0,J. Redick misses 2-pt jump shot from 23 ft,,5,7
16,1,9:35.0,,Defensive rebound by J. Harris,5,7
17,1,9:30.0,,Turnover by J. Harris (bad pass),5,7
18,1,9:22.0,Turnover by J. Embiid (bad pass),,5,7
19,1,9:04.0,,A. Crabbe misses 3-pt jump shot from 26 ft,5,7
20,1,9:01.0,Defensive rebound by J. Embiid,,5,7
21,1,8:53.0,J. Butler makes 2-pt layup from 2 ft,,7,7
22,1,8:41.0,,J. Harris misses 3-pt jump shot from 23 ft,7,7
23,1,8:37.0,Defensive rebound by J. Butler,,7,7
24,1,8:30.0,J. Butler misses 2-pt jump shot from 9 ft,,7,7
25,1,8:27.0,,Defensive rebound by R. Hollis-Jefferson,7,7
26,1,8:22.0,,Turnover by J. Allen (bad pass; steal by J. Butler),7,7
27,1,8:20.0,Shooting foul by J. Harris (drawn by B. Simmons),,7,7
28,1,8:20.0,B. Simmons misses free throw 1 of 2,,7,7
29,1,8:20.0,Offensive rebound by Team,,7,7
30,1,8:20.0,B. Simmons misses free throw 2 of 2,,7,7
31,1,8:17.0,,Defensive rebound by J. Allen,7,7
32,1,8:05.0,,D. Russell makes 2-pt jump shot from 18 ft,7,9
33,1,7:49.0,J. Embiid makes 2-pt dunk from 2 ft (assist by W. Chandler),,9,9
34,1,7:31.0,,Personal foul by W. Chandler (drawn by J. Harris),9,9
35,1,7:19.0,,D. Russell makes 2-pt jump shot from 6 ft,9,11
36,1,7:11.0,J. Redick misses 3-pt jump shot from 25 ft,,9,11
37,1,7:08.0,,Defensive rebound by D. Russell,9,11
38,1,7:04.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft,9,11
39,1,7:03.0,Defensive rebound by W. Chandler,,9,11
40,1,6:55.0,J. Embiid makes 2-pt jump shot from 13 ft,,11,11
41,1,6:36.0,,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),11,13
42,1,6:28.0,J. Embiid misses 3-pt jump shot from 28 ft,,11,13
43,1,6:24.0,,Defensive rebound by J. Allen,11,13
44,1,6:09.0,,D. Russell misses 2-pt jump shot from 19 ft,11,13
45,1,6:06.0,Defensive rebound by J. Redick,,11,13
46,1,6:03.0,Offensive foul by J. Embiid (drawn by J. Harris),,11,13
47,1,6:03.0,Turnover by J. Embiid (offensive foul),,11,13
48,1,6:03.0,,Brooklyn full timeout,11,13
49,1,6:03.0,T. McConnell enters the game for J. Embiid,,11,13
50,1,6:03.0,L. Shamet enters the game for J. Redick,,11,13
51,1,6:03.0,,S. Dinwiddie enters the game for J. Harris,11,13
52,1,5:46.0,,Personal foul by T. McConnell (drawn by R. Hollis-Jefferson),11,13
53,1,5:40.0,,A. Crabbe misses 3-pt jump shot from 27 ft,11,13
54,1,5:37.0,Defensive rebound by J. Butler,,11,13
55,1,5:31.0,L. Shamet misses 2-pt jump shot from 18 ft,,11,13
56,1,5:28.0,,Defensive rebound by S. Dinwiddie,11,13
57,1,5:22.0,,D. Russell makes 2-pt layup from 4 ft,11,15
58,1,5:03.0,J. Butler misses 2-pt jump shot from 4 ft,,11,15
59,1,5:01.0,Offensive rebound by T. McConnell,,11,15
60,1,5:00.0,T. McConnell makes 2-pt layup from 3 ft,,13,15
61,1,4:45.0,,R. Hollis-Jefferson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),13,18
62,1,4:35.0,J. Butler makes 3-pt jump shot from 27 ft (assist by T. McConnell),,16,18
63,1,4:23.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by D. Russell),16,20
64,1,4:11.0,W. Chandler makes 2-pt jump shot from 4 ft,,18,20
65,1,3:59.0,,J. Allen makes 2-pt hook shot from 4 ft (assist by D. Russell),18,22
66,1,3:51.0,B. Simmons misses 2-pt jump shot from 8 ft,,18,22
67,1,3:47.0,Offensive rebound by J. Butler,,18,22
68,1,3:34.0,B. Simmons misses 2-pt hook shot from 10 ft,,18,22
69,1,3:31.0,,Defensive rebound by D. Russell,18,22
70,1,3:22.0,,D. Russell misses 2-pt jump shot from 16 ft,18,22
71,1,3:19.0,Defensive rebound by T. McConnell,,18,22
72,1,3:15.0,Shooting foul by J. Allen (drawn by B. Simmons),,18,22
73,1,3:15.0,B. Simmons misses free throw 1 of 2,,18,22
74,1,3:15.0,Offensive rebound by Team,,18,22
75,1,3:15.0,F. Korkmaz enters the game for J. Butler,,18,22
76,1,3:15.0,M. Muscala enters the game for W. Chandler,,18,22
77,1,3:15.0,J. Redick enters the game for L. Shamet,,18,22
78,1,3:15.0,,D. Carroll enters the game for J. Allen,18,22
79,1,3:15.0,,E. Davis enters the game for A. Crabbe,18,22
80,1,3:15.0,,J. Dudley enters the game for R. Hollis-Jefferson,18,22
81,1,3:15.0,,S. Napier enters the game for D. Russell,18,22
82,1,3:15.0,B. Simmons makes free throw 2 of 2,,19,22
83,1,2:52.0,,S. Napier makes 2-pt jump shot from 22 ft,19,24
84,1,2:51.0,Philadelphia full timeout,,19,24
85,1,2:51.0,J. Embiid enters the game for B. Simmons,,19,24
86,1,2:36.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,19,24
87,1,2:34.0,Offensive rebound by M. Muscala,,19,24
88,1,2:34.0,Shooting foul by D. Carroll (drawn by M. Muscala),,19,24
89,1,2:34.0,M. Muscala makes free throw 1 of 2,,20,24
90,1,2:34.0,M. Muscala misses free throw 2 of 2,,20,24
91,1,2:31.0,,Defensive rebound by E. Davis,20,24
92,1,2:15.0,,Shooting foul by F. Korkmaz (drawn by S. Dinwiddie),20,24
93,1,2:15.0,,S. Dinwiddie makes free throw 1 of 2,20,25
94,1,2:15.0,,S. Dinwiddie makes free throw 2 of 2,20,26
95,1,1:56.0,J. Embiid misses 2-pt jump shot from 16 ft,,20,26
96,1,1:53.0,,Defensive rebound by S. Dinwiddie,20,26
97,1,1:44.0,,Brooklyn full timeout,20,26
98,1,1:42.0,,Turnover by J. Dudley (bad pass; steal by F. Korkmaz),20,26
99,1,1:31.0,Personal foul by E. Davis (drawn by J. Embiid),,20,26
100,1,1:24.0,Shooting foul by E. Davis (drawn by J. Embiid),,20,26
101,1,1:24.0,J. Embiid misses free throw 1 of 2,,20,26
102,1,1:24.0,Offensive rebound by Team,,20,26
103,1,1:24.0,J. Embiid makes free throw 2 of 2,,21,26
104,1,1:02.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),21,29
105,1,0:49.0,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Embiid),,23,29
106,1,0:39.0,,Shooting foul by J. Redick (drawn by E. Davis),23,29
107,1,0:39.0,,E. Davis misses free throw 1 of 2,23,29
108,1,0:39.0,,Offensive rebound by Team,23,29
109,1,0:39.0,,E. Davis misses free throw 2 of 2,23,29
110,1,0:37.0,Defensive rebound by J. Embiid,,23,29
111,1,0:23.0,Shooting foul by J. Dudley (drawn by J. Embiid),,23,29
112,1,0:23.0,J. Embiid makes free throw 1 of 2,,24,29
113,1,0:23.0,J. Embiid makes free throw 2 of 2,,25,29
114,1,0:05.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by E. Davis),25,32
115,1,0:00.0,M. Muscala misses 3-pt jump shot from 36 ft,,25,32
116,1,0:00.0,Offensive rebound by Team,,25,32
117,2,11:43.0,,D. Russell misses 2-pt jump shot from 7 ft (block by J. Redick),25,32
118,2,11:38.0,,Offensive rebound by D. Russell,25,32
119,2,11:37.0,,D. Russell misses 2-pt jump shot from 2 ft,25,32
120,2,11:19.0,,Offensive rebound by E. Davis,25,32
121,2,11:18.0,,E. Davis makes 2-pt layup from 1 ft,25,34
122,2,11:15.0,J. Embiid misses 3-pt jump shot from 26 ft,,25,34
123,2,11:12.0,,Defensive rebound by D. Russell,25,34
124,2,11:06.0,,D. Russell makes 2-pt layup from 3 ft,25,36
125,2,10:40.0,J. Butler misses 3-pt jump shot from 26 ft,,25,36
126,2,10:38.0,,Defensive rebound by D. Russell,25,36
127,2,10:26.0,,D. Russell misses 2-pt layup from 2 ft,25,36
128,2,10:25.0,,Offensive rebound by E. Davis,25,36
129,2,10:24.0,,E. Davis misses 2-pt layup from 1 ft,25,36
130,2,10:23.0,,Offensive rebound by E. Davis,25,36
131,2,10:23.0,,E. Davis misses 2-pt layup from 1 ft,25,36
132,2,10:22.0,Defensive rebound by J. Redick,,25,36
133,2,10:08.0,T. McConnell misses 3-pt jump shot from 23 ft,,25,36
134,2,10:04.0,,Defensive rebound by J. Dudley,25,36
135,2,9:57.0,,S. Napier misses 3-pt jump shot from 26 ft,25,36
136,2,9:54.0,Defensive rebound by J. Embiid,,25,36
137,2,9:46.0,J. Butler misses 2-pt layup from 4 ft (block by J. Dudley),,25,36
138,2,9:46.0,Offensive rebound by J. Butler,,25,36
139,2,9:40.0,M. Muscala misses 3-pt jump shot from 23 ft,,25,36
140,2,9:35.0,,Defensive rebound by D. Carroll,25,36
141,2,9:31.0,,J. Dudley makes 3-pt jump shot from 26 ft (assist by D. Carroll),25,39
142,2,9:31.0,B. Simmons enters the game for T. McConnell,,25,39
143,2,9:12.0,J. Embiid makes 2-pt layup from 1 ft (assist by J. Butler),,27,39
144,2,9:12.0,Shooting foul by E. Davis (drawn by J. Embiid),,27,39
145,2,9:12.0,,J. Allen enters the game for E. Davis,27,39
146,2,9:12.0,J. Embiid makes free throw 1 of 1,,28,39
147,2,9:03.0,,Shooting foul by J. Butler (drawn by D. Russell),28,39
148,2,9:03.0,Technical foul by J. Butler,,28,39
149,2,9:03.0,,D. Russell makes technical free throw,28,40
150,2,9:03.0,,D. Russell makes free throw 1 of 2,28,41
151,2,9:03.0,,D. Russell makes free throw 2 of 2,28,42
152,2,8:51.0,Shooting foul by J. Allen (drawn by J. Butler),,28,42
153,2,8:51.0,J. Butler makes free throw 1 of 2,,29,42
154,2,8:51.0,J. Butler makes free throw 2 of 2,,30,42
155,2,8:37.0,,J. Allen misses 2-pt jump shot from 3 ft,30,42
156,2,8:35.0,Defensive rebound by J. Butler,,30,42
157,2,8:33.0,Personal foul by J. Dudley (drawn by B. Simmons),,30,42
158,2,8:33.0,,S. Dinwiddie enters the game for J. Dudley,30,42
159,2,8:33.0,,J. Harris enters the game for S. Napier,30,42
160,2,8:22.0,J. Embiid makes 2-pt layup from 2 ft,,32,42
161,2,8:01.0,,Turnover by J. Harris (lost ball; steal by J. Butler),32,42
162,2,7:52.0,B. Simmons misses 2-pt dunk from 2 ft,,32,42
163,2,7:51.0,Offensive rebound by Team,,32,42
164,2,7:51.0,W. Chandler enters the game for J. Butler,,32,42
165,2,7:51.0,F. Korkmaz enters the game for J. Embiid,,32,42
166,2,7:48.0,Turnover by B. Simmons (bad pass; steal by J. Harris),,32,42
167,2,7:36.0,,Turnover by J. Allen (traveling),32,42
168,2,7:25.0,B. Simmons misses 2-pt layup from 1 ft,,32,42
169,2,7:20.0,,Defensive rebound by J. Harris,32,42
170,2,7:17.0,,Shooting foul by M. Muscala (drawn by D. Carroll),32,42
171,2,7:17.0,,D. Carroll makes free throw 1 of 2,32,43
172,2,7:17.0,,D. Carroll makes free throw 2 of 2,32,44
173,2,7:05.0,J. Redick misses 3-pt jump shot from 25 ft,,32,44
174,2,7:04.0,,Defensive rebound by D. Carroll,32,44
175,2,6:56.0,,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),32,46
