,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,12:00.0,Violation by Team (jump ball),,0,0
2,1,11:36.0,,D. Lillard misses 2-pt jump shot from 9 ft,0,0
3,1,11:33.0,Defensive rebound by B. Marjanović,,0,0
4,1,11:14.0,B. Marjanović misses 2-pt hook shot from 8 ft,,0,0
5,1,11:12.0,,Defensive rebound by A. Aminu,0,0
6,1,11:08.0,,Shooting foul by P. Beverley (drawn by C. McCollum),0,0
7,1,11:08.0,,C. McCollum makes free throw 1 of 3,0,1
8,1,11:08.0,,C. McCollum makes free throw 2 of 3,0,2
9,1,11:08.0,,C. McCollum makes free throw 3 of 3,0,3
10,1,10:45.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),,3,3
11,1,10:30.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by C. McCollum),3,5
12,1,10:11.0,T. Harris misses 2-pt jump shot from 10 ft,,3,5
13,1,10:09.0,,Defensive rebound by J. Nurkić,3,5
14,1,10:02.0,,J. Nurkić misses 2-pt hook shot from 2 ft (block by B. Marjanović),3,5
15,1,9:58.0,,Offensive rebound by Team,3,5
16,1,9:55.0,,J. Nurkić misses 2-pt jump shot from 22 ft,3,5
17,1,9:51.0,Defensive rebound by T. Harris,,3,5
18,1,9:44.0,T. Harris misses 2-pt layup from 2 ft,,3,5
19,1,9:41.0,Offensive rebound by B. Marjanović,,3,5
20,1,9:41.0,B. Marjanović makes 2-pt layup at rim,,5,5
21,1,9:29.0,,C. McCollum misses 3-pt jump shot from 27 ft,5,5
22,1,9:27.0,Defensive rebound by B. Marjanović,,5,5
23,1,9:19.0,T. Harris makes 2-pt jump shot from 14 ft,,7,5
24,1,9:05.0,,D. Lillard makes 2-pt jump shot from 17 ft,7,7
25,1,8:52.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,,9,7
26,1,8:40.0,,J. Nurkić misses 3-pt jump shot from 25 ft,9,7
27,1,8:38.0,Defensive rebound by T. Harris,,9,7
28,1,8:29.0,P. Beverley misses 3-pt jump shot from 24 ft,,9,7
29,1,8:27.0,,Defensive rebound by J. Nurkić,9,7
30,1,8:20.0,,C. McCollum misses 2-pt jump shot from 7 ft,9,7
31,1,8:18.0,,Offensive rebound by J. Nurkić,9,7
32,1,8:17.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Nurkić),9,7
33,1,8:17.0,,J. Nurkić makes free throw 1 of 2,9,8
34,1,8:17.0,,J. Nurkić makes free throw 2 of 2,9,9
35,1,8:06.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,9,9
36,1,8:03.0,,Defensive rebound by J. Nurkić,9,9
37,1,7:56.0,,Shooting foul by B. Marjanović (drawn by J. Nurkić),9,9
38,1,7:56.0,,J. Nurkić makes free throw 1 of 2,9,10
39,1,7:56.0,,J. Nurkić makes free throw 2 of 2,9,11
40,1,7:38.0,T. Harris misses 2-pt layup from 2 ft,,9,11
41,1,7:35.0,,Defensive rebound by J. Layman,9,11
42,1,7:34.0,,C. McCollum makes 2-pt dunk at rim,9,13
43,1,7:25.0,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,,11,13
44,1,7:09.0,,D. Lillard makes 3-pt jump shot from 25 ft,11,16
45,1,6:41.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,14,16
46,1,6:20.0,,J. Nurkić misses 2-pt hook shot from 3 ft (block by B. Marjanović),14,16
47,1,6:20.0,Defensive rebound by Team,,14,16
48,1,6:20.0,,Portland full timeout,14,16
49,1,6:12.0,P. Beverley makes 2-pt layup from 2 ft,,16,16
50,1,5:52.0,,J. Layman misses 2-pt jump shot from 17 ft,16,16
51,1,5:50.0,Defensive rebound by B. Marjanović,,16,16
52,1,5:42.0,B. Marjanović misses 2-pt layup from 2 ft,,16,16
53,1,5:40.0,,Defensive rebound by J. Layman,16,16
54,1,5:35.0,,D. Lillard misses 3-pt jump shot from 25 ft,16,16
55,1,5:33.0,,Offensive rebound by J. Nurkić,16,16
56,1,5:24.0,,D. Lillard misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),16,16
57,1,5:24.0,,Offensive rebound by Team,16,16
58,1,5:24.0,,E. Turner enters the game for J. Layman,16,16
59,1,5:21.0,,J. Nurkić makes 2-pt jump shot from 18 ft (assist by D. Lillard),16,18
60,1,5:03.0,T. Harris makes 2-pt layup from 2 ft,,18,18
61,1,4:47.0,,D. Lillard makes 3-pt jump shot from 26 ft,18,21
62,1,4:27.0,T. Harris makes 2-pt jump shot from 5 ft,,20,21
63,1,4:12.0,,D. Lillard misses 3-pt jump shot from 25 ft,20,21
64,1,4:10.0,Defensive rebound by T. Harris,,20,21
65,1,4:03.0,B. Marjanović misses 2-pt dunk from 1 ft (block by J. Nurkić),,20,21
66,1,3:59.0,,Defensive rebound by C. McCollum,20,21
67,1,3:56.0,,C. McCollum makes 3-pt jump shot from 26 ft,20,24
68,1,3:52.0,LA Clippers full timeout,,20,24
69,1,3:52.0,M. Harrell enters the game for T. Harris,,20,24
70,1,3:52.0,L. Williams enters the game for B. Marjanović,,20,24
71,1,3:52.0,,Z. Collins enters the game for J. Nurkić,20,24
72,1,3:39.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,22,24
73,1,3:22.0,,Shooting foul by D. Gallinari (drawn by A. Aminu),22,24
74,1,3:22.0,,A. Aminu makes free throw 1 of 2,22,25
75,1,3:22.0,M. Scott enters the game for D. Gallinari,,22,25
76,1,3:22.0,,A. Aminu makes free throw 2 of 2,22,26
77,1,3:08.0,L. Williams misses 2-pt jump shot from 19 ft,,22,26
78,1,3:05.0,,Defensive rebound by A. Aminu,22,26
79,1,2:48.0,,E. Turner makes 2-pt jump shot from 15 ft,22,28
80,1,2:35.0,Turnover by M. Harrell (bad pass; steal by D. Lillard),,22,28
81,1,2:31.0,,C. McCollum misses 2-pt layup from 2 ft (block by M. Harrell),22,28
82,1,2:31.0,,Offensive rebound by Team,22,28
83,1,2:31.0,,C. Swanigan enters the game for A. Aminu,22,28
84,1,2:28.0,,C. McCollum makes 2-pt layup from 2 ft (assist by E. Turner),22,30
85,1,2:04.0,M. Harrell makes 2-pt layup from 2 ft,,24,30
86,1,1:51.0,,Turnover by C. Swanigan (traveling),24,30
87,1,1:51.0,,S. Curry enters the game for D. Lillard,24,30
88,1,1:51.0,,N. Stauskas enters the game for C. McCollum,24,30
89,1,1:40.0,Turnover by L. Williams (bad pass; steal by C. Swanigan),,24,30
90,1,1:31.0,,Shooting foul by S. Gilgeous-Alexander (drawn by Z. Collins),24,30
91,1,1:31.0,,Z. Collins makes free throw 1 of 2,24,31
92,1,1:31.0,T. Harris enters the game for P. Beverley,,24,31
93,1,1:31.0,,Z. Collins makes free throw 2 of 2,24,32
94,1,1:19.0,L. Williams makes 2-pt jump shot from 16 ft,,26,32
95,1,1:09.0,,Shooting foul by T. Harris (drawn by S. Curry),26,32
96,1,1:09.0,J. Robinson enters the game for S. Gilgeous-Alexander,,26,32
97,1,1:09.0,,S. Curry makes free throw 1 of 2,26,33
98,1,1:09.0,,S. Curry makes free throw 2 of 2,26,34
99,1,1:03.0,Personal foul by E. Turner (drawn by T. Harris),,26,34
100,1,0:52.0,M. Harrell makes 2-pt hook shot from 3 ft (assist by T. Harris),,28,34
101,1,0:30.0,,E. Turner makes 2-pt jump shot from 17 ft,28,36
102,1,0:14.0,M. Scott misses 3-pt jump shot from 26 ft,,28,36
103,1,0:12.0,,Defensive rebound by N. Stauskas,28,36
104,1,0:03.0,,S. Curry misses 2-pt layup from 2 ft (block by M. Harrell),28,36
105,1,0:02.0,,Offensive rebound by Team,28,36
106,1,0:02.0,Loose ball foul by T. Harris (drawn by N. Stauskas),,28,36
107,1,0:02.0,,N. Stauskas misses free throw 1 of 2,28,36
108,1,0:02.0,,Offensive rebound by Team,28,36
109,1,0:02.0,,N. Stauskas makes free throw 2 of 2,28,37
110,2,11:39.0,T. Harris makes 3-pt jump shot from 23 ft (assist by J. Robinson),,31,37
111,2,11:13.0,,C. Swanigan misses 2-pt jump shot from 11 ft,31,37
112,2,11:11.0,Defensive rebound by M. Scott,,31,37
113,2,11:08.0,Personal foul by N. Stauskas (drawn by L. Williams),,31,37
114,2,11:01.0,L. Williams misses 2-pt jump shot from 23 ft,,31,37
115,2,10:57.0,,Defensive rebound by C. Swanigan,31,37
116,2,10:52.0,,N. Stauskas makes 2-pt layup from 2 ft (assist by E. Turner),31,39
117,2,10:38.0,J. Robinson misses 2-pt jump shot from 17 ft (block by N. Stauskas),,31,39
118,2,10:32.0,,Defensive rebound by E. Turner,31,39
119,2,10:23.0,,C. Swanigan misses 2-pt hook shot from 2 ft,31,39
