,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,Violation by Team (kicked ball),,0,0
1,1,11:40.0,,K. Thompson makes 2-pt dunk from 2 ft (assist by D. Cousins),0,2
2,1,11:23.0,M. Belinelli misses 2-pt jump shot from 13 ft,,0,2
3,1,11:22.0,,Defensive rebound by D. Cousins,0,2
4,1,11:15.0,,K. Durant makes 3-pt jump shot from 28 ft (assist by D. Green),0,5
5,1,11:04.0,J. Poeltl makes 2-pt layup from 7 ft (assist by P. Mills),,2,5
6,1,11:04.0,Shooting foul by K. Thompson (drawn by J. Poeltl),,2,5
7,1,11:04.0,J. Poeltl makes free throw 1 of 1,,3,5
8,1,10:48.0,,D. Cousins misses 3-pt jump shot from 26 ft,3,5
9,1,10:46.0,,Offensive rebound by K. Thompson,3,5
10,1,10:42.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by K. Thompson),3,8
11,1,10:41.0,San Antonio full timeout,,3,8
12,1,10:33.0,R. Gay makes 2-pt jump shot from 19 ft,,5,8
13,1,10:22.0,,Personal foul by P. Mills (drawn by D. Green),5,8
14,1,10:12.0,,K. Durant makes 2-pt jump shot from 17 ft,5,10
15,1,10:05.0,Turnover by P. Mills (lost ball; steal by K. Thompson),,5,10
16,1,9:59.0,,K. Thompson misses 2-pt layup from 2 ft,5,10
17,1,9:58.0,,Offensive rebound by D. Cousins,5,10
18,1,9:58.0,,D. Cousins makes 2-pt layup at rim,5,12
19,1,9:36.0,D. Bertāns makes 2-pt jump shot from 19 ft (assist by J. Poeltl),,7,12
20,1,9:21.0,,D. Cousins makes 2-pt hook shot from 9 ft (assist by D. Green),7,14
21,1,9:04.0,D. Bertāns misses 3-pt jump shot from 26 ft,,7,14
22,1,9:02.0,Offensive rebound by J. Poeltl,,7,14
23,1,9:00.0,J. Poeltl makes 2-pt layup from 2 ft,,9,14
24,1,8:40.0,,K. Durant makes 2-pt jump shot from 7 ft (assist by S. Curry),9,16
25,1,8:23.0,P. Mills makes 3-pt jump shot from 23 ft (assist by D. Bertāns),,12,16
26,1,8:09.0,,Turnover by D. Green (lost ball; steal by P. Mills),12,16
27,1,8:01.0,M. Belinelli makes 2-pt jump shot from 22 ft (assist by J. Poeltl),,14,16
28,1,7:46.0,,D. Cousins misses 3-pt jump shot from 26 ft,14,16
29,1,7:43.0,Defensive rebound by Team,,14,16
30,1,7:23.0,R. Gay misses 2-pt jump shot from 14 ft,,14,16
31,1,7:22.0,,Defensive rebound by S. Curry,14,16
32,1,7:08.0,,K. Thompson misses 3-pt jump shot from 27 ft,14,16
33,1,7:06.0,Defensive rebound by R. Gay,,14,16
34,1,7:03.0,Turnover by R. Gay (lost ball; steal by D. Cousins),,14,16
35,1,6:52.0,,K. Thompson makes 2-pt dunk from 1 ft (assist by D. Cousins),14,18
36,1,6:42.0,R. Gay misses 3-pt jump shot from 23 ft,,14,18
37,1,6:40.0,Offensive rebound by J. Poeltl,,14,18
38,1,6:37.0,M. Belinelli makes 3-pt jump shot from 28 ft (assist by P. Mills),,17,18
39,1,6:22.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by D. Bertāns),17,18
40,1,6:21.0,Defensive rebound by P. Mills,,17,18
41,1,6:17.0,P. Mills makes 3-pt jump shot from 29 ft,,20,18
42,1,6:17.0,,Golden State full timeout,20,18
43,1,6:17.0,D. Cunningham enters the game for R. Gay,,20,18
44,1,6:17.0,,A. Iguodala enters the game for D. Cousins,20,18
45,1,6:17.0,,K. Looney enters the game for D. Green,20,18
46,1,6:07.0,,S. Curry misses 2-pt jump shot from 19 ft,20,18
47,1,6:05.0,Defensive rebound by D. Bertāns,,20,18
48,1,6:01.0,M. Belinelli misses 3-pt jump shot from 28 ft,,20,18
49,1,5:59.0,,Defensive rebound by S. Curry,20,18
50,1,5:44.0,,K. Thompson makes 3-pt jump shot from 25 ft,20,21
51,1,5:29.0,J. Poeltl makes 2-pt dunk from 4 ft (assist by P. Mills),,22,21
52,1,5:22.0,,Shooting foul by J. Poeltl (drawn by S. Curry),22,21
53,1,5:22.0,,S. Curry makes free throw 1 of 2,22,22
54,1,5:22.0,B. Forbes enters the game for P. Mills,,22,22
55,1,5:22.0,,S. Curry makes free throw 2 of 2,22,23
56,1,5:02.0,M. Belinelli makes 3-pt jump shot from 22 ft (assist by J. Poeltl),,25,23
57,1,5:02.0,Shooting foul by K. Durant (drawn by M. Belinelli),,25,23
58,1,5:02.0,M. Belinelli makes free throw 1 of 1,,26,23
59,1,4:49.0,,K. Durant makes 2-pt jump shot from 14 ft,26,25
60,1,4:36.0,M. Belinelli misses 3-pt jump shot from 26 ft,,26,25
61,1,4:34.0,,Defensive rebound by K. Durant,26,25
62,1,4:28.0,,K. Durant makes 3-pt jump shot from 27 ft,26,28
63,1,4:04.0,D. Bertāns misses 3-pt jump shot from 27 ft,,26,28
64,1,4:02.0,,Defensive rebound by A. Iguodala,26,28
65,1,3:50.0,,K. Durant misses 3-pt jump shot from 26 ft,26,28
66,1,3:48.0,Defensive rebound by M. Belinelli,,26,28
67,1,3:38.0,B. Forbes misses 3-pt jump shot from 26 ft,,26,28
68,1,3:33.0,,Defensive rebound by A. Iguodala,26,28
69,1,3:28.0,,K. Durant misses 2-pt jump shot from 6 ft,26,28
70,1,3:27.0,Defensive rebound by B. Forbes,,26,28
71,1,3:17.0,M. Belinelli misses 2-pt jump shot from 21 ft,,26,28
72,1,3:16.0,Offensive rebound by Team,,26,28
73,1,3:16.0,L. Walker enters the game for D. Bertāns,,26,28
74,1,3:16.0,,A. McKinnie enters the game for K. Thompson,26,28
75,1,3:16.0,B. Forbes misses 3-pt jump shot from 28 ft,,26,28
76,1,3:14.0,,Defensive rebound by A. McKinnie,26,28
77,1,3:01.0,,S. Curry misses 2-pt jump shot from 22 ft,26,28
78,1,2:59.0,,Offensive rebound by A. McKinnie,26,28
79,1,2:55.0,,Turnover by A. McKinnie (bad pass; steal by B. Forbes),26,28
80,1,2:50.0,L. Walker misses 3-pt jump shot from 25 ft,,26,28
