,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
0,1,11:39.0,,Shooting foul by J. Randle (drawn by A. Drummond),0,0
1,1,11:39.0,,A. Drummond misses free throw 1 of 2,0,0
2,1,11:39.0,,Offensive rebound by Team,0,0
3,1,11:39.0,,A. Drummond makes free throw 2 of 2,0,1
4,1,11:18.0,J. Holiday misses 2-pt jump shot from 14 ft (block by B. Brown),,0,1
5,1,11:14.0,,Defensive rebound by G. Robinson,0,1
6,1,11:01.0,,A. Drummond misses 3-pt jump shot from 26 ft,0,1
7,1,10:57.0,Defensive rebound by A. Davis,,0,1
8,1,10:52.0,Shooting foul by A. Drummond (drawn by A. Davis),,0,1
9,1,10:52.0,A. Davis makes free throw 1 of 2,,1,1
10,1,10:52.0,A. Davis misses free throw 2 of 2,,1,1
11,1,10:50.0,,Defensive rebound by A. Drummond,1,1
12,1,10:39.0,,A. Drummond misses 2-pt layup from 4 ft (block by A. Davis),1,1
13,1,10:36.0,Defensive rebound by S. Hill,,1,1
14,1,10:32.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Randle),,4,1
15,1,10:12.0,,B. Griffin makes 2-pt layup from 3 ft (assist by R. Jackson),4,3
16,1,10:04.0,J. Randle misses 3-pt jump shot from 25 ft,,4,3
17,1,10:02.0,,Defensive rebound by B. Brown,4,3
18,1,9:58.0,,B. Brown makes 2-pt layup from 2 ft,4,5
19,1,9:44.0,Personal foul by B. Brown (drawn by J. Randle),,4,5
20,1,9:42.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by T. Frazier),,7,5
21,1,9:29.0,,B. Griffin misses 3-pt jump shot from 25 ft,7,5
22,1,9:17.0,,Offensive rebound by A. Drummond,7,5
23,1,9:16.0,,A. Drummond makes 2-pt layup from 1 ft,7,7
24,1,9:05.0,J. Randle makes 2-pt hook shot from 7 ft,,9,7
25,1,8:55.0,,Turnover by A. Drummond (lost ball; steal by T. Frazier),9,7
26,1,8:46.0,J. Randle misses 2-pt hook shot from 9 ft,,9,7
27,1,8:41.0,Offensive rebound by A. Davis,,9,7
28,1,8:41.0,A. Davis makes 2-pt dunk at rim,,11,7
29,1,8:26.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),11,9
30,1,8:11.0,J. Holiday makes 2-pt layup from 4 ft (assist by T. Frazier),,13,9
31,1,8:02.0,,B. Brown misses 3-pt jump shot from 26 ft,13,9
32,1,8:02.0,Defensive rebound by J. Holiday,,13,9
33,1,7:41.0,J. Randle makes 2-pt dunk from 1 ft (assist by T. Frazier),,15,9
34,1,7:33.0,,Detroit full timeout,15,9
35,1,7:15.0,,B. Brown makes 2-pt layup from 2 ft (assist by A. Drummond),15,11
36,1,6:58.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by A. Davis),,17,11
37,1,6:40.0,,B. Griffin misses 2-pt layup from 9 ft (block by A. Davis),17,11
38,1,6:40.0,Defensive rebound by S. Hill,,17,11
39,1,6:27.0,New Orleans full timeout,,17,11
40,1,6:27.0,N. Mirotić enters the game for A. Davis,,17,11
41,1,6:27.0,,L. Galloway enters the game for B. Brown,17,11
42,1,6:22.0,N. Mirotić misses 3-pt jump shot from 24 ft,,17,11
43,1,6:18.0,,Defensive rebound by A. Drummond,17,11
44,1,6:09.0,,R. Jackson misses 3-pt jump shot from 25 ft,17,11
45,1,6:06.0,Defensive rebound by T. Frazier,,17,11
46,1,5:56.0,Turnover by S. Hill (bad pass; steal by B. Griffin),,17,11
47,1,5:49.0,,B. Griffin makes 2-pt hook shot from 4 ft (assist by R. Jackson),17,13
48,1,5:28.0,N. Mirotić makes 2-pt hook shot from 8 ft,,19,13
49,1,5:17.0,,Turnover by B. Griffin (bad pass),19,13
50,1,5:17.0,E. Moore enters the game for T. Frazier,,19,13
51,1,5:04.0,N. Mirotić misses 3-pt jump shot from 25 ft,,19,13
52,1,5:00.0,,Defensive rebound by A. Drummond,19,13
53,1,4:52.0,,B. Griffin misses 3-pt jump shot from 26 ft,19,13
54,1,4:49.0,Defensive rebound by S. Hill,,19,13
55,1,4:41.0,N. Mirotić misses 2-pt layup from 2 ft,,19,13
56,1,4:39.0,,Defensive rebound by A. Drummond,19,13
57,1,4:36.0,,Turnover by A. Drummond (bad pass; steal by J. Holiday),19,13
58,1,4:30.0,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),,21,13
59,1,4:24.0,,Personal foul by N. Mirotić (drawn by B. Griffin),21,13
60,1,4:24.0,C. Diallo enters the game for J. Randle,,21,13
61,1,4:21.0,Violation by Team (kicked ball),,21,13
62,1,4:14.0,,B. Griffin misses 2-pt jump shot from 12 ft,21,13
63,1,4:09.0,Defensive rebound by C. Diallo,,21,13
64,1,4:02.0,J. Holiday misses 3-pt jump shot from 26 ft,,21,13
65,1,4:01.0,Offensive rebound by C. Diallo,,21,13
66,1,3:53.0,C. Diallo makes 2-pt layup from 4 ft (assist by J. Holiday),,23,13
67,1,3:29.0,,B. Griffin makes 2-pt hook shot from 7 ft,23,15
68,1,3:18.0,C. Diallo makes 2-pt layup from 1 ft (assist by J. Holiday),,25,15
69,1,3:18.0,,L. Kennard enters the game for G. Robinson,25,15
70,1,2:59.0,,L. Galloway misses 3-pt jump shot from 26 ft,25,15
71,1,2:53.0,Defensive rebound by J. Holiday,,25,15
72,1,2:50.0,Turnover by C. Diallo (bad pass),,25,15
73,1,2:38.0,,R. Jackson misses 3-pt jump shot from 26 ft,25,15
74,1,2:34.0,Defensive rebound by C. Diallo,,25,15
75,1,2:29.0,N. Mirotić misses 3-pt jump shot from 26 ft,,25,15
76,1,2:26.0,,Defensive rebound by L. Kennard,25,15
77,1,2:12.0,,A. Drummond misses 2-pt layup from 3 ft (block by N. Mirotić),25,15
78,1,2:09.0,,Offensive rebound by A. Drummond,25,15
79,1,2:09.0,,A. Drummond misses 2-pt layup from 4 ft,25,15
80,1,2:09.0,,Offensive rebound by A. Drummond,25,15
81,1,2:09.0,,A. Drummond misses 2-pt layup from 2 ft,25,15
82,1,2:07.0,Defensive rebound by C. Diallo,,25,15
