,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:46.0,,Turnover by A. Rivers (bad pass; steal by N. Jokić),0,0
1,1,11:41.0,N. Jokić misses 2-pt jump shot from 10 ft,,0,0
2,1,11:37.0,,Defensive rebound by D. House,0,0
3,1,11:30.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
4,1,11:26.0,Defensive rebound by J. Murray,,0,0
5,1,11:15.0,T. Craig misses 3-pt jump shot from 24 ft,,0,0
6,1,11:12.0,,Defensive rebound by C. Capela,0,0
7,1,10:58.0,,A. Rivers misses 3-pt jump shot from 25 ft,0,0
8,1,10:56.0,,Offensive rebound by Team,0,0
9,1,10:50.0,,P. Tucker misses 3-pt jump shot from 23 ft,0,0
10,1,10:48.0,Defensive rebound by P. Millsap,,0,0
11,1,10:26.0,N. Jokić misses 2-pt jump shot from 9 ft,,0,0
12,1,10:24.0,Offensive rebound by N. Jokić,,0,0
13,1,10:22.0,N. Jokić makes 2-pt jump shot from 6 ft,,2,0
14,1,10:14.0,,Shooting foul by J. Murray (drawn by J. Harden),2,0
15,1,10:14.0,,J. Harden makes free throw 1 of 2,2,1
16,1,10:14.0,,J. Harden makes free throw 2 of 2,2,2
17,1,9:55.0,N. Jokić misses 2-pt layup from 1 ft,,2,2
18,1,9:53.0,,Defensive rebound by C. Capela,2,2
19,1,9:50.0,,Turnover by J. Harden (bad pass),2,2
20,1,9:44.0,G. Harris makes 3-pt jump shot from 25 ft (assist by J. Murray),,5,2
21,1,9:28.0,,Turnover by A. Rivers (traveling),5,2
22,1,9:07.0,T. Craig misses 3-pt jump shot from 26 ft,,5,2
23,1,9:05.0,,Defensive rebound by C. Capela,5,2
24,1,8:57.0,,J. Harden misses 3-pt jump shot from 26 ft,5,2
25,1,8:54.0,Defensive rebound by N. Jokić,,5,2
26,1,8:41.0,Turnover by J. Murray (bad pass; steal by P. Tucker),,5,2
27,1,8:38.0,,C. Capela misses 2-pt layup from 2 ft (block by N. Jokić),5,2
28,1,8:36.0,Defensive rebound by G. Harris,,5,2
29,1,8:31.0,Personal foul by A. Rivers (drawn by T. Craig),,5,2
30,1,8:26.0,J. Murray makes 2-pt jump shot from 13 ft (assist by N. Jokić),,7,2
31,1,8:22.0,,C. Capela makes 2-pt layup at rim (assist by J. Harden),7,4
32,1,8:22.0,,Shooting foul by G. Harris (drawn by C. Capela),7,4
33,1,8:22.0,,C. Capela makes free throw 1 of 1,7,5
34,1,8:07.0,Turnover by J. Murray (bad pass),,7,5
35,1,7:50.0,,C. Capela misses 2-pt hook shot from 5 ft,7,5
36,1,7:48.0,Defensive rebound by N. Jokić,,7,5
37,1,7:46.0,Turnover by N. Jokić (bad pass),,7,5
38,1,7:35.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. House),7,8
39,1,7:22.0,Turnover by N. Jokić (bad pass),,7,8
40,1,7:09.0,,Turnover by J. Harden (lost ball),7,8
41,1,7:09.0,,Loose ball foul by J. Harden (drawn by P. Millsap),7,8
42,1,6:59.0,N. Jokić misses 2-pt jump shot from 19 ft,,7,8
43,1,6:55.0,,Defensive rebound by C. Capela,7,8
44,1,6:50.0,,Shooting foul by P. Millsap (drawn by J. Harden),7,8
45,1,6:50.0,,Houston full timeout,7,8
46,1,6:50.0,,G. Green enters the game for D. House,7,8
47,1,6:50.0,,J. Harden makes free throw 1 of 2,7,9
48,1,6:50.0,,J. Harden makes free throw 2 of 2,7,10
49,1,6:40.0,G. Harris misses 2-pt layup from 1 ft (block by P. Tucker),,7,10
50,1,6:39.0,Offensive rebound by Team,,7,10
51,1,6:27.0,G. Harris misses 2-pt jump shot from 21 ft,,7,10
52,1,6:25.0,Offensive rebound by P. Millsap,,7,10
53,1,6:24.0,G. Harris misses 3-pt jump shot from 26 ft,,7,10
54,1,6:22.0,Offensive rebound by Team,,7,10
55,1,6:22.0,,Loose ball foul by J. Harden (drawn by N. Jokić),7,10
56,1,6:09.0,N. Jokić makes 3-pt jump shot from 27 ft (assist by P. Millsap),,10,10
57,1,6:00.0,,Offensive foul by P. Tucker (drawn by T. Craig),10,10
58,1,6:00.0,,Turnover by P. Tucker (offensive foul),10,10
59,1,5:49.0,N. Jokić makes 2-pt hook shot from 4 ft (assist by G. Harris),,12,10
60,1,5:31.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by J. Harden),12,13
61,1,5:15.0,Shooting foul by G. Green (drawn by G. Harris),,12,13
62,1,5:15.0,G. Harris makes free throw 1 of 2,,13,13
63,1,5:15.0,,J. Ennis enters the game for A. Rivers,13,13
64,1,5:15.0,G. Harris makes free throw 2 of 2,,14,13
65,1,5:02.0,,G. Green misses 3-pt jump shot from 23 ft,14,13
66,1,4:57.0,Defensive rebound by N. Jokić,,14,13
67,1,4:45.0,N. Jokić makes 2-pt jump shot from 16 ft,,16,13
68,1,4:30.0,,C. Capela makes 2-pt layup at rim (assist by J. Harden),16,15
69,1,4:08.0,P. Millsap makes 2-pt jump shot from 3 ft (assist by N. Jokić),,18,15
70,1,3:57.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Ennis),18,17
71,1,3:43.0,J. Murray misses 2-pt layup from 1 ft,,18,17
72,1,3:40.0,Offensive rebound by N. Jokić,,18,17
73,1,3:38.0,N. Jokić makes 2-pt layup from 2 ft,,20,17
74,1,3:22.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),20,19
75,1,3:11.0,Turnover by N. Jokić (bad pass; steal by P. Tucker),,20,19
76,1,3:04.0,,J. Ennis misses 3-pt jump shot from 24 ft,20,19
77,1,3:00.0,Defensive rebound by N. Jokić,,20,19
78,1,2:54.0,J. Murray misses 3-pt jump shot from 25 ft,,20,19
79,1,2:51.0,,Defensive rebound by C. Capela,20,19
80,1,2:42.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by J. Harden),20,22
81,1,2:41.0,Denver full timeout,,20,22
82,1,2:41.0,M. Beasley enters the game for T. Craig,,20,22
83,1,2:41.0,M. Morris enters the game for N. Jokić,,20,22
84,1,2:41.0,M. Plumlee enters the game for J. Murray,,20,22
85,1,2:41.0,,N. Hilário enters the game for C. Capela,20,22
86,1,2:41.0,,B. Knight enters the game for J. Ennis,20,22
87,1,2:41.0,,A. Rivers enters the game for J. Harden,20,22
88,1,2:30.0,Shooting foul by N. Hilário (drawn by P. Millsap),,20,22
89,1,2:30.0,P. Millsap makes free throw 1 of 2,,21,22
90,1,2:30.0,J. Hernangómez enters the game for G. Harris,,21,22
91,1,2:30.0,P. Millsap makes free throw 2 of 2,,22,22
92,1,2:19.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by A. Rivers),22,25
93,1,2:04.0,M. Beasley makes 2-pt jump shot from 15 ft,,24,25
94,1,1:43.0,,Shooting foul by M. Plumlee (drawn by N. Hilário),24,25
95,1,1:43.0,,N. Hilário makes free throw 1 of 2,24,26
96,1,1:43.0,T. Lyles enters the game for P. Millsap,,24,26
97,1,1:43.0,,D. House enters the game for P. Tucker,24,26
98,1,1:43.0,,N. Hilário makes free throw 2 of 2,24,27
99,1,1:38.0,M. Beasley misses 3-pt jump shot from 23 ft,,24,27
100,1,1:35.0,,Defensive rebound by G. Green,24,27
101,1,1:21.0,,B. Knight misses 3-pt jump shot from 25 ft,24,27
102,1,1:18.0,Defensive rebound by M. Beasley,,24,27
103,1,1:13.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,27,27
104,1,1:00.0,,Shooting foul by T. Lyles (drawn by D. House),27,27
105,1,1:00.0,,D. House makes free throw 1 of 3,27,28
106,1,1:00.0,,D. House makes free throw 2 of 3,27,29
107,1,1:00.0,,D. House makes free throw 3 of 3,27,30
108,1,0:44.0,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Lyles),,30,30
109,1,0:37.0,,Shooting foul by M. Morris (drawn by G. Green),30,30
110,1,0:37.0,,G. Green makes free throw 1 of 3,30,31
111,1,0:37.0,,G. Green makes free throw 2 of 3,30,32
112,1,0:37.0,,G. Green makes free throw 3 of 3,30,33
113,1,0:30.0,M. Morris makes 2-pt jump shot from 17 ft,,32,33
114,1,0:30.0,Shooting foul by B. Knight (drawn by M. Morris),,32,33
115,1,0:30.0,M. Morris makes free throw 1 of 1,,33,33
116,1,0:11.0,,A. Rivers misses 3-pt jump shot from 26 ft,33,33
117,1,0:09.0,Defensive rebound by M. Morris,,33,33
118,1,0:03.0,M. Morris makes 2-pt jump shot from 11 ft,,35,33
119,2,11:48.0,J. Hernangómez misses 3-pt jump shot from 24 ft,,35,33
120,2,11:45.0,,Defensive rebound by D. House,35,33
121,2,11:34.0,,G. Green makes 3-pt jump shot from 23 ft (assist by A. Rivers),35,36
122,2,11:15.0,T. Lyles misses 3-pt jump shot from 25 ft,,35,36
123,2,11:13.0,,Defensive rebound by A. Rivers,35,36
124,2,11:02.0,,Turnover by D. House (lost ball; steal by M. Morris),35,36
125,2,10:55.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,35,36
126,2,10:52.0,,Defensive rebound by N. Hilário,35,36
127,2,10:43.0,,Turnover by G. Green (lost ball; steal by M. Plumlee),35,36
128,2,10:39.0,M. Morris makes 2-pt layup from 1 ft (assist by M. Beasley),,37,36
129,2,10:32.0,,Shooting foul by M. Plumlee (drawn by N. Hilário),37,36
130,2,10:32.0,,N. Hilário misses free throw 1 of 2,37,36
131,2,10:32.0,,Offensive rebound by Team,37,36
132,2,10:32.0,,J. Ennis enters the game for G. Green,37,36
133,2,10:32.0,,N. Hilário makes free throw 2 of 2,37,37
134,2,10:20.0,Personal foul by A. Rivers (drawn by T. Lyles),,37,37
135,2,10:11.0,M. Morris makes 2-pt jump shot from 12 ft (assist by J. Hernangómez),,39,37
136,2,9:51.0,,N. Hilário makes 2-pt hook shot from 4 ft (assist by D. House),39,39
137,2,9:29.0,T. Lyles misses 2-pt jump shot from 12 ft,,39,39
138,2,9:29.0,Offensive rebound by Team,,39,39
139,2,9:29.0,,Loose ball foul by B. Knight (drawn by T. Lyles),39,39
140,2,9:26.0,Personal foul by N. Hilário (drawn by M. Plumlee),,39,39
141,2,9:26.0,N. Jokić enters the game for M. Plumlee,,39,39
142,2,9:20.0,T. Lyles makes 2-pt dunk from 1 ft (assist by J. Hernangómez),,41,39
143,2,9:04.0,,B. Knight misses 3-pt jump shot from 26 ft,41,39
144,2,9:01.0,,Offensive rebound by N. Hilário,41,39
145,2,8:52.0,,Turnover by D. House (bad pass; steal by M. Morris),41,39
146,2,8:39.0,M. Beasley makes 2-pt layup from 1 ft (assist by N. Jokić),,43,39
147,2,8:39.0,,Houston full timeout,43,39
148,2,8:39.0,,C. Capela enters the game for N. Hilário,43,39
149,2,8:39.0,,J. Harden enters the game for D. House,43,39
150,2,8:39.0,,P. Tucker enters the game for B. Knight,43,39
151,2,8:28.0,,Shooting foul by M. Morris (drawn by A. Rivers),43,39
152,2,8:28.0,,A. Rivers misses free throw 1 of 2,43,39
153,2,8:28.0,,Offensive rebound by Team,43,39
