,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
0,1,11:46.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,0,0
1,1,11:44.0,,Defensive rebound by R. Gobert,0,0
2,1,11:33.0,,R. Rubio misses 2-pt layup from 4 ft,0,0
3,1,11:30.0,Defensive rebound by N. Mirotić,,0,0
4,1,11:16.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,2,0
5,1,11:05.0,,D. Mitchell misses 2-pt jump shot from 8 ft (block by B. Lopez),2,0
6,1,11:03.0,Defensive rebound by B. Lopez,,2,0
7,1,10:52.0,K. Middleton misses 2-pt layup from 2 ft,,2,0
8,1,10:49.0,Offensive rebound by K. Middleton,,2,0
9,1,10:49.0,K. Middleton misses 2-pt layup from 3 ft,,2,0
10,1,10:49.0,,Defensive rebound by J. Ingles,2,0
11,1,10:33.0,,Turnover by D. Mitchell (lost ball; steal by E. İlyasova),2,0
12,1,10:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,4,0
13,1,10:14.0,,Personal foul by G. Antetokounmpo (drawn by R. Gobert),4,0
14,1,10:07.0,,Turnover by J. Ingles (offensive foul),4,0
15,1,10:07.0,,Offensive foul by J. Ingles (drawn by E. İlyasova),4,0
16,1,9:52.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft,,6,0
17,1,9:41.0,,D. Favors misses 2-pt dunk from 3 ft (block by B. Lopez),6,0
18,1,9:41.0,,Offensive rebound by R. Gobert,6,0
19,1,9:41.0,,Shooting foul by E. İlyasova (drawn by R. Gobert),6,0
20,1,9:41.0,,R. Gobert misses free throw 1 of 2,6,0
21,1,9:41.0,,Offensive rebound by Team,6,0
22,1,9:41.0,,R. Gobert misses free throw 2 of 2,6,0
23,1,9:39.0,Defensive rebound by G. Antetokounmpo,,6,0
24,1,9:25.0,K. Middleton makes 2-pt layup from 3 ft,,8,0
25,1,9:25.0,,Utah full timeout,8,0
26,1,9:14.0,,D. Mitchell misses 3-pt jump shot from 25 ft,8,0
27,1,9:09.0,Defensive rebound by K. Middleton,,8,0
28,1,9:04.0,K. Middleton makes 3-pt jump shot from 25 ft,,11,0
29,1,8:49.0,,J. Ingles misses 2-pt layup from 4 ft (block by B. Lopez),11,0
30,1,8:49.0,,Offensive rebound by Team,11,0
31,1,8:49.0,,J. Crowder enters the game for D. Favors,11,0
32,1,8:41.0,,Shooting foul by E. İlyasova (drawn by D. Mitchell),11,0
33,1,8:41.0,,D. Mitchell makes free throw 1 of 2,11,1
34,1,8:41.0,,D. Mitchell makes free throw 2 of 2,11,2
35,1,8:21.0,K. Middleton makes 2-pt jump shot from 13 ft,,13,2
36,1,8:08.0,,R. Rubio misses 2-pt jump shot from 4 ft,13,2
37,1,8:08.0,,Offensive rebound by R. Gobert,13,2
38,1,8:08.0,,Shooting foul by B. Lopez (drawn by R. Gobert),13,2
39,1,8:08.0,,Offensive rebound by Team,13,2
40,1,8:08.0,,R. Gobert misses free throw 1 of 2,13,2
41,1,8:08.0,P. Connaughton enters the game for E. İlyasova,,13,2
42,1,8:08.0,,R. Gobert makes free throw 2 of 2,13,3
43,1,7:52.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,16,3
44,1,7:41.0,,R. Gobert misses 2-pt layup from 4 ft,16,3
45,1,7:39.0,Defensive rebound by B. Lopez,,16,3
46,1,7:29.0,Turnover by K. Middleton (bad pass; steal by J. Crowder),,16,3
47,1,7:21.0,,J. Ingles makes 3-pt jump shot from 24 ft,16,6
48,1,7:10.0,Personal foul by R. Rubio (drawn by P. Connaughton),,16,6
49,1,7:10.0,,K. Korver enters the game for R. Rubio,16,6
50,1,7:06.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,16,6
51,1,7:03.0,,Defensive rebound by R. Gobert,16,6
52,1,6:52.0,,J. Ingles misses 2-pt layup from 2 ft,16,6
53,1,6:50.0,,Offensive rebound by R. Gobert,16,6
54,1,6:48.0,,R. Gobert misses 2-pt layup from 3 ft (block by B. Lopez),16,6
55,1,6:45.0,,J. Ingles misses 2-pt layup from 4 ft (block by B. Lopez),16,6
56,1,6:48.0,,Offensive rebound by J. Ingles,16,6
57,1,6:44.0,Defensive rebound by K. Middleton,,16,6
58,1,6:44.0,Personal foul by D. Mitchell (drawn by K. Middleton),,16,6
59,1,6:36.0,N. Mirotić misses 3-pt jump shot from 28 ft,,16,6
60,1,6:33.0,,Defensive rebound by R. Gobert,16,6
61,1,6:21.0,,R. Gobert misses 2-pt dunk from 2 ft (block by B. Lopez),16,6
62,1,6:19.0,Defensive rebound by G. Antetokounmpo,,16,6
63,1,6:17.0,Shooting foul by J. Crowder (drawn by G. Antetokounmpo),,16,6
64,1,6:17.0,D. Wilson enters the game for N. Mirotić,,16,6
65,1,6:17.0,,R. O'Neale enters the game for D. Mitchell,16,6
66,1,6:17.0,G. Antetokounmpo makes free throw 1 of 2,,17,6
67,1,6:17.0,G. Antetokounmpo makes free throw 2 of 2,,18,6
68,1,6:10.0,,K. Korver misses 3-pt jump shot from 25 ft (block by P. Connaughton),18,6
69,1,6:06.0,,Offensive rebound by K. Korver,18,6
70,1,6:05.0,,J. Ingles misses 3-pt jump shot from 25 ft,18,6
71,1,6:03.0,Defensive rebound by G. Antetokounmpo,,18,6
72,1,5:58.0,P. Connaughton misses 3-pt jump shot from 23 ft,,18,6
73,1,5:55.0,Offensive rebound by P. Connaughton,,18,6
74,1,5:53.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by P. Connaughton),,20,6
75,1,5:38.0,,Turnover by R. O'Neale (step out of bounds),20,6
76,1,5:38.0,I. Canaan enters the game for G. Antetokounmpo,,20,6
77,1,5:28.0,K. Middleton misses 3-pt jump shot from 25 ft,,20,6
78,1,5:25.0,,Defensive rebound by R. O'Neale,20,6
79,1,5:20.0,,Turnover by J. Ingles (offensive foul),20,6
80,1,5:20.0,,Offensive foul by J. Ingles (drawn by P. Connaughton),20,6
81,1,5:20.0,,D. Favors enters the game for R. Gobert,20,6
82,1,5:20.0,,D. Mitchell enters the game for J. Ingles,20,6
83,1,4:58.0,P. Connaughton misses 3-pt jump shot from 26 ft,,20,6
84,1,4:54.0,,Defensive rebound by D. Favors,20,6
85,1,4:51.0,,D. Mitchell makes 2-pt layup from 3 ft,20,8
86,1,4:30.0,Turnover by K. Middleton (bad pass; steal by J. Crowder),,20,8
87,1,4:27.0,,Offensive foul by J. Crowder (drawn by I. Canaan),20,8
88,1,4:27.0,,Turnover by J. Crowder (offensive foul),20,8
89,1,4:27.0,Milwaukee full timeout,,20,8
90,1,4:27.0,T. Snell enters the game for K. Middleton,,20,8
91,1,4:16.0,I. Canaan misses 3-pt jump shot from 27 ft,,20,8
92,1,4:14.0,,Defensive rebound by Team,20,8
93,1,4:03.0,,K. Korver misses 2-pt jump shot from 17 ft,20,8
94,1,3:59.0,Defensive rebound by D. Wilson,,20,8
95,1,3:41.0,D. Wilson misses 3-pt jump shot from 26 ft,,20,8
96,1,3:37.0,,Defensive rebound by J. Crowder,20,8
97,1,3:30.0,,D. Mitchell makes 2-pt jump shot from 8 ft,20,10
98,1,3:13.0,P. Connaughton misses 2-pt dunk from 2 ft,,20,10
99,1,3:12.0,,Defensive rebound by D. Favors,20,10
100,1,3:06.0,,D. Mitchell misses 2-pt jump shot from 5 ft,20,10
101,1,3:05.0,,Offensive rebound by D. Favors,20,10
102,1,3:01.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Crowder),20,12
103,1,2:46.0,P. Connaughton misses 3-pt jump shot from 25 ft,,20,12
104,1,2:44.0,,Defensive rebound by D. Favors,20,12
105,1,2:29.0,,J. Crowder misses 2-pt jump shot from 21 ft,20,12
106,1,2:27.0,Defensive rebound by P. Connaughton,,20,12
107,1,2:16.0,Turnover by B. Lopez (bad pass),,20,12
108,1,2:16.0,G. Antetokounmpo enters the game for I. Canaan,,20,12
109,1,2:16.0,C. Wood enters the game for B. Lopez,,20,12
110,1,2:02.0,,Shooting foul by T. Snell (drawn by D. Mitchell),20,12
111,1,2:02.0,,D. Mitchell makes free throw 1 of 2,20,13
112,1,2:02.0,,D. Mitchell makes free throw 2 of 2,20,14
113,1,1:41.0,C. Wood makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,23,14
114,1,1:30.0,,D. Mitchell makes 3-pt jump shot from 25 ft,23,17
115,1,1:18.0,P. Connaughton makes 2-pt jump shot from 9 ft (assist by G. Antetokounmpo),,25,17
116,1,1:01.0,,R. O'Neale makes 3-pt jump shot from 22 ft (assist by J. Crowder),25,20
117,1,0:53.0,Shooting foul by D. Favors (drawn by G. Antetokounmpo),,25,20
118,1,0:53.0,G. Antetokounmpo misses free throw 1 of 2,,25,20
119,1,0:53.0,Offensive rebound by Team,,25,20
120,1,0:53.0,N. Mirotić enters the game for D. Wilson,,25,20
121,1,0:53.0,G. Antetokounmpo makes free throw 2 of 2,,26,20
122,1,0:43.0,,D. Mitchell misses 2-pt jump shot from 14 ft,26,20
123,1,0:41.0,Defensive rebound by G. Antetokounmpo,,26,20
124,1,0:32.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Korver),,26,20
125,1,0:12.0,,J. Crowder misses 3-pt jump shot from 26 ft,26,20
126,1,0:06.0,,Offensive rebound by J. Crowder,26,20
127,1,0:03.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Crowder),26,23
128,1,0:00.0,N. Mirotić misses 3-pt jump shot from 62 ft,,26,23
129,1,0:00.0,Offensive rebound by Team,,26,23
130,2,11:50.0,,Turnover by K. Korver (out of bounds lost ball),26,23
131,2,11:35.0,K. Middleton misses 2-pt jump shot from 16 ft (block by R. O'Neale),,26,23
132,2,11:32.0,,Defensive rebound by R. O'Neale,26,23
133,2,11:22.0,,D. Mitchell misses 3-pt jump shot from 26 ft,26,23
134,2,11:18.0,Defensive rebound by C. Wood,,26,23
135,2,11:08.0,C. Wood misses 2-pt jump shot from 5 ft,,26,23
136,2,11:06.0,,Defensive rebound by D. Favors,26,23
137,2,10:59.0,,D. Mitchell misses 3-pt jump shot from 25 ft,26,23
138,2,10:55.0,Defensive rebound by G. Antetokounmpo,,26,23
139,2,10:49.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,29,23
140,2,10:23.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Mitchell),29,25
141,2,10:06.0,K. Middleton misses 2-pt layup from 4 ft (block by R. O'Neale),,29,25
142,2,10:06.0,Offensive rebound by Team,,29,25
143,2,10:06.0,E. İlyasova enters the game for C. Wood,,29,25
144,2,10:06.0,,J. Ingles enters the game for J. Crowder,29,25
145,2,10:06.0,,T. Sefolosha enters the game for D. Mitchell,29,25
146,2,10:00.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Ingles),,29,25
147,2,9:52.0,,R. O'Neale makes 2-pt layup from 2 ft,29,27
148,2,9:44.0,N. Mirotić misses 3-pt jump shot from 29 ft,,29,27
149,2,9:41.0,,Defensive rebound by D. Favors,29,27
150,2,9:33.0,,J. Ingles makes 2-pt layup from 3 ft,29,29
151,2,9:33.0,Milwaukee full timeout,,29,29
152,2,9:18.0,Turnover by N. Mirotić (bad pass; steal by K. Korver),,29,29
153,2,8:55.0,,T. Sefolosha makes 3-pt jump shot from 24 ft,29,32
154,2,8:43.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,29,32
155,2,8:39.0,Offensive rebound by E. İlyasova,,29,32
156,2,8:35.0,N. Mirotić misses 2-pt layup from 3 ft,,29,32
157,2,8:32.0,Offensive rebound by E. İlyasova,,29,32
158,2,8:32.0,E. İlyasova misses 2-pt layup from 4 ft,,29,32
159,2,8:30.0,Offensive rebound by G. Antetokounmpo,,29,32
160,2,8:29.0,G. Antetokounmpo misses 2-pt dunk from 4 ft (block by D. Favors),,29,32
161,2,8:28.0,Offensive rebound by Team,,29,32
162,2,8:28.0,I. Canaan enters the game for G. Antetokounmpo,,29,32
163,2,8:20.0,Turnover by K. Middleton (bad pass; steal by J. Ingles),,29,32
164,2,8:12.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),29,34
165,2,7:56.0,Shooting foul by R. O'Neale (drawn by K. Middleton),,29,34
166,2,7:56.0,P. Connaughton enters the game for T. Snell,,29,34
167,2,7:56.0,,R. Rubio enters the game for R. O'Neale,29,34
168,2,7:56.0,K. Middleton makes free throw 1 of 2,,30,34
169,2,7:56.0,K. Middleton makes free throw 2 of 2,,31,34
170,2,7:36.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),31,36
171,2,7:36.0,,Shooting foul by E. İlyasova (drawn by D. Favors),31,36
172,2,7:36.0,B. Lopez enters the game for E. İlyasova,,31,36
173,2,7:36.0,,D. Favors misses free throw 1 of 1,31,36
174,2,7:33.0,Defensive rebound by B. Lopez,,31,36
175,2,7:20.0,K. Middleton misses 2-pt layup from 4 ft (block by D. Favors),,31,36
176,2,7:18.0,,Defensive rebound by K. Korver,31,36
177,2,7:05.0,,Personal foul by I. Canaan (drawn by R. Rubio),31,36
178,2,7:05.0,,R. Gobert enters the game for D. Favors,31,36
179,2,6:58.0,,R. Rubio misses 3-pt jump shot from 26 ft,31,36
180,2,6:55.0,Defensive rebound by N. Mirotić,,31,36
181,2,6:50.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by K. Middleton),,34,36
182,2,6:32.0,,J. Ingles makes 3-pt jump shot from 24 ft,34,39
183,2,6:14.0,K. Middleton misses 2-pt jump shot from 7 ft,,34,39
184,2,6:11.0,K. Middleton misses 2-pt layup from 1 ft,,34,39
185,2,6:11.0,Offensive rebound by K. Middleton,,34,39
186,2,6:10.0,Offensive rebound by K. Middleton,,34,39
187,2,6:10.0,Turnover by K. Middleton (lost ball; steal by R. Rubio),,34,39
188,2,6:02.0,,Personal foul by B. Lopez (drawn by J. Ingles),34,39
189,2,6:02.0,T. Snell enters the game for K. Middleton,,34,39
190,2,6:02.0,D. Wilson enters the game for N. Mirotić,,34,39
191,2,6:02.0,,D. Mitchell enters the game for J. Ingles,34,39
192,2,5:49.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,34,39
193,2,5:47.0,,Offensive rebound by R. Rubio,34,39
194,2,5:42.0,,T. Sefolosha misses 2-pt layup from 2 ft,34,39
195,2,5:40.0,Defensive rebound by B. Lopez,,34,39
196,2,5:37.0,D. Wilson misses 3-pt jump shot from 23 ft,,34,39
197,2,5:34.0,,Defensive rebound by T. Sefolosha,34,39
198,2,5:22.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Mitchell),34,42
199,2,5:03.0,I. Canaan misses 2-pt layup from 7 ft (block by R. Gobert),,34,42
200,2,5:01.0,Offensive rebound by I. Canaan,,34,42
201,2,4:59.0,I. Canaan misses 3-pt jump shot from 23 ft,,34,42
202,2,4:57.0,,Defensive rebound by T. Sefolosha,34,42
203,2,4:46.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by R. Gobert),34,45
204,2,4:46.0,Milwaukee full timeout,,34,45
205,2,4:46.0,,J. Crowder enters the game for T. Sefolosha,34,45
206,2,4:26.0,D. Wilson misses 2-pt jump shot from 18 ft,,34,45
207,2,4:23.0,Offensive rebound by T. Snell,,34,45
208,2,4:14.0,T. Snell misses 2-pt layup from 4 ft,,34,45
209,2,4:12.0,Offensive rebound by D. Wilson,,34,45
210,2,4:11.0,Turnover by D. Wilson (lost ball; steal by J. Crowder),,34,45
211,2,4:03.0,,J. Crowder misses 3-pt jump shot from 25 ft,34,45
212,2,4:00.0,Defensive rebound by B. Lopez,,34,45
213,2,3:58.0,Milwaukee full timeout,,34,45
214,2,3:58.0,K. Middleton enters the game for T. Snell,,34,45
215,2,3:58.0,,J. Ingles enters the game for K. Korver,34,45
216,2,3:56.0,Turnover by I. Canaan (lost ball; steal by R. Rubio),,34,45
217,2,3:44.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by R. Rubio),34,47
218,2,3:29.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by I. Canaan),,37,47
219,2,3:12.0,,D. Mitchell misses 2-pt layup from 7 ft,37,47
220,2,3:09.0,,Offensive rebound by R. Gobert,37,47
221,2,3:09.0,,R. Gobert misses 2-pt layup at rim,37,47
222,2,3:09.0,,Offensive rebound by R. Gobert,37,47
223,2,3:05.0,,R. Gobert makes 2-pt layup at rim,37,49
224,2,2:59.0,Turnover by P. Connaughton (bad pass; steal by R. Rubio),,37,49
225,2,2:51.0,,R. Rubio misses 3-pt jump shot from 26 ft,37,49
226,2,2:48.0,Defensive rebound by K. Middleton,,37,49
227,2,2:39.0,K. Middleton makes 2-pt jump shot from 9 ft,,39,49
228,2,2:23.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),39,52
229,2,2:09.0,Shooting foul by J. Ingles (drawn by K. Middleton),,39,52
230,2,2:09.0,G. Antetokounmpo enters the game for I. Canaan,,39,52
231,2,2:09.0,,D. Favors enters the game for J. Crowder,39,52
232,2,2:09.0,,K. Korver enters the game for R. Gobert,39,52
233,2,2:09.0,,R. O'Neale enters the game for J. Ingles,39,52
234,2,2:09.0,K. Middleton makes free throw 1 of 2,,40,52
235,2,2:09.0,K. Middleton makes free throw 2 of 2,,41,52
236,2,1:55.0,,D. Mitchell misses 2-pt jump shot from 8 ft (block by G. Antetokounmpo),41,52
237,2,1:51.0,Defensive rebound by G. Antetokounmpo,,41,52
238,2,1:44.0,G. Antetokounmpo misses 2-pt layup from 5 ft (block by D. Mitchell),,41,52
239,2,1:42.0,,Defensive rebound by R. Rubio,41,52
240,2,1:40.0,,Personal foul by D. Wilson (drawn by R. Rubio),41,52
241,2,1:35.0,,D. Mitchell misses 3-pt jump shot from 25 ft,41,52
242,2,1:31.0,Defensive rebound by G. Antetokounmpo,,41,52
243,2,1:26.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Mitchell),,41,52
244,2,1:25.0,,Personal take foul by K. Middleton (drawn by D. Mitchell),41,52
245,2,1:25.0,,Offensive rebound by Team,41,52
246,2,1:25.0,,D. Mitchell misses free throw 1 of 2,41,52
247,2,1:25.0,,D. Mitchell makes free throw 2 of 2,41,53
248,2,1:14.0,G. Antetokounmpo makes 2-pt hook shot from 4 ft,,43,53
249,2,1:04.0,,Turnover by D. Mitchell (lost ball; steal by G. Antetokounmpo),43,53
250,2,1:04.0,Personal foul by D. Mitchell (drawn by G. Antetokounmpo),,43,53
251,2,0:49.0,K. Middleton misses 2-pt jump shot from 6 ft,,43,53
252,2,0:46.0,,Defensive rebound by R. O'Neale,43,53
253,2,0:31.0,,Turnover by D. Mitchell (bad pass),43,53
254,2,0:31.0,T. Snell enters the game for G. Antetokounmpo,,43,53
255,2,0:31.0,,J. Crowder enters the game for D. Favors,43,53
256,2,0:31.0,,R. Gobert enters the game for K. Korver,43,53
257,2,0:12.0,Shooting foul by R. O'Neale (drawn by K. Middleton),,43,53
258,2,0:12.0,K. Middleton makes free throw 1 of 3,,44,53
259,2,0:12.0,K. Middleton makes free throw 2 of 3,,45,53
260,2,0:12.0,C. Wood enters the game for B. Lopez,,45,53
261,2,0:12.0,,J. Ingles enters the game for R. O'Neale,45,53
262,2,0:12.0,,K. Korver enters the game for R. Rubio,45,53
263,2,0:12.0,K. Middleton makes free throw 3 of 3,,46,53
264,2,0:03.0,,D. Mitchell misses 2-pt jump shot from 10 ft,46,53
265,2,0:00.0,,D. Mitchell misses 2-pt jump shot from 18 ft,46,53
266,2,0:00.0,,Offensive rebound by Team,46,53
267,2,0:03.0,,Offensive rebound by D. Mitchell,46,53
268,3,11:47.0,,J. Ingles misses 2-pt jump shot from 9 ft,46,53
269,3,11:44.0,Defensive rebound by G. Antetokounmpo,,46,53
270,3,11:39.0,B. Lopez makes 3-pt jump shot from 31 ft (assist by K. Middleton),,49,53
271,3,11:22.0,,R. Rubio misses 2-pt jump shot from 14 ft,49,53
272,3,11:20.0,Defensive rebound by G. Antetokounmpo,,49,53
273,3,11:15.0,G. Antetokounmpo misses 2-pt layup from 5 ft,,49,53
274,3,11:15.0,Offensive rebound by Team,,49,53
275,3,11:10.0,B. Lopez makes 2-pt hook shot from 8 ft (assist by N. Mirotić),,51,53
276,3,10:57.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),51,55
277,3,10:42.0,Shooting foul by R. Gobert (drawn by G. Antetokounmpo),,51,55
