,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:38.0,,D. Lillard misses 3-pt jump shot from 25 ft,0,0
1,1,11:36.0,Defensive rebound by D. Ayton,,0,0
2,1,11:18.0,T. Johnson misses 2-pt jump shot from 4 ft,,0,0
3,1,11:14.0,Offensive rebound by D. Ayton,,0,0
4,1,11:14.0,D. Ayton makes 2-pt dunk at rim,,2,0
5,1,11:07.0,,J. Nurkić misses 2-pt layup from 1 ft,2,0
6,1,11:06.0,Defensive rebound by Team,,2,0
7,1,10:50.0,K. Oubre misses 3-pt jump shot from 23 ft,,2,0
8,1,10:48.0,,Defensive rebound by J. Nurkić,2,0
9,1,10:41.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),2,3
10,1,10:27.0,Shooting foul by C. McCollum (drawn by D. Booker),,2,3
11,1,10:27.0,D. Booker makes free throw 1 of 2,,3,3
12,1,10:27.0,D. Booker makes free throw 2 of 2,,4,3
13,1,10:16.0,,C. McCollum misses 3-pt jump shot from 25 ft,4,3
14,1,10:15.0,Defensive rebound by K. Oubre,,4,3
15,1,10:09.0,D. Booker misses 2-pt jump shot from 21 ft,,4,3
16,1,10:06.0,,Defensive rebound by A. Aminu,4,3
17,1,9:51.0,,A. Aminu misses 2-pt layup from 1 ft,4,3
18,1,9:50.0,Defensive rebound by K. Oubre,,4,3
19,1,9:44.0,K. Oubre misses 2-pt layup from 3 ft,,4,3
20,1,9:44.0,,Defensive rebound by M. Harkless,4,3
21,1,9:35.0,,D. Lillard misses 2-pt jump shot from 8 ft,4,3
22,1,9:32.0,Defensive rebound by T. Johnson,,4,3
23,1,9:22.0,T. Johnson makes 2-pt layup from 1 ft (assist by D. Booker),,6,3
24,1,9:10.0,,C. McCollum makes 2-pt jump shot from 14 ft,6,5
25,1,8:56.0,D. Booker misses 2-pt jump shot from 17 ft,,6,5
26,1,8:52.0,Offensive rebound by K. Oubre,,6,5
27,1,8:52.0,K. Oubre makes 2-pt layup at rim,,8,5
28,1,8:47.0,,Turnover by M. Harkless (bad pass; steal by K. Oubre),8,5
29,1,8:45.0,K. Oubre misses 2-pt layup from 2 ft (block by J. Nurkić),,8,5
30,1,8:45.0,Offensive rebound by Team,,8,5
31,1,8:38.0,D. Booker makes 2-pt jump shot from 13 ft (assist by T. Johnson),,10,5
32,1,8:23.0,,M. Harkless makes 2-pt layup from 1 ft (assist by J. Nurkić),10,7
33,1,8:16.0,D. Booker misses 2-pt layup from 4 ft (block by C. McCollum),,10,7
34,1,8:16.0,Offensive rebound by Team,,10,7
35,1,8:06.0,Turnover by D. Booker (bad pass; steal by M. Harkless),,10,7
36,1,8:02.0,,Shooting foul by D. Bender (drawn by M. Harkless),10,7
37,1,8:02.0,,M. Harkless misses free throw 1 of 2,10,7
38,1,8:02.0,,Offensive rebound by Team,10,7
39,1,8:02.0,,M. Harkless makes free throw 2 of 2,10,8
40,1,7:50.0,K. Oubre misses 2-pt layup from 2 ft,,10,8
41,1,7:49.0,Offensive rebound by K. Oubre,,10,8
42,1,7:47.0,K. Oubre misses 2-pt layup from 2 ft,,10,8
43,1,7:45.0,Offensive rebound by D. Ayton,,10,8
44,1,7:44.0,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Ayton),,13,8
45,1,7:31.0,,D. Lillard misses 2-pt hook shot from 1 ft,13,8
46,1,7:29.0,,Offensive rebound by J. Nurkić,13,8
47,1,7:29.0,,J. Nurkić misses 2-pt layup from 1 ft,13,8
48,1,7:29.0,,Offensive rebound by J. Nurkić,13,8
49,1,7:29.0,,J. Nurkić misses 2-pt layup from 1 ft,13,8
50,1,7:29.0,,Offensive rebound by J. Nurkić,13,8
51,1,7:29.0,,Shooting foul by K. Oubre (drawn by J. Nurkić),13,8
52,1,7:29.0,,J. Nurkić makes free throw 1 of 2,13,9
53,1,7:29.0,Technical foul by K. Oubre,,13,9
54,1,7:29.0,,D. Lillard makes technical free throw,13,10
55,1,7:29.0,,J. Nurkić makes free throw 2 of 2,13,11
56,1,7:14.0,D. Booker misses 3-pt jump shot from 25 ft,,13,11
57,1,7:12.0,,Defensive rebound by J. Nurkić,13,11
58,1,7:05.0,,J. Nurkić misses 2-pt layup from 2 ft,13,11
59,1,7:03.0,Defensive rebound by D. Ayton,,13,11
60,1,6:56.0,D. Ayton misses 2-pt jump shot from 16 ft,,13,11
61,1,6:54.0,,Defensive rebound by D. Lillard,13,11
62,1,6:48.0,,J. Nurkić misses 2-pt hook shot from 4 ft,13,11
63,1,6:46.0,Defensive rebound by D. Ayton,,13,11
64,1,6:33.0,D. Booker misses 2-pt jump shot from 18 ft,,13,11
