,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:42.0,D. White misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by M. Gasol,0,0
2,1,11:24.0,,M. Conley makes 2-pt jump shot from 11 ft,0,2
3,1,11:15.0,B. Forbes misses 2-pt jump shot from 7 ft (block by J. Jackson),,0,2
4,1,11:15.0,Offensive rebound by Team,,0,2
5,1,11:08.0,D. DeRozan misses 2-pt jump shot from 9 ft,,0,2
6,1,11:06.0,,Defensive rebound by M. Gasol,0,2
7,1,10:56.0,,M. Conley misses 2-pt jump shot from 16 ft,0,2
8,1,10:53.0,Defensive rebound by D. White,,0,2
9,1,10:37.0,L. Aldridge misses 2-pt jump shot from 11 ft,,0,2
10,1,10:34.0,,Defensive rebound by M. Gasol,0,2
11,1,10:28.0,,Personal foul by J. Poeltl (drawn by J. Jackson),0,2
12,1,10:18.0,,M. Conley misses 3-pt jump shot from 26 ft,0,2
13,1,10:15.0,Defensive rebound by J. Poeltl,,0,2
14,1,10:01.0,L. Aldridge misses 2-pt hook shot from 8 ft,,0,2
15,1,9:59.0,,Defensive rebound by J. Jackson,0,2
16,1,9:54.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Conley),0,5
17,1,9:39.0,D. White makes 2-pt jump shot from 5 ft (assist by D. DeRozan),,2,5
18,1,9:39.0,Shooting foul by G. Temple (drawn by D. White),,2,5
19,1,9:39.0,D. White makes free throw 1 of 1,,3,5
20,1,9:26.0,,M. Conley misses 2-pt layup from 1 ft,3,5
21,1,9:24.0,Defensive rebound by D. White,,3,5
22,1,9:17.0,Personal foul by J. Jackson (drawn by D. DeRozan),,3,5
23,1,9:11.0,B. Forbes misses 3-pt jump shot from 25 ft,,3,5
24,1,9:08.0,,Defensive rebound by M. Gasol,3,5
25,1,9:02.0,,Turnover by M. Gasol (bad pass),3,5
26,1,8:47.0,Turnover by J. Poeltl (bad pass; steal by M. Gasol),,3,5
27,1,8:42.0,,G. Temple misses 3-pt jump shot from 23 ft,3,5
28,1,8:39.0,Defensive rebound by B. Forbes,,3,5
29,1,8:24.0,Offensive foul by D. White (drawn by M. Conley),,3,5
30,1,8:24.0,Turnover by D. White (offensive foul),,3,5
31,1,8:07.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),3,7
