,QUARTER,TIME_REMAINING,MIAMI_ACTION,TORONTO_ACTION,MIAMI_SCORE,TORONTO_SCORE
0,1,11:37.0,J. Johnson makes 2-pt jump shot from 15 ft,,2,0
1,1,11:16.0,,K. Leonard makes 2-pt jump shot from 13 ft,2,2
2,1,11:02.0,J. Richardson makes 2-pt jump shot from 12 ft,,4,2
3,1,10:35.0,,Turnover by Team (shot clock),4,2
4,1,10:20.0,H. Whiteside misses 2-pt hook shot from 9 ft,,4,2
5,1,10:16.0,,Defensive rebound by J. Valančiūnas,4,2
6,1,10:12.0,,K. Lowry makes 2-pt layup from 1 ft,4,4
7,1,10:03.0,R. McGruder misses 3-pt jump shot from 27 ft,,4,4
8,1,10:02.0,,Defensive rebound by Team,4,4
9,1,10:02.0,Loose ball foul by H. Whiteside (drawn by K. Lowry),,4,4
10,1,9:40.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by H. Whiteside),4,4
11,1,9:37.0,Defensive rebound by R. McGruder,,4,4
12,1,9:33.0,R. McGruder misses 2-pt layup from 5 ft,,4,4
13,1,9:29.0,Offensive rebound by H. Whiteside,,4,4
14,1,9:29.0,H. Whiteside misses 2-pt layup at rim,,4,4
15,1,9:28.0,,Defensive rebound by K. Leonard,4,4
16,1,9:23.0,,K. Leonard misses 2-pt jump shot from 19 ft,4,4
17,1,9:23.0,,Offensive rebound by J. Valančiūnas,4,4
18,1,9:19.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft,4,6
19,1,8:55.0,J. Johnson misses 2-pt jump shot from 19 ft,,4,6
20,1,8:52.0,,Defensive rebound by Team,4,6
21,1,8:33.0,,P. Siakam makes 2-pt dunk from 1 ft,4,8
22,1,8:22.0,J. Johnson misses 2-pt hook shot from 4 ft,,4,8
23,1,8:20.0,,Defensive rebound by P. Siakam,4,8
24,1,8:15.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),4,11
25,1,7:56.0,R. McGruder misses 3-pt jump shot from 24 ft,,4,11
26,1,7:55.0,,Defensive rebound by K. Lowry,4,11
27,1,7:39.0,,Turnover by K. Leonard (back court),4,11
28,1,7:27.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,7,11
29,1,7:09.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),7,13
30,1,6:58.0,J. Johnson misses 3-pt jump shot from 25 ft,,7,13
31,1,6:55.0,,Defensive rebound by K. Leonard,7,13
32,1,6:44.0,,P. Siakam makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),7,16
33,1,6:35.0,Miami full timeout,,7,16
34,1,6:30.0,J. Richardson misses 3-pt jump shot from 26 ft,,7,16
35,1,6:27.0,,Defensive rebound by P. Siakam,7,16
36,1,6:19.0,,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),7,18
37,1,6:08.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Johnson),,10,18
38,1,6:01.0,,Personal foul by R. McGruder (drawn by K. Leonard),10,18
39,1,6:01.0,D. Wade enters the game for R. McGruder,,10,18
40,1,5:56.0,,Shooting foul by J. Richardson (drawn by K. Leonard),10,18
41,1,5:56.0,,K. Leonard makes free throw 1 of 2,10,19
42,1,5:56.0,,K. Leonard makes free throw 2 of 2,10,20
43,1,5:37.0,D. Wade makes 2-pt jump shot from 15 ft,,12,20
44,1,5:21.0,,K. Lowry misses 3-pt jump shot from 29 ft,12,20
45,1,5:18.0,Defensive rebound by H. Whiteside,,12,20
46,1,5:09.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),,14,20
47,1,5:02.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),14,22
48,1,4:39.0,D. Wade misses 2-pt jump shot from 4 ft,,14,22
49,1,4:37.0,Offensive rebound by H. Whiteside,,14,22
50,1,4:36.0,Shooting foul by K. Leonard (drawn by D. Wade),,14,22
51,1,4:36.0,D. Wade misses free throw 1 of 2,,14,22
52,1,4:36.0,Offensive rebound by Team,,14,22
53,1,4:36.0,B. Adebayo enters the game for H. Whiteside,,14,22
54,1,4:36.0,,O. Anunoby enters the game for P. Siakam,14,22
55,1,4:36.0,,S. Ibaka enters the game for J. Valančiūnas,14,22
56,1,4:36.0,D. Wade makes free throw 2 of 2,,15,22
57,1,4:19.0,,Turnover by D. Green (bad pass; steal by B. Adebayo),15,22
58,1,4:10.0,W. Ellington misses 3-pt jump shot from 25 ft,,15,22
59,1,4:07.0,,Defensive rebound by S. Ibaka,15,22
60,1,4:02.0,,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),15,24
61,1,3:51.0,B. Adebayo makes 2-pt layup from 3 ft (assist by W. Ellington),,17,24
62,1,3:46.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),17,26
63,1,3:29.0,J. Richardson misses 2-pt jump shot from 12 ft,,17,26
64,1,3:25.0,Offensive rebound by J. Richardson,,17,26
65,1,3:24.0,D. Wade makes 3-pt jump shot from 26 ft (assist by J. Richardson),,20,26
66,1,3:09.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),20,28
67,1,2:52.0,W. Ellington misses 3-pt jump shot from 24 ft,,20,28
68,1,2:50.0,,Defensive rebound by O. Anunoby,20,28
69,1,2:44.0,,Toronto full timeout,20,28
70,1,2:44.0,R. McGruder enters the game for W. Ellington,,20,28
71,1,2:44.0,K. Olynyk enters the game for J. Johnson,,20,28
72,1,2:44.0,J. Winslow enters the game for J. Richardson,,20,28
73,1,2:44.0,,C. Miles enters the game for D. Green,20,28
74,1,2:44.0,,F. VanVleet enters the game for K. Leonard,20,28
75,1,2:35.0,,C. Miles makes 3-pt jump shot from 27 ft (assist by O. Anunoby),20,31
76,1,2:15.0,D. Wade misses 2-pt layup from 2 ft,,20,31
77,1,2:14.0,Offensive rebound by B. Adebayo,,20,31
78,1,2:13.0,B. Adebayo makes 2-pt layup from 2 ft,,22,31
79,1,1:59.0,,Shooting foul by K. Olynyk (drawn by O. Anunoby),22,31
80,1,1:59.0,,O. Anunoby misses free throw 1 of 2,22,31
81,1,1:59.0,,Offensive rebound by Team,22,31
82,1,1:59.0,,O. Anunoby misses free throw 2 of 2,22,31
83,1,1:57.0,Defensive rebound by K. Olynyk,,22,31
84,1,1:49.0,Personal foul by C. Miles (drawn by D. Wade),,22,31
85,1,1:49.0,,D. Wright enters the game for K. Lowry,22,31
86,1,1:40.0,J. Winslow misses 3-pt jump shot from 26 ft,,22,31
87,1,1:37.0,,Defensive rebound by O. Anunoby,22,31
88,1,1:31.0,,F. VanVleet misses 3-pt jump shot from 26 ft,22,31
89,1,1:28.0,Defensive rebound by B. Adebayo,,22,31
90,1,1:19.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Winslow),,24,31
91,1,1:02.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by F. VanVleet),24,33
92,1,0:48.0,D. Wade makes 2-pt jump shot from 4 ft,,26,33
93,1,0:48.0,Shooting foul by O. Anunoby (drawn by D. Wade),,26,33
94,1,0:48.0,D. Wade makes free throw 1 of 1,,27,33
95,1,0:32.0,,C. Miles misses 3-pt jump shot from 29 ft,27,33
96,1,0:29.0,Defensive rebound by K. Olynyk,,27,33
97,1,0:09.0,D. Wade misses 2-pt jump shot from 11 ft,,27,33
98,1,0:08.0,Offensive rebound by D. Wade,,27,33
99,1,0:08.0,D. Wade makes 2-pt layup at rim,,29,33
100,1,0:02.0,,C. Miles makes 3-pt jump shot from 28 ft,29,36
101,2,11:39.0,,O. Anunoby misses 3-pt jump shot from 23 ft,29,36
102,2,11:36.0,Defensive rebound by D. Wade,,29,36
103,2,11:23.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),,32,36
104,2,11:07.0,,D. Wright makes 3-pt jump shot from 27 ft (assist by F. VanVleet),32,39
105,2,10:45.0,K. Olynyk makes 2-pt layup from 4 ft (assist by J. Winslow),,34,39
106,2,10:39.0,,D. Wright makes 3-pt jump shot from 26 ft (assist by F. VanVleet),34,42
107,2,10:26.0,J. Winslow misses 2-pt layup from 3 ft,,34,42
108,2,10:26.0,Shooting foul by D. Wright (drawn by B. Adebayo),,34,42
109,2,10:26.0,Offensive rebound by B. Adebayo,,34,42
110,2,10:26.0,B. Adebayo makes free throw 1 of 2,,35,42
111,2,10:26.0,B. Adebayo makes free throw 2 of 2,,36,42
112,2,10:03.0,,S. Ibaka misses 2-pt layup from 3 ft,36,42
113,2,10:02.0,Defensive rebound by B. Adebayo,,36,42
114,2,9:50.0,D. Wade makes 2-pt layup from 2 ft (assist by K. Olynyk),,38,42
115,2,9:49.0,,Toronto full timeout,38,42
116,2,9:30.0,,D. Wright misses 2-pt layup from 1 ft,38,42
117,2,9:28.0,Defensive rebound by B. Adebayo,,38,42
118,2,9:13.0,Shooting foul by O. Anunoby (drawn by D. Wade),,38,42
119,2,9:13.0,D. Wade misses free throw 1 of 2,,38,42
120,2,9:13.0,Offensive rebound by Team,,38,42
121,2,9:13.0,,K. Leonard enters the game for O. Anunoby,38,42
122,2,9:13.0,D. Wade makes free throw 2 of 2,,39,42
123,2,8:58.0,,C. Miles misses 3-pt jump shot from 27 ft,39,42
124,2,8:55.0,Defensive rebound by B. Adebayo,,39,42
125,2,8:47.0,J. Winslow misses 2-pt jump shot from 18 ft,,39,42
126,2,8:44.0,,Defensive rebound by D. Wright,39,42
127,2,8:41.0,,Turnover by D. Wright (lost ball; steal by J. Winslow),39,42
128,2,8:38.0,J. Winslow misses 2-pt layup at rim,,39,42
129,2,8:35.0,,Defensive rebound by D. Wright,39,42
130,2,8:29.0,,C. Miles makes 2-pt jump shot from 2 ft,39,44
131,2,8:16.0,Shooting foul by S. Ibaka (drawn by B. Adebayo),,39,44
132,2,8:16.0,B. Adebayo makes free throw 1 of 2,,40,44
133,2,8:16.0,W. Ellington enters the game for R. McGruder,,40,44
134,2,8:16.0,J. Richardson enters the game for D. Wade,,40,44
135,2,8:16.0,B. Adebayo makes free throw 2 of 2,,41,44
136,2,7:59.0,,K. Leonard misses 2-pt jump shot from 12 ft,41,44
137,2,7:57.0,Defensive rebound by B. Adebayo,,41,44
138,2,7:45.0,J. Richardson misses 3-pt jump shot from 24 ft,,41,44
139,2,7:45.0,Offensive rebound by K. Olynyk,,41,44
140,2,7:39.0,J. Winslow misses 2-pt layup from 3 ft (block by S. Ibaka),,41,44
141,2,7:36.0,,Defensive rebound by C. Miles,41,44
142,2,7:34.0,,S. Ibaka misses 2-pt layup from 3 ft (block by B. Adebayo),41,44
143,2,7:34.0,,Offensive rebound by Team,41,44
144,2,7:34.0,H. Whiteside enters the game for K. Olynyk,,41,44
145,2,7:34.0,,P. Siakam enters the game for S. Ibaka,41,44
146,2,7:34.0,,J. Valančiūnas enters the game for C. Miles,41,44
147,2,7:29.0,,K. Leonard misses 2-pt jump shot from 18 ft,41,44
148,2,7:24.0,,Offensive rebound by D. Wright,41,44
149,2,7:24.0,,D. Wright makes 2-pt layup from 1 ft,41,46
150,2,7:19.0,Miami full timeout,,41,46
151,2,7:19.0,,K. Lowry enters the game for D. Wright,41,46
152,2,7:11.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,44,46
153,2,6:54.0,,Shooting foul by H. Whiteside (drawn by K. Leonard),44,46
154,2,6:54.0,,K. Leonard makes free throw 1 of 2,44,47
155,2,6:54.0,,K. Leonard makes free throw 2 of 2,44,48
156,2,6:40.0,W. Ellington misses 3-pt jump shot from 25 ft,,44,48
157,2,6:36.0,,Defensive rebound by J. Valančiūnas,44,48
158,2,6:30.0,,K. Leonard misses 2-pt layup from 2 ft,44,48
159,2,6:29.0,Defensive rebound by H. Whiteside,,44,48
160,2,6:18.0,H. Whiteside misses 2-pt hook shot from 3 ft,,44,48
161,2,6:16.0,,Defensive rebound by K. Leonard,44,48
162,2,6:09.0,,K. Leonard misses 3-pt jump shot from 24 ft,44,48
163,2,6:08.0,Defensive rebound by B. Adebayo,,44,48
164,2,5:51.0,J. Richardson misses 2-pt jump shot from 13 ft,,44,48
165,2,5:49.0,,Defensive rebound by J. Valančiūnas,44,48
166,2,5:46.0,Violation by Team (kicked ball),,44,48
167,2,5:46.0,,D. Green enters the game for F. VanVleet,44,48
168,2,5:33.0,,Shooting foul by H. Whiteside (drawn by K. Leonard),44,48
169,2,5:33.0,,K. Leonard makes free throw 1 of 2,44,49
170,2,5:33.0,J. Johnson enters the game for H. Whiteside,,44,49
171,2,5:33.0,,K. Leonard misses free throw 2 of 2,44,49
172,2,5:33.0,Defensive rebound by J. Winslow,,44,49
173,2,5:20.0,J. Richardson misses 2-pt jump shot from 10 ft,,44,49
174,2,5:17.0,,Defensive rebound by J. Valančiūnas,44,49
175,2,5:12.0,,K. Lowry misses 3-pt jump shot from 29 ft,44,49
176,2,5:10.0,Defensive rebound by B. Adebayo,,44,49
177,2,4:50.0,B. Adebayo misses 3-pt jump shot from 24 ft,,44,49
178,2,4:47.0,,Defensive rebound by K. Leonard,44,49
179,2,4:36.0,,D. Green misses 3-pt jump shot from 24 ft,44,49
180,2,4:33.0,Defensive rebound by J. Richardson,,44,49
181,2,4:12.0,J. Richardson misses 2-pt layup from 1 ft,,44,49
