,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
0,1,11:44.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),0,2
1,1,11:33.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,3,2
2,1,11:11.0,,A. Wiggins misses 2-pt layup from 6 ft,3,2
3,1,11:09.0,Defensive rebound by J. Butler,,3,2
4,1,11:05.0,Turnover by B. Simmons (bad pass),,3,2
5,1,10:57.0,,D. Šarić misses 3-pt jump shot from 25 ft,3,2
6,1,10:53.0,Defensive rebound by T. Harris,,3,2
7,1,10:48.0,T. Harris makes 3-pt jump shot from 25 ft,,6,2
8,1,10:35.0,,J. Okogie misses 2-pt jump shot from 19 ft,6,2
9,1,10:31.0,Defensive rebound by T. Harris,,6,2
10,1,10:23.0,J. Bolden misses 3-pt jump shot from 24 ft,,6,2
11,1,10:19.0,,Defensive rebound by A. Wiggins,6,2
12,1,10:15.0,,T. Jones makes 2-pt jump shot from 5 ft,6,4
13,1,9:54.0,T. Harris misses 3-pt jump shot from 25 ft,,6,4
14,1,9:52.0,,Defensive rebound by D. Šarić,6,4
15,1,9:36.0,,D. Šarić misses 2-pt hook shot from 6 ft,6,4
16,1,9:34.0,Defensive rebound by T. Harris,,6,4
17,1,9:21.0,Personal foul by D. Šarić (drawn by J. Bolden),,6,4
18,1,9:19.0,J. Redick misses 2-pt jump shot from 18 ft,,6,4
19,1,9:16.0,,Defensive rebound by D. Šarić,6,4
20,1,9:11.0,,T. Jones misses 3-pt jump shot from 25 ft,6,4
21,1,9:08.0,Defensive rebound by B. Simmons,,6,4
22,1,9:05.0,J. Butler misses 2-pt layup from 1 ft,,6,4
23,1,9:05.0,Offensive rebound by J. Butler,,6,4
24,1,9:02.0,J. Redick misses 2-pt jump shot from 19 ft,,6,4
25,1,8:58.0,,Defensive rebound by T. Jones,6,4
26,1,8:55.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by T. Jones),6,6
27,1,8:55.0,Philadelphia full timeout,,6,6
28,1,8:40.0,T. Harris misses 2-pt jump shot from 20 ft,,6,6
29,1,8:36.0,,Defensive rebound by J. Okogie,6,6
30,1,8:31.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Jones),6,8
31,1,8:23.0,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Simmons),,9,8
32,1,8:10.0,,A. Wiggins misses 2-pt layup from 4 ft (block by J. Bolden),9,8
33,1,8:10.0,,Offensive rebound by Team,9,8
34,1,7:58.0,,D. Šarić misses 2-pt jump shot from 7 ft,9,8
35,1,7:55.0,Defensive rebound by J. Bolden,,9,8
36,1,7:48.0,T. Harris makes 3-pt jump shot from 23 ft (assist by J. Butler),,12,8
37,1,7:29.0,,K. Towns misses 3-pt jump shot from 26 ft,12,8
38,1,7:27.0,Defensive rebound by J. Redick,,12,8
39,1,7:14.0,J. Butler misses 2-pt jump shot from 17 ft,,12,8
40,1,7:11.0,,Defensive rebound by A. Wiggins,12,8
41,1,7:07.0,,Turnover by A. Wiggins (bad pass),12,8
42,1,6:53.0,J. Redick misses 3-pt jump shot from 26 ft,,12,8
43,1,6:50.0,,Defensive rebound by K. Towns,12,8
44,1,6:49.0,,Turnover by K. Towns (bad pass; steal by B. Simmons),12,8
45,1,6:45.0,B. Simmons makes 2-pt layup from 1 ft,,14,8
46,1,6:36.0,,T. Jones makes 3-pt jump shot from 25 ft,14,11
47,1,6:21.0,B. Simmons makes 2-pt layup from 2 ft (assist by T. Harris),,16,11
48,1,6:11.0,,T. Jones misses 3-pt jump shot from 26 ft,16,11
49,1,6:09.0,Defensive rebound by B. Simmons,,16,11
50,1,5:57.0,B. Simmons makes 2-pt jump shot from 7 ft,,18,11
51,1,5:49.0,,Minnesota full timeout,18,11
52,1,5:49.0,T. McConnell enters the game for J. Redick,,18,11
53,1,5:49.0,M. Scott enters the game for B. Simmons,,18,11
54,1,5:41.0,,D. Šarić misses 2-pt jump shot from 23 ft,18,11
55,1,5:38.0,Defensive rebound by J. Butler,,18,11
56,1,5:24.0,T. McConnell misses 2-pt jump shot from 9 ft,,18,11
57,1,5:21.0,,Defensive rebound by K. Towns,18,11
58,1,5:09.0,,D. Šarić misses 2-pt hook shot from 4 ft,18,11
59,1,5:07.0,Defensive rebound by J. Bolden,,18,11
60,1,4:55.0,Turnover by J. Butler (bad pass; steal by D. Šarić),,18,11
61,1,4:47.0,,A. Wiggins misses 2-pt layup from 3 ft (block by J. Bolden),18,11
62,1,4:44.0,Defensive rebound by T. McConnell,,18,11
63,1,4:33.0,T. McConnell misses 2-pt jump shot from 6 ft,,18,11
64,1,4:30.0,,Defensive rebound by D. Šarić,18,11
65,1,4:24.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Jones),18,13
66,1,4:04.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Butler),,21,13
67,1,3:48.0,,T. Jones misses 2-pt jump shot from 12 ft,21,13
68,1,3:45.0,Defensive rebound by J. Bolden,,21,13
69,1,3:37.0,T. Harris makes 2-pt layup from 3 ft (assist by T. McConnell),,23,13
70,1,3:18.0,,K. Towns makes 2-pt hook shot from 6 ft,23,15
71,1,3:07.0,M. Scott makes 3-pt jump shot from 25 ft (assist by T. Harris),,26,15
72,1,2:48.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Jones),26,18
73,1,2:35.0,M. Scott misses 2-pt jump shot from 8 ft,,26,18
74,1,2:33.0,,Defensive rebound by K. Towns,26,18
75,1,2:30.0,,Shooting foul by J. Bolden (drawn by J. Okogie),26,18
76,1,2:30.0,,J. Okogie makes free throw 1 of 2,26,19
77,1,2:30.0,J. Ennis enters the game for J. Butler,,26,19
78,1,2:30.0,J. Redick enters the game for T. Harris,,26,19
79,1,2:30.0,B. Simmons enters the game for T. McConnell,,26,19
80,1,2:30.0,,K. Bates-Diop enters the game for T. Jones,26,19
81,1,2:30.0,,J. Bayless enters the game for D. Šarić,26,19
82,1,2:30.0,,A. Tolliver enters the game for A. Wiggins,26,19
83,1,2:30.0,,J. Okogie makes free throw 2 of 2,26,20
84,1,2:13.0,M. Scott makes 2-pt dunk from 1 ft (assist by B. Simmons),,28,20
85,1,1:57.0,,K. Towns misses 2-pt hook shot from 5 ft,28,20
86,1,1:55.0,Defensive rebound by B. Simmons,,28,20
87,1,1:44.0,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),,30,20
88,1,1:32.0,,K. Towns misses 3-pt jump shot from 24 ft,30,20
89,1,1:29.0,Defensive rebound by J. Ennis,,30,20
90,1,1:21.0,J. Ennis misses 2-pt layup from 2 ft (block by A. Tolliver),,30,20
91,1,1:20.0,Offensive rebound by J. Ennis,,30,20
92,1,1:16.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Ennis),,33,20
93,1,0:52.0,,J. Bayless misses 3-pt jump shot from 25 ft,33,20
94,1,0:49.0,Defensive rebound by M. Scott,,33,20
95,1,0:41.0,J. Ennis misses 3-pt jump shot from 23 ft,,33,20
96,1,0:40.0,J. Bolden makes 2-pt dunk from 1 ft,,35,20
97,1,0:40.0,Offensive rebound by J. Bolden,,35,20
98,1,0:33.0,,J. Bayless misses 2-pt jump shot from 11 ft,35,20
99,1,0:30.0,Defensive rebound by J. Ennis,,35,20
100,1,0:23.0,M. Scott makes 3-pt jump shot from 23 ft (assist by B. Simmons),,38,20
101,1,0:02.0,,Turnover by K. Towns (lost ball; steal by B. Simmons),38,20
102,1,0:00.0,M. Scott misses 3-pt jump shot from 68 ft,,38,20
103,1,0:00.0,Offensive rebound by Team,,38,20
104,2,11:44.0,T. Harris makes 3-pt jump shot from 24 ft,,41,20
105,2,11:29.0,,Personal foul by T. Harris (drawn by G. Dieng),41,20
106,2,11:24.0,,G. Dieng makes 2-pt jump shot from 18 ft (assist by A. Wiggins),41,22
107,2,11:13.0,Turnover by J. Redick (lost ball; steal by J. Bayless),,41,22
108,2,11:08.0,,K. Bates-Diop makes 2-pt layup from 1 ft (assist by J. Bayless),41,24
109,2,10:56.0,Turnover by B. Marjanović (bad pass),,41,24
110,2,10:46.0,,A. Wiggins misses 2-pt jump shot from 15 ft,41,24
111,2,10:44.0,Defensive rebound by J. Ennis,,41,24
112,2,10:36.0,B. Marjanović makes 2-pt layup from 5 ft (assist by J. Redick),,43,24
113,2,10:21.0,,G. Dieng makes 2-pt jump shot from 10 ft (assist by J. Bayless),43,26
114,2,10:03.0,Shooting foul by J. Bayless (drawn by J. Redick),,43,26
115,2,10:03.0,J. Redick makes free throw 1 of 2,,44,26
116,2,10:03.0,J. Redick misses free throw 2 of 2,,44,26
117,2,10:01.0,,Defensive rebound by G. Dieng,44,26
118,2,9:49.0,,K. Bates-Diop makes 3-pt jump shot from 24 ft (assist by A. Wiggins),44,29
119,2,9:37.0,B. Marjanović makes 2-pt jump shot from 17 ft (assist by B. Simmons),,46,29
120,2,9:22.0,,Personal foul by T. Harris (drawn by G. Dieng),46,29
121,2,9:14.0,,Shooting foul by J. Ennis (drawn by A. Wiggins),46,29
122,2,9:14.0,,A. Wiggins makes free throw 1 of 2,46,30
123,2,9:14.0,,A. Wiggins makes free throw 2 of 2,46,31
124,2,8:58.0,Turnover by B. Simmons (bad pass; steal by J. Bayless),,46,31
