,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,Turnover by N. Jokić (bad pass),,0,0
1,1,11:33.0,,I. Shumpert misses 3-pt jump shot from 23 ft,0,0
2,1,11:30.0,Defensive rebound by M. Plumlee,,0,0
3,1,11:20.0,Turnover by T. Craig (bad pass),,0,0
4,1,11:13.0,,N. Bjelica misses 3-pt jump shot from 25 ft (block by M. Plumlee),0,0
5,1,11:09.0,Defensive rebound by N. Jokić,,0,0
6,1,11:00.0,N. Jokić makes 2-pt layup from 4 ft (assist by J. Hernangómez),,2,0
7,1,10:54.0,,B. Hield makes 2-pt layup from 3 ft (assist by D. Fox),2,2
8,1,10:30.0,T. Craig misses 3-pt jump shot from 24 ft,,2,2
9,1,10:27.0,Offensive rebound by M. Plumlee,,2,2
10,1,10:21.0,N. Jokić makes 2-pt hook shot from 6 ft (assist by J. Murray),,4,2
11,1,10:14.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),4,5
12,1,9:57.0,J. Murray misses 2-pt jump shot from 10 ft,,4,5
13,1,9:54.0,Offensive rebound by J. Murray,,4,5
14,1,9:45.0,J. Murray misses 3-pt jump shot from 25 ft,,4,5
15,1,9:44.0,Offensive rebound by Team,,4,5
16,1,9:43.0,,Loose ball foul by D. Fox (drawn by M. Plumlee),4,5
17,1,9:37.0,N. Jokić misses 3-pt jump shot from 25 ft,,4,5
18,1,9:34.0,,Defensive rebound by B. Hield,4,5
19,1,9:34.0,,Personal foul by J. Murray (drawn by D. Fox),4,5
20,1,9:22.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),4,7
21,1,9:09.0,N. Jokić misses 3-pt jump shot from 26 ft,,4,7
22,1,9:09.0,,Defensive rebound by Team,4,7
23,1,9:09.0,Loose ball foul by M. Plumlee (drawn by N. Bjelica),,4,7
