,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,Turnover by G. Antetokounmpo (bad pass),0,0
1,1,11:19.0,E. Gordon misses 3-pt jump shot from 26 ft,,0,0
2,1,11:16.0,,Defensive rebound by S. Brown,0,0
3,1,11:11.0,,E. Bledsoe misses 2-pt jump shot from 21 ft,0,0
4,1,11:08.0,Defensive rebound by C. Capela,,0,0
5,1,11:03.0,J. Harden misses 3-pt jump shot from 27 ft,,0,0
6,1,10:58.0,,Defensive rebound by S. Brown,0,0
7,1,10:50.0,,B. Lopez misses 3-pt jump shot from 29 ft,0,0
8,1,10:47.0,,Offensive rebound by E. Bledsoe,0,0
9,1,10:42.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,0,0
10,1,10:39.0,Defensive rebound by C. Capela,,0,0
11,1,10:32.0,J. Harden makes 2-pt hook shot from 11 ft,,2,0
12,1,10:13.0,,Personal foul by J. Harden (drawn by G. Antetokounmpo),2,0
13,1,9:57.0,,K. Middleton misses 3-pt jump shot from 27 ft,2,0
14,1,9:53.0,Defensive rebound by P. Tucker,,2,0
15,1,9:48.0,C. Paul makes 3-pt jump shot from 27 ft,,5,0
16,1,9:48.0,Shooting foul by S. Brown (drawn by C. Paul),,5,0
17,1,9:48.0,C. Paul makes free throw 1 of 1,,6,0
18,1,9:33.0,,S. Brown makes 2-pt layup from 2 ft (assist by E. Bledsoe),6,2
19,1,9:18.0,P. Tucker misses 3-pt jump shot from 25 ft,,6,2
20,1,9:15.0,,Defensive rebound by S. Brown,6,2
21,1,9:11.0,,Turnover by K. Middleton (bad pass; steal by P. Tucker),6,2
22,1,9:05.0,J. Harden misses 2-pt layup from 2 ft (block by S. Brown),,6,2
23,1,9:02.0,,Defensive rebound by B. Lopez,6,2
24,1,8:56.0,,S. Brown misses 3-pt jump shot from 22 ft,6,2
25,1,8:52.0,Defensive rebound by C. Paul,,6,2
26,1,8:43.0,E. Gordon misses 3-pt jump shot from 28 ft,,6,2
27,1,8:40.0,,Defensive rebound by G. Antetokounmpo,6,2
28,1,8:38.0,,Offensive foul by G. Antetokounmpo (drawn by P. Tucker),6,2
29,1,8:38.0,,Turnover by G. Antetokounmpo (offensive foul),6,2
30,1,8:28.0,C. Paul misses 3-pt jump shot from 27 ft,,6,2
31,1,8:24.0,,Defensive rebound by G. Antetokounmpo,6,2
32,1,8:18.0,,Shooting foul by P. Tucker (drawn by G. Antetokounmpo),6,2
33,1,8:18.0,,G. Antetokounmpo misses free throw 1 of 2,6,2
34,1,8:18.0,,Offensive rebound by Team,6,2
35,1,8:18.0,,G. Antetokounmpo makes free throw 2 of 2,6,3
36,1,8:07.0,J. Harden misses 2-pt jump shot from 8 ft,,6,3
37,1,8:02.0,,Defensive rebound by G. Antetokounmpo,6,3
38,1,7:47.0,,K. Middleton misses 2-pt jump shot from 16 ft,6,3
39,1,7:44.0,,Offensive rebound by G. Antetokounmpo,6,3
40,1,7:43.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,6,5
41,1,7:18.0,C. Paul makes 2-pt jump shot from 19 ft,,8,5
42,1,7:05.0,,K. Middleton misses 2-pt jump shot from 17 ft,8,5
43,1,7:02.0,Defensive rebound by J. Harden,,8,5
44,1,6:49.0,C. Capela makes 2-pt layup from 1 ft (assist by P. Tucker),,10,5
45,1,6:49.0,,Milwaukee full timeout,10,5
46,1,6:49.0,D. House enters the game for C. Paul,,10,5
47,1,6:49.0,,P. Connaughton enters the game for S. Brown,10,5
