,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:40.0,,Turnover by B. Griffin (bad pass; steal by T. Young),0,0
1,1,11:34.0,D. Dedmon misses 3-pt jump shot from 27 ft,,0,0
2,1,11:28.0,,Defensive rebound by B. Griffin,0,0
3,1,11:25.0,,B. Griffin misses 2-pt layup from 4 ft (block by A. Len),0,0
4,1,11:21.0,Defensive rebound by A. Len,,0,0
5,1,11:15.0,Turnover by A. Len (bad pass),,0,0
6,1,11:02.0,,R. Bullock misses 3-pt jump shot from 28 ft,0,0
7,1,10:59.0,Defensive rebound by D. Dedmon,,0,0
8,1,10:45.0,T. Young misses 2-pt jump shot from 8 ft,,0,0
9,1,10:41.0,,Defensive rebound by A. Drummond,0,0
10,1,10:35.0,,L. Kennard makes 2-pt layup from 4 ft (assist by A. Drummond),0,2
11,1,10:19.0,D. Dedmon makes 2-pt layup from 2 ft (assist by K. Huerter),,2,2
12,1,9:57.0,,L. Kennard misses 2-pt jump shot from 17 ft,2,2
13,1,9:53.0,Defensive rebound by T. Young,,2,2
14,1,9:42.0,K. Bazemore makes 2-pt layup from 3 ft (assist by D. Dedmon),,4,2
15,1,9:26.0,,A. Drummond misses 2-pt layup from 2 ft,4,2
16,1,9:18.0,,Offensive rebound by A. Drummond,4,2
17,1,9:16.0,,A. Drummond makes 2-pt layup from 2 ft,4,4
18,1,9:06.0,Turnover by T. Young (bad pass; steal by L. Kennard),,4,4
19,1,9:04.0,,Shooting foul by K. Huerter (drawn by A. Drummond),4,4
20,1,9:04.0,,A. Drummond misses free throw 1 of 2,4,4
21,1,9:04.0,,Offensive rebound by Team,4,4
22,1,9:04.0,,A. Drummond misses free throw 2 of 2,4,4
23,1,9:00.0,Defensive rebound by A. Len,,4,4
24,1,9:00.0,Turnover by A. Len (bad pass; steal by A. Drummond),,4,4
25,1,8:59.0,,Turnover by A. Drummond (lost ball; steal by A. Len),4,4
26,1,8:53.0,Shooting foul by R. Jackson (drawn by A. Len),,4,4
27,1,8:53.0,A. Len misses free throw 1 of 2,,4,4
28,1,8:53.0,Offensive rebound by Team,,4,4
29,1,8:53.0,A. Len makes free throw 2 of 2,,5,4
30,1,8:42.0,,R. Jackson misses 2-pt layup from 3 ft,5,4
31,1,8:40.0,Defensive rebound by A. Len,,5,4
32,1,8:37.0,K. Huerter makes 2-pt jump shot from 5 ft,,7,4
33,1,8:19.0,,B. Griffin misses 3-pt jump shot from 28 ft,7,4
34,1,8:16.0,Defensive rebound by K. Bazemore,,7,4
35,1,8:12.0,Turnover by K. Bazemore (bad pass),,7,4
36,1,7:59.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Jackson),7,7
37,1,7:47.0,T. Young misses 2-pt jump shot from 13 ft,,7,7
38,1,7:44.0,Offensive rebound by T. Young,,7,7
39,1,7:43.0,Turnover by T. Young (bad pass),,7,7
40,1,7:31.0,,R. Jackson misses 2-pt layup from 8 ft (block by A. Len),7,7
41,1,7:28.0,Defensive rebound by K. Bazemore,,7,7
42,1,7:26.0,K. Bazemore misses 2-pt layup from 3 ft,,7,7
43,1,7:24.0,Offensive rebound by Team,,7,7
44,1,7:24.0,V. Carter enters the game for A. Len,,7,7
45,1,7:13.0,V. Carter misses 3-pt jump shot from 29 ft,,7,7
46,1,7:10.0,,Defensive rebound by A. Drummond,7,7
47,1,6:56.0,,B. Griffin makes 2-pt layup from 2 ft,7,9
48,1,6:38.0,V. Carter makes 2-pt dunk from 3 ft (assist by T. Young),,9,9
49,1,6:14.0,,Personal foul by K. Huerter (drawn by A. Drummond),9,9
50,1,6:14.0,,Detroit full timeout,9,9
51,1,6:14.0,D. Bembry enters the game for K. Huerter,,9,9
52,1,6:14.0,,B. Brown enters the game for R. Jackson,9,9
53,1,6:14.0,,J. Calderón enters the game for L. Kennard,9,9
54,1,5:59.0,,Turnover by R. Bullock (lost ball; steal by K. Bazemore),9,9
55,1,5:44.0,D. Bembry misses 2-pt jump shot from 4 ft (block by A. Drummond),,9,9
56,1,5:41.0,,Defensive rebound by A. Drummond,9,9
57,1,5:28.0,,Shooting foul by D. Dedmon (drawn by A. Drummond),9,9
58,1,5:28.0,,A. Drummond makes free throw 1 of 2,9,10
59,1,5:28.0,J. Lin enters the game for T. Young,,9,10
60,1,5:28.0,,A. Drummond misses free throw 2 of 2,9,10
61,1,5:23.0,Defensive rebound by D. Dedmon,,9,10
62,1,5:08.0,K. Bazemore makes 2-pt layup from 3 ft (assist by D. Dedmon),,11,10
63,1,4:52.0,,Turnover by B. Griffin (bad pass),11,10
64,1,4:32.0,D. Dedmon makes 3-pt jump shot from 24 ft (assist by J. Lin),,14,10
65,1,4:18.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by B. Griffin),14,12
66,1,4:01.0,V. Carter makes 3-pt jump shot from 23 ft (assist by D. Bembry),,17,12
67,1,4:01.0,Shooting foul by B. Griffin (drawn by V. Carter),,17,12
68,1,4:01.0,K. Huerter enters the game for K. Bazemore,,17,12
69,1,4:01.0,A. Len enters the game for D. Dedmon,,17,12
70,1,4:01.0,V. Carter makes free throw 1 of 1,,18,12
71,1,3:49.0,,Turnover by J. Calderón (bad pass; steal by K. Huerter),18,12
72,1,3:42.0,Turnover by A. Len (3 sec),,18,12
73,1,3:28.0,,J. Calderón misses 3-pt jump shot from 26 ft,18,12
74,1,3:25.0,Defensive rebound by V. Carter,,18,12
75,1,3:20.0,V. Carter makes 3-pt jump shot from 27 ft,,21,12
76,1,3:08.0,,Personal foul by D. Bembry (drawn by B. Griffin),21,12
77,1,2:56.0,,B. Brown makes 2-pt layup from 1 ft (assist by R. Bullock),21,14
78,1,2:48.0,J. Lin misses 2-pt layup from 1 ft (block by B. Brown),,21,14
79,1,2:43.0,,Defensive rebound by A. Drummond,21,14
80,1,2:38.0,,B. Griffin misses 3-pt jump shot from 27 ft,21,14
81,1,2:34.0,Defensive rebound by J. Lin,,21,14
82,1,2:25.0,Turnover by V. Carter (lost ball; steal by A. Drummond),,21,14
83,1,2:21.0,,A. Drummond makes 2-pt dunk from 2 ft,21,16
84,1,2:16.0,Atlanta full timeout,,21,16
85,1,2:16.0,D. Hamilton enters the game for D. Bembry,,21,16
86,1,2:11.0,K. Huerter makes 2-pt jump shot from 19 ft (assist by D. Hamilton),,23,16
87,1,1:55.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),23,18
