,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),0,2
1,1,11:20.0,B. Bogdanović misses 2-pt jump shot from 18 ft,,0,2
2,1,11:17.0,,Defensive rebound by D. Cousins,0,2
3,1,11:10.0,,Personal foul by B. Hield (drawn by D. Cousins),0,2
4,1,11:01.0,,D. Cousins misses 3-pt jump shot from 27 ft,0,2
5,1,10:58.0,Defensive rebound by H. Barnes,,0,2
6,1,10:49.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Fox),,2,2
7,1,10:41.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),2,5
8,1,10:34.0,Offensive foul by D. Fox (drawn by S. Curry),,2,5
9,1,10:34.0,Turnover by D. Fox (offensive foul),,2,5
10,1,10:24.0,,D. Green misses 3-pt jump shot from 27 ft,2,5
11,1,10:21.0,Defensive rebound by B. Hield,,2,5
12,1,10:14.0,B. Hield makes 2-pt layup from 2 ft,,4,5
13,1,10:05.0,,Turnover by K. Thompson (bad pass; steal by B. Bogdanović),4,5
14,1,9:53.0,B. Hield makes 2-pt jump shot from 18 ft,,6,5
15,1,9:34.0,,D. Cousins makes 2-pt dunk from 1 ft (assist by D. Green),6,7
16,1,9:15.0,Turnover by B. Bogdanović (bad pass; steal by K. Thompson),,6,7
17,1,9:10.0,,K. Thompson makes 2-pt layup from 3 ft,6,9
18,1,9:06.0,B. Hield misses 3-pt jump shot from 26 ft,,6,9
19,1,9:04.0,,Defensive rebound by D. Green,6,9
20,1,8:58.0,,Turnover by D. Green (bad pass; steal by W. Cauley-Stein),6,9
21,1,8:53.0,B. Hield makes 2-pt layup from 2 ft (assist by B. Bogdanović),,8,9
22,1,8:41.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by S. Curry),8,11
23,1,8:33.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,10,11
24,1,8:19.0,,S. Curry misses 2-pt layup from 7 ft,10,11
25,1,8:12.0,Defensive rebound by W. Cauley-Stein,,10,11
26,1,8:09.0,H. Barnes misses 3-pt jump shot from 30 ft,,10,11
27,1,8:05.0,,Defensive rebound by D. Green,10,11
28,1,7:59.0,,K. Durant makes 2-pt layup from 9 ft (assist by K. Thompson),10,13
29,1,7:59.0,,Shooting foul by B. Bogdanović (drawn by K. Durant),10,13
30,1,7:59.0,,K. Durant makes free throw 1 of 1,10,14
31,1,7:48.0,Turnover by D. Fox (bad pass; steal by S. Curry),,10,14
32,1,7:43.0,,S. Curry misses 2-pt layup from 4 ft,10,14
33,1,7:42.0,Defensive rebound by H. Barnes,,10,14
34,1,7:38.0,Offensive foul by H. Barnes (drawn by D. Cousins),,10,14
35,1,7:38.0,Turnover by H. Barnes (offensive foul),,10,14
36,1,7:21.0,,D. Cousins misses 2-pt jump shot from 6 ft,10,14
37,1,7:20.0,,Offensive rebound by D. Cousins,10,14
38,1,7:19.0,,D. Cousins makes 2-pt layup from 2 ft,10,16
39,1,7:07.0,D. Fox makes 3-pt jump shot from 25 ft,,13,16
40,1,6:57.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),13,19
41,1,6:51.0,Sacramento full timeout,,13,19
42,1,6:29.0,B. Bogdanović makes 2-pt jump shot from 13 ft,,15,19
43,1,6:09.0,,S. Curry makes 2-pt dunk from 2 ft (assist by K. Durant),15,21
44,1,6:03.0,D. Fox makes 2-pt layup from 8 ft,,17,21
45,1,6:03.0,Shooting foul by D. Green (drawn by D. Fox),,17,21
46,1,6:03.0,M. Bagley enters the game for B. Bogdanović,,17,21
47,1,6:03.0,D. Fox misses free throw 1 of 1,,17,21
48,1,6:02.0,,Defensive rebound by D. Green,17,21
49,1,5:57.0,,S. Curry misses 3-pt jump shot from 27 ft,17,21
50,1,5:55.0,Defensive rebound by B. Hield,,17,21
51,1,5:50.0,B. Hield makes 2-pt jump shot from 12 ft,,19,21
52,1,5:36.0,,K. Thompson misses 2-pt jump shot from 11 ft,19,21
53,1,5:35.0,Defensive rebound by Team,,19,21
54,1,5:35.0,,A. Iguodala enters the game for D. Green,19,21
55,1,5:27.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),,21,21
