,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),0,3
1,1,11:21.0,D. Ayton misses 2-pt layup from 4 ft,,0,3
2,1,11:19.0,,Defensive rebound by G. Antetokounmpo,0,3
3,1,11:13.0,,B. Lopez misses 3-pt jump shot from 28 ft,0,3
4,1,11:11.0,Defensive rebound by T. Ariza,,0,3
5,1,10:56.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by T. Ariza),,2,3
6,1,10:38.0,,B. Lopez misses 3-pt jump shot from 28 ft,2,3
7,1,10:35.0,Defensive rebound by T. Ariza,,2,3
8,1,10:22.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by D. Booker),,5,3
9,1,10:12.0,,Turnover by E. Bledsoe (out of bounds lost ball),5,3
10,1,9:57.0,D. Ayton makes 2-pt dunk at rim (assist by D. Booker),,7,3
11,1,9:40.0,,B. Lopez misses 3-pt jump shot from 24 ft,7,3
12,1,9:37.0,Defensive rebound by T. Warren,,7,3
13,1,9:35.0,M. Bridges misses 3-pt jump shot from 25 ft,,7,3
14,1,9:31.0,,Defensive rebound by K. Middleton,7,3
15,1,9:26.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by K. Middleton),7,6
16,1,9:13.0,D. Booker makes 2-pt jump shot from 11 ft,,9,6
17,1,9:08.0,,Turnover by K. Middleton (lost ball; steal by D. Booker),9,6
18,1,9:02.0,T. Warren misses 3-pt jump shot from 28 ft,,9,6
19,1,8:58.0,,Defensive rebound by B. Lopez,9,6
20,1,8:55.0,,Shooting foul by M. Bridges (drawn by G. Antetokounmpo),9,6
21,1,8:55.0,,G. Antetokounmpo makes free throw 1 of 2,9,7
22,1,8:55.0,,G. Antetokounmpo makes free throw 2 of 2,9,8
23,1,8:40.0,D. Ayton misses 2-pt jump shot from 11 ft,,9,8
24,1,8:37.0,,Defensive rebound by K. Middleton,9,8
25,1,8:32.0,,B. Lopez misses 3-pt jump shot from 27 ft,9,8
26,1,8:32.0,Defensive rebound by Team,,9,8
27,1,8:17.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Warren),,12,8
28,1,8:07.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),12,10
29,1,8:01.0,T. Ariza makes 2-pt dunk from 1 ft (assist by D. Booker),,14,10
30,1,7:50.0,,Personal foul by D. Booker (drawn by M. Brogdon),14,10
31,1,7:44.0,,Turnover by E. Bledsoe (bad pass; steal by T. Warren),14,10
32,1,7:41.0,T. Warren makes 2-pt dunk from 2 ft,,16,10
33,1,7:41.0,,Milwaukee full timeout,16,10
34,1,7:41.0,,P. Connaughton enters the game for M. Brogdon,16,10
35,1,7:24.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,16,10
36,1,7:21.0,Defensive rebound by T. Ariza,,16,10
37,1,7:10.0,Turnover by D. Booker (bad pass; steal by P. Connaughton),,16,10
38,1,7:03.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by P. Connaughton),16,12
39,1,6:42.0,D. Ayton makes 2-pt layup from 1 ft (assist by T. Ariza),,18,12
40,1,6:25.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,18,12
41,1,6:22.0,Defensive rebound by T. Warren,,18,12
42,1,6:14.0,Turnover by D. Booker (bad pass; steal by K. Middleton),,18,12
43,1,5:59.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),18,14
44,1,5:40.0,D. Booker makes 2-pt jump shot from 13 ft,,20,14
45,1,5:35.0,,Personal foul by T. Warren (drawn by G. Antetokounmpo),20,14
46,1,5:35.0,,T. Maker enters the game for B. Lopez,20,14
