,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:37.0,,W. Barton misses 2-pt jump shot from 8 ft (block by P. Beverley),0,0
1,1,11:34.0,,Offensive rebound by N. Jokić,0,0
2,1,11:33.0,,N. Jokić misses 2-pt layup from 5 ft (block by I. Zubac),0,0
3,1,11:33.0,Defensive rebound by D. Gallinari,,0,0
4,1,11:21.0,I. Zubac misses 2-pt layup from 2 ft,,0,0
5,1,11:19.0,,Defensive rebound by N. Jokić,0,0
6,1,11:13.0,,M. Beasley misses 3-pt jump shot from 23 ft,0,0
7,1,11:09.0,Defensive rebound by I. Zubac,,0,0
8,1,10:53.0,L. Shamet misses 3-pt jump shot from 24 ft,,0,0
9,1,10:51.0,,Defensive rebound by P. Millsap,0,0
10,1,10:41.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),0,2
11,1,10:32.0,I. Zubac misses 2-pt jump shot from 6 ft,,0,2
12,1,10:29.0,,Defensive rebound by W. Barton,0,2
13,1,10:15.0,,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),0,4
14,1,9:53.0,D. Gallinari makes 2-pt jump shot from 16 ft (assist by P. Beverley),,2,4
15,1,9:36.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Murray),2,6
16,1,9:17.0,Turnover by S. Gilgeous-Alexander (step out of bounds),,2,6
17,1,9:03.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),2,9
18,1,9:03.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Murray),2,9
19,1,9:03.0,,J. Murray makes free throw 1 of 1,2,10
20,1,8:41.0,I. Zubac misses 2-pt hook shot from 4 ft,,2,10
21,1,8:39.0,,Defensive rebound by N. Jokić,2,10
22,1,8:31.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),2,12
23,1,8:29.0,LA Clippers full timeout,,2,12
24,1,8:07.0,S. Gilgeous-Alexander misses 3-pt jump shot from 22 ft,,2,12
25,1,8:06.0,,Defensive rebound by P. Millsap,2,12
26,1,7:52.0,,P. Millsap makes 2-pt layup from 2 ft (assist by W. Barton),2,14
27,1,7:40.0,Def 3 sec tech foul by Team,,2,14
28,1,7:40.0,D. Gallinari makes technical free throw,,3,14
29,1,7:34.0,L. Shamet makes 2-pt jump shot from 14 ft (assist by P. Beverley),,5,14
30,1,7:12.0,,Turnover by N. Jokić (lost ball; steal by L. Shamet),5,14
31,1,7:08.0,Personal foul by P. Millsap (drawn by L. Shamet),,5,14
32,1,6:56.0,D. Gallinari makes 2-pt jump shot from 9 ft,,7,14
33,1,6:46.0,,Turnover by J. Murray (lost ball; steal by S. Gilgeous-Alexander),7,14
34,1,6:36.0,P. Beverley misses 3-pt jump shot from 25 ft,,7,14
35,1,6:34.0,,Defensive rebound by N. Jokić,7,14
36,1,6:27.0,,Shooting foul by I. Zubac (drawn by N. Jokić),7,14
37,1,6:27.0,,N. Jokić misses free throw 1 of 2,7,14
38,1,6:27.0,,Offensive rebound by Team,7,14
39,1,6:27.0,,N. Jokić makes free throw 2 of 2,7,15
40,1,6:16.0,I. Zubac makes 2-pt dunk at rim (assist by S. Gilgeous-Alexander),,9,15
41,1,6:05.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by N. Jokić),9,18
42,1,5:49.0,D. Gallinari misses 2-pt jump shot from 15 ft,,9,18
43,1,5:46.0,,Defensive rebound by J. Murray,9,18
44,1,5:42.0,,J. Murray misses 3-pt jump shot from 25 ft,9,18
45,1,5:38.0,Defensive rebound by P. Beverley,,9,18
46,1,5:33.0,I. Zubac makes 2-pt dunk from 1 ft (assist by P. Beverley),,11,18
47,1,5:16.0,,N. Jokić misses 3-pt jump shot from 26 ft,11,18
48,1,5:16.0,Defensive rebound by P. Beverley,,11,18
49,1,5:03.0,Personal foul by W. Barton (drawn by D. Gallinari),,11,18
50,1,5:03.0,M. Harrell enters the game for S. Gilgeous-Alexander,,11,18
51,1,5:03.0,L. Williams enters the game for I. Zubac,,11,18
52,1,5:03.0,,M. Plumlee enters the game for P. Millsap,11,18
53,1,4:55.0,D. Gallinari makes 2-pt layup from 1 ft (assist by P. Beverley),,13,18
54,1,4:53.0,,Denver full timeout,13,18
55,1,4:53.0,,G. Harris enters the game for M. Beasley,13,18
56,1,4:35.0,,N. Jokić makes 2-pt hook shot from 7 ft,13,20
57,1,4:12.0,L. Shamet makes 2-pt jump shot from 16 ft (assist by D. Gallinari),,15,20
58,1,3:57.0,,N. Jokić misses 2-pt jump shot from 5 ft,15,20
59,1,3:53.0,Defensive rebound by L. Williams,,15,20
60,1,3:36.0,D. Gallinari makes 2-pt jump shot from 7 ft,,17,20
61,1,3:20.0,,Shooting foul by L. Williams (drawn by G. Harris),17,20
62,1,3:20.0,,G. Harris misses free throw 1 of 2,17,20
63,1,3:20.0,,Offensive rebound by Team,17,20
64,1,3:20.0,G. Temple enters the game for L. Shamet,,17,20
65,1,3:20.0,,P. Millsap enters the game for W. Barton,17,20
66,1,3:20.0,,M. Morris enters the game for N. Jokić,17,20
67,1,3:20.0,,I. Thomas enters the game for J. Murray,17,20
68,1,3:20.0,,G. Harris misses free throw 2 of 2,17,20
69,1,3:18.0,Defensive rebound by P. Beverley,,17,20
70,1,3:02.0,Shooting foul by M. Plumlee (drawn by M. Harrell),,17,20
71,1,3:02.0,M. Harrell makes free throw 1 of 2,,18,20
72,1,3:02.0,J. Green enters the game for D. Gallinari,,18,20
73,1,3:02.0,M. Harrell makes free throw 2 of 2,,19,20
74,1,2:44.0,,Shooting foul by M. Harrell (drawn by M. Plumlee),19,20
75,1,2:44.0,,misses free throw 1 of 2,19,20
76,1,2:44.0,,M. Plumlee makes free throw 1 of 2,19,21
77,1,2:44.0,,M. Plumlee makes free throw 2 of 2,19,22
78,1,2:33.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,21,22
79,1,2:22.0,,Personal foul by G. Temple (drawn by I. Thomas),21,22
80,1,2:22.0,,I. Thomas makes free throw 1 of 2,21,23
81,1,2:22.0,,I. Thomas makes free throw 2 of 2,21,24
82,1,2:04.0,J. Green misses 2-pt jump shot from 14 ft,,21,24
83,1,2:01.0,Offensive rebound by P. Beverley,,21,24
84,1,1:58.0,M. Harrell misses 2-pt jump shot from 15 ft,,21,24
85,1,1:55.0,,Defensive rebound by M. Plumlee,21,24
86,1,1:42.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by G. Harris),21,26
87,1,1:26.0,L. Williams makes 2-pt jump shot from 5 ft (assist by M. Harrell),,23,26
88,1,1:06.0,,I. Thomas misses 2-pt jump shot from 11 ft,23,26
89,1,1:04.0,Defensive rebound by J. Green,,23,26
90,1,0:59.0,Turnover by L. Williams (bad pass; steal by M. Morris),,23,26
91,1,0:53.0,,M. Morris misses 2-pt layup from 3 ft (block by J. Green),23,26
92,1,0:53.0,,Offensive rebound by P. Millsap,23,26
93,1,0:53.0,,P. Millsap makes 2-pt layup from 1 ft,23,28
94,1,0:48.0,L. Williams misses 3-pt jump shot from 25 ft,,23,28
95,1,0:45.0,,Defensive rebound by I. Thomas,23,28
96,1,0:40.0,,I. Thomas misses 3-pt jump shot from 25 ft (block by P. Beverley),23,28
97,1,0:40.0,Defensive rebound by Team,,23,28
98,1,0:40.0,,Loose ball foul by M. Plumlee (drawn by M. Harrell),23,28
99,1,0:40.0,T. Wallace enters the game for P. Beverley,,23,28
100,1,0:38.0,Personal foul by G. Harris (drawn by L. Williams),,23,28
101,1,0:38.0,L. Williams makes free throw 1 of 2,,24,28
102,1,0:38.0,L. Williams makes free throw 2 of 2,,25,28
103,1,0:33.0,,M. Morris makes 3-pt jump shot from 25 ft,25,31
104,1,0:15.0,T. Wallace makes 2-pt layup from 4 ft (assist by L. Williams),,27,31
105,1,0:02.0,,G. Harris makes 3-pt jump shot from 26 ft,27,34
106,2,11:49.0,J. Green misses 3-pt jump shot from 24 ft,,27,34
107,2,11:46.0,,Defensive rebound by M. Plumlee,27,34
108,2,11:24.0,,I. Thomas makes 2-pt layup from 3 ft,27,36
109,2,11:13.0,Personal foul by I. Thomas (drawn by G. Temple),,27,36
110,2,11:03.0,M. Harrell misses 2-pt layup from 1 ft,,27,36
111,2,11:03.0,Offensive rebound by M. Harrell,,27,36
112,2,11:01.0,Shooting foul by M. Plumlee (drawn by J. Green),,27,36
113,2,11:01.0,J. Green misses free throw 1 of 2,,27,36
114,2,11:01.0,Offensive rebound by Team,,27,36
115,2,11:01.0,,N. Jokić enters the game for M. Plumlee,27,36
116,2,11:01.0,J. Green makes free throw 2 of 2,,28,36
117,2,10:44.0,,I. Thomas misses 2-pt jump shot from 9 ft,28,36
118,2,10:41.0,Defensive rebound by G. Temple,,28,36
119,2,10:28.0,J. Green misses 2-pt hook shot from 3 ft,,28,36
120,2,10:26.0,,Defensive rebound by N. Jokić,28,36
121,2,10:22.0,,Turnover by M. Morris (step out of bounds),28,36
122,2,10:11.0,G. Temple misses 2-pt jump shot from 23 ft,,28,36
123,2,10:08.0,,Defensive rebound by N. Jokić,28,36
124,2,10:04.0,,Personal foul by L. Williams (drawn by G. Harris),28,36
125,2,9:57.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by I. Thomas),28,38
126,2,9:51.0,LA Clippers full timeout,,28,38
127,2,9:41.0,L. Williams makes 2-pt layup from 2 ft,,30,38
128,2,9:31.0,,Shooting foul by T. Wallace (drawn by G. Harris),30,38
129,2,9:31.0,,G. Harris makes free throw 1 of 2,30,39
130,2,9:31.0,S. Gilgeous-Alexander enters the game for T. Wallace,,30,39
131,2,9:31.0,,G. Harris makes free throw 2 of 2,30,40
132,2,9:22.0,L. Williams makes 2-pt jump shot from 10 ft,,32,40
133,2,9:22.0,Shooting foul by G. Harris (drawn by L. Williams),,32,40
134,2,9:22.0,L. Williams makes free throw 1 of 1,,33,40
135,2,9:12.0,,I. Thomas misses 3-pt jump shot from 25 ft,33,40
136,2,9:09.0,Defensive rebound by M. Harrell,,33,40
137,2,9:01.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Craig),,33,40
138,2,9:00.0,,Personal take foul by M. Harrell (drawn by T. Craig),33,40
139,2,8:48.0,,G. Harris misses 2-pt jump shot from 23 ft,33,40
140,2,8:46.0,Defensive rebound by J. Green,,33,40
141,2,8:36.0,M. Harrell makes 2-pt layup from 1 ft (assist by J. Green),,35,40
142,2,8:25.0,,N. Jokić makes 2-pt jump shot from 24 ft (assist by M. Morris),35,42
143,2,8:12.0,Turnover by L. Williams (lost ball; steal by N. Jokić),,35,42
144,2,8:10.0,,Turnover by N. Jokić (bad pass; steal by G. Temple),35,42
145,2,8:05.0,M. Harrell makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,37,42
146,2,7:49.0,,G. Harris makes 2-pt jump shot from 13 ft,37,44
147,2,7:31.0,G. Temple makes 2-pt layup from 2 ft (assist by M. Harrell),,39,44
148,2,7:31.0,,Denver full timeout,39,44
149,2,7:31.0,,W. Barton enters the game for T. Craig,39,44
150,2,7:31.0,,J. Hernangómez enters the game for G. Harris,39,44
151,2,7:31.0,,P. Millsap enters the game for N. Jokić,39,44
152,2,7:31.0,,J. Murray enters the game for M. Morris,39,44
153,2,7:24.0,,Turnover by I. Thomas (traveling),39,44
154,2,7:17.0,L. Williams misses 2-pt jump shot from 21 ft,,39,44
155,2,7:13.0,,Defensive rebound by J. Murray,39,44
156,2,7:10.0,,W. Barton misses 3-pt jump shot from 25 ft,39,44
157,2,7:07.0,Defensive rebound by G. Temple,,39,44
158,2,6:51.0,Personal foul by J. Hernangómez (drawn by M. Harrell),,39,44
159,2,6:51.0,D. Gallinari enters the game for J. Green,,39,44
160,2,6:51.0,L. Shamet enters the game for M. Harrell,,39,44
161,2,6:51.0,I. Zubac enters the game for L. Williams,,39,44
162,2,6:40.0,I. Zubac makes 2-pt hook shot from 1 ft (assist by G. Temple),,41,44
163,2,6:29.0,,Turnover by W. Barton (bad pass),41,44
164,2,6:29.0,,M. Beasley enters the game for I. Thomas,41,44
165,2,6:14.0,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,,41,44
166,2,6:10.0,,Defensive rebound by P. Millsap,41,44
167,2,6:03.0,,Shooting foul by I. Zubac (drawn by P. Millsap),41,44
168,2,6:03.0,,P. Millsap makes free throw 1 of 2,41,45
169,2,6:03.0,,P. Millsap misses free throw 2 of 2,41,45
170,2,6:01.0,Defensive rebound by I. Zubac,,41,45
171,2,5:50.0,Personal foul by J. Hernangómez (drawn by D. Gallinari),,41,45
172,2,5:50.0,D. Gallinari makes free throw 1 of 2,,42,45
173,2,5:50.0,D. Gallinari makes free throw 2 of 2,,43,45
174,2,5:42.0,,Turnover by J. Murray (lost ball),43,45
