,QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
0,1,11:40.0,R. Gobert misses 2-pt layup from 2 ft,,0,0
1,1,11:37.0,,Defensive rebound by N. Vučević,0,0
2,1,11:31.0,,Turnover by D. Augustin (bad pass),0,0
3,1,11:12.0,J. Ingles misses 3-pt jump shot from 26 ft,,0,0
4,1,11:09.0,,Defensive rebound by E. Fournier,0,0
5,1,10:54.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by D. Augustin),0,2
6,1,10:32.0,D. Mitchell misses 2-pt jump shot from 11 ft,,0,2
7,1,10:29.0,,Defensive rebound by J. Isaac,0,2
8,1,10:18.0,,Turnover by D. Augustin (bad pass; steal by R. Rubio),0,2
9,1,10:12.0,J. Ingles misses 3-pt jump shot from 26 ft,,0,2
10,1,10:07.0,,Defensive rebound by N. Vučević,0,2
11,1,9:59.0,,E. Fournier misses 3-pt jump shot from 24 ft,0,2
12,1,9:57.0,Defensive rebound by R. Rubio,,0,2
13,1,9:51.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),,3,2
14,1,9:33.0,,Personal foul by J. Ingles (drawn by A. Gordon),3,2
15,1,9:23.0,,Turnover by N. Vučević (bad pass),3,2
16,1,9:07.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,5,2
17,1,8:52.0,,N. Vučević misses 2-pt layup from 3 ft,5,2
18,1,8:49.0,Defensive rebound by J. Ingles,,5,2
19,1,8:34.0,R. Rubio misses 2-pt layup from 3 ft (block by J. Isaac),,5,2
20,1,8:31.0,Offensive rebound by R. Gobert,,5,2
21,1,8:26.0,J. Ingles misses 2-pt layup from 2 ft,,5,2
22,1,8:23.0,,Defensive rebound by N. Vučević,5,2
23,1,8:23.0,,Offensive foul by A. Gordon (drawn by J. Ingles),5,2
24,1,8:23.0,,Turnover by A. Gordon (offensive foul),5,2
25,1,8:10.0,D. Mitchell misses 2-pt layup from 8 ft,,5,2
26,1,8:08.0,,Defensive rebound by N. Vučević,5,2
27,1,7:51.0,,A. Gordon misses 2-pt layup from 2 ft,5,2
28,1,7:48.0,Defensive rebound by D. Mitchell,,5,2
29,1,7:38.0,D. Favors misses 2-pt layup from 3 ft,,5,2
30,1,7:35.0,,Defensive rebound by J. Isaac,5,2
31,1,7:23.0,,N. Vučević misses 2-pt jump shot from 14 ft,5,2
32,1,7:20.0,Defensive rebound by D. Favors,,5,2
33,1,7:13.0,D. Favors makes 2-pt layup from 3 ft (assist by J. Ingles),,7,2
34,1,7:13.0,Shooting foul by J. Isaac (drawn by D. Favors),,7,2
35,1,7:13.0,K. Korver enters the game for J. Ingles,,7,2
36,1,7:13.0,D. Favors makes free throw 1 of 1,,8,2
37,1,6:52.0,,D. Augustin misses 2-pt jump shot from 20 ft,8,2
38,1,6:48.0,Defensive rebound by K. Korver,,8,2
39,1,6:44.0,D. Favors makes 2-pt hook shot from 6 ft (assist by R. Rubio),,10,2
40,1,6:44.0,,Orlando full timeout,10,2
41,1,6:44.0,J. Crowder enters the game for D. Favors,,10,2
42,1,6:25.0,,Turnover by J. Isaac (lost ball; steal by R. Gobert),10,2
43,1,6:21.0,Turnover by R. Gobert (bad pass; steal by J. Isaac),,10,2
44,1,6:15.0,,E. Fournier makes 3-pt jump shot from 28 ft (assist by A. Gordon),10,5
45,1,5:59.0,K. Korver misses 3-pt jump shot from 25 ft,,10,5
46,1,5:55.0,,Defensive rebound by N. Vučević,10,5
47,1,5:46.0,,E. Fournier makes 3-pt jump shot from 28 ft (assist by N. Vučević),10,8
48,1,5:34.0,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Rubio),,13,8
49,1,5:08.0,,Turnover by A. Gordon (bad pass; steal by D. Mitchell),13,8
50,1,5:03.0,Turnover by R. Rubio (bad pass; steal by E. Fournier),,13,8
51,1,4:59.0,,Offensive foul by A. Gordon (drawn by R. Rubio),13,8
52,1,4:59.0,,Turnover by A. Gordon (offensive foul),13,8
53,1,4:59.0,,J. Grant enters the game for D. Augustin,13,8
54,1,4:59.0,,J. Simmons enters the game for A. Gordon,13,8
55,1,4:48.0,D. Mitchell misses 3-pt jump shot from 22 ft,,13,8
56,1,4:45.0,,Defensive rebound by J. Grant,13,8
57,1,4:34.0,,E. Fournier makes 2-pt jump shot from 9 ft (assist by N. Vučević),13,10
58,1,4:23.0,Personal foul by J. Simmons (drawn by K. Korver),,13,10
59,1,4:13.0,D. Mitchell misses 3-pt jump shot from 24 ft,,13,10
60,1,4:09.0,,Defensive rebound by N. Vučević,13,10
61,1,4:02.0,,N. Vučević misses 2-pt hook shot from 11 ft,13,10
62,1,3:59.0,Defensive rebound by K. Korver,,13,10
63,1,3:52.0,R. Rubio misses 2-pt jump shot from 20 ft,,13,10
64,1,3:50.0,,Defensive rebound by J. Isaac,13,10
65,1,3:38.0,,J. Isaac misses 2-pt jump shot from 18 ft,13,10
66,1,3:35.0,Defensive rebound by J. Crowder,,13,10
67,1,3:30.0,K. Korver misses 3-pt jump shot from 25 ft,,13,10
68,1,3:27.0,,Defensive rebound by J. Isaac,13,10
69,1,3:09.0,,Shooting foul by R. Gobert (drawn by E. Fournier),13,10
70,1,3:09.0,,E. Fournier makes free throw 1 of 2,13,11
71,1,3:09.0,D. Exum enters the game for R. Gobert,,13,11
72,1,3:09.0,D. Favors enters the game for D. Mitchell,,13,11
73,1,3:09.0,J. Ingles enters the game for R. Rubio,,13,11
74,1,3:09.0,,J. Martin enters the game for J. Isaac,13,11
75,1,3:09.0,,E. Fournier makes free throw 2 of 2,13,12
76,1,3:03.0,Personal foul by J. Grant (drawn by D. Exum),,13,12
77,1,3:03.0,,T. Ross enters the game for E. Fournier,13,12
78,1,3:03.0,Utah full timeout,,13,12
79,1,3:03.0,,M. Bamba enters the game for N. Vučević,13,12
80,1,2:56.0,J. Crowder misses 3-pt jump shot from 23 ft,,13,12
81,1,2:54.0,,Defensive rebound by Team,13,12
82,1,2:54.0,R. O'Neale enters the game for K. Korver,,13,12
83,1,2:41.0,,J. Simmons makes 2-pt jump shot from 16 ft,13,14
84,1,2:18.0,Personal foul by J. Martin (drawn by D. Favors),,13,14
85,1,2:11.0,D. Favors misses 2-pt jump shot from 11 ft,,13,14
86,1,2:07.0,,Defensive rebound by M. Bamba,13,14
87,1,2:00.0,,Turnover by J. Simmons (bad pass; steal by J. Ingles),13,14
88,1,1:56.0,Turnover by J. Ingles (bad pass),,13,14
89,1,1:35.0,,M. Bamba misses 3-pt jump shot from 22 ft,13,14
90,1,1:33.0,Defensive rebound by R. O'Neale,,13,14
91,1,1:16.0,J. Crowder misses 3-pt jump shot from 23 ft,,13,14
92,1,1:12.0,,Defensive rebound by T. Ross,13,14
93,1,0:54.0,,Turnover by J. Simmons (bad pass; steal by J. Crowder),13,14
94,1,0:45.0,Turnover by D. Favors (bad pass; steal by J. Grant),,13,14
95,1,0:42.0,,Personal take foul by R. O'Neale (drawn by J. Martin),13,14
96,1,0:34.0,,Offensive foul by J. Martin (drawn by D. Exum),13,14
97,1,0:34.0,,Turnover by J. Martin (offensive foul),13,14
98,1,0:22.0,J. Ingles misses 2-pt layup from 2 ft (block by M. Bamba),,13,14
99,1,0:21.0,Offensive rebound by D. Favors,,13,14
100,1,0:21.0,Turnover by D. Favors (traveling),,13,14
101,1,0:05.0,,Turnover by J. Simmons (lost ball; steal by J. Ingles),13,14
102,1,0:01.0,Shooting foul by T. Ross (drawn by R. O'Neale),,13,14
103,1,0:01.0,R. O'Neale misses free throw 1 of 2,,13,14
104,1,0:01.0,Offensive rebound by Team,,13,14
105,1,0:01.0,R. O'Neale makes free throw 2 of 2,,14,14
106,1,0:00.0,,J. Simmons misses 3-pt jump shot from 59 ft (block by J. Ingles),14,14
107,1,0:00.0,,Offensive rebound by Team,14,14
108,2,11:46.0,,Shooting foul by D. Exum (drawn by D. Augustin),14,14
109,2,11:46.0,,D. Augustin makes free throw 1 of 2,14,15
110,2,11:46.0,,D. Augustin misses free throw 2 of 2,14,15
111,2,11:44.0,Defensive rebound by D. Exum,,14,15
112,2,11:33.0,Personal foul by J. Martin (drawn by T. Sefolosha),,14,15
113,2,11:26.0,D. Favors misses 2-pt layup from 3 ft (block by M. Bamba),,14,15
114,2,11:22.0,,Defensive rebound by D. Augustin,14,15
115,2,11:20.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by D. Augustin),14,18
116,2,10:56.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. O'Neale),,16,18
117,2,10:35.0,,T. Ross makes 2-pt jump shot from 13 ft (assist by M. Bamba),16,20
