,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
0,1,11:39.0,W. Carter misses 3-pt jump shot from 22 ft,,0,0
1,1,11:36.0,,Defensive rebound by B. Ingram,0,0
2,1,11:20.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,0,0
3,1,11:16.0,,Offensive rebound by L. Ball,0,0
4,1,11:13.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. Ball),0,2
5,1,10:50.0,C. Hutchison misses 3-pt jump shot from 26 ft,,0,2
6,1,10:47.0,,Defensive rebound by K. Kuzma,0,2
7,1,10:38.0,,B. Ingram misses 3-pt jump shot from 27 ft,0,2
8,1,10:33.0,Defensive rebound by W. Carter,,0,2
9,1,10:26.0,Z. LaVine misses 2-pt layup from 2 ft,,0,2
10,1,10:25.0,Offensive rebound by Z. LaVine,,0,2
11,1,10:25.0,Z. LaVine makes 2-pt layup from 1 ft,,2,2
12,1,10:09.0,,Personal foul by C. Hutchison (drawn by B. Ingram),2,2
13,1,10:03.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,2,2
14,1,10:00.0,Defensive rebound by L. Markkanen,,2,2
15,1,9:51.0,Shooting foul by B. Ingram (drawn by L. Markkanen),,2,2
16,1,9:51.0,L. Markkanen makes free throw 1 of 2,,3,2
17,1,9:51.0,L. Markkanen makes free throw 2 of 2,,4,2
18,1,9:32.0,,Turnover by K. Kuzma (bad pass; steal by W. Carter),4,2
19,1,9:29.0,Turnover by K. Dunn (dbl dribble),,4,2
20,1,9:29.0,Technical foul by K. Dunn,,4,2
21,1,9:29.0,,K. Caldwell-Pope makes technical free throw,4,3
22,1,9:16.0,,K. Kuzma misses 2-pt hook shot from 4 ft,4,3
23,1,9:10.0,,Offensive rebound by T. Chandler,4,3
24,1,9:10.0,,T. Chandler makes 2-pt dunk at rim,4,5
25,1,8:55.0,K. Dunn misses 2-pt jump shot from 10 ft,,4,5
26,1,8:51.0,,Defensive rebound by K. Kuzma,4,5
27,1,8:46.0,,Turnover by K. Caldwell-Pope (lost ball; steal by C. Hutchison),4,5
28,1,8:33.0,Personal foul by K. Caldwell-Pope (drawn by Z. LaVine),,4,5
29,1,8:26.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,6,5
30,1,8:16.0,,L. Ball makes 2-pt dunk at rim,6,7
31,1,8:02.0,W. Carter misses 2-pt jump shot from 13 ft,,6,7
32,1,7:59.0,,Defensive rebound by L. Ball,6,7
33,1,7:51.0,,L. Ball misses 3-pt jump shot from 28 ft,6,7
34,1,7:47.0,,Offensive rebound by K. Caldwell-Pope,6,7
35,1,7:43.0,,L. Ball misses 3-pt jump shot from 23 ft,6,7
36,1,7:39.0,Defensive rebound by L. Markkanen,,6,7
37,1,7:32.0,L. Markkanen misses 2-pt jump shot from 6 ft,,6,7
38,1,7:30.0,,Defensive rebound by B. Ingram,6,7
39,1,7:27.0,,K. Kuzma misses 2-pt layup from 5 ft,6,7
40,1,7:24.0,Defensive rebound by W. Carter,,6,7
41,1,7:16.0,L. Markkanen misses 3-pt jump shot from 25 ft,,6,7
42,1,7:11.0,Offensive rebound by W. Carter,,6,7
43,1,7:11.0,W. Carter makes 2-pt dunk from 1 ft,,8,7
44,1,7:11.0,,LA Lakers full timeout,8,7
45,1,6:50.0,,B. Ingram makes 2-pt layup from 2 ft,8,9
46,1,6:26.0,Offensive foul by K. Dunn (drawn by K. Caldwell-Pope),,8,9
47,1,6:26.0,Turnover by K. Dunn (offensive foul),,8,9
48,1,6:12.0,,Turnover by K. Kuzma (discontinued dribble),8,9
49,1,6:12.0,,J. McGee enters the game for T. Chandler,8,9
50,1,6:00.0,Turnover by W. Carter (off goaltending),,8,9
51,1,6:00.0,R. Arcidiacono enters the game for Z. LaVine,,8,9
52,1,5:43.0,,B. Ingram makes 2-pt jump shot from 5 ft (assist by K. Kuzma),8,11
53,1,5:23.0,C. Hutchison misses 2-pt jump shot from 6 ft,,8,11
54,1,5:20.0,Offensive rebound by C. Hutchison,,8,11
55,1,5:17.0,K. Dunn misses 3-pt jump shot from 26 ft,,8,11
56,1,5:13.0,,Defensive rebound by B. Ingram,8,11
57,1,5:05.0,,Personal foul by W. Carter (drawn by J. McGee),8,11
58,1,4:59.0,,J. McGee misses 2-pt layup from 4 ft (block by W. Carter),8,11
59,1,4:59.0,,Offensive rebound by Team,8,11
60,1,4:51.0,,K. Kuzma misses 3-pt jump shot from 25 ft,8,11
61,1,4:47.0,Defensive rebound by K. Dunn,,8,11
62,1,4:45.0,C. Hutchison makes 2-pt layup from 1 ft (assist by K. Dunn),,10,11
63,1,4:33.0,,L. Ball misses 2-pt layup from 2 ft (block by K. Dunn),10,11
64,1,4:31.0,,Offensive rebound by L. Ball,10,11
65,1,4:29.0,,Turnover by L. Ball (bad pass; steal by L. Markkanen),10,11
66,1,4:23.0,C. Hutchison makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,12,11
67,1,4:16.0,,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),12,13
68,1,3:58.0,K. Dunn misses 2-pt jump shot from 5 ft,,12,13
69,1,3:58.0,Offensive rebound by Team,,12,13
70,1,3:52.0,R. Arcidiacono misses 2-pt jump shot from 20 ft,,12,13
71,1,3:48.0,Offensive rebound by W. Carter,,12,13
72,1,3:46.0,C. Hutchison makes 2-pt dunk from 1 ft (assist by W. Carter),,14,13
73,1,3:29.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Ingram),14,15
74,1,3:29.0,,Shooting foul by K. Dunn (drawn by K. Caldwell-Pope),14,15
75,1,3:29.0,S. Harrison enters the game for W. Carter,,14,15
76,1,3:29.0,B. Portis enters the game for K. Dunn,,14,15
77,1,3:29.0,,J. Hart enters the game for K. Kuzma,14,15
78,1,3:29.0,,K. Caldwell-Pope makes free throw 1 of 1,14,16
79,1,3:06.0,B. Portis misses 2-pt jump shot from 17 ft (block by J. McGee),,14,16
80,1,3:02.0,,Defensive rebound by B. Ingram,14,16
81,1,2:59.0,,Shooting foul by R. Arcidiacono (drawn by J. McGee),14,16
82,1,2:59.0,Chicago full timeout,,14,16
83,1,2:59.0,Z. LaVine enters the game for C. Hutchison,,14,16
84,1,2:59.0,,M. Beasley enters the game for L. Ball,14,16
85,1,2:59.0,,J. McGee misses free throw 1 of 2,14,16
86,1,2:59.0,,Offensive rebound by Team,14,16
87,1,2:59.0,,J. McGee makes free throw 2 of 2,14,17
88,1,2:50.0,S. Harrison makes 2-pt layup from 2 ft (assist by B. Portis),,16,17
89,1,2:32.0,,J. McGee misses 2-pt hook shot from 4 ft,16,17
90,1,2:32.0,Defensive rebound by Team,,16,17
91,1,2:24.0,B. Portis misses 3-pt jump shot from 25 ft,,16,17
92,1,2:20.0,Offensive rebound by Team,,16,17
93,1,2:16.0,S. Harrison misses 2-pt layup from 2 ft,,16,17
94,1,2:13.0,,Defensive rebound by B. Ingram,16,17
95,1,1:56.0,,K. Caldwell-Pope makes 2-pt jump shot from 2 ft,16,19
96,1,1:33.0,B. Portis misses 2-pt hook shot from 3 ft (block by J. McGee),,16,19
97,1,1:30.0,,Defensive rebound by M. Beasley,16,19
98,1,1:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,16,19
99,1,1:23.0,Defensive rebound by B. Portis,,16,19
100,1,1:17.0,R. Arcidiacono makes 2-pt layup from 1 ft,,18,19
101,1,1:01.0,,J. McGee misses 2-pt jump shot from 14 ft,18,19
102,1,0:59.0,Defensive rebound by Z. LaVine,,18,19
103,1,0:55.0,Personal foul by J. McGee (drawn by Z. LaVine),,18,19
104,1,0:50.0,Z. LaVine misses 3-pt jump shot from 28 ft,,18,19
105,1,0:47.0,,Defensive rebound by J. McGee,18,19
106,1,0:34.0,,M. Beasley misses 2-pt layup from 6 ft (block by S. Harrison),18,19
107,1,0:31.0,Defensive rebound by B. Portis,,18,19
108,1,0:29.0,Z. LaVine misses 2-pt layup from 2 ft,,18,19
109,1,0:25.0,Offensive rebound by B. Portis,,18,19
110,1,0:25.0,B. Portis misses 2-pt layup from 1 ft,,18,19
111,1,0:24.0,Offensive rebound by B. Portis,,18,19
112,1,0:24.0,B. Portis misses 2-pt layup from 1 ft,,18,19
113,1,0:23.0,,Defensive rebound by M. Beasley,18,19
114,1,0:03.0,,B. Ingram misses 2-pt jump shot from 4 ft,18,19
115,1,0:02.0,Defensive rebound by L. Markkanen,,18,19
116,1,0:00.0,L. Markkanen misses 3-pt jump shot from 60 ft,,18,19
117,1,0:00.0,Offensive rebound by Team,,18,19
118,2,11:58.0,,Violation by Team (delay of game),18,19
119,2,11:47.0,,Turnover by M. Beasley (traveling),18,19
120,2,11:34.0,B. Portis makes 2-pt jump shot from 6 ft (assist by Z. LaVine),,20,19
121,2,11:21.0,,Shooting foul by J. Parker (drawn by M. Beasley),20,19
122,2,11:21.0,,M. Beasley misses free throw 1 of 2,20,19
123,2,11:21.0,,Offensive rebound by Team,20,19
124,2,11:21.0,,M. Beasley misses free throw 2 of 2,20,19
125,2,11:18.0,Defensive rebound by B. Portis,,20,19
126,2,10:59.0,S. Harrison misses 3-pt jump shot from 26 ft,,20,19
127,2,10:56.0,,Defensive rebound by I. Zubac,20,19
128,2,10:44.0,,M. Beasley makes 2-pt jump shot from 4 ft,20,21
129,2,10:28.0,J. Parker makes 2-pt dunk from 1 ft (assist by Z. LaVine),,22,21
130,2,10:15.0,,L. Stephenson makes 3-pt jump shot from 27 ft (assist by I. Zubac),22,24
131,2,10:03.0,J. Parker makes 3-pt jump shot from 25 ft (assist by B. Portis),,25,24
132,2,9:50.0,,Turnover by L. Stephenson (lost ball; steal by S. Harrison),25,24
133,2,9:50.0,Personal take foul by L. Stephenson (drawn by S. Harrison),,25,24
134,2,9:42.0,J. Parker misses 3-pt jump shot from 26 ft,,25,24
135,2,9:39.0,,Defensive rebound by J. Hart,25,24
136,2,9:25.0,,Turnover by L. Stephenson (out of bounds lost ball),25,24
137,2,9:17.0,B. Portis misses 3-pt jump shot from 26 ft,,25,24
138,2,9:13.0,,Defensive rebound by J. Hart,25,24
139,2,8:59.0,,Turnover by J. Hart (bad pass; steal by R. Arcidiacono),25,24
140,2,8:56.0,S. Harrison makes 2-pt layup from 1 ft (assist by Z. LaVine),,27,24
141,2,8:56.0,,LA Lakers full timeout,27,24
142,2,8:56.0,,L. Ball enters the game for J. Hart,27,24
143,2,8:56.0,,K. Kuzma enters the game for L. Stephenson,27,24
144,2,8:32.0,,L. Ball misses 3-pt jump shot from 28 ft,27,24
145,2,8:29.0,Defensive rebound by S. Harrison,,27,24
146,2,8:12.0,J. Parker misses 3-pt jump shot from 25 ft,,27,24
147,2,8:08.0,,Defensive rebound by K. Kuzma,27,24
148,2,7:55.0,,K. Kuzma misses 2-pt jump shot from 9 ft,27,24
149,2,7:51.0,Defensive rebound by J. Parker,,27,24
150,2,7:48.0,Shooting foul by I. Zubac (drawn by R. Arcidiacono),,27,24
151,2,7:48.0,R. Arcidiacono makes free throw 1 of 3,,28,24
