,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,R. Kurucs misses 3-pt jump shot from 27 ft,,0,0
1,1,11:39.0,,Defensive rebound by N. Batum,0,0
2,1,11:22.0,,J. Lamb makes 2-pt jump shot from 13 ft,0,2
3,1,10:54.0,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,,0,2
4,1,10:52.0,,Defensive rebound by N. Batum,0,2
5,1,10:45.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by K. Walker),0,4
6,1,10:26.0,J. Allen misses 2-pt layup from 6 ft (block by C. Zeller),,0,4
7,1,10:23.0,,Defensive rebound by C. Zeller,0,4
8,1,10:15.0,,C. Zeller misses 2-pt layup from 5 ft,0,4
9,1,10:11.0,Defensive rebound by D. Russell,,0,4
10,1,10:07.0,Offensive foul by J. Allen (drawn by K. Walker),,0,4
11,1,10:07.0,Turnover by J. Allen (offensive foul),,0,4
12,1,9:54.0,,J. Lamb makes 2-pt layup from 4 ft (assist by N. Batum),0,6
13,1,9:38.0,D. Russell makes 2-pt jump shot from 17 ft,,2,6
14,1,9:28.0,,C. Zeller makes 3-pt jump shot from 26 ft (assist by K. Walker),2,9
15,1,9:16.0,D. Russell makes 2-pt jump shot from 16 ft,,4,9
16,1,8:51.0,,K. Walker misses 2-pt jump shot from 14 ft,4,9
17,1,8:48.0,Defensive rebound by J. Allen,,4,9
18,1,8:36.0,D. Russell misses 3-pt jump shot from 27 ft,,4,9
19,1,8:34.0,,Defensive rebound by C. Zeller,4,9
20,1,8:29.0,,J. Lamb makes 2-pt layup at rim,4,11
21,1,8:29.0,Brooklyn full timeout,,4,11
22,1,8:08.0,R. Hollis-Jefferson misses 3-pt jump shot from 28 ft,,4,11
23,1,8:06.0,,Defensive rebound by C. Zeller,4,11
24,1,7:57.0,,K. Walker makes 3-pt jump shot from 25 ft,4,14
25,1,7:38.0,D. Russell misses 2-pt jump shot from 18 ft,,4,14
26,1,7:36.0,,Defensive rebound by C. Zeller,4,14
27,1,7:24.0,,K. Walker misses 3-pt jump shot from 25 ft,4,14
28,1,7:22.0,Defensive rebound by J. Harris,,4,14
29,1,7:13.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft (block by C. Zeller),,4,14
30,1,7:12.0,J. Allen misses 2-pt layup from 2 ft,,4,14
31,1,7:12.0,Offensive rebound by J. Allen,,4,14
32,1,7:12.0,Offensive rebound by J. Allen,,4,14
33,1,7:12.0,J. Allen misses 2-pt layup from 4 ft,,4,14
34,1,7:11.0,Offensive rebound by Team,,4,14
35,1,7:11.0,Turnover by J. Allen (traveling),,4,14
36,1,7:03.0,,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),4,16
37,1,7:03.0,,Shooting foul by R. Kurucs (drawn by C. Zeller),4,16
38,1,7:03.0,,C. Zeller makes free throw 1 of 1,4,17
39,1,6:53.0,J. Allen misses 2-pt layup from 3 ft,,4,17
40,1,6:51.0,,Defensive rebound by K. Walker,4,17
41,1,6:48.0,,M. Williams misses 3-pt jump shot from 25 ft (block by R. Hollis-Jefferson),4,17
42,1,6:48.0,,Offensive rebound by Team,4,17
43,1,6:44.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by C. Zeller),4,20
44,1,6:28.0,D. Russell makes 2-pt jump shot from 6 ft,,6,20
45,1,6:12.0,,Shooting foul by J. Harris (drawn by J. Lamb),6,20
46,1,6:12.0,,J. Lamb makes free throw 1 of 2,6,21
47,1,6:12.0,S. Dinwiddie enters the game for D. Russell,,6,21
48,1,6:12.0,,J. Lamb makes free throw 2 of 2,6,22
49,1,5:57.0,J. Allen misses 2-pt layup from 5 ft,,6,22
50,1,5:54.0,,Defensive rebound by J. Lamb,6,22
51,1,5:47.0,,J. Lamb makes 2-pt jump shot from 10 ft,6,24
52,1,5:41.0,Offensive foul by J. Allen (drawn by N. Batum),,6,24
53,1,5:41.0,Turnover by J. Allen (offensive foul),,6,24
