,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
0,1,11:39.0,,J. Tatum misses 2-pt jump shot from 17 ft,0,0
1,1,11:37.0,Defensive rebound by D. Jordan,,0,0
2,1,11:21.0,D. Smith misses 3-pt jump shot from 28 ft,,0,0
3,1,11:19.0,,Defensive rebound by T. Rozier,0,0
4,1,11:05.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by J. Brown),0,3
5,1,10:49.0,Turnover by W. Matthews (bad pass; steal by J. Tatum),,0,3
6,1,10:45.0,,J. Tatum makes 2-pt dunk from 1 ft,0,5
7,1,10:29.0,Personal foul by J. Tatum (drawn by H. Barnes),,0,5
8,1,10:23.0,L. Dončić makes 3-pt jump shot from 27 ft,,3,5
9,1,10:10.0,,M. Smart makes 2-pt layup from 1 ft,3,7
10,1,9:58.0,W. Matthews misses 3-pt jump shot from 23 ft,,3,7
11,1,9:56.0,Offensive rebound by D. Jordan,,3,7
12,1,9:54.0,D. Smith makes 2-pt jump shot from 8 ft (assist by D. Jordan),,5,7
13,1,9:38.0,,Turnover by J. Tatum (lost ball; steal by D. Smith),5,7
14,1,9:33.0,L. Dončić misses 2-pt layup from 4 ft,,5,7
15,1,9:31.0,,Defensive rebound by A. Horford,5,7
16,1,9:26.0,,T. Rozier misses 3-pt jump shot from 23 ft,5,7
17,1,9:24.0,Defensive rebound by L. Dončić,,5,7
18,1,9:13.0,Turnover by L. Dončić (bad pass; steal by J. Brown),,5,7
19,1,9:09.0,,T. Rozier misses 3-pt jump shot from 23 ft,5,7
20,1,9:07.0,Defensive rebound by W. Matthews,,5,7
21,1,9:03.0,Turnover by D. Smith (lost ball; steal by A. Horford),,5,7
22,1,9:03.0,,Personal take foul by D. Jordan (drawn by A. Horford),5,7
23,1,8:53.0,,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford),5,9
24,1,8:53.0,Dallas full timeout,,5,9
25,1,8:32.0,Turnover by L. Dončić (bad pass; steal by J. Brown),,5,9
26,1,8:26.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by T. Rozier),5,12
27,1,8:09.0,Turnover by D. Smith (bad pass; steal by T. Rozier),,5,12
28,1,7:57.0,,Turnover by J. Tatum (bad pass; steal by D. Jordan),5,12
29,1,7:52.0,H. Barnes misses 3-pt jump shot from 27 ft,,5,12
30,1,7:50.0,Offensive rebound by D. Jordan,,5,12
31,1,7:43.0,D. Smith misses 2-pt layup from 2 ft,,5,12
32,1,7:41.0,,Defensive rebound by A. Horford,5,12
33,1,7:35.0,,J. Brown makes 2-pt jump shot from 19 ft,5,14
34,1,7:18.0,H. Barnes misses 2-pt jump shot from 17 ft,,5,14
35,1,7:16.0,,Defensive rebound by A. Horford,5,14
36,1,7:06.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),5,17
37,1,6:45.0,L. Dončić misses 3-pt jump shot from 25 ft,,5,17
38,1,6:43.0,,Defensive rebound by J. Tatum,5,17
39,1,6:36.0,,A. Horford misses 3-pt jump shot from 27 ft,5,17
40,1,6:34.0,Defensive rebound by W. Matthews,,5,17
41,1,6:22.0,D. Smith misses 3-pt jump shot from 27 ft,,5,17
42,1,6:18.0,Offensive rebound by D. Jordan,,5,17
43,1,6:16.0,L. Dončić makes 2-pt layup from 1 ft (assist by D. Jordan),,7,17
44,1,5:55.0,,A. Horford makes 2-pt hook shot from 5 ft (assist by J. Brown),7,19
45,1,5:35.0,W. Matthews makes 2-pt jump shot from 19 ft,,9,19
46,1,5:21.0,,J. Tatum misses 3-pt jump shot from 25 ft,9,19
47,1,5:19.0,,Offensive rebound by A. Horford,9,19
48,1,5:14.0,,J. Tatum misses 3-pt jump shot from 23 ft,9,19
49,1,5:12.0,Defensive rebound by D. Jordan,,9,19
50,1,5:08.0,D. Smith makes 2-pt layup from 1 ft,,11,19
51,1,5:08.0,Shooting foul by J. Brown (drawn by D. Smith),,11,19
52,1,5:08.0,,G. Hayward enters the game for J. Brown,11,19
53,1,5:08.0,,D. Theis enters the game for A. Horford,11,19
54,1,5:08.0,D. Smith makes free throw 1 of 1,,12,19
55,1,4:55.0,,Turnover by G. Hayward (lost ball; steal by W. Matthews),12,19
56,1,4:55.0,Personal take foul by G. Hayward (drawn by H. Barnes),,12,19
57,1,4:40.0,Turnover by W. Matthews (traveling),,12,19
58,1,4:26.0,,J. Tatum makes 2-pt jump shot from 12 ft,12,21
59,1,4:12.0,D. Jordan makes 2-pt dunk from 2 ft (assist by L. Dončić),,14,21
60,1,3:57.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by D. Theis),14,24
61,1,3:43.0,L. Dončić misses 3-pt jump shot from 23 ft,,14,24
62,1,3:40.0,,Defensive rebound by J. Tatum,14,24
63,1,3:37.0,,J. Tatum misses 3-pt jump shot from 25 ft,14,24
64,1,3:35.0,Defensive rebound by L. Dončić,,14,24
65,1,3:28.0,D. Smith misses 3-pt jump shot from 22 ft,,14,24
66,1,3:28.0,Offensive rebound by D. Jordan,,14,24
67,1,3:25.0,D. Jordan makes 2-pt dunk from 2 ft,,16,24
68,1,3:18.0,,Boston full timeout,16,24
69,1,3:18.0,J. Barea enters the game for D. Smith,,16,24
70,1,3:18.0,,B. Wanamaker enters the game for T. Rozier,16,24
71,1,3:10.0,,M. Smart misses 3-pt jump shot from 24 ft,16,24
72,1,3:08.0,Defensive rebound by D. Jordan,,16,24
73,1,2:56.0,Personal foul by J. Tatum (drawn by H. Barnes),,16,24
74,1,2:43.0,H. Barnes makes 2-pt hook shot from 4 ft,,18,24
75,1,2:28.0,,J. Tatum misses 3-pt jump shot from 25 ft,18,24
76,1,2:27.0,Defensive rebound by L. Dončić,,18,24
77,1,2:17.0,Shooting foul by M. Smart (drawn by H. Barnes),,18,24
78,1,2:17.0,H. Barnes makes free throw 1 of 2,,19,24
79,1,2:17.0,D. Finney-Smith enters the game for L. Dončić,,19,24
80,1,2:17.0,D. Harris enters the game for D. Jordan,,19,24
81,1,2:17.0,D. Powell enters the game for W. Matthews,,19,24
82,1,2:17.0,,J. Brown enters the game for M. Smart,19,24
83,1,2:17.0,,S. Ojeleye enters the game for J. Tatum,19,24
84,1,2:17.0,H. Barnes makes free throw 2 of 2,,20,24
85,1,2:01.0,,S. Ojeleye makes 2-pt layup at rim (assist by G. Hayward),20,26
86,1,1:46.0,J. Barea makes 2-pt jump shot from 7 ft,,22,26
87,1,1:30.0,,G. Hayward misses 3-pt jump shot from 25 ft,22,26
88,1,1:28.0,,Offensive rebound by S. Ojeleye,22,26
89,1,1:27.0,,J. Brown misses 3-pt jump shot from 26 ft,22,26
90,1,1:25.0,Defensive rebound by J. Barea,,22,26
91,1,1:07.0,Personal foul by S. Ojeleye (drawn by J. Barea),,22,26
92,1,1:07.0,J. Barea misses free throw 1 of 2,,22,26
93,1,1:07.0,Offensive rebound by Team,,22,26
94,1,1:07.0,D. Nowitzki enters the game for H. Barnes,,22,26
95,1,1:07.0,J. Barea makes free throw 2 of 2,,23,26
96,1,0:53.0,,G. Hayward makes 2-pt jump shot from 12 ft (assist by B. Wanamaker),23,28
97,1,0:45.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,23,28
98,1,0:43.0,,Defensive rebound by D. Theis,23,28
99,1,0:37.0,,B. Wanamaker makes 3-pt jump shot from 26 ft,23,31
100,1,0:24.0,J. Barea misses 3-pt jump shot from 25 ft,,23,31
101,1,0:22.0,,Defensive rebound by D. Theis,23,31
102,1,0:03.0,,B. Wanamaker makes 3-pt jump shot from 26 ft (assist by G. Hayward),23,34
103,2,11:46.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,23,34
104,2,11:44.0,,Defensive rebound by G. Hayward,23,34
105,2,11:30.0,,G. Hayward misses 2-pt jump shot from 15 ft,23,34
106,2,11:28.0,Defensive rebound by D. Powell,,23,34
107,2,11:22.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,23,34
108,2,11:20.0,,Defensive rebound by D. Theis,23,34
109,2,11:10.0,,B. Wanamaker misses 2-pt jump shot from 8 ft,23,34
110,2,11:08.0,Defensive rebound by D. Finney-Smith,,23,34
111,2,11:01.0,Personal foul by S. Ojeleye (drawn by D. Powell),,23,34
112,2,10:57.0,Personal foul by G. Hayward (drawn by D. Powell),,23,34
113,2,10:52.0,D. Harris misses 3-pt jump shot from 27 ft,,23,34
114,2,10:50.0,,Defensive rebound by J. Brown,23,34
115,2,10:42.0,,S. Ojeleye misses 3-pt jump shot from 26 ft,23,34
116,2,10:40.0,Defensive rebound by D. Harris,,23,34
117,2,10:31.0,D. Harris makes 2-pt layup from 1 ft,,25,34
118,2,10:10.0,,J. Brown makes 2-pt jump shot from 11 ft,25,36
119,2,9:49.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,25,36
120,2,9:47.0,,Defensive rebound by D. Theis,25,36
121,2,9:40.0,,Turnover by G. Hayward (lost ball; steal by D. Harris),25,36
122,2,9:25.0,D. Powell misses 3-pt jump shot from 27 ft,,25,36
123,2,9:21.0,,Defensive rebound by J. Brown,25,36
124,2,9:16.0,,S. Ojeleye makes 2-pt layup at rim (assist by G. Hayward),25,38
125,2,9:08.0,Shooting foul by J. Brown (drawn by J. Barea),,25,38
126,2,9:08.0,J. Barea misses free throw 1 of 2,,25,38
127,2,9:08.0,Offensive rebound by Team,,25,38
128,2,9:08.0,J. Barea makes free throw 2 of 2,,26,38
129,2,8:57.0,,Shooting foul by D. Nowitzki (drawn by D. Theis),26,38
130,2,8:57.0,,D. Theis makes free throw 1 of 2,26,39
131,2,8:57.0,,D. Theis misses free throw 2 of 2,26,39
132,2,8:55.0,Defensive rebound by D. Powell,,26,39
133,2,8:40.0,Shooting foul by S. Ojeleye (drawn by D. Harris),,26,39
134,2,8:40.0,D. Harris makes free throw 1 of 2,,27,39
135,2,8:40.0,D. Harris makes free throw 2 of 2,,28,39
136,2,8:27.0,,Personal foul by D. Harris (drawn by J. Brown),28,39
137,2,8:22.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by G. Hayward),28,41
138,2,8:04.0,Personal foul by J. Brown (drawn by D. Finney-Smith),,28,41
139,2,8:04.0,D. Finney-Smith misses free throw 1 of 2,,28,41
140,2,8:04.0,Offensive rebound by Team,,28,41
141,2,8:04.0,,T. Rozier enters the game for G. Hayward,28,41
142,2,8:04.0,D. Finney-Smith makes free throw 2 of 2,,29,41
143,2,7:47.0,,Turnover by B. Wanamaker (bad pass; steal by D. Powell),29,41
144,2,7:40.0,J. Barea misses 3-pt jump shot from 27 ft,,29,41
145,2,7:37.0,,Defensive rebound by D. Theis,29,41
146,2,7:33.0,,B. Wanamaker makes 2-pt layup from 1 ft (assist by D. Theis),29,43
147,2,7:33.0,Dallas full timeout,,29,43
148,2,7:15.0,D. Harris makes 3-pt jump shot from 26 ft (assist by J. Barea),,32,43
149,2,6:59.0,,J. Brown makes 2-pt layup from 1 ft (assist by D. Theis),32,45
150,2,6:45.0,Turnover by D. Nowitzki (bad pass; steal by B. Wanamaker),,32,45
151,2,6:40.0,,J. Brown misses 2-pt jump shot from 10 ft,32,45
152,2,6:37.0,Defensive rebound by D. Nowitzki,,32,45
153,2,6:31.0,Turnover by D. Harris (lost ball; steal by J. Brown),,32,45
154,2,6:24.0,,Shooting foul by D. Nowitzki (drawn by T. Rozier),32,45
155,2,6:24.0,,T. Rozier makes free throw 1 of 2,32,46
156,2,6:24.0,H. Barnes enters the game for J. Barea,,32,46
157,2,6:24.0,L. Dončić enters the game for D. Finney-Smith,,32,46
158,2,6:24.0,D. Jordan enters the game for D. Harris,,32,46
159,2,6:24.0,W. Matthews enters the game for D. Nowitzki,,32,46
160,2,6:24.0,D. Smith enters the game for D. Powell,,32,46
161,2,6:24.0,,G. Hayward enters the game for J. Brown,32,46
162,2,6:24.0,,M. Smart enters the game for S. Ojeleye,32,46
163,2,6:24.0,,J. Tatum enters the game for B. Wanamaker,32,46
164,2,6:24.0,,T. Rozier makes free throw 2 of 2,32,47
165,2,6:11.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,34,47
166,2,5:43.0,,J. Tatum misses 3-pt jump shot from 26 ft,34,47
167,2,5:42.0,Defensive rebound by L. Dončić,,34,47
168,2,5:37.0,,Violation by Team (kicked ball),34,47
169,2,5:22.0,D. Smith misses 2-pt layup from 2 ft (block by D. Theis),,34,47
170,2,5:21.0,Offensive rebound by L. Dončić,,34,47
171,2,5:21.0,L. Dončić makes 2-pt layup from 1 ft,,36,47
172,2,5:01.0,,G. Hayward makes 3-pt jump shot from 27 ft (assist by T. Rozier),36,50
173,2,4:48.0,L. Dončić misses 2-pt layup from 4 ft,,36,50
174,2,4:45.0,,Defensive rebound by G. Hayward,36,50
175,2,4:40.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by T. Rozier),36,53
176,2,4:39.0,Dallas full timeout,,36,53
177,2,4:39.0,,A. Horford enters the game for D. Theis,36,53
178,2,4:16.0,W. Matthews makes 3-pt jump shot from 24 ft,,39,53
179,2,3:59.0,,T. Rozier misses 3-pt jump shot from 26 ft,39,53
180,2,3:56.0,Defensive rebound by D. Jordan,,39,53
181,2,3:41.0,H. Barnes makes 2-pt hook shot at rim,,41,53
182,2,3:16.0,,A. Horford misses 2-pt hook shot from 6 ft (block by D. Jordan),41,53
183,2,3:13.0,Defensive rebound by H. Barnes,,41,53
184,2,3:11.0,H. Barnes misses 2-pt layup from 1 ft,,41,53
185,2,3:10.0,D. Smith makes 2-pt layup at rim,,43,53
186,2,3:10.0,Offensive rebound by D. Smith,,43,53
187,2,3:10.0,,Boston full timeout,43,53
188,2,2:56.0,,J. Tatum misses 2-pt layup from 2 ft,43,53
189,2,2:54.0,Defensive rebound by D. Jordan,,43,53
190,2,2:47.0,Turnover by H. Barnes (bad pass; steal by M. Smart),,43,53
191,2,2:41.0,,A. Horford misses 2-pt layup from 3 ft,43,53
192,2,2:39.0,,Offensive rebound by A. Horford,43,53
193,2,2:37.0,,A. Horford misses 2-pt layup from 2 ft,43,53
194,2,2:35.0,,Offensive rebound by G. Hayward,43,53
195,2,2:34.0,,M. Smart misses 3-pt jump shot from 27 ft,43,53
196,2,2:32.0,,Offensive rebound by G. Hayward,43,53
197,2,2:29.0,,T. Rozier misses 3-pt jump shot from 25 ft,43,53
198,2,2:27.0,Defensive rebound by D. Jordan,,43,53
199,2,2:13.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by L. Dončić),,46,53
200,2,1:52.0,,T. Rozier misses 2-pt layup from 4 ft,46,53
201,2,1:50.0,,Offensive rebound by Team,46,53
202,2,1:39.0,,G. Hayward misses 2-pt jump shot from 10 ft,46,53
203,2,1:37.0,,Offensive rebound by M. Smart,46,53
