,QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
0,1,11:35.0,E. Gordon misses 3-pt jump shot from 23 ft,,0,0
1,1,11:32.0,,Defensive rebound by D. Green,0,0
2,1,11:31.0,,Turnover by K. Lowry (traveling),0,0
3,1,11:11.0,J. Harden makes 2-pt layup from 1 ft,,2,0
4,1,10:43.0,,K. Lowry misses 2-pt jump shot from 10 ft,2,0
5,1,10:40.0,Defensive rebound by E. Gordon,,2,0
6,1,10:33.0,C. Capela makes 2-pt layup from 1 ft,,4,0
7,1,10:24.0,,D. Green misses 3-pt jump shot from 25 ft,4,0
8,1,10:21.0,Defensive rebound by C. Paul,,4,0
9,1,10:14.0,C. Paul misses 2-pt jump shot from 8 ft,,4,0
10,1,10:12.0,,Defensive rebound by K. Leonard,4,0
11,1,10:03.0,,K. Leonard misses 2-pt layup from 2 ft,4,0
12,1,10:01.0,,Offensive rebound by S. Ibaka,4,0
13,1,9:50.0,,K. Leonard makes 2-pt layup from 1 ft (assist by S. Ibaka),4,2
14,1,9:30.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,6,2
15,1,9:12.0,,Shooting foul by J. Harden (drawn by P. Siakam),6,2
16,1,9:12.0,,P. Siakam misses free throw 1 of 2,6,2
17,1,9:12.0,,Offensive rebound by Team,6,2
18,1,9:12.0,,P. Siakam misses free throw 2 of 2,6,2
19,1,9:10.0,Defensive rebound by C. Capela,,6,2
20,1,9:01.0,J. Harden misses 2-pt layup from 2 ft,,6,2
21,1,8:57.0,Offensive rebound by C. Capela,,6,2
22,1,8:57.0,Turnover by C. Capela (lost ball),,6,2
23,1,8:57.0,Loose ball foul by C. Capela (drawn by D. Green),,6,2
24,1,8:50.0,,P. Siakam misses 2-pt layup from 2 ft,6,2
25,1,8:48.0,Defensive rebound by J. Harden,,6,2
26,1,8:45.0,E. Gordon misses 3-pt jump shot from 26 ft,,6,2
27,1,8:42.0,,Defensive rebound by D. Green,6,2
28,1,8:35.0,,K. Leonard makes 2-pt jump shot from 16 ft,6,4
29,1,8:10.0,P. Tucker misses 3-pt jump shot from 23 ft,,6,4
30,1,8:08.0,,Defensive rebound by K. Leonard,6,4
31,1,7:57.0,,Turnover by S. Ibaka (lost ball; steal by J. Harden),6,4
32,1,7:52.0,P. Tucker makes 2-pt layup from 2 ft (assist by J. Harden),,8,4
33,1,7:38.0,,Personal foul by P. Tucker (drawn by K. Leonard),8,4
34,1,7:28.0,,K. Leonard makes 2-pt layup from 3 ft,8,6
35,1,7:11.0,J. Harden misses 2-pt layup from 3 ft (block by S. Ibaka),,8,6
36,1,7:09.0,,Defensive rebound by K. Lowry,8,6
37,1,7:07.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),8,9
38,1,6:49.0,C. Paul misses 2-pt jump shot from 15 ft,,8,9
39,1,6:46.0,,Defensive rebound by D. Green,8,9
40,1,6:34.0,,K. Leonard makes 2-pt jump shot from 17 ft,8,11
41,1,6:21.0,Turnover by E. Gordon (out of bounds lost ball),,8,11
42,1,6:21.0,,Toronto full timeout,8,11
43,1,6:21.0,A. Rivers enters the game for C. Paul,,8,11
