,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),,2,0
1,1,11:44.0,,San Antonio full timeout,2,0
2,1,11:24.0,,L. Aldridge makes 2-pt jump shot from 12 ft,2,2
3,1,11:07.0,Shooting foul by P. Gasol (drawn by J. Green),,2,2
4,1,11:07.0,J. Green makes free throw 1 of 2,,3,2
5,1,11:07.0,J. Green makes free throw 2 of 2,,4,2
6,1,10:50.0,,Personal foul by J. Green (drawn by L. Aldridge),4,2
7,1,10:38.0,,L. Aldridge misses 2-pt jump shot from 14 ft,4,2
8,1,10:35.0,Defensive rebound by T. Satoranský,,4,2
9,1,10:17.0,T. Satoranský misses 2-pt jump shot from 7 ft,,4,2
10,1,10:14.0,,Defensive rebound by P. Gasol,4,2
11,1,10:05.0,,P. Gasol misses 2-pt jump shot from 19 ft,4,2
12,1,10:03.0,,Offensive rebound by Team,4,2
13,1,9:57.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by R. Gay),4,4
14,1,9:45.0,B. Beal misses 2-pt jump shot from 17 ft,,4,4
15,1,9:42.0,,Defensive rebound by P. Gasol,4,4
16,1,9:32.0,,Turnover by L. Aldridge (bad pass; steal by B. Beal),4,4
17,1,9:25.0,T. Bryant makes 2-pt jump shot from 13 ft (assist by B. Beal),,6,4
18,1,9:13.0,,L. Aldridge misses 2-pt jump shot from 9 ft,6,4
19,1,9:13.0,Defensive rebound by Team,,6,4
20,1,8:55.0,T. Ariza misses 2-pt jump shot from 2 ft,,6,4
21,1,8:55.0,Offensive rebound by T. Ariza,,6,4
22,1,8:55.0,Shooting foul by P. Gasol (drawn by T. Ariza),,6,4
23,1,8:55.0,T. Ariza makes free throw 1 of 2,,7,4
24,1,8:55.0,,D. Bertāns enters the game for P. Gasol,7,4
25,1,8:55.0,T. Ariza makes free throw 2 of 2,,8,4
26,1,8:35.0,,D. White makes 2-pt dunk from 1 ft (assist by R. Gay),8,6
27,1,8:20.0,T. Bryant makes 2-pt jump shot from 13 ft (assist by T. Satoranský),,10,6
28,1,8:05.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by L. Aldridge),10,9
29,1,7:51.0,Turnover by T. Satoranský (bad pass; steal by R. Gay),,10,9
30,1,7:47.0,,Turnover by D. Bertāns (out of bounds lost ball),10,9
31,1,7:28.0,T. Ariza misses 3-pt jump shot from 25 ft,,10,9
32,1,7:24.0,,Defensive rebound by L. Aldridge,10,9
33,1,7:15.0,,R. Gay makes 2-pt jump shot from 9 ft,10,11
34,1,6:56.0,B. Beal misses 2-pt jump shot from 16 ft,,10,11
35,1,6:53.0,,Defensive rebound by L. Aldridge,10,11
36,1,6:43.0,,R. Gay makes 2-pt jump shot from 17 ft (assist by D. White),10,13
37,1,6:30.0,T. Ariza misses 2-pt layup at rim (block by L. Aldridge),,10,13
38,1,6:25.0,,Defensive rebound by D. Bertāns,10,13
39,1,6:20.0,,B. Forbes misses 3-pt jump shot from 25 ft,10,13
40,1,6:16.0,Defensive rebound by T. Ariza,,10,13
41,1,6:05.0,J. Green makes 2-pt hook shot from 5 ft (assist by B. Beal),,12,13
42,1,5:49.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),12,15
43,1,5:32.0,J. Green misses 3-pt jump shot from 27 ft,,12,15
44,1,5:32.0,,Defensive rebound by R. Gay,12,15
45,1,5:23.0,,R. Gay makes 2-pt layup from 5 ft,12,17
46,1,5:15.0,Washington full timeout,,12,17
47,1,5:15.0,O. Porter enters the game for J. Green,,12,17
48,1,5:15.0,,M. Belinelli enters the game for B. Forbes,12,17
49,1,5:15.0,,P. Mills enters the game for D. White,12,17
50,1,5:04.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by T. Satoranský),,15,17
51,1,4:50.0,,R. Gay misses 3-pt jump shot from 23 ft,15,17
52,1,4:47.0,Defensive rebound by T. Bryant,,15,17
53,1,4:35.0,B. Beal misses 3-pt jump shot from 26 ft,,15,17
54,1,4:32.0,,Defensive rebound by R. Gay,15,17
55,1,4:17.0,,L. Aldridge misses 2-pt hook shot from 5 ft,15,17
56,1,4:15.0,Defensive rebound by T. Bryant,,15,17
57,1,4:09.0,Shooting foul by D. Bertāns (drawn by T. Bryant),,15,17
58,1,4:09.0,T. Bryant makes free throw 1 of 2,,16,17
59,1,4:09.0,C. Randle enters the game for T. Satoranský,,16,17
60,1,4:09.0,,D. Cunningham enters the game for R. Gay,16,17
61,1,4:09.0,T. Bryant makes free throw 2 of 2,,17,17
