,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHOENIX_ACTION,BOSTON_SCORE,PHOENIX_SCORE
0,1,11:43.0,K. Irving makes 3-pt jump shot from 26 ft (assist by G. Hayward),,3,0
1,1,11:23.0,,D. Ayton misses 2-pt jump shot from 14 ft,3,0
2,1,11:21.0,Defensive rebound by K. Irving,,3,0
3,1,11:19.0,Personal foul by I. Canaan (drawn by K. Irving),,3,0
4,1,11:12.0,A. Horford misses 2-pt jump shot from 19 ft,,3,0
5,1,11:10.0,,Defensive rebound by D. Ayton,3,0
6,1,10:48.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by T. Ariza),3,3
7,1,10:32.0,J. Tatum misses 2-pt jump shot from 10 ft,,3,3
8,1,10:29.0,,Defensive rebound by T. Warren,3,3
9,1,10:07.0,,D. Ayton makes 2-pt layup from 1 ft (assist by T. Warren),3,5
10,1,10:01.0,Turnover by A. Horford (bad pass; steal by D. Booker),,3,5
11,1,9:57.0,,T. Warren misses 2-pt layup from 6 ft,3,5
12,1,9:56.0,Defensive rebound by G. Hayward,,3,5
13,1,9:42.0,G. Hayward misses 2-pt layup at rim,,3,5
14,1,9:41.0,,Defensive rebound by I. Canaan,3,5
15,1,9:30.0,,D. Ayton misses 2-pt jump shot from 17 ft (block by A. Horford),3,5
16,1,9:28.0,,Offensive rebound by D. Ayton,3,5
17,1,9:27.0,,I. Canaan misses 2-pt layup from 2 ft,3,5
18,1,9:25.0,Defensive rebound by K. Irving,,3,5
19,1,9:18.0,J. Brown misses 3-pt jump shot from 23 ft,,3,5
20,1,9:13.0,,Defensive rebound by D. Ayton,3,5
21,1,9:06.0,,D. Booker makes 2-pt jump shot from 15 ft (assist by I. Canaan),3,7
22,1,8:50.0,K. Irving misses 3-pt jump shot from 26 ft,,3,7
23,1,8:47.0,,Defensive rebound by T. Ariza,3,7
24,1,8:42.0,,I. Canaan misses 3-pt jump shot from 23 ft,3,7
25,1,8:40.0,Defensive rebound by J. Brown,,3,7
26,1,8:31.0,J. Tatum misses 2-pt layup at rim,,3,7
27,1,8:29.0,,Defensive rebound by T. Warren,3,7
28,1,8:24.0,,T. Ariza misses 3-pt jump shot from 25 ft,3,7
29,1,8:22.0,Defensive rebound by K. Irving,,3,7
30,1,8:17.0,J. Brown misses 2-pt layup from 1 ft,,3,7
31,1,8:15.0,,Defensive rebound by T. Ariza,3,7
32,1,8:03.0,,T. Warren misses 2-pt jump shot from 15 ft,3,7
33,1,8:02.0,Defensive rebound by Team,,3,7
34,1,7:43.0,A. Horford misses 2-pt hook shot from 10 ft,,3,7
35,1,7:41.0,,Defensive rebound by T. Warren,3,7
36,1,7:30.0,,D. Ayton makes 2-pt hook shot from 4 ft (assist by T. Ariza),3,9
37,1,7:10.0,G. Hayward misses 3-pt jump shot from 23 ft,,3,9
38,1,7:08.0,,Defensive rebound by D. Booker,3,9
39,1,6:59.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),3,11
40,1,6:58.0,Boston full timeout,,3,11
41,1,6:38.0,J. Brown misses 3-pt jump shot from 74 ft,,3,11
42,1,6:35.0,,Defensive rebound by T. Warren,3,11
43,1,6:35.0,A. Baynes enters the game for G. Hayward,,3,11
44,1,6:35.0,M. Morris enters the game for A. Horford,,3,11
45,1,6:35.0,M. Smart enters the game for J. Tatum,,3,11
46,1,6:11.0,,T. Warren makes 2-pt hook shot from 13 ft (assist by I. Canaan),3,13
47,1,5:48.0,M. Morris misses 2-pt jump shot from 11 ft,,3,13
48,1,5:45.0,,Defensive rebound by T. Ariza,3,13
49,1,5:36.0,,Personal foul by J. Brown (drawn by D. Booker),3,13
50,1,5:27.0,,Personal foul by J. Brown (drawn by D. Ayton),3,13
51,1,5:18.0,,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Booker),3,15
52,1,5:04.0,K. Irving misses 2-pt jump shot from 11 ft,,3,15
53,1,4:58.0,Offensive rebound by A. Baynes,,3,15
54,1,4:58.0,A. Baynes makes 2-pt layup from 1 ft,,5,15
55,1,4:54.0,,Flagrant foul type 1 by M. Morris (drawn by T. Warren),5,15
56,1,4:54.0,,Technical foul by T. Warren,5,15
57,1,4:54.0,K. Irving makes technical free throw,,6,15
58,1,4:54.0,,T. Warren makes flagrant free throw 1 of 2,6,16
59,1,4:54.0,,T. Warren makes flagrant free throw 2 of 2,6,17
60,1,4:41.0,,Turnover by D. Ayton (3 sec),6,17
61,1,4:24.0,M. Morris makes 2-pt jump shot from 17 ft,,8,17
62,1,4:04.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by I. Canaan),8,20
63,1,3:44.0,A. Baynes misses 2-pt layup from 1 ft (block by T. Ariza),,8,20
64,1,3:41.0,,Defensive rebound by D. Ayton,8,20
65,1,3:34.0,,D. Ayton makes 2-pt jump shot from 17 ft (assist by D. Booker),8,22
66,1,3:18.0,M. Smart misses 3-pt jump shot from 27 ft,,8,22
67,1,3:14.0,,Defensive rebound by D. Ayton,8,22
68,1,3:08.0,,T. Ariza misses 3-pt jump shot from 23 ft,8,22
69,1,3:06.0,Defensive rebound by M. Morris,,8,22
70,1,3:05.0,K. Irving makes 2-pt jump shot from 12 ft (assist by M. Morris),,10,22
71,1,3:02.0,,Phoenix full timeout,10,22
72,1,3:02.0,T. Rozier enters the game for J. Brown,,10,22
73,1,3:02.0,,R. Holmes enters the game for D. Ayton,10,22
74,1,3:02.0,,E. Okobo enters the game for I. Canaan,10,22
75,1,2:52.0,,T. Warren makes 3-pt jump shot from 22 ft (assist by T. Ariza),10,25
76,1,2:36.0,M. Morris misses 3-pt jump shot from 24 ft,,10,25
77,1,2:34.0,Offensive rebound by T. Rozier,,10,25
78,1,2:34.0,Shooting foul by R. Holmes (drawn by T. Rozier),,10,25
79,1,2:34.0,T. Rozier makes free throw 1 of 2,,11,25
80,1,2:34.0,T. Rozier makes free throw 2 of 2,,12,25
81,1,2:23.0,,Personal foul by M. Smart (drawn by R. Holmes),12,25
82,1,2:12.0,,Turnover by D. Booker (bad pass),12,25
