,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:43.0,Turnover by A. Davis (bad pass; steal by D. Ayton),,0,0
1,1,11:38.0,,Shooting foul by K. Williams (drawn by D. Booker),0,0
2,1,11:38.0,,D. Booker makes free throw 1 of 2,0,1
3,1,11:38.0,,D. Booker makes free throw 2 of 2,0,2
4,1,11:23.0,Turnover by E. Payton (bad pass; steal by K. Oubre),,0,2
5,1,11:18.0,,K. Oubre makes 2-pt layup from 1 ft,0,4
6,1,11:12.0,A. Davis makes 2-pt dunk from 1 ft (assist by E. Payton),,2,4
7,1,10:47.0,,D. Ayton misses 2-pt jump shot from 17 ft,2,4
8,1,10:44.0,Defensive rebound by A. Davis,,2,4
9,1,10:37.0,Turnover by J. Holiday (bad pass; steal by D. Bender),,2,4
10,1,10:28.0,,Turnover by D. Ayton (lost ball; steal by A. Davis),2,4
11,1,10:23.0,Turnover by A. Davis (bad pass; steal by T. Johnson),,2,4
12,1,10:19.0,,D. Booker misses 2-pt layup from 2 ft,2,4
13,1,10:17.0,,Offensive rebound by D. Ayton,2,4
14,1,10:17.0,,D. Ayton makes 2-pt layup from 1 ft,2,6
15,1,10:03.0,E. Payton misses 2-pt layup from 3 ft,,2,6
16,1,10:03.0,,Defensive rebound by Team,2,6
17,1,10:03.0,New Orleans full timeout,,2,6
18,1,9:52.0,,K. Oubre misses 2-pt jump shot from 17 ft,2,6
19,1,9:48.0,,Offensive rebound by D. Ayton,2,6
20,1,9:39.0,,K. Oubre makes 2-pt dunk at rim (assist by D. Ayton),2,8
21,1,9:25.0,J. Holiday makes 2-pt jump shot from 18 ft (assist by E. Payton),,4,8
22,1,9:21.0,,Turnover by D. Booker (bad pass; steal by E. Payton),4,8
23,1,9:16.0,E. Payton makes 2-pt layup at rim,,6,8
24,1,9:09.0,,K. Oubre misses 3-pt jump shot from 23 ft,6,8
25,1,9:04.0,Defensive rebound by A. Davis,,6,8
26,1,8:58.0,J. Randle misses 2-pt jump shot from 7 ft,,6,8
27,1,8:56.0,,Defensive rebound by D. Bender,6,8
28,1,8:47.0,,T. Johnson misses 3-pt jump shot from 25 ft,6,8
29,1,8:42.0,Defensive rebound by J. Holiday,,6,8
30,1,8:38.0,Shooting foul by D. Bender (drawn by J. Randle),,6,8
31,1,8:38.0,J. Randle misses free throw 1 of 2,,6,8
32,1,8:38.0,Offensive rebound by Team,,6,8
33,1,8:38.0,J. Randle misses free throw 2 of 2,,6,8
34,1,8:38.0,,Defensive rebound by D. Ayton,6,8
35,1,8:21.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by T. Johnson),6,11
