,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,D. Russell misses 3-pt jump shot from 23 ft,0,0
1,1,11:38.0,,Offensive rebound by T. Graham,0,0
2,1,11:30.0,,R. Kurucs makes 2-pt layup from 2 ft,0,2
3,1,11:13.0,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),,3,2
4,1,10:58.0,,Turnover by J. Allen (lost ball; steal by I. Shumpert),3,2
5,1,10:53.0,I. Shumpert misses 3-pt jump shot from 25 ft,,3,2
6,1,10:51.0,,Defensive rebound by J. Allen,3,2
7,1,10:37.0,,D. Russell makes 2-pt layup from 3 ft,3,4
8,1,10:27.0,D. Fox makes 2-pt jump shot from 13 ft,,5,4
9,1,10:06.0,,J. Harris makes 2-pt layup from 1 ft,5,6
10,1,9:56.0,N. Bjelica misses 3-pt jump shot from 25 ft,,5,6
11,1,9:53.0,,Defensive rebound by R. Kurucs,5,6
12,1,9:48.0,,R. Kurucs misses 2-pt layup from 2 ft,5,6
13,1,9:45.0,Defensive rebound by N. Bjelica,,5,6
14,1,9:41.0,D. Fox misses 2-pt jump shot from 20 ft,,5,6
15,1,9:37.0,,Defensive rebound by J. Allen,5,6
16,1,9:30.0,,Personal foul by D. Fox (drawn by D. Russell),5,6
17,1,9:24.0,,R. Kurucs makes 2-pt layup from 2 ft (assist by J. Allen),5,8
18,1,9:11.0,N. Bjelica makes 2-pt layup from 1 ft,,7,8
19,1,9:01.0,,D. Russell makes 2-pt jump shot from 13 ft,7,10
20,1,8:47.0,N. Bjelica misses 2-pt jump shot from 7 ft,,7,10
21,1,8:45.0,,Defensive rebound by J. Allen,7,10
22,1,8:38.0,,J. Harris misses 2-pt jump shot from 18 ft,7,10
23,1,8:35.0,Defensive rebound by B. Hield,,7,10
24,1,8:27.0,B. Hield misses 2-pt jump shot from 14 ft,,7,10
25,1,8:24.0,,Defensive rebound by J. Harris,7,10
26,1,8:17.0,,J. Harris misses 3-pt jump shot from 25 ft,7,10
27,1,8:12.0,Defensive rebound by B. Hield,,7,10
28,1,8:05.0,Turnover by D. Fox (bad pass; steal by J. Harris),,7,10
29,1,7:51.0,,R. Kurucs makes 2-pt dunk from 1 ft (assist by D. Russell),7,12
30,1,7:35.0,D. Fox misses 2-pt jump shot from 9 ft,,7,12
31,1,7:32.0,,Defensive rebound by J. Allen,7,12
32,1,7:21.0,,D. Russell misses 2-pt layup from 1 ft,7,12
33,1,7:21.0,,Offensive rebound by Team,7,12
34,1,7:14.0,,Shooting foul by W. Cauley-Stein (drawn by R. Kurucs),7,12
35,1,7:14.0,,R. Kurucs makes free throw 1 of 2,7,13
36,1,7:14.0,M. Bagley enters the game for N. Bjelica,,7,13
37,1,7:14.0,,R. Kurucs makes free throw 2 of 2,7,14
38,1,7:04.0,D. Fox misses 3-pt jump shot from 25 ft,,7,14
39,1,7:00.0,Offensive rebound by D. Fox,,7,14
40,1,6:58.0,I. Shumpert misses 3-pt jump shot from 25 ft,,7,14
41,1,6:58.0,,Defensive rebound by D. Russell,7,14
42,1,6:47.0,,Brooklyn full timeout,7,14
43,1,6:43.0,,Turnover by R. Kurucs (lost ball; steal by I. Shumpert),7,14
44,1,6:36.0,W. Cauley-Stein makes 2-pt hook shot from 5 ft (assist by D. Fox),,9,14
45,1,6:19.0,,D. Russell misses 3-pt jump shot from 25 ft,9,14
46,1,6:16.0,Defensive rebound by W. Cauley-Stein,,9,14
47,1,6:11.0,D. Fox misses 2-pt jump shot from 10 ft,,9,14
48,1,6:07.0,,Defensive rebound by J. Allen,9,14
49,1,6:03.0,,D. Russell misses 3-pt jump shot from 26 ft,9,14
50,1,6:01.0,Defensive rebound by Team,,9,14
51,1,6:01.0,,D. Carroll enters the game for R. Kurucs,9,14
52,1,6:01.0,,S. Dinwiddie enters the game for D. Russell,9,14
53,1,5:48.0,M. Bagley misses 2-pt jump shot from 7 ft,,9,14
54,1,5:45.0,Offensive rebound by M. Bagley,,9,14
55,1,5:45.0,M. Bagley makes 2-pt layup from 2 ft,,11,14
56,1,5:31.0,,Shooting foul by W. Cauley-Stein (drawn by J. Allen),11,14
57,1,5:31.0,,J. Allen makes free throw 1 of 2,11,15
58,1,5:31.0,B. Bogdanović enters the game for W. Cauley-Stein,,11,15
59,1,5:31.0,H. Giles enters the game for B. Hield,,11,15
60,1,5:31.0,,J. Allen makes free throw 2 of 2,11,16
61,1,5:16.0,M. Bagley makes 2-pt jump shot from 6 ft (assist by B. Bogdanović),,13,16
62,1,5:05.0,,Shooting foul by H. Giles (drawn by T. Graham),13,16
63,1,5:05.0,,T. Graham misses free throw 1 of 2,13,16
64,1,5:05.0,,Offensive rebound by Team,13,16
65,1,5:05.0,,T. Graham makes free throw 2 of 2,13,17
66,1,4:55.0,H. Giles misses 2-pt jump shot from 15 ft,,13,17
67,1,4:52.0,,Defensive rebound by J. Harris,13,17
68,1,4:32.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,13,20
69,1,4:22.0,D. Fox makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,16,20
70,1,4:06.0,,J. Harris misses 2-pt layup from 2 ft (block by I. Shumpert),16,20
71,1,4:03.0,,Offensive rebound by J. Harris,16,20
72,1,4:03.0,,J. Harris misses 2-pt layup from 2 ft,16,20
73,1,4:03.0,Defensive rebound by Team,,16,20
74,1,4:03.0,,Violation by Team (delay of game),16,20
75,1,3:46.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,16,20
76,1,3:43.0,,Defensive rebound by S. Dinwiddie,16,20
77,1,3:41.0,,J. Harris makes 2-pt layup from 1 ft (assist by S. Dinwiddie),16,22
78,1,3:41.0,Violation by Team (def goaltending),,16,22
79,1,3:22.0,D. Fox makes 2-pt jump shot from 10 ft (assist by H. Giles),,18,22
80,1,3:09.0,,D. Carroll misses 3-pt jump shot from 23 ft,18,22
81,1,3:05.0,Defensive rebound by H. Giles,,18,22
82,1,3:01.0,Shooting foul by D. Carroll (drawn by D. Fox),,18,22
83,1,3:01.0,D. Fox misses free throw 1 of 2,,18,22
84,1,3:01.0,Offensive rebound by Team,,18,22
85,1,3:01.0,,E. Davis enters the game for J. Allen,18,22
86,1,3:01.0,,R. Hollis-Jefferson enters the game for T. Graham,18,22
87,1,3:01.0,,D. Russell enters the game for J. Harris,18,22
88,1,3:01.0,D. Fox misses free throw 2 of 2,,18,22
89,1,2:58.0,,Defensive rebound by E. Davis,18,22
90,1,2:41.0,,Shooting foul by M. Bagley (drawn by S. Dinwiddie),18,22
91,1,2:41.0,Sacramento full timeout,,18,22
92,1,2:41.0,J. Jackson enters the game for I. Shumpert,,18,22
93,1,2:41.0,,S. Dinwiddie misses free throw 1 of 2,18,22
94,1,2:41.0,,Offensive rebound by Team,18,22
95,1,2:41.0,,S. Dinwiddie makes free throw 2 of 2,18,23
96,1,2:26.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Bagley),,18,23
97,1,2:26.0,M. Bagley makes free throw 1 of 2,,19,23
98,1,2:26.0,M. Bagley makes free throw 2 of 2,,20,23
99,1,2:16.0,,Turnover by E. Davis (off goaltending),20,23
100,1,2:16.0,Y. Ferrell enters the game for D. Fox,,20,23
101,1,2:07.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,20,23
102,1,2:02.0,,Defensive rebound by S. Dinwiddie,20,23
103,1,2:02.0,,Turnover by S. Dinwiddie (bad pass),20,23
104,1,1:53.0,M. Bagley misses 3-pt jump shot from 25 ft,,20,23
105,1,1:50.0,,Defensive rebound by E. Davis,20,23
106,1,1:36.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,20,23
107,1,1:33.0,,Offensive rebound by Team,20,23
108,1,1:26.0,,D. Russell misses 2-pt jump shot from 4 ft (block by Y. Ferrell),20,23
109,1,1:24.0,Defensive rebound by M. Bagley,,20,23
110,1,1:13.0,Turnover by H. Giles (lost ball; steal by R. Hollis-Jefferson),,20,23
111,1,0:55.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),20,26
112,1,0:42.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Bagley),,20,26
113,1,0:42.0,M. Bagley misses free throw 1 of 2,,20,26
114,1,0:42.0,Offensive rebound by Team,,20,26
115,1,0:42.0,M. Bagley makes free throw 2 of 2,,21,26
116,1,0:32.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,21,26
117,1,0:29.0,Defensive rebound by B. Bogdanović,,21,26
118,1,0:13.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,23,26
119,1,0:02.0,,D. Russell makes 3-pt jump shot from 26 ft,23,29
120,2,11:44.0,H. Giles makes 2-pt hook shot from 8 ft (assist by B. Bogdanović),,25,29
121,2,11:28.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by S. Napier),25,32
122,2,11:15.0,J. Jackson makes 2-pt jump shot from 13 ft (assist by B. Bogdanović),,27,32
123,2,10:49.0,,R. Hollis-Jefferson misses 2-pt layup at rim,27,32
124,2,10:46.0,Defensive rebound by M. Bagley,,27,32
125,2,10:40.0,H. Giles misses 2-pt layup from 1 ft,,27,32
126,2,10:38.0,,Defensive rebound by E. Davis,27,32
127,2,10:26.0,,Turnover by S. Napier (bad pass; steal by Y. Ferrell),27,32
128,2,10:08.0,Sacramento full timeout,,27,32
129,2,10:05.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,30,32
130,2,9:49.0,,D. Carroll misses 2-pt layup from 2 ft,30,32
131,2,9:47.0,Defensive rebound by M. Bagley,,30,32
132,2,9:43.0,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by Y. Ferrell),,32,32
133,2,9:28.0,,D. Carroll misses 3-pt jump shot from 23 ft,32,32
134,2,9:26.0,,Offensive rebound by R. Hollis-Jefferson,32,32
135,2,9:23.0,,D. Russell misses 3-pt jump shot from 25 ft,32,32
136,2,9:18.0,Defensive rebound by J. Jackson,,32,32
137,2,9:14.0,Y. Ferrell makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),,35,32
138,2,9:05.0,,Shooting foul by J. Jackson (drawn by D. Carroll),35,32
139,2,9:05.0,,D. Carroll misses free throw 1 of 2,35,32
140,2,9:05.0,,Offensive rebound by Team,35,32
141,2,9:05.0,B. Hield enters the game for H. Giles,,35,32
142,2,9:05.0,,R. Kurucs enters the game for R. Hollis-Jefferson,35,32
143,2,9:05.0,,D. Carroll makes free throw 2 of 2,35,33
144,2,8:58.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,38,33
145,2,8:35.0,,D. Russell misses 2-pt jump shot from 19 ft,38,33
146,2,8:35.0,,Offensive rebound by Team,38,33
147,2,8:35.0,,S. Dinwiddie enters the game for D. Carroll,38,33
148,2,8:32.0,,R. Kurucs misses 3-pt jump shot from 25 ft,38,33
149,2,8:29.0,Defensive rebound by Y. Ferrell,,38,33
