,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:35.0,,D. Ayton misses 2-pt layup at rim,0,0
1,1,11:31.0,,Offensive rebound by D. Ayton,0,0
2,1,11:31.0,,D. Ayton makes 2-pt layup from 1 ft,0,2
3,1,11:10.0,N. Bjelica misses 3-pt jump shot from 26 ft,,0,2
4,1,11:07.0,,Defensive rebound by J. Jackson,0,2
5,1,11:01.0,,Shooting foul by D. Fox (drawn by J. Jackson),0,2
6,1,11:01.0,,J. Jackson makes free throw 1 of 2,0,3
7,1,11:01.0,,J. Jackson makes free throw 2 of 2,0,4
8,1,10:45.0,B. Hield misses 2-pt layup from 20 ft,,0,4
9,1,10:40.0,,Defensive rebound by J. Jackson,0,4
10,1,10:34.0,,J. Jackson misses 2-pt layup at rim,0,4
11,1,10:32.0,Defensive rebound by D. Fox,,0,4
12,1,10:32.0,Personal take foul by M. Bridges (drawn by D. Fox),,0,4
13,1,10:18.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Bogdanović),,2,4
14,1,10:14.0,,Turnover by D. Melton (bad pass),2,4
15,1,10:08.0,D. Fox makes 3-pt jump shot from 26 ft,,5,4
16,1,9:44.0,,D. Ayton misses 2-pt jump shot from 21 ft,5,4
17,1,9:41.0,Defensive rebound by W. Cauley-Stein,,5,4
18,1,9:36.0,Turnover by B. Hield (lost ball; steal by D. Melton),,5,4
19,1,9:34.0,,Turnover by D. Melton (step out of bounds),5,4
20,1,9:23.0,Shooting foul by D. Ayton (drawn by W. Cauley-Stein),,5,4
21,1,9:23.0,W. Cauley-Stein misses free throw 1 of 2,,5,4
22,1,9:23.0,Offensive rebound by Team,,5,4
23,1,9:23.0,W. Cauley-Stein makes free throw 2 of 2,,6,4
24,1,9:02.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by M. Bridges),6,7
25,1,8:53.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,6,7
26,1,8:50.0,,Defensive rebound by D. Ayton,6,7
27,1,8:42.0,,Turnover by J. Jackson (lost ball; steal by D. Fox),6,7
28,1,8:33.0,Turnover by B. Hield (bad pass; steal by M. Bridges),,6,7
29,1,8:24.0,,D. Melton makes 3-pt jump shot from 26 ft (assist by D. Ayton),6,10
30,1,8:03.0,B. Bogdanović makes 2-pt hook shot from 1 ft (assist by W. Cauley-Stein),,8,10
31,1,7:46.0,,M. Bridges makes 2-pt layup at rim (assist by J. Jackson),8,12
32,1,7:29.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,8,12
33,1,7:27.0,Offensive rebound by B. Hield,,8,12
34,1,7:21.0,N. Bjelica misses 2-pt layup from 8 ft,,8,12
35,1,7:20.0,Offensive rebound by N. Bjelica,,8,12
36,1,7:20.0,N. Bjelica misses 2-pt layup from 1 ft (block by D. Ayton),,8,12
37,1,7:19.0,Offensive rebound by N. Bjelica,,8,12
38,1,7:17.0,N. Bjelica makes 2-pt layup at rim,,10,12
39,1,7:02.0,,D. Melton makes 2-pt layup from 1 ft,10,14
40,1,6:58.0,Sacramento full timeout,,10,14
41,1,6:46.0,Turnover by B. Bogdanović (bad pass; steal by M. Bridges),,10,14
42,1,6:41.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by M. Bridges),10,17
43,1,6:26.0,B. Hield misses 3-pt jump shot from 25 ft,,10,17
44,1,6:24.0,Offensive rebound by N. Bjelica,,10,17
45,1,6:21.0,B. Hield makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,13,17
46,1,6:01.0,,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Melton),13,19
47,1,5:42.0,Turnover by B. Hield (lost ball; steal by T. Warren),,13,19
48,1,5:34.0,,T. Warren misses 2-pt jump shot from 10 ft,13,19
49,1,5:32.0,Defensive rebound by W. Cauley-Stein,,13,19
50,1,5:24.0,B. Bogdanović misses 2-pt jump shot from 1 ft,,13,19
51,1,5:24.0,Offensive rebound by Team,,13,19
52,1,5:24.0,,Loose ball foul by M. Bridges (drawn by W. Cauley-Stein),13,19
53,1,5:24.0,J. Jackson enters the game for B. Bogdanović,,13,19
54,1,5:18.0,W. Cauley-Stein misses 2-pt jump shot from 17 ft,,13,19
55,1,5:14.0,,Defensive rebound by D. Ayton,13,19
56,1,4:54.0,,T. Warren makes 2-pt layup from 1 ft (assist by J. Jackson),13,21
57,1,4:38.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,15,21
58,1,4:21.0,,D. Ayton makes 2-pt jump shot from 10 ft (assist by M. Bridges),15,23
59,1,4:15.0,Shooting foul by D. Melton (drawn by D. Fox),,15,23
60,1,4:15.0,D. Fox makes free throw 1 of 2,,16,23
61,1,4:15.0,H. Giles enters the game for N. Bjelica,,16,23
62,1,4:15.0,,K. Oubre enters the game for M. Bridges,16,23
63,1,4:15.0,D. Fox makes free throw 2 of 2,,17,23
64,1,4:01.0,,Turnover by J. Jackson (bad pass; steal by H. Giles),17,23
65,1,3:55.0,B. Hield makes 3-pt jump shot from 25 ft,,20,23
66,1,3:53.0,,Phoenix full timeout,20,23
67,1,3:38.0,,J. Jackson makes 2-pt layup from 2 ft (assist by D. Melton),20,25
68,1,3:19.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),,22,25
69,1,3:12.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Melton),22,27
70,1,2:47.0,H. Giles misses 2-pt jump shot from 21 ft,,22,27
71,1,2:44.0,Offensive rebound by W. Cauley-Stein,,22,27
72,1,2:41.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,25,27
73,1,2:23.0,,T. Warren misses 3-pt jump shot from 25 ft,25,27
74,1,2:23.0,Defensive rebound by H. Giles,,25,27
75,1,2:17.0,J. Jackson misses 3-pt jump shot from 25 ft,,25,27
76,1,2:14.0,Offensive rebound by D. Fox,,25,27
77,1,2:11.0,D. Fox misses 2-pt jump shot from 10 ft,,25,27
78,1,2:06.0,Offensive rebound by H. Giles,,25,27
79,1,2:06.0,H. Giles makes 2-pt layup at rim,,27,27
80,1,1:56.0,,Personal foul by H. Giles (drawn by D. Ayton),27,27
81,1,1:56.0,Y. Ferrell enters the game for D. Fox,,27,27
82,1,1:56.0,,Q. Acy enters the game for D. Ayton,27,27
83,1,1:56.0,,J. Crawford enters the game for D. Melton,27,27
84,1,1:56.0,,R. Holmes enters the game for T. Warren,27,27
85,1,1:48.0,,Q. Acy misses 3-pt jump shot from 26 ft,27,27
86,1,1:44.0,Defensive rebound by W. Cauley-Stein,,27,27
87,1,1:26.0,B. Hield makes 2-pt jump shot from 19 ft,,29,27
88,1,1:11.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by R. Holmes),29,30
89,1,0:59.0,Shooting foul by Q. Acy (drawn by W. Cauley-Stein),,29,30
90,1,0:59.0,Offensive rebound by Team,,29,30
91,1,0:59.0,W. Cauley-Stein misses free throw 1 of 2,,29,30
92,1,0:59.0,B. Bogdanović enters the game for B. Hield,,29,30
93,1,0:59.0,W. Cauley-Stein misses free throw 2 of 2,,29,30
94,1,0:58.0,,Defensive rebound by R. Holmes,29,30
95,1,0:44.0,,Shooting foul by H. Giles (drawn by K. Oubre),29,30
96,1,0:44.0,,K. Oubre makes free throw 1 of 2,29,31
97,1,0:44.0,K. Koufos enters the game for W. Cauley-Stein,,29,31
98,1,0:44.0,,K. Oubre misses free throw 2 of 2,29,31
99,1,0:40.0,,Offensive rebound by Team,29,31
100,1,0:35.0,,R. Holmes makes 2-pt jump shot from 11 ft (assist by J. Crawford),29,33
101,1,0:20.0,Turnover by H. Giles (bad pass; steal by R. Holmes),,29,33
102,1,0:20.0,,Personal foul by K. Koufos (drawn by R. Holmes),29,33
103,1,0:20.0,,R. Holmes makes free throw 1 of 2,29,34
104,1,0:20.0,,D. Melton enters the game for J. Crawford,29,34
105,1,0:20.0,,R. Holmes makes free throw 2 of 2,29,35
106,1,0:07.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by K. Koufos),,32,35
107,1,0:03.0,,J. Jackson misses 3-pt jump shot from 26 ft,32,35
108,1,0:03.0,Defensive rebound by Y. Ferrell,,32,35
109,2,11:44.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,32,35
110,2,11:40.0,Offensive rebound by H. Giles,,32,35
111,2,11:40.0,H. Giles makes 2-pt layup at rim,,34,35
112,2,11:23.0,,Personal foul by B. Bogdanović (drawn by K. Oubre),34,35
113,2,11:17.0,,J. Crawford misses 2-pt jump shot from 17 ft,34,35
114,2,11:14.0,,Offensive rebound by R. Holmes,34,35
115,2,11:08.0,,T. Daniels misses 2-pt jump shot from 22 ft,34,35
