,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Okobo),,3,0
1,1,11:22.0,,D. White makes 2-pt jump shot from 18 ft,3,2
2,1,11:02.0,E. Okobo makes 2-pt layup from 3 ft,,5,2
3,1,10:50.0,,L. Aldridge misses 2-pt jump shot from 14 ft,5,2
4,1,10:48.0,Defensive rebound by M. Bridges,,5,2
5,1,10:42.0,Turnover by E. Okobo (bad pass; steal by D. Bertāns),,5,2
6,1,10:37.0,,D. White misses 2-pt layup from 2 ft,5,2
7,1,10:35.0,Defensive rebound by J. Jackson,,5,2
8,1,10:28.0,Turnover by M. Bridges (lost ball; steal by D. Bertāns),,5,2
9,1,10:22.0,,D. Bertāns makes 3-pt jump shot from 25 ft,5,5
10,1,10:05.0,Shooting foul by D. White (drawn by D. Booker),,5,5
11,1,10:05.0,D. Booker makes free throw 1 of 2,,6,5
12,1,10:05.0,D. Booker makes free throw 2 of 2,,7,5
13,1,9:48.0,,L. Aldridge misses 2-pt jump shot from 10 ft,7,5
14,1,9:46.0,Defensive rebound by E. Okobo,,7,5
15,1,9:31.0,E. Okobo misses 3-pt jump shot from 25 ft,,7,5
16,1,9:28.0,,Defensive rebound by R. Gay,7,5
17,1,9:21.0,,R. Gay misses 2-pt jump shot from 18 ft,7,5
18,1,9:18.0,Defensive rebound by R. Holmes,,7,5
19,1,9:14.0,D. Booker misses 3-pt jump shot from 26 ft,,7,5
20,1,9:12.0,,Defensive rebound by L. Aldridge,7,5
21,1,9:00.0,,Shooting foul by R. Holmes (drawn by L. Aldridge),7,5
22,1,9:00.0,,L. Aldridge misses free throw 1 of 2,7,5
23,1,9:00.0,,Offensive rebound by Team,7,5
24,1,9:00.0,,L. Aldridge makes free throw 2 of 2,7,6
25,1,8:42.0,D. Booker misses 3-pt jump shot from 27 ft,,7,6
26,1,8:42.0,,Defensive rebound by Team,7,6
27,1,8:21.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by R. Gay),7,9
28,1,8:16.0,Turnover by D. Booker (bad pass),,7,9
29,1,8:07.0,,B. Forbes misses 3-pt jump shot from 26 ft,7,9
30,1,8:02.0,Defensive rebound by E. Okobo,,7,9
31,1,7:54.0,J. Jackson misses 2-pt layup from 3 ft,,7,9
32,1,7:53.0,,Defensive rebound by D. White,7,9
33,1,7:53.0,,Personal foul by E. Okobo (drawn by D. White),7,9
34,1,7:38.0,,R. Gay misses 2-pt hook shot from 4 ft (block by R. Holmes),7,9
35,1,7:30.0,,Offensive rebound by R. Gay,7,9
36,1,7:30.0,,R. Gay misses 2-pt layup from 1 ft,7,9
37,1,7:30.0,,Offensive rebound by D. White,7,9
38,1,7:26.0,,R. Gay makes 2-pt jump shot from 10 ft,7,11
39,1,7:05.0,E. Okobo makes 3-pt jump shot from 26 ft,,10,11
40,1,6:50.0,,Def 3 sec tech foul by Team,10,11
41,1,6:50.0,,San Antonio full timeout,10,11
42,1,6:50.0,K. Oubre enters the game for M. Bridges,,10,11
43,1,6:50.0,,L. Aldridge makes technical free throw,10,12
44,1,6:42.0,,L. Aldridge makes 2-pt hook shot from 3 ft,10,14
45,1,6:23.0,Turnover by D. Booker (bad pass; steal by D. White),,10,14
46,1,6:17.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by B. Forbes),10,16
47,1,6:00.0,R. Holmes makes 2-pt layup from 7 ft (assist by K. Oubre),,12,16
48,1,5:47.0,,B. Forbes misses 2-pt jump shot from 6 ft,12,16
49,1,5:41.0,,Offensive rebound by L. Aldridge,12,16
50,1,5:41.0,,L. Aldridge makes 2-pt layup from 1 ft,12,18
51,1,5:31.0,K. Oubre makes 3-pt jump shot from 28 ft (assist by D. Booker),,15,18
52,1,5:10.0,,R. Gay misses 2-pt jump shot from 19 ft,15,18
53,1,5:10.0,Defensive rebound by D. Booker,,15,18
54,1,5:03.0,K. Oubre misses 2-pt layup from 4 ft (block by R. Gay),,15,18
55,1,5:03.0,,Defensive rebound by D. White,15,18
56,1,4:55.0,,D. Bertāns misses 3-pt jump shot from 23 ft,15,18
57,1,4:54.0,,Offensive rebound by Team,15,18
58,1,4:54.0,,M. Belinelli enters the game for B. Forbes,15,18
59,1,4:54.0,,D. Cunningham enters the game for R. Gay,15,18
60,1,4:54.0,,P. Mills enters the game for D. White,15,18
61,1,4:51.0,,M. Belinelli misses 2-pt jump shot from 12 ft,15,18
62,1,4:49.0,Defensive rebound by E. Okobo,,15,18
63,1,4:39.0,J. Jackson makes 2-pt hook shot from 7 ft (assist by E. Okobo),,17,18
64,1,4:21.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by D. Bertāns),17,21
65,1,4:03.0,D. Booker makes 3-pt jump shot from 26 ft,,20,21
66,1,3:52.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Bertāns),20,23
67,1,3:40.0,K. Oubre misses 3-pt jump shot from 25 ft,,20,23
68,1,3:40.0,,Defensive rebound by Team,20,23
69,1,3:27.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by P. Mills),20,25
70,1,3:25.0,Phoenix full timeout,,20,25
71,1,3:25.0,D. Bender enters the game for R. Holmes,,20,25
72,1,3:25.0,J. Crawford enters the game for E. Okobo,,20,25
73,1,3:25.0,,B. Forbes enters the game for L. Aldridge,20,25
74,1,3:25.0,,P. Gasol enters the game for D. Bertāns,20,25
75,1,3:09.0,J. Jackson makes 2-pt jump shot from 9 ft (assist by D. Booker),,22,25
76,1,2:56.0,,B. Forbes makes 2-pt layup from 6 ft (assist by M. Belinelli),22,27
77,1,2:36.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Booker),,25,27
78,1,2:20.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by P. Mills),25,30
79,1,2:08.0,D. Booker makes 2-pt jump shot from 17 ft (assist by J. Crawford),,27,30
80,1,1:55.0,,M. Belinelli misses 3-pt jump shot from 26 ft,27,30
81,1,1:52.0,Defensive rebound by J. Jackson,,27,30
82,1,1:43.0,J. Jackson misses 2-pt layup from 4 ft,,27,30
83,1,1:40.0,Offensive rebound by K. Oubre,,27,30
84,1,1:38.0,K. Oubre makes 2-pt layup from 8 ft,,29,30
85,1,1:29.0,,B. Forbes misses 2-pt jump shot from 16 ft,29,30
86,1,1:27.0,Defensive rebound by D. Booker,,29,30
87,1,1:13.0,D. Booker makes 2-pt layup from 2 ft,,31,30
88,1,0:59.0,,P. Gasol misses 2-pt jump shot from 16 ft,31,30
