,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:42.0,,J. Tatum misses 3-pt jump shot from 23 ft,0,0
1,1,11:40.0,Defensive rebound by D. Jones,,0,0
2,1,11:24.0,K. Olynyk misses 3-pt jump shot from 26 ft,,0,0
3,1,11:22.0,,Defensive rebound by K. Irving,0,0
4,1,11:07.0,,J. Tatum misses 2-pt jump shot from 20 ft,0,0
5,1,11:05.0,,Offensive rebound by M. Smart,0,0
6,1,11:05.0,,M. Smart makes 2-pt layup from 1 ft,0,2
7,1,10:48.0,B. Adebayo makes 2-pt layup from 1 ft (assist by G. Dragić),,2,2
8,1,10:35.0,,K. Irving misses 2-pt jump shot from 13 ft,2,2
9,1,10:34.0,Defensive rebound by B. Adebayo,,2,2
10,1,10:21.0,D. Jones misses 3-pt jump shot from 23 ft,,2,2
11,1,10:19.0,Offensive rebound by B. Adebayo,,2,2
12,1,10:10.0,B. Adebayo misses 2-pt jump shot from 10 ft,,2,2
13,1,10:06.0,,Defensive rebound by K. Irving,2,2
14,1,10:01.0,,M. Smart misses 3-pt jump shot from 25 ft,2,2
15,1,9:58.0,Defensive rebound by Team,,2,2
16,1,9:58.0,,Loose ball foul by A. Baynes (drawn by D. Jones),2,2
17,1,9:50.0,B. Adebayo misses 2-pt jump shot from 18 ft,,2,2
18,1,9:48.0,,Defensive rebound by A. Baynes,2,2
19,1,9:37.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by K. Irving),2,5
20,1,9:24.0,D. Waiters misses 3-pt jump shot from 25 ft,,2,5
21,1,9:21.0,,Defensive rebound by J. Tatum,2,5
22,1,9:04.0,,J. Tatum makes 2-pt dunk at rim (assist by A. Horford),2,7
23,1,8:43.0,Turnover by D. Jones (lost ball; steal by K. Irving),,2,7
24,1,8:36.0,,A. Horford makes 2-pt dunk from 1 ft (assist by J. Tatum),2,9
25,1,8:18.0,G. Dragić misses 3-pt jump shot from 25 ft,,2,9
26,1,8:16.0,,Defensive rebound by K. Irving,2,9
27,1,8:13.0,,Shooting foul by D. Waiters (drawn by J. Tatum),2,9
28,1,8:13.0,,J. Tatum makes free throw 1 of 2,2,10
29,1,8:13.0,,J. Tatum misses free throw 2 of 2,2,10
30,1,8:13.0,Defensive rebound by B. Adebayo,,2,10
31,1,8:08.0,Miami full timeout,,2,10
32,1,8:02.0,Turnover by D. Waiters (bad pass; steal by K. Irving),,2,10
33,1,7:57.0,,M. Smart misses 3-pt jump shot from 25 ft,2,10
34,1,7:55.0,,Offensive rebound by J. Tatum,2,10
35,1,7:53.0,,J. Tatum makes 3-pt jump shot from 25 ft,2,13
36,1,7:31.0,D. Waiters misses 3-pt jump shot from 25 ft,,2,13
37,1,7:28.0,Offensive rebound by Team,,2,13
38,1,7:15.0,D. Waiters misses 2-pt jump shot from 11 ft,,2,13
39,1,7:13.0,,Defensive rebound by A. Horford,2,13
40,1,7:00.0,,A. Horford makes 2-pt hook shot from 11 ft,2,15
41,1,6:47.0,G. Dragić misses 3-pt jump shot from 23 ft,,2,15
42,1,6:44.0,,Defensive rebound by A. Baynes,2,15
43,1,6:24.0,,K. Irving misses 2-pt jump shot from 19 ft,2,15
44,1,6:22.0,Defensive rebound by B. Adebayo,,2,15
45,1,6:11.0,K. Olynyk misses 3-pt jump shot from 25 ft,,2,15
46,1,6:09.0,,Defensive rebound by K. Irving,2,15
47,1,6:00.0,,J. Tatum makes 2-pt jump shot from 21 ft,2,17
48,1,5:41.0,B. Adebayo makes 2-pt layup from 2 ft (assist by G. Dragić),,4,17
49,1,5:29.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),4,20
50,1,5:27.0,Miami full timeout,,4,20
51,1,5:27.0,J. Johnson enters the game for B. Adebayo,,4,20
52,1,5:27.0,D. Wade enters the game for K. Olynyk,,4,20
53,1,5:27.0,H. Whiteside enters the game for D. Waiters,,4,20
54,1,5:27.0,,G. Hayward enters the game for A. Horford,4,20
55,1,5:27.0,,M. Morris enters the game for M. Smart,4,20
56,1,5:11.0,G. Dragić misses 2-pt layup from 3 ft,,4,20
57,1,5:11.0,,Defensive rebound by K. Irving,4,20
58,1,5:00.0,,G. Hayward makes 2-pt dunk at rim (assist by J. Tatum),4,22
59,1,4:50.0,J. Johnson makes 2-pt layup from 5 ft,,6,22
60,1,4:50.0,Shooting foul by M. Morris (drawn by J. Johnson),,6,22
61,1,4:50.0,J. Johnson misses free throw 1 of 1,,6,22
62,1,4:50.0,,Defensive rebound by A. Baynes,6,22
63,1,4:35.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by M. Morris),6,25
