,QUARTER,TIME_REMAINING,DENVER_ACTION,CHARLOTTE_ACTION,DENVER_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,,J. Lamb misses 2-pt jump shot from 13 ft,0,0
1,1,11:35.0,,Offensive rebound by M. Williams,0,0
2,1,11:34.0,,M. Williams misses 2-pt layup from 2 ft,0,0
3,1,11:34.0,Defensive rebound by J. Hernangómez,,0,0
4,1,11:15.0,J. Murray misses 2-pt layup from 2 ft,,0,0
5,1,11:13.0,Offensive rebound by N. Jokić,,0,0
6,1,11:07.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),,2,0
7,1,10:46.0,,Shooting foul by J. Murray (drawn by N. Batum),2,0
8,1,10:46.0,,N. Batum makes free throw 1 of 2,2,1
9,1,10:46.0,,N. Batum makes free throw 2 of 2,2,2
10,1,10:28.0,T. Craig misses 3-pt jump shot from 25 ft,,2,2
11,1,10:25.0,,Defensive rebound by J. Lamb,2,2
12,1,10:13.0,,K. Walker misses 3-pt jump shot from 27 ft,2,2
13,1,10:09.0,,Offensive rebound by N. Batum,2,2
14,1,10:05.0,,M. Williams misses 3-pt jump shot from 26 ft,2,2
15,1,10:03.0,Defensive rebound by J. Hernangómez,,2,2
16,1,9:54.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Hernangómez),,4,2
17,1,9:43.0,,Turnover by N. Batum (bad pass; steal by N. Jokić),4,2
18,1,9:37.0,Turnover by J. Murray (bad pass; steal by J. Lamb),,4,2
19,1,9:27.0,,J. Lamb makes 2-pt jump shot from 10 ft,4,4
20,1,9:13.0,P. Millsap makes 2-pt jump shot from 7 ft (assist by J. Hernangómez),,6,4
21,1,9:13.0,Shooting foul by N. Batum (drawn by P. Millsap),,6,4
22,1,9:13.0,P. Millsap misses free throw 1 of 1,,6,4
23,1,9:13.0,,Defensive rebound by N. Batum,6,4
24,1,8:59.0,,N. Batum misses 2-pt jump shot from 15 ft,6,4
25,1,8:58.0,Defensive rebound by Team,,6,4
26,1,8:48.0,Shooting foul by N. Batum (drawn by P. Millsap),,6,4
27,1,8:48.0,P. Millsap makes free throw 1 of 2,,7,4
28,1,8:48.0,,M. Bridges enters the game for N. Batum,7,4
29,1,8:48.0,P. Millsap makes free throw 2 of 2,,8,4
30,1,8:23.0,,M. Bridges misses 2-pt jump shot from 19 ft,8,4
31,1,8:23.0,,Offensive rebound by Team,8,4
32,1,8:23.0,,Turnover by Team (shot clock),8,4
33,1,8:04.0,P. Millsap misses 2-pt jump shot from 8 ft,,8,4
34,1,8:03.0,,Defensive rebound by Team,8,4
