,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:36.0,,D. House misses 3-pt jump shot from 25 ft,0,0
1,1,11:32.0,Defensive rebound by M. Conley,,0,0
2,1,11:14.0,J. Jackson misses 3-pt jump shot from 24 ft,,0,0
3,1,11:12.0,,Defensive rebound by J. Harden,0,0
4,1,11:04.0,,Personal foul by K. Anderson (drawn by C. Capela),0,0
5,1,11:00.0,,Shooting foul by G. Temple (drawn by J. Harden),0,0
6,1,11:00.0,,J. Harden makes free throw 1 of 2,0,1
7,1,11:00.0,,J. Harden misses free throw 2 of 2,0,1
8,1,11:00.0,Defensive rebound by J. Jackson,,0,1
9,1,10:44.0,G. Temple misses 3-pt jump shot from 25 ft,,0,1
10,1,10:40.0,,Defensive rebound by C. Capela,0,1
11,1,10:22.0,,P. Tucker misses 3-pt jump shot from 22 ft,0,1
12,1,10:20.0,Defensive rebound by G. Temple,,0,1
13,1,10:09.0,G. Temple misses 2-pt layup from 1 ft,,0,1
14,1,10:06.0,,Defensive rebound by A. Rivers,0,1
15,1,10:01.0,,J. Harden misses 3-pt jump shot from 27 ft,0,1
16,1,9:58.0,Defensive rebound by M. Gasol,,0,1
17,1,9:46.0,M. Conley makes 2-pt jump shot from 19 ft,,2,1
18,1,9:29.0,,P. Tucker misses 2-pt layup from 1 ft,2,1
19,1,9:27.0,Defensive rebound by M. Gasol,,2,1
20,1,9:09.0,J. Jackson misses 2-pt hook shot from 5 ft,,2,1
21,1,9:07.0,,Defensive rebound by C. Capela,2,1
22,1,8:48.0,,Turnover by J. Harden (bad pass; steal by M. Gasol),2,1
23,1,8:45.0,Shooting foul by P. Tucker (drawn by M. Conley),,2,1
24,1,8:45.0,M. Conley makes free throw 1 of 2,,3,1
25,1,8:45.0,M. Conley makes free throw 2 of 2,,4,1
26,1,8:30.0,,A. Rivers misses 2-pt jump shot from 9 ft,4,1
27,1,8:28.0,Defensive rebound by J. Jackson,,4,1
28,1,8:25.0,G. Temple makes 2-pt layup from 1 ft (assist by M. Conley),,6,1
29,1,8:15.0,,Shooting foul by J. Jackson (drawn by J. Harden),6,1
