,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:38.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by K. Towns),0,3
1,1,11:21.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,3
2,1,11:21.0,,Defensive rebound by K. Towns,0,3
3,1,11:10.0,,A. Wiggins makes 2-pt jump shot from 11 ft (assist by K. Towns),0,5
4,1,11:03.0,K. Thompson misses 2-pt layup from 2 ft,,0,5
5,1,11:03.0,Offensive rebound by D. Green,,0,5
6,1,10:58.0,D. Green makes 2-pt layup from 1 ft,,2,5
7,1,10:53.0,,K. Towns misses 3-pt jump shot from 25 ft,2,5
8,1,10:51.0,Defensive rebound by D. Green,,2,5
9,1,10:44.0,D. Cousins misses 2-pt jump shot from 6 ft,,2,5
10,1,10:42.0,,Defensive rebound by J. Okogie,2,5
11,1,10:33.0,,T. Jones misses 2-pt jump shot from 11 ft,2,5
12,1,10:30.0,Defensive rebound by D. Cousins,,2,5
13,1,10:24.0,D. Cousins misses 2-pt layup from 1 ft,,2,5
14,1,10:22.0,,Defensive rebound by D. Šarić,2,5
15,1,10:08.0,,T. Jones misses 3-pt jump shot from 26 ft,2,5
16,1,10:06.0,Defensive rebound by D. Cousins,,2,5
17,1,9:54.0,D. Cousins makes 2-pt layup from 1 ft (assist by K. Thompson),,4,5
18,1,9:40.0,,J. Okogie misses 2-pt jump shot from 6 ft,4,5
19,1,9:37.0,Defensive rebound by D. Cousins,,4,5
20,1,9:25.0,K. Thompson makes 2-pt layup from 2 ft,,6,5
21,1,9:10.0,,K. Towns misses 2-pt jump shot from 16 ft,6,5
22,1,9:07.0,Defensive rebound by D. Green,,6,5
23,1,9:03.0,S. Curry misses 3-pt jump shot from 26 ft,,6,5
24,1,9:00.0,,Defensive rebound by K. Towns,6,5
25,1,8:54.0,,D. Šarić misses 3-pt jump shot from 24 ft,6,5
26,1,8:50.0,Defensive rebound by D. Cousins,,6,5
27,1,8:47.0,Personal foul by T. Jones (drawn by K. Thompson),,6,5
28,1,8:44.0,D. Green misses 2-pt jump shot from 9 ft,,6,5
29,1,8:42.0,,Defensive rebound by D. Šarić,6,5
30,1,8:35.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),6,8
31,1,8:06.0,K. Thompson misses 2-pt jump shot from 20 ft,,6,8
32,1,8:04.0,Offensive rebound by D. Cousins,,6,8
33,1,8:02.0,D. Cousins misses 2-pt layup from 1 ft,,6,8
34,1,8:02.0,Offensive rebound by Team,,6,8
35,1,8:00.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,8,8
36,1,7:48.0,,D. Šarić makes 2-pt jump shot from 21 ft (assist by J. Okogie),8,10
37,1,7:34.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Durant),,11,10
38,1,7:15.0,,D. Šarić makes 2-pt layup from 2 ft,11,12
39,1,7:06.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry),,13,12
40,1,6:57.0,,Shooting foul by D. Cousins (drawn by K. Towns),13,12
41,1,6:57.0,,Minnesota full timeout,13,12
42,1,6:57.0,,K. Towns makes free throw 1 of 2,13,13
43,1,6:57.0,,K. Towns makes free throw 2 of 2,13,14
44,1,6:49.0,D. Cousins makes 2-pt layup from 2 ft (assist by K. Thompson),,15,14
45,1,6:32.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by K. Towns),15,16
46,1,6:21.0,Personal foul by K. Towns (drawn by D. Cousins),,15,16
47,1,6:13.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),,17,16
48,1,5:56.0,,K. Towns misses 3-pt jump shot from 24 ft,17,16
49,1,5:54.0,Defensive rebound by K. Durant,,17,16
50,1,5:43.0,S. Curry makes 3-pt jump shot from 22 ft (assist by K. Thompson),,20,16
51,1,5:26.0,,D. Šarić misses 3-pt jump shot from 25 ft,20,16
52,1,5:24.0,,Offensive rebound by K. Towns,20,16
53,1,5:18.0,,J. Okogie makes 2-pt jump shot from 17 ft (assist by A. Wiggins),20,18
54,1,5:03.0,K. Thompson misses 2-pt jump shot from 11 ft,,20,18
55,1,5:02.0,,Defensive rebound by K. Towns,20,18
56,1,4:52.0,,A. Wiggins misses 2-pt jump shot from 18 ft,20,18
57,1,4:51.0,Defensive rebound by Team,,20,18
58,1,4:51.0,A. Iguodala enters the game for D. Cousins,,20,18
59,1,4:51.0,K. Looney enters the game for K. Thompson,,20,18
60,1,4:51.0,,K. Bates-Diop enters the game for A. Wiggins,20,18
61,1,4:30.0,K. Durant misses 2-pt jump shot from 11 ft,,20,18
62,1,4:28.0,,Defensive rebound by D. Šarić,20,18
63,1,4:21.0,,Turnover by T. Jones (bad pass; steal by S. Curry),20,18
64,1,4:15.0,A. Iguodala makes 2-pt layup from 1 ft (assist by S. Curry),,22,18
65,1,4:15.0,,Minnesota full timeout,22,18
66,1,4:15.0,,G. Dieng enters the game for J. Okogie,22,18
67,1,4:15.0,,A. Wiggins enters the game for K. Towns,22,18
68,1,3:51.0,,K. Bates-Diop misses 2-pt jump shot from 10 ft,22,18
69,1,3:49.0,Defensive rebound by A. Iguodala,,22,18
70,1,3:37.0,K. Durant misses 2-pt jump shot from 15 ft,,22,18
71,1,3:35.0,,Defensive rebound by K. Bates-Diop,22,18
72,1,3:24.0,,G. Dieng misses 3-pt jump shot from 23 ft,22,18
73,1,3:21.0,Defensive rebound by D. Green,,22,18
74,1,3:16.0,,Technical foul by G. Dieng,22,18
75,1,3:16.0,Technical foul by K. Durant,,22,18
76,1,3:13.0,Personal foul by A. Wiggins (drawn by K. Durant),,22,18
77,1,3:13.0,,J. Bayless enters the game for T. Jones,22,18
78,1,3:13.0,,A. Tolliver enters the game for D. Šarić,22,18
79,1,3:05.0,S. Curry misses 2-pt layup from 2 ft (block by G. Dieng),,22,18
80,1,3:01.0,,Defensive rebound by A. Tolliver,22,18
81,1,2:55.0,,A. Wiggins misses 2-pt layup from 4 ft (block by K. Durant),22,18
82,1,2:55.0,Defensive rebound by Team,,22,18
83,1,2:55.0,A. McKinnie enters the game for K. Durant,,22,18
84,1,2:48.0,S. Curry misses 2-pt jump shot from 12 ft,,22,18
85,1,2:44.0,,Defensive rebound by G. Dieng,22,18
86,1,2:27.0,,G. Dieng makes 2-pt dunk from 3 ft (assist by J. Bayless),22,20
87,1,2:16.0,K. Looney misses 2-pt layup from 1 ft (block by A. Wiggins),,22,20
88,1,2:15.0,Offensive rebound by Team,,22,20
89,1,2:04.0,D. Green makes 2-pt jump shot from 20 ft (assist by K. Looney),,24,20
90,1,1:41.0,,G. Dieng misses 2-pt jump shot from 3 ft,24,20
91,1,1:38.0,Defensive rebound by K. Looney,,24,20
92,1,1:25.0,S. Curry makes 3-pt jump shot from 29 ft,,27,20
93,1,1:05.0,,G. Dieng makes 2-pt jump shot from 9 ft,27,22
94,1,0:53.0,S. Curry makes 3-pt jump shot from 22 ft (assist by D. Green),,30,22
95,1,0:42.0,,Personal foul by A. McKinnie (drawn by A. Tolliver),30,22
96,1,0:34.0,,A. Wiggins makes 2-pt jump shot from 6 ft,30,24
97,1,0:29.0,S. Curry misses 3-pt jump shot from 27 ft,,30,24
98,1,0:29.0,,Defensive rebound by G. Dieng,30,24
99,1,0:07.0,,A. Wiggins makes 3-pt jump shot from 25 ft,30,27
100,1,0:01.0,A. Iguodala makes 2-pt dunk from 1 ft,,32,27
101,1,0:00.0,,A. Wiggins misses 3-pt jump shot from 43 ft,32,27
102,1,0:00.0,,Offensive rebound by Team,32,27
103,2,11:50.0,Shooting foul by A. Wiggins (drawn by D. Cousins),,32,27
104,2,11:50.0,D. Cousins misses free throw 1 of 2,,32,27
105,2,11:50.0,Offensive rebound by Team,,32,27
106,2,11:50.0,,J. Okogie enters the game for A. Wiggins,32,27
107,2,11:50.0,D. Cousins makes free throw 2 of 2,,33,27
108,2,11:39.0,,Shooting foul by A. Iguodala (drawn by A. Tolliver),33,27
109,2,11:39.0,,A. Tolliver makes free throw 1 of 3,33,28
110,2,11:39.0,,A. Tolliver makes free throw 2 of 3,33,29
111,2,11:39.0,,A. Tolliver makes free throw 3 of 3,33,30
112,2,11:30.0,Personal foul by A. Tolliver (drawn by A. Iguodala),,33,30
113,2,11:24.0,Turnover by K. Thompson (lost ball; steal by G. Dieng),,33,30
114,2,11:19.0,,G. Dieng misses 2-pt layup from 3 ft (block by D. Cousins),33,30
115,2,11:17.0,,Offensive rebound by G. Dieng,33,30
116,2,11:16.0,,Turnover by G. Dieng (bad pass; steal by S. Livingston),33,30
117,2,11:13.0,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Livingston),,35,30
118,2,10:54.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by J. Bayless),35,32
119,2,10:40.0,Turnover by A. Iguodala (bad pass),,35,32
120,2,10:31.0,,Shooting foul by Q. Cook (drawn by J. Bayless),35,32
121,2,10:31.0,,J. Bayless makes free throw 1 of 2,35,33
122,2,10:31.0,,J. Bayless makes free throw 2 of 2,35,34
123,2,10:17.0,Q. Cook makes 2-pt jump shot from 16 ft,,37,34
124,2,9:55.0,,A. Tolliver misses 2-pt hook shot from 6 ft,37,34
125,2,9:55.0,Defensive rebound by Team,,37,34
126,2,9:40.0,D. Cousins misses 2-pt layup from 1 ft,,37,34
127,2,9:38.0,,Defensive rebound by A. Tolliver,37,34
128,2,9:31.0,,Shooting foul by K. Thompson (drawn by J. Okogie),37,34
129,2,9:31.0,,J. Okogie misses free throw 1 of 2,37,34
130,2,9:31.0,,Offensive rebound by Team,37,34
131,2,9:31.0,,J. Okogie makes free throw 2 of 2,37,35
132,2,9:20.0,Shooting foul by A. Tolliver (drawn by K. Thompson),,37,35
133,2,9:20.0,K. Thompson makes free throw 1 of 2,,38,35
134,2,9:20.0,K. Durant enters the game for A. Iguodala,,38,35
135,2,9:20.0,K. Thompson misses free throw 2 of 2,,38,35
136,2,9:18.0,,Defensive rebound by K. Bates-Diop,38,35
137,2,9:09.0,,K. Bates-Diop misses 2-pt layup from 1 ft,38,35
138,2,9:04.0,,Offensive rebound by K. Bates-Diop,38,35
139,2,9:04.0,,K. Bates-Diop misses 2-pt layup at rim,38,35
140,2,9:02.0,Defensive rebound by D. Cousins,,38,35
141,2,8:58.0,D. Cousins misses 3-pt jump shot from 26 ft,,38,35
142,2,8:57.0,,Defensive rebound by A. Tolliver,38,35
143,2,8:50.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Bayless),38,38
144,2,8:42.0,Golden State full timeout,,38,38
145,2,8:42.0,,K. Towns enters the game for G. Dieng,38,38
146,2,8:33.0,K. Thompson makes 2-pt jump shot from 7 ft (assist by S. Livingston),,40,38
147,2,8:16.0,,K. Towns misses 2-pt hook shot from 5 ft,40,38
148,2,8:14.0,Defensive rebound by Q. Cook,,40,38
149,2,8:08.0,Offensive foul by K. Thompson (drawn by J. Okogie),,40,38
150,2,8:08.0,Turnover by K. Thompson (offensive foul),,40,38
151,2,7:51.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by K. Towns),40,40
152,2,7:37.0,S. Livingston makes 2-pt dunk at rim (assist by K. Thompson),,42,40
153,2,7:24.0,,K. Towns misses 2-pt layup from 1 ft,42,40
154,2,7:21.0,Defensive rebound by K. Durant,,42,40
