,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,K. Towns misses 2-pt jump shot from 16 ft,0,0
1,1,11:39.0,Defensive rebound by N. Batum,,0,0
2,1,11:32.0,N. Batum misses 2-pt layup from 1 ft,,0,0
3,1,11:30.0,Offensive rebound by M. Kidd-Gilchrist,,0,0
4,1,11:26.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by R. Covington),,0,0
5,1,11:19.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),0,3
6,1,10:58.0,M. Kidd-Gilchrist makes 3-pt jump shot from 24 ft (assist by N. Batum),,3,3
7,1,10:41.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),3,6
8,1,10:29.0,C. Zeller misses 2-pt jump shot from 11 ft (block by K. Towns),,3,6
9,1,10:28.0,,Defensive rebound by Team,3,6
10,1,10:09.0,,K. Towns makes 3-pt jump shot from 23 ft (assist by A. Wiggins),3,9
11,1,9:49.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,5,9
12,1,9:35.0,,K. Towns misses 2-pt jump shot from 13 ft,5,9
13,1,9:34.0,,Offensive rebound by K. Towns,5,9
14,1,9:33.0,,Personal foul by C. Zeller (drawn by K. Towns),5,9
15,1,9:29.0,,A. Wiggins makes 2-pt jump shot from 21 ft,5,11
16,1,9:06.0,J. Lamb misses 2-pt layup from 2 ft,,5,11
17,1,9:03.0,Offensive rebound by N. Batum,,5,11
18,1,9:01.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by N. Batum),,8,11
19,1,8:52.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Teague),8,13
20,1,8:37.0,K. Walker makes 2-pt layup at rim,,10,13
21,1,8:18.0,,Shooting foul by K. Walker (drawn by K. Towns),10,13
22,1,8:18.0,,K. Towns misses free throw 1 of 2,10,13
23,1,8:18.0,,Offensive rebound by Team,10,13
24,1,8:18.0,,K. Towns makes free throw 2 of 2,10,14
25,1,8:01.0,K. Walker makes 2-pt jump shot from 5 ft,,12,14
26,1,7:45.0,,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Teague),12,16
27,1,7:25.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by K. Towns),,12,16
28,1,7:22.0,Offensive rebound by J. Lamb,,12,16
29,1,7:20.0,N. Batum makes 3-pt jump shot from 23 ft (assist by J. Lamb),,15,16
30,1,7:14.0,,Turnover by A. Wiggins (lost ball; steal by J. Lamb),15,16
31,1,7:07.0,N. Batum misses 3-pt jump shot from 24 ft,,15,16
32,1,7:05.0,Offensive rebound by C. Zeller,,15,16
33,1,7:02.0,N. Batum makes 2-pt layup from 1 ft (assist by C. Zeller),,17,16
34,1,6:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),17,18
35,1,6:34.0,Personal foul by J. Teague (drawn by N. Batum),,17,18
36,1,6:34.0,,Minnesota full timeout,17,18
37,1,6:28.0,M. Kidd-Gilchrist misses 2-pt layup from 5 ft (block by T. Gibson),,17,18
38,1,6:24.0,,Defensive rebound by K. Towns,17,18
39,1,6:13.0,,Turnover by R. Covington (bad pass; steal by C. Zeller),17,18
40,1,6:10.0,J. Lamb makes 2-pt layup from 1 ft (assist by C. Zeller),,19,18
41,1,6:10.0,Shooting foul by R. Covington (drawn by J. Lamb),,19,18
42,1,6:10.0,J. Lamb makes free throw 1 of 1,,20,18
43,1,6:00.0,,A. Wiggins misses 2-pt jump shot from 21 ft,20,18
44,1,5:59.0,Defensive rebound by K. Walker,,20,18
45,1,5:52.0,K. Walker makes 3-pt jump shot from 25 ft,,23,18
46,1,5:32.0,,J. Teague misses 3-pt jump shot from 25 ft,23,18
47,1,5:28.0,,Offensive rebound by K. Towns,23,18
48,1,5:26.0,,R. Covington misses 3-pt jump shot from 28 ft,23,18
49,1,5:26.0,,Offensive rebound by T. Gibson,23,18
50,1,5:18.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Teague),23,21
51,1,5:00.0,K. Walker misses 2-pt layup from 2 ft (block by K. Towns),,23,21
52,1,4:58.0,,Defensive rebound by R. Covington,23,21
53,1,4:42.0,,Offensive foul by K. Towns (drawn by N. Batum),23,21
54,1,4:42.0,,Turnover by K. Towns (offensive foul),23,21
55,1,4:42.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,23,21
56,1,4:42.0,,D. Rose enters the game for R. Covington,23,21
57,1,4:35.0,Shooting foul by J. Teague (drawn by K. Walker),,23,21
58,1,4:35.0,K. Walker misses free throw 1 of 3,,23,21
59,1,4:35.0,Offensive rebound by Team,,23,21
60,1,4:35.0,K. Walker makes free throw 2 of 3,,24,21
61,1,4:35.0,M. Bridges enters the game for N. Batum,,24,21
62,1,4:35.0,K. Walker makes free throw 3 of 3,,25,21
63,1,4:26.0,,D. Rose misses 2-pt jump shot from 15 ft,25,21
64,1,4:23.0,Defensive rebound by J. Lamb,,25,21
65,1,4:17.0,J. Lamb misses 2-pt layup from 2 ft,,25,21
66,1,4:15.0,,Defensive rebound by T. Gibson,25,21
67,1,4:04.0,,Turnover by J. Teague (bad pass; steal by K. Walker),25,21
68,1,4:00.0,K. Walker makes 2-pt layup from 2 ft,,27,21
69,1,3:52.0,,T. Gibson makes 3-pt jump shot from 23 ft (assist by J. Teague),27,24
70,1,3:25.0,F. Kaminsky makes 2-pt jump shot from 6 ft (assist by K. Walker),,29,24
71,1,3:03.0,,J. Teague misses 2-pt jump shot from 17 ft,29,24
72,1,3:01.0,Defensive rebound by K. Walker,,29,24
73,1,2:57.0,K. Walker misses 2-pt jump shot from 10 ft,,29,24
74,1,2:55.0,,Defensive rebound by T. Gibson,29,24
75,1,2:43.0,,A. Wiggins misses 3-pt jump shot from 24 ft,29,24
76,1,2:42.0,Defensive rebound by J. Lamb,,29,24
77,1,2:36.0,Charlotte full timeout,,29,24
78,1,2:36.0,B. Biyombo enters the game for K. Walker,,29,24
79,1,2:36.0,T. Parker enters the game for C. Zeller,,29,24
80,1,2:36.0,,G. Dieng enters the game for T. Gibson,29,24
81,1,2:36.0,,T. Jones enters the game for J. Teague,29,24
82,1,2:36.0,,D. Šarić enters the game for K. Towns,29,24
83,1,2:21.0,Turnover by B. Biyombo (3 sec),,29,24
84,1,2:00.0,,Turnover by A. Wiggins (step out of bounds),29,24
85,1,1:49.0,T. Parker misses 2-pt jump shot from 21 ft,,29,24
86,1,1:44.0,,Defensive rebound by G. Dieng,29,24
87,1,1:41.0,,Shooting foul by M. Bridges (drawn by D. Rose),29,24
88,1,1:41.0,,D. Rose misses free throw 1 of 2,29,24
89,1,1:41.0,,Offensive rebound by Team,29,24
90,1,1:41.0,,D. Rose misses free throw 2 of 2,29,24
91,1,1:38.0,Defensive rebound by B. Biyombo,,29,24
92,1,1:30.0,Shooting foul by D. Šarić (drawn by B. Biyombo),,29,24
93,1,1:30.0,B. Biyombo misses free throw 1 of 2,,29,24
94,1,1:30.0,Offensive rebound by Team,,29,24
95,1,1:30.0,B. Biyombo makes free throw 2 of 2,,30,24
96,1,1:16.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Rose),30,27
97,1,0:51.0,M. Bridges misses 3-pt jump shot from 25 ft,,30,27
98,1,0:49.0,,Defensive rebound by D. Šarić,30,27
99,1,0:44.0,,D. Rose makes 2-pt layup from 2 ft,30,29
100,1,0:34.0,Shooting foul by G. Dieng (drawn by J. Lamb),,30,29
101,1,0:34.0,J. Lamb misses free throw 1 of 2,,30,29
102,1,0:34.0,Offensive rebound by Team,,30,29
103,1,0:34.0,J. Lamb makes free throw 2 of 2,,31,29
104,1,0:28.0,,A. Wiggins makes 2-pt layup from 1 ft,31,31
105,1,0:08.0,T. Parker misses 2-pt layup from 4 ft,,31,31
106,1,0:06.0,,Defensive rebound by D. Šarić,31,31
107,2,11:50.0,M. Bridges makes 2-pt dunk from 1 ft (assist by T. Parker),,33,31
108,2,11:36.0,,G. Dieng misses 2-pt jump shot from 19 ft,33,31
109,2,11:33.0,Defensive rebound by M. Bridges,,33,31
110,2,11:26.0,F. Kaminsky makes 3-pt jump shot from 23 ft (assist by M. Bridges),,36,31
111,2,11:05.0,,D. Rose misses 2-pt jump shot from 7 ft,36,31
112,2,11:03.0,,Offensive rebound by G. Dieng,36,31
113,2,10:58.0,,G. Dieng misses 3-pt jump shot from 24 ft,36,31
114,2,10:57.0,Defensive rebound by N. Batum,,36,31
115,2,10:50.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by N. Batum),,39,31
116,2,10:25.0,,R. Covington makes 2-pt jump shot from 7 ft,39,33
117,2,10:07.0,N. Batum makes 2-pt jump shot from 21 ft (assist by T. Parker),,41,33
118,2,9:56.0,,D. Rose makes 2-pt layup from 2 ft,41,35
119,2,9:32.0,Turnover by F. Kaminsky (lost ball; steal by R. Covington),,41,35
120,2,9:28.0,,D. Šarić misses 2-pt layup from 3 ft (block by M. Monk),41,35
121,2,9:28.0,,Offensive rebound by Team,41,35
122,2,9:18.0,,D. Rose misses 3-pt jump shot from 23 ft,41,35
123,2,9:13.0,,Offensive rebound by D. Šarić,41,35
124,2,9:11.0,,D. Rose makes 2-pt jump shot from 9 ft (assist by D. Šarić),41,37
125,2,8:54.0,M. Monk misses 3-pt jump shot from 25 ft,,41,37
126,2,8:52.0,Offensive rebound by N. Batum,,41,37
127,2,8:52.0,N. Batum makes 2-pt layup from 1 ft,,43,37
128,2,8:52.0,Shooting foul by R. Covington (drawn by N. Batum),,43,37
129,2,8:52.0,M. Kidd-Gilchrist enters the game for M. Bridges,,43,37
130,2,8:52.0,N. Batum makes free throw 1 of 1,,44,37
131,2,8:41.0,,Turnover by G. Dieng (bad pass),44,37
132,2,8:18.0,M. Monk makes 2-pt layup from 1 ft,,46,37
133,2,8:11.0,,Minnesota full timeout,46,37
134,2,8:11.0,C. Zeller enters the game for F. Kaminsky,,46,37
135,2,8:11.0,,K. Towns enters the game for G. Dieng,46,37
136,2,8:05.0,,Turnover by T. Jones (offensive foul),46,37
137,2,8:05.0,,Offensive foul by T. Jones (drawn by C. Zeller),46,37
138,2,7:54.0,N. Batum makes 2-pt layup at rim (assist by C. Zeller),,48,37
139,2,7:35.0,,D. Šarić misses 2-pt layup from 2 ft,48,37
140,2,7:32.0,Defensive rebound by C. Zeller,,48,37
141,2,7:26.0,C. Zeller makes 3-pt jump shot from 25 ft (assist by T. Parker),,51,37
142,2,7:15.0,,Personal foul by C. Zeller (drawn by K. Towns),51,37
143,2,7:10.0,,T. Jones misses 3-pt jump shot from 24 ft,51,37
144,2,7:07.0,Defensive rebound by M. Monk,,51,37
