,QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
0,1,11:47.0,D. Lillard makes 2-pt jump shot from 14 ft (assist by J. Nurkić),,2,0
1,1,11:29.0,,E. Gordon misses 2-pt jump shot from 11 ft,2,0
2,1,11:26.0,Defensive rebound by J. Nurkić,,2,0
3,1,11:19.0,Turnover by D. Lillard (bad pass),,2,0
4,1,11:05.0,,Turnover by C. Capela (lost ball; steal by D. Lillard),2,0
5,1,11:03.0,Turnover by A. Aminu (bad pass),,2,0
6,1,10:53.0,,C. Capela misses 2-pt layup from 3 ft (block by J. Nurkić),2,0
7,1,10:52.0,Defensive rebound by C. McCollum,,2,0
8,1,10:42.0,J. Layman makes 2-pt dunk from 2 ft (assist by J. Nurkić),,4,0
9,1,10:27.0,,P. Tucker makes 2-pt jump shot from 21 ft (assist by C. Paul),4,2
10,1,10:17.0,J. Nurkić misses 2-pt hook shot from 4 ft,,4,2
11,1,10:15.0,,Defensive rebound by C. Capela,4,2
12,1,10:06.0,,E. Gordon misses 2-pt layup from 5 ft,4,2
13,1,10:04.0,Defensive rebound by C. McCollum,,4,2
14,1,9:54.0,D. Lillard misses 3-pt jump shot from 26 ft,,4,2
15,1,9:52.0,,Defensive rebound by C. Capela,4,2
16,1,9:40.0,,C. Paul misses 2-pt jump shot from 13 ft,4,2
17,1,9:36.0,Defensive rebound by J. Nurkić,,4,2
18,1,9:19.0,J. Layman misses 2-pt jump shot from 20 ft (block by P. Tucker),,4,2
19,1,9:19.0,Offensive rebound by Team,,4,2
20,1,9:14.0,Turnover by Team (shot clock),,4,2
21,1,9:00.0,,C. Anthony misses 2-pt jump shot from 15 ft,4,2
22,1,8:57.0,Defensive rebound by J. Nurkić,,4,2
23,1,8:46.0,C. McCollum misses 2-pt layup from 2 ft (block by C. Capela),,4,2
24,1,8:40.0,,Defensive rebound by P. Tucker,4,2
25,1,8:39.0,,E. Gordon misses 2-pt jump shot from 5 ft,4,2
26,1,8:33.0,,Offensive rebound by C. Capela,4,2
27,1,8:33.0,,C. Capela makes 2-pt dunk at rim,4,4
28,1,8:17.0,J. Nurkić misses 2-pt hook shot from 7 ft,,4,4
29,1,8:15.0,,Defensive rebound by C. Capela,4,4
30,1,7:58.0,,C. Paul misses 2-pt jump shot from 11 ft,4,4
31,1,7:53.0,Defensive rebound by J. Layman,,4,4
32,1,7:48.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,7,4
33,1,7:35.0,,C. Anthony misses 2-pt jump shot from 19 ft,7,4
34,1,7:33.0,,Offensive rebound by P. Tucker,7,4
35,1,7:30.0,,P. Tucker misses 3-pt jump shot from 22 ft,7,4
36,1,7:30.0,Defensive rebound by J. Nurkić,,7,4
37,1,7:20.0,D. Lillard makes 2-pt layup from 1 ft,,9,4
38,1,7:14.0,,Personal foul by D. Lillard (drawn by C. Paul),9,4
39,1,6:54.0,,E. Gordon makes 2-pt layup from 3 ft (assist by C. Paul),9,6
40,1,6:28.0,C. McCollum misses 3-pt jump shot from 26 ft,,9,6
41,1,6:27.0,Offensive rebound by J. Nurkić,,9,6
42,1,6:27.0,Shooting foul by P. Tucker (drawn by J. Nurkić),,9,6
43,1,6:27.0,,Houston full timeout,9,6
