,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:49.0,Personal foul by T. Burke (drawn by T. Prince),,0,0
1,1,11:44.0,V. Carter misses 3-pt jump shot from 28 ft,,0,0
2,1,11:42.0,,Defensive rebound by E. Freedom,0,0
3,1,11:30.0,,Personal foul by K. Bazemore (drawn by T. Hardaway),0,0
4,1,11:18.0,,T. Hardaway misses 3-pt jump shot from 28 ft,0,0
5,1,11:16.0,Defensive rebound by T. Prince,,0,0
6,1,11:10.0,T. Prince misses 2-pt layup from 2 ft,,0,0
7,1,11:09.0,,Defensive rebound by T. Hardaway,0,0
8,1,11:06.0,,T. Hardaway misses 2-pt layup from 1 ft (block by K. Bazemore),0,0
9,1,11:05.0,,Offensive rebound by Team,0,0
10,1,10:58.0,,E. Freedom misses 2-pt jump shot from 20 ft,0,0
11,1,10:56.0,Defensive rebound by A. Len,,0,0
12,1,10:45.0,K. Bazemore misses 2-pt layup from 2 ft,,0,0
13,1,10:44.0,,Defensive rebound by E. Freedom,0,0
14,1,10:24.0,,T. Burke misses 2-pt jump shot from 19 ft,0,0
15,1,10:23.0,,Offensive rebound by Team,0,0
16,1,10:23.0,Loose ball foul by A. Len (drawn by E. Freedom),,0,0
17,1,10:14.0,,T. Burke misses 2-pt jump shot from 14 ft,0,0
18,1,10:12.0,Defensive rebound by T. Prince,,0,0
19,1,10:09.0,Shooting foul by T. Hardaway (drawn by T. Prince),,0,0
20,1,10:09.0,T. Prince makes free throw 1 of 2,,1,0
21,1,10:09.0,T. Prince makes free throw 2 of 2,,2,0
22,1,9:56.0,,Shooting foul by V. Carter (drawn by T. Hardaway),2,0
23,1,9:56.0,,T. Hardaway makes free throw 1 of 2,2,1
24,1,9:56.0,,T. Hardaway makes free throw 2 of 2,2,2
25,1,9:43.0,Turnover by T. Prince (bad pass; steal by T. Hardaway),,2,2
26,1,9:39.0,,T. Hardaway misses 3-pt jump shot from 24 ft,2,2
27,1,9:37.0,Defensive rebound by T. Young,,2,2
28,1,9:31.0,A. Len makes 2-pt layup from 1 ft (assist by T. Young),,4,2
29,1,9:18.0,,Offensive foul by L. Thomas (drawn by V. Carter),4,2
30,1,9:18.0,,Turnover by L. Thomas (offensive foul),4,2
31,1,9:07.0,K. Bazemore misses 3-pt jump shot from 25 ft,,4,2
32,1,9:06.0,,Defensive rebound by F. Ntilikina,4,2
33,1,8:56.0,,Turnover by T. Burke (bad pass; steal by K. Bazemore),4,2
34,1,8:47.0,A. Len makes 2-pt layup from 2 ft (assist by T. Young),,6,2
35,1,8:40.0,,T. Burke misses 2-pt layup from 1 ft,6,2
36,1,8:38.0,,Offensive rebound by E. Freedom,6,2
37,1,8:38.0,,E. Freedom misses 2-pt dunk from 1 ft,6,2
38,1,8:36.0,Defensive rebound by T. Prince,,6,2
39,1,8:36.0,A. Poythress enters the game for V. Carter,,6,2
40,1,8:30.0,A. Poythress makes 2-pt layup from 1 ft (assist by A. Len),,8,2
41,1,8:17.0,,T. Hardaway misses 2-pt jump shot from 15 ft,8,2
42,1,8:15.0,Defensive rebound by T. Prince,,8,2
43,1,8:08.0,T. Prince makes 2-pt jump shot from 8 ft,,10,2
44,1,8:03.0,,New York full timeout,10,2
45,1,7:52.0,,F. Ntilikina makes 3-pt jump shot from 26 ft (assist by T. Hardaway),10,5
