,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:48.0,J. Murray misses 2-pt layup from 2 ft (block by S. Mejri),,0,0
1,1,11:45.0,,Defensive rebound by D. Finney-Smith,0,0
2,1,11:37.0,,J. Brunson makes 3-pt jump shot from 26 ft,0,3
3,1,11:19.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by W. Barton),,3,3
4,1,10:54.0,,T. Hardaway misses 2-pt jump shot from 19 ft,3,3
5,1,10:51.0,,Offensive rebound by S. Mejri,3,3
6,1,10:41.0,,T. Hardaway makes 3-pt jump shot from 25 ft,3,6
7,1,10:29.0,J. Murray misses 2-pt jump shot from 8 ft,,3,6
8,1,10:27.0,Offensive rebound by N. Jokić,,3,6
9,1,10:25.0,N. Jokić misses 2-pt hook shot from 4 ft,,3,6
10,1,10:22.0,Offensive rebound by N. Jokić,,3,6
11,1,10:22.0,N. Jokić makes 2-pt layup at rim,,5,6
12,1,10:15.0,,Personal foul by W. Barton (drawn by T. Hardaway),5,6
13,1,10:07.0,,J. Brunson misses 2-pt jump shot from 15 ft,5,6
14,1,10:04.0,Defensive rebound by N. Jokić,,5,6
15,1,9:53.0,M. Beasley misses 3-pt jump shot from 25 ft,,5,6
16,1,9:50.0,,Defensive rebound by S. Mejri,5,6
17,1,9:43.0,,T. Hardaway misses 3-pt jump shot from 25 ft,5,6
18,1,9:41.0,Defensive rebound by N. Jokić,,5,6
19,1,9:37.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,7,6
20,1,9:15.0,,Turnover by D. Finney-Smith (bad pass),7,6
21,1,9:08.0,P. Millsap misses 2-pt layup from 5 ft,,7,6
22,1,9:07.0,,Defensive rebound by D. Finney-Smith,7,6
23,1,9:05.0,,Personal foul by J. Murray (drawn by J. Brunson),7,6
24,1,8:51.0,,S. Mejri makes 3-pt jump shot from 24 ft (assist by M. Kleber),7,9
25,1,8:40.0,Offensive foul by N. Jokić (drawn by M. Kleber),,7,9
26,1,8:40.0,Turnover by N. Jokić (offensive foul),,7,9
27,1,8:27.0,,T. Hardaway makes 2-pt jump shot from 12 ft (assist by J. Brunson),7,11
