,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,J. Nurkić misses 2-pt layup from 2 ft (block by K. Durant),,0,0
1,1,11:41.0,Offensive rebound by Team,,0,0
2,1,11:38.0,J. Nurkić misses 2-pt hook shot from 5 ft,,0,0
3,1,11:37.0,,Defensive rebound by K. Thompson,0,0
4,1,11:25.0,,Q. Cook misses 2-pt jump shot from 18 ft,0,0
5,1,11:24.0,Defensive rebound by A. Aminu,,0,0
6,1,11:12.0,Shooting foul by K. Durant (drawn by J. Nurkić),,0,0
7,1,11:12.0,J. Nurkić misses free throw 1 of 2,,0,0
8,1,11:12.0,Offensive rebound by Team,,0,0
9,1,11:12.0,J. Nurkić makes free throw 2 of 2,,1,0
10,1,11:03.0,,K. Durant misses 2-pt jump shot from 16 ft,1,0
11,1,11:02.0,Defensive rebound by Team,,1,0
12,1,11:02.0,,Loose ball foul by D. Jones (drawn by J. Nurkić),1,0
13,1,10:46.0,A. Aminu makes 2-pt layup from 3 ft (assist by D. Lillard),,3,0
14,1,10:36.0,,K. Durant makes 2-pt jump shot from 19 ft,3,2
15,1,10:19.0,C. McCollum makes 3-pt jump shot from 28 ft,,6,2
16,1,10:06.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Jones),6,4
17,1,9:55.0,Personal foul by Q. Cook (drawn by C. McCollum),,6,4
18,1,9:47.0,J. Layman misses 3-pt jump shot from 23 ft,,6,4
19,1,9:45.0,,Defensive rebound by K. Durant,6,4
20,1,9:39.0,,K. Durant misses 3-pt jump shot from 27 ft,6,4
21,1,9:37.0,Defensive rebound by J. Nurkić,,6,4
22,1,9:29.0,D. Lillard misses 2-pt jump shot from 21 ft,,6,4
23,1,9:28.0,Offensive rebound by J. Nurkić,,6,4
24,1,9:21.0,C. McCollum misses 3-pt jump shot from 27 ft,,6,4
25,1,9:19.0,,Defensive rebound by D. Jones,6,4
26,1,9:11.0,,K. Thompson makes 2-pt jump shot from 12 ft,6,6
27,1,8:49.0,J. Nurkić misses 2-pt jump shot from 8 ft,,6,6
28,1,8:48.0,,Defensive rebound by Q. Cook,6,6
29,1,8:37.0,,K. Thompson misses 2-pt jump shot from 17 ft,6,6
30,1,8:36.0,Defensive rebound by J. Layman,,6,6
31,1,8:27.0,D. Lillard makes 3-pt jump shot from 29 ft,,9,6
32,1,8:26.0,,Golden State full timeout,9,6
33,1,8:26.0,,K. Looney enters the game for D. Jones,9,6
34,1,8:12.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Looney),9,8
