,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:43.0,Shooting foul by J. Okogie (drawn by I. Zubac),,0,0
1,1,11:43.0,I. Zubac makes free throw 1 of 2,,1,0
2,1,11:43.0,I. Zubac misses free throw 2 of 2,,1,0
3,1,11:41.0,,Defensive rebound by J. Teague,1,0
4,1,11:23.0,,A. Wiggins misses 2-pt jump shot from 22 ft,1,0
5,1,11:20.0,Defensive rebound by L. Ball,,1,0
6,1,11:05.0,Turnover by J. Hart (lost ball; steal by J. Okogie),,1,0
7,1,10:54.0,,J. Teague misses 3-pt jump shot from 24 ft,1,0
8,1,10:51.0,Defensive rebound by J. McGee,,1,0
9,1,10:42.0,I. Zubac misses 2-pt jump shot from 12 ft,,1,0
10,1,10:37.0,,Defensive rebound by K. Towns,1,0
11,1,10:33.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by K. Towns),1,3
12,1,10:16.0,J. Hart misses 2-pt jump shot from 13 ft,,1,3
13,1,10:11.0,,Defensive rebound by K. Towns,1,3
14,1,10:07.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by J. Teague),1,6
15,1,9:41.0,B. Ingram misses 2-pt layup from 2 ft,,1,6
16,1,9:39.0,,Defensive rebound by K. Towns,1,6
17,1,9:28.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),1,8
18,1,9:11.0,J. McGee misses 2-pt hook shot from 6 ft,,1,8
19,1,9:09.0,,Defensive rebound by J. Teague,1,8
20,1,9:02.0,,J. Teague makes 2-pt layup from 1 ft,1,10
21,1,8:50.0,B. Ingram misses 2-pt jump shot from 6 ft,,1,10
22,1,8:48.0,Offensive rebound by I. Zubac,,1,10
23,1,8:48.0,I. Zubac misses 2-pt layup from 1 ft (block by K. Towns),,1,10
24,1,8:46.0,,Defensive rebound by T. Gibson,1,10
25,1,8:43.0,,J. Teague makes 3-pt jump shot from 25 ft,1,13
26,1,8:42.0,LA Lakers full timeout,,1,13
27,1,8:24.0,L. Ball misses 3-pt jump shot from 25 ft,,1,13
28,1,8:20.0,,Defensive rebound by T. Gibson,1,13
29,1,8:06.0,,Turnover by J. Teague (bad pass),1,13
30,1,7:57.0,J. McGee misses 2-pt layup from 4 ft,,1,13
31,1,7:54.0,,Defensive rebound by T. Gibson,1,13
32,1,7:51.0,,Shooting foul by B. Ingram (drawn by A. Wiggins),1,13
33,1,7:51.0,,A. Wiggins makes free throw 1 of 2,1,14
34,1,7:51.0,M. Beasley enters the game for I. Zubac,,1,14
35,1,7:51.0,,A. Wiggins makes free throw 2 of 2,1,15
36,1,7:28.0,M. Beasley makes 2-pt jump shot from 2 ft,,3,15
37,1,7:15.0,,Shooting foul by B. Ingram (drawn by A. Wiggins),3,15
38,1,7:15.0,,A. Wiggins makes free throw 1 of 2,3,16
39,1,7:15.0,L. Stephenson enters the game for B. Ingram,,3,16
40,1,7:15.0,,A. Wiggins makes free throw 2 of 2,3,17
41,1,7:05.0,L. Stephenson misses 3-pt jump shot from 23 ft,,3,17
42,1,7:01.0,,Defensive rebound by K. Towns,3,17
43,1,6:54.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),3,20
44,1,6:41.0,Turnover by M. Beasley (bad pass; steal by K. Towns),,3,20
45,1,6:35.0,,Turnover by J. Okogie (bad pass; steal by J. Hart),3,20
46,1,6:22.0,Turnover by J. McGee (lost ball; steal by J. Teague),,3,20
47,1,6:09.0,,A. Wiggins makes 2-pt jump shot from 18 ft,3,22
48,1,6:00.0,LA Lakers full timeout,,3,22
49,1,6:00.0,T. Chandler enters the game for J. McGee,,3,22
50,1,5:54.0,M. Beasley makes 2-pt layup from 1 ft (assist by L. Ball),,5,22
