,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,UTAH_ACTION,GOLDEN STATE_SCORE,UTAH_SCORE
0,1,11:48.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by R. Rubio),0,2
1,1,11:34.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,2
2,1,11:32.0,,Defensive rebound by R. Rubio,0,2
3,1,11:17.0,,R. Rubio misses 3-pt jump shot from 24 ft (block by D. Jones),0,2
4,1,11:13.0,Defensive rebound by K. Durant,,0,2
5,1,11:10.0,K. Durant makes 2-pt jump shot from 18 ft,,2,2
6,1,10:54.0,,J. Ingles misses 2-pt layup from 2 ft,2,2
7,1,10:51.0,Defensive rebound by D. Green,,2,2
8,1,10:45.0,D. Green misses 3-pt jump shot from 25 ft,,2,2
9,1,10:38.0,,Defensive rebound by D. Mitchell,2,2
10,1,10:35.0,,Shooting foul by D. Jones (drawn by D. Mitchell),2,2
11,1,10:35.0,,D. Mitchell misses free throw 1 of 2,2,2
12,1,10:35.0,,Offensive rebound by Team,2,2
13,1,10:35.0,,D. Mitchell makes free throw 2 of 2,2,3
14,1,10:29.0,K. Thompson misses 2-pt jump shot from 15 ft,,2,3
15,1,10:26.0,,Defensive rebound by Team,2,3
16,1,10:09.0,,R. Gobert misses 2-pt hook shot from 8 ft,2,3
17,1,10:06.0,Defensive rebound by D. Green,,2,3
18,1,10:04.0,D. Jones makes 2-pt dunk from 2 ft (assist by D. Green),,4,3
19,1,9:38.0,,J. Ingles makes 2-pt layup from 4 ft,4,5
20,1,9:29.0,Personal foul by D. Mitchell (drawn by K. Thompson),,4,5
21,1,9:27.0,S. Curry makes 2-pt jump shot from 16 ft,,6,5
22,1,9:03.0,,D. Favors misses 3-pt jump shot from 23 ft,6,5
23,1,8:58.0,,Offensive rebound by Team,6,5
24,1,8:54.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Gobert),6,8
25,1,8:41.0,D. Green misses 3-pt jump shot from 25 ft,,6,8
26,1,8:38.0,,Defensive rebound by J. Ingles,6,8
27,1,8:36.0,,Shooting foul by D. Jones (drawn by R. Gobert),6,8
28,1,8:36.0,,R. Gobert misses free throw 1 of 2,6,8
29,1,8:36.0,,Offensive rebound by Team,6,8
30,1,8:36.0,,R. Gobert makes free throw 2 of 2,6,9
31,1,8:20.0,Shooting foul by D. Favors (drawn by K. Durant),,6,9
32,1,8:20.0,K. Durant makes free throw 1 of 2,,7,9
33,1,8:20.0,K. Durant makes free throw 2 of 2,,8,9
34,1,8:14.0,,Shooting foul by K. Thompson (drawn by R. Gobert),8,9
35,1,8:14.0,,R. Gobert makes free throw 1 of 2,8,10
36,1,8:14.0,,R. Gobert makes free throw 2 of 2,8,11
37,1,8:01.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Jones),,10,11
38,1,7:48.0,,D. Mitchell misses 2-pt layup from 3 ft (block by D. Jones),10,11
39,1,7:45.0,,Offensive rebound by D. Favors,10,11
40,1,7:37.0,,D. Mitchell misses 3-pt jump shot from 30 ft,10,11
41,1,7:33.0,Defensive rebound by D. Jones,,10,11
42,1,7:24.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),,12,11
43,1,7:08.0,,Turnover by D. Favors (lost ball; steal by S. Curry),12,11
44,1,7:06.0,Personal foul by R. Rubio (drawn by S. Curry),,12,11
45,1,6:54.0,K. Durant misses 2-pt jump shot from 11 ft,,12,11
46,1,6:51.0,,Defensive rebound by R. Gobert,12,11
47,1,6:43.0,,R. Rubio misses 2-pt jump shot from 13 ft,12,11
48,1,6:40.0,,Offensive rebound by D. Favors,12,11
49,1,6:34.0,,Turnover by D. Favors (bad pass; steal by D. Jones),12,11
50,1,6:28.0,K. Durant makes 2-pt dunk from 2 ft,,14,11
51,1,6:27.0,,Utah full timeout,14,11
52,1,6:27.0,,J. Crowder enters the game for D. Favors,14,11
53,1,6:27.0,,R. O'Neale enters the game for J. Ingles,14,11
54,1,6:09.0,,J. Crowder misses 3-pt jump shot from 26 ft,14,11
55,1,6:08.0,,Offensive rebound by Team,14,11
56,1,6:08.0,Loose ball foul by D. Jones (drawn by R. Gobert),,14,11
57,1,6:08.0,K. Looney enters the game for D. Jones,,14,11
58,1,6:04.0,,D. Mitchell misses 3-pt jump shot from 25 ft,14,11
59,1,6:00.0,Defensive rebound by S. Curry,,14,11
60,1,5:55.0,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),,16,11
61,1,5:39.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Crowder),16,13
62,1,5:24.0,S. Curry misses 3-pt jump shot from 25 ft,,16,13
63,1,5:22.0,,Defensive rebound by R. Gobert,16,13
64,1,5:13.0,,R. Rubio makes 2-pt jump shot from 9 ft,16,15
65,1,5:03.0,Offensive foul by S. Curry (drawn by R. Rubio),,16,15
66,1,5:03.0,Turnover by S. Curry (offensive foul),,16,15
67,1,5:03.0,J. Jerebko enters the game for D. Green,,16,15
68,1,4:50.0,,J. Crowder makes 2-pt jump shot from 22 ft (assist by R. Rubio),16,17
69,1,4:38.0,K. Durant misses 2-pt jump shot from 13 ft,,16,17
70,1,4:35.0,Offensive rebound by S. Curry,,16,17
71,1,4:33.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by S. Curry),,19,17
72,1,4:20.0,,R. Rubio makes 2-pt jump shot from 17 ft,19,19
73,1,4:07.0,Golden State full timeout,,19,19
74,1,4:07.0,S. Livingston enters the game for K. Thompson,,19,19
75,1,4:07.0,,D. Exum enters the game for R. Rubio,19,19
76,1,4:04.0,Offensive foul by S. Curry (drawn by D. Exum),,19,19
77,1,4:04.0,Turnover by S. Curry (offensive foul),,19,19
78,1,3:51.0,,J. Crowder misses 3-pt jump shot from 26 ft,19,19
79,1,3:47.0,Defensive rebound by K. Looney,,19,19
80,1,3:39.0,S. Curry makes 2-pt jump shot from 16 ft (assist by K. Looney),,21,19
81,1,3:18.0,,D. Exum makes 2-pt dunk from 3 ft (assist by D. Mitchell),21,21
82,1,3:08.0,S. Curry misses 2-pt layup from 7 ft,,21,21
83,1,3:08.0,,Defensive rebound by D. Exum,21,21
84,1,3:06.0,,Personal foul by J. Jerebko (drawn by D. Exum),21,21
85,1,3:06.0,,D. Exum makes free throw 1 of 2,21,22
86,1,3:06.0,Q. Cook enters the game for S. Curry,,21,22
87,1,3:06.0,,A. Burks enters the game for R. Gobert,21,22
88,1,3:06.0,,D. Favors enters the game for D. Mitchell,21,22
89,1,3:06.0,,D. Exum makes free throw 2 of 2,21,23
90,1,2:45.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by K. Durant),,24,23
91,1,2:31.0,,Personal foul by J. Jerebko (drawn by J. Crowder),24,23
92,1,2:31.0,,J. Crowder makes free throw 1 of 2,24,24
93,1,2:31.0,,J. Crowder makes free throw 2 of 2,24,25
94,1,2:19.0,K. Durant misses 2-pt jump shot from 8 ft,,24,25
95,1,2:17.0,Offensive rebound by S. Livingston,,24,25
96,1,2:05.0,K. Durant makes 2-pt layup from 1 ft,,26,25
97,1,1:58.0,,Personal foul by Q. Cook (drawn by J. Crowder),26,25
98,1,1:58.0,,J. Crowder makes free throw 1 of 2,26,26
99,1,1:58.0,,J. Ingles enters the game for R. O'Neale,26,26
100,1,1:58.0,,J. Crowder makes free throw 2 of 2,26,27
101,1,1:46.0,Personal foul by J. Ingles (drawn by K. Durant),,26,27
102,1,1:41.0,Shooting foul by D. Favors (drawn by K. Durant),,26,27
103,1,1:41.0,K. Durant makes free throw 1 of 2,,27,27
104,1,1:41.0,K. Durant makes free throw 2 of 2,,28,27
105,1,1:35.0,,Shooting foul by Q. Cook (drawn by J. Crowder),28,27
106,1,1:35.0,,J. Crowder makes free throw 1 of 2,28,28
107,1,1:35.0,,J. Crowder makes free throw 2 of 2,28,29
108,1,1:12.0,K. Looney makes 2-pt layup from 1 ft (assist by K. Durant),,30,29
109,1,0:58.0,,J. Ingles misses 3-pt jump shot from 25 ft,30,29
110,1,0:57.0,,Offensive rebound by Team,30,29
111,1,0:49.0,,J. Crowder misses 2-pt jump shot from 9 ft,30,29
112,1,0:45.0,Defensive rebound by S. Livingston,,30,29
113,1,0:44.0,S. Livingston makes 2-pt jump shot from 14 ft,,32,29
114,1,0:33.0,,D. Exum makes 2-pt layup from 4 ft,32,31
115,1,0:17.0,Turnover by K. Durant (bad pass; steal by J. Ingles),,32,31
116,1,0:00.0,,Shooting foul by K. Durant (drawn by A. Burks),32,31
117,1,0:00.0,,A. Burks makes free throw 1 of 3,32,32
118,1,0:00.0,,A. Burks makes free throw 2 of 3,32,33
119,1,0:00.0,,A. Burks makes free throw 3 of 3,32,34
120,2,11:45.0,D. Green misses 2-pt jump shot from 9 ft,,32,34
121,2,11:40.0,Offensive rebound by K. Thompson,,32,34
122,2,11:39.0,K. Thompson misses 3-pt jump shot from 26 ft,,32,34
123,2,11:36.0,,Defensive rebound by D. Exum,32,34
124,2,11:26.0,,Turnover by D. Exum (bad pass; steal by A. McKinnie),32,34
125,2,11:26.0,Turnover by A. McKinnie (step out of bounds),,32,34
126,2,11:20.0,,Offensive foul by D. Favors (drawn by D. Green),32,34
127,2,11:20.0,,Turnover by D. Favors (offensive foul),32,34
128,2,11:20.0,,E. Udoh enters the game for D. Favors,32,34
129,2,11:08.0,K. Thompson misses 2-pt jump shot from 20 ft,,32,34
130,2,11:02.0,,Defensive rebound by J. Crowder,32,34
131,2,10:57.0,,A. Burks makes 2-pt layup from 2 ft (assist by J. Crowder),32,36
132,2,10:42.0,Shooting foul by E. Udoh (drawn by D. Green),,32,36
133,2,10:42.0,D. Green misses free throw 1 of 2,,32,36
134,2,10:42.0,Offensive rebound by Team,,32,36
135,2,10:42.0,D. Green makes free throw 2 of 2,,33,36
136,2,10:29.0,,Utah full timeout,33,36
137,2,10:27.0,,A. Burks misses 3-pt jump shot from 25 ft,33,36
138,2,10:23.0,,Offensive rebound by E. Udoh,33,36
139,2,10:23.0,,Turnover by E. Udoh (lost ball; steal by J. Jerebko),33,36
140,2,10:09.0,S. Livingston makes 2-pt hook shot from 7 ft,,35,36
141,2,9:58.0,,Def 3 sec tech foul by Team,35,36
142,2,9:58.0,,J. Crowder makes technical free throw,35,37
143,2,9:58.0,,G. Niang enters the game for J. Crowder,35,37
144,2,9:58.0,,R. O'Neale enters the game for J. Ingles,35,37
145,2,9:44.0,,D. Exum misses 2-pt jump shot from 2 ft,35,37
146,2,9:41.0,Defensive rebound by D. Green,,35,37
147,2,9:31.0,A. McKinnie misses 2-pt layup from 2 ft (block by E. Udoh),,35,37
148,2,9:24.0,,Defensive rebound by G. Niang,35,37
149,2,9:22.0,,G. Niang makes 2-pt layup from 3 ft,35,39
150,2,9:09.0,J. Jerebko makes 2-pt jump shot from 15 ft (assist by D. Green),,37,39
151,2,8:46.0,,A. Burks misses 3-pt jump shot from 28 ft,37,39
152,2,8:43.0,Defensive rebound by J. Jerebko,,37,39
153,2,8:38.0,D. Green makes 2-pt layup from 1 ft (assist by S. Livingston),,39,39
154,2,8:18.0,,G. Niang misses 3-pt jump shot from 23 ft,39,39
155,2,8:15.0,Defensive rebound by K. Thompson,,39,39
156,2,8:13.0,Shooting foul by R. O'Neale (drawn by K. Thompson),,39,39
157,2,8:13.0,K. Thompson makes free throw 1 of 2,,40,39
158,2,8:13.0,S. Curry enters the game for S. Livingston,,40,39
159,2,8:13.0,,R. Gobert enters the game for A. Burks,40,39
160,2,8:13.0,,D. Mitchell enters the game for E. Udoh,40,39
161,2,8:13.0,K. Thompson makes free throw 2 of 2,,41,39
162,2,7:50.0,,D. Exum makes 2-pt jump shot from 11 ft,41,41
163,2,7:32.0,S. Curry misses 2-pt layup from 4 ft (block by G. Niang),,41,41
164,2,7:32.0,Offensive rebound by Team,,41,41
165,2,7:32.0,,R. Rubio enters the game for R. O'Neale,41,41
166,2,7:31.0,Shooting foul by D. Exum (drawn by K. Thompson),,41,41
167,2,7:31.0,K. Thompson makes free throw 1 of 2,,42,41
168,2,7:31.0,K. Thompson makes free throw 2 of 2,,43,41
169,2,7:21.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),43,43
170,2,7:12.0,S. Curry makes 2-pt jump shot from 19 ft,,45,43
171,2,7:12.0,Shooting foul by R. Rubio (drawn by S. Curry),,45,43
172,2,7:12.0,K. Looney enters the game for J. Jerebko,,45,43
173,2,7:12.0,S. Curry misses free throw 1 of 1,,45,43
174,2,7:12.0,,Defensive rebound by R. Gobert,45,43
175,2,6:54.0,,D. Exum makes 3-pt jump shot from 26 ft (assist by R. Rubio),45,46
176,2,6:40.0,D. Green makes 2-pt layup from 4 ft (assist by S. Curry),,47,46
177,2,6:24.0,,G. Niang makes 3-pt jump shot from 25 ft (assist by R. Rubio),47,49
178,2,6:09.0,Turnover by D. Green (bad pass; steal by D. Mitchell),,47,49
179,2,6:05.0,,G. Niang misses 2-pt layup from 3 ft (block by D. Green),47,49
180,2,6:05.0,,Offensive rebound by Team,47,49
181,2,6:05.0,K. Durant enters the game for D. Green,,47,49
182,2,6:05.0,D. Jones enters the game for K. Thompson,,47,49
183,2,6:05.0,,J. Crowder enters the game for D. Exum,47,49
184,2,6:05.0,,J. Ingles enters the game for G. Niang,47,49
185,2,6:03.0,,D. Mitchell misses 3-pt jump shot from 25 ft,47,49
186,2,5:59.0,Defensive rebound by A. McKinnie,,47,49
187,2,5:47.0,K. Durant makes 3-pt jump shot from 24 ft,,50,49
188,2,5:38.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. Rubio),50,52
189,2,5:24.0,K. Durant makes 2-pt jump shot from 14 ft,,52,52
190,2,5:24.0,Shooting foul by J. Ingles (drawn by K. Durant),,52,52
191,2,5:24.0,K. Durant makes free throw 1 of 1,,53,52
192,2,5:15.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),53,54
193,2,5:15.0,,Shooting foul by A. McKinnie (drawn by R. Gobert),53,54
194,2,5:15.0,,R. Gobert makes free throw 1 of 1,53,55
195,2,5:05.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by S. Curry),,56,55
196,2,4:49.0,,J. Ingles makes 3-pt jump shot from 25 ft,56,58
197,2,4:35.0,Turnover by K. Durant (bad pass),,56,58
198,2,4:29.0,,Shooting foul by A. McKinnie (drawn by R. Gobert),56,58
199,2,4:29.0,,R. Gobert makes free throw 1 of 2,56,59
200,2,4:29.0,Golden State full timeout,,56,59
201,2,4:29.0,D. Green enters the game for D. Jones,,56,59
202,2,4:29.0,J. Jerebko enters the game for K. Looney,,56,59
203,2,4:29.0,K. Thompson enters the game for A. McKinnie,,56,59
204,2,4:29.0,,R. Gobert makes free throw 2 of 2,56,60
