,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:47.0,,E. Fournier misses 2-pt jump shot from 23 ft,0,0
1,1,11:42.0,Defensive rebound by S. Dekker,,0,0
2,1,11:23.0,C. Osman makes 2-pt layup from 3 ft (assist by R. Hood),,2,0
3,1,11:00.0,,W. Iwundu misses 2-pt layup from 2 ft,2,0
4,1,10:58.0,Defensive rebound by Team,,2,0
5,1,10:45.0,C. Osman misses 2-pt hook shot from 6 ft,,2,0
6,1,10:42.0,,Defensive rebound by W. Iwundu,2,0
7,1,10:34.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Fournier),2,2
8,1,10:18.0,T. Thompson misses 2-pt hook shot from 7 ft,,2,2
9,1,10:16.0,,Defensive rebound by N. Vučević,2,2
10,1,10:10.0,,A. Gordon makes 2-pt layup from 3 ft (assist by D. Augustin),2,4
11,1,9:56.0,C. Osman misses 3-pt jump shot from 26 ft,,2,4
12,1,9:54.0,,Defensive rebound by A. Gordon,2,4
13,1,9:48.0,,A. Gordon makes 3-pt jump shot from 25 ft,2,7
14,1,9:24.0,S. Dekker misses 3-pt jump shot from 25 ft,,2,7
15,1,9:22.0,,Defensive rebound by E. Fournier,2,7
16,1,9:15.0,,Personal foul by G. Hill (drawn by D. Augustin),2,7
17,1,9:00.0,,Turnover by D. Augustin (bad pass; steal by G. Hill),2,7
18,1,8:54.0,G. Hill makes 2-pt layup from 2 ft,,4,7
19,1,8:31.0,,W. Iwundu misses 3-pt jump shot from 23 ft,4,7
20,1,8:27.0,Defensive rebound by C. Osman,,4,7
21,1,8:24.0,C. Osman misses 2-pt layup from 3 ft,,4,7
22,1,8:23.0,Offensive rebound by T. Thompson,,4,7
23,1,8:22.0,T. Thompson makes 2-pt layup from 3 ft,,6,7
24,1,8:00.0,,Shooting foul by R. Hood (drawn by W. Iwundu),6,7
25,1,8:00.0,,W. Iwundu makes free throw 1 of 2,6,8
26,1,8:00.0,,W. Iwundu makes free throw 2 of 2,6,9
27,1,7:44.0,G. Hill makes 2-pt jump shot from 12 ft,,8,9
