,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
0,1,11:42.0,B. Ingram makes 3-pt jump shot from 29 ft (assist by K. Kuzma),,3,0
1,1,11:26.0,,I. Rabb makes 2-pt hook shot from 9 ft,3,2
2,1,11:09.0,Turnover by L. James (lost ball; steal by A. Bradley),,3,2
3,1,10:55.0,,J. Valančiūnas makes 2-pt layup from 1 ft,3,4
4,1,10:40.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,5,4
5,1,10:28.0,,Shooting foul by J. McGee (drawn by J. Valančiūnas),5,4
6,1,10:28.0,,J. Valančiūnas makes free throw 1 of 2,5,5
7,1,10:28.0,,J. Valančiūnas makes free throw 2 of 2,5,6
8,1,10:16.0,B. Ingram makes 2-pt layup from 1 ft,,7,6
9,1,10:11.0,,Personal foul by K. Kuzma (drawn by I. Rabb),7,6
10,1,10:00.0,,M. Conley makes 2-pt jump shot from 15 ft,7,8
11,1,9:40.0,L. James makes 2-pt layup from 1 ft (assist by R. Bullock),,9,8
12,1,9:24.0,,Turnover by J. Valančiūnas (lost ball; steal by L. James),9,8
13,1,9:19.0,Turnover by K. Kuzma (bad pass),,9,8
14,1,9:07.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by M. Conley),9,10
15,1,8:50.0,L. James makes 2-pt layup from 1 ft,,11,10
16,1,8:40.0,,I. Rabb misses 2-pt jump shot from 9 ft,11,10
17,1,8:38.0,Defensive rebound by J. McGee,,11,10
18,1,8:31.0,J. McGee misses 2-pt jump shot from 10 ft,,11,10
19,1,8:28.0,,Defensive rebound by J. Valančiūnas,11,10
20,1,8:18.0,,J. Holiday misses 3-pt jump shot from 26 ft,11,10
21,1,8:14.0,Defensive rebound by J. McGee,,11,10
22,1,8:09.0,B. Ingram makes 2-pt layup from 2 ft,,13,10
23,1,7:53.0,,J. Holiday misses 3-pt jump shot from 23 ft,13,10
24,1,7:52.0,,Offensive rebound by J. Valančiūnas,13,10
25,1,7:52.0,,J. Valančiūnas makes 2-pt layup from 1 ft,13,12
26,1,7:52.0,,Shooting foul by J. McGee (drawn by J. Valančiūnas),13,12
27,1,7:52.0,T. Chandler enters the game for J. McGee,,13,12
28,1,7:52.0,,J. Valančiūnas misses free throw 1 of 1,13,12
29,1,7:49.0,Defensive rebound by L. James,,13,12
30,1,7:38.0,B. Ingram misses 2-pt jump shot from 12 ft,,13,12
31,1,7:35.0,,Defensive rebound by A. Bradley,13,12
32,1,7:27.0,,J. Valančiūnas misses 2-pt jump shot from 9 ft,13,12
33,1,7:24.0,,Offensive rebound by J. Valančiūnas,13,12
34,1,7:21.0,,J. Holiday misses 3-pt jump shot from 23 ft,13,12
35,1,7:19.0,,Offensive rebound by I. Rabb,13,12
36,1,7:15.0,,J. Valančiūnas misses 2-pt hook shot from 7 ft,13,12
37,1,7:10.0,,Offensive rebound by I. Rabb,13,12
38,1,7:10.0,,I. Rabb makes 2-pt layup at rim,13,14
39,1,6:58.0,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),,15,14
40,1,6:53.0,,Personal foul by T. Chandler (drawn by M. Conley),15,14
41,1,6:53.0,,Memphis full timeout,15,14
42,1,6:35.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by A. Bradley),15,16
43,1,6:15.0,L. James makes 2-pt layup from 1 ft (assist by T. Chandler),,17,16
44,1,6:04.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,17,16
45,1,5:59.0,Defensive rebound by L. James,,17,16
46,1,5:55.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. James),,19,16
47,1,5:39.0,,A. Bradley misses 3-pt jump shot from 26 ft,19,16
48,1,5:36.0,,Offensive rebound by J. Valančiūnas,19,16
49,1,5:32.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft,19,18
50,1,5:16.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by T. Chandler),,22,18
51,1,5:01.0,,A. Bradley makes 3-pt jump shot from 25 ft,22,21
52,1,4:48.0,Personal foul by J. Holiday (drawn by B. Ingram),,22,21
53,1,4:48.0,R. Rondo enters the game for B. Ingram,,22,21
54,1,4:48.0,,J. Noah enters the game for M. Conley,22,21
55,1,4:48.0,,C. Parsons enters the game for J. Holiday,22,21
56,1,4:48.0,,D. Wright enters the game for J. Valančiūnas,22,21
57,1,4:33.0,L. James misses 2-pt jump shot from 12 ft,,22,21
58,1,4:31.0,,Defensive rebound by C. Parsons,22,21
59,1,4:17.0,,Turnover by A. Bradley (out of bounds lost ball),22,21
60,1,3:57.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by L. James),,25,21
61,1,3:39.0,,J. Noah misses 2-pt layup from 1 ft,25,21
62,1,3:38.0,Defensive rebound by Team,,25,21
63,1,3:38.0,,B. Caboclo enters the game for I. Rabb,25,21
64,1,3:23.0,LA Lakers full timeout,,25,21
65,1,3:21.0,R. Bullock misses 3-pt jump shot from 26 ft,,25,21
66,1,3:17.0,,Defensive rebound by B. Caboclo,25,21
67,1,2:58.0,,D. Wright makes 3-pt jump shot from 26 ft,25,24
68,1,2:42.0,L. James makes 2-pt jump shot from 13 ft,,27,24
69,1,2:28.0,,A. Bradley misses 2-pt jump shot from 15 ft,27,24
70,1,2:25.0,Defensive rebound by R. Rondo,,27,24
71,1,2:25.0,K. Caldwell-Pope enters the game for R. Bullock,,27,24
72,1,2:25.0,J. Hart enters the game for K. Kuzma,,27,24
73,1,2:03.0,L. James misses 2-pt jump shot from 20 ft,,27,24
74,1,1:59.0,,Defensive rebound by D. Wright,27,24
75,1,1:56.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by D. Wright),27,27
76,1,1:56.0,B. Ingram enters the game for L. James,,27,27
77,1,1:48.0,Personal foul by J. Noah (drawn by T. Chandler),,27,27
78,1,1:44.0,R. Rondo misses 2-pt layup from 2 ft (block by J. Noah),,27,27
79,1,1:40.0,,Defensive rebound by B. Caboclo,27,27
80,1,1:36.0,,C. Parsons makes 2-pt jump shot from 8 ft (assist by B. Caboclo),27,29
81,1,1:08.0,R. Rondo makes 2-pt layup at rim,,29,29
82,1,0:51.0,,Shooting foul by J. Hart (drawn by J. Noah),29,29
83,1,0:51.0,,J. Noah makes free throw 1 of 2,29,30
84,1,0:51.0,,J. Holiday enters the game for A. Bradley,29,30
85,1,0:51.0,,J. Noah makes free throw 2 of 2,29,31
86,1,0:39.0,Turnover by R. Rondo (bad pass; steal by B. Caboclo),,29,31
87,1,0:32.0,,J. Holiday misses 3-pt jump shot from 23 ft,29,31
88,1,0:29.0,Defensive rebound by B. Ingram,,29,31
89,1,0:26.0,Offensive foul by R. Rondo (drawn by D. Wright),,29,31
90,1,0:26.0,Turnover by R. Rondo (offensive foul),,29,31
91,1,0:26.0,L. Stephenson enters the game for T. Chandler,,29,31
92,1,0:26.0,,M. Conley enters the game for J. Noah,29,31
93,1,0:08.0,,M. Conley makes 3-pt jump shot from 26 ft,29,34
94,1,0:01.0,B. Ingram makes 2-pt jump shot from 13 ft,,31,34
95,2,11:48.0,,D. Wright makes 2-pt layup from 1 ft (assist by C. Parsons),31,36
96,2,11:28.0,K. Caldwell-Pope makes 2-pt jump shot from 21 ft (assist by B. Ingram),,33,36
97,2,11:18.0,,J. Noah makes 2-pt dunk at rim,33,38
98,2,11:06.0,Turnover by B. Ingram (bad pass; steal by C. Parsons),,33,38
99,2,10:55.0,,C. Parsons misses 3-pt jump shot from 24 ft,33,38
100,2,10:52.0,Defensive rebound by K. Caldwell-Pope,,33,38
101,2,10:46.0,M. Muscala misses 3-pt jump shot from 25 ft,,33,38
102,2,10:42.0,,Defensive rebound by J. Noah,33,38
103,2,10:29.0,,C. Parsons misses 2-pt jump shot from 13 ft,33,38
104,2,10:28.0,,Offensive rebound by J. Noah,33,38
105,2,10:28.0,,J. Noah makes 2-pt dunk at rim,33,40
106,2,10:28.0,LA Lakers full timeout,,33,40
107,2,10:28.0,K. Kuzma enters the game for J. McGee,,33,40
108,2,10:07.0,K. Kuzma makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,35,40
109,2,9:50.0,,C. Parsons misses 3-pt jump shot from 24 ft,35,40
110,2,9:45.0,Defensive rebound by K. Caldwell-Pope,,35,40
111,2,9:31.0,K. Kuzma misses 3-pt jump shot from 26 ft,,35,40
112,2,9:30.0,,Defensive rebound by Team,35,40
113,2,9:24.0,,Turnover by D. Wright (bad pass; steal by K. Caldwell-Pope),35,40
114,2,9:22.0,K. Kuzma misses 2-pt layup from 1 ft,,35,40
115,2,9:19.0,,Defensive rebound by B. Caboclo,35,40
116,2,9:14.0,,C. Parsons misses 2-pt jump shot from 20 ft,35,40
117,2,9:11.0,Defensive rebound by B. Ingram,,35,40
118,2,9:06.0,Shooting foul by J. Noah (drawn by B. Ingram),,35,40
119,2,9:06.0,B. Ingram makes free throw 1 of 3,,36,40
120,2,9:06.0,B. Ingram makes free throw 2 of 3,,37,40
121,2,9:06.0,,M. Conley enters the game for C. Parsons,37,40
122,2,9:06.0,B. Ingram makes free throw 3 of 3,,38,40
123,2,9:00.0,,Personal foul by K. Caldwell-Pope (drawn by M. Conley),38,40
124,2,8:53.0,,M. Conley misses 2-pt jump shot from 17 ft,38,40
125,2,8:51.0,,Offensive rebound by M. Conley,38,40
126,2,8:48.0,,B. Caboclo misses 3-pt jump shot from 23 ft,38,40
127,2,8:44.0,Defensive rebound by K. Kuzma,,38,40
128,2,8:40.0,B. Ingram misses 2-pt layup from 1 ft,,38,40
129,2,8:36.0,,Defensive rebound by J. Noah,38,40
130,2,8:34.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Noah),38,42
131,2,8:07.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by B. Ingram),,41,42
132,2,7:55.0,,Shooting foul by K. Kuzma (drawn by D. Wright),41,42
133,2,7:55.0,,D. Wright makes free throw 1 of 2,41,43
134,2,7:55.0,L. James enters the game for R. Rondo,,41,43
135,2,7:55.0,,D. Wright makes free throw 2 of 2,41,44
136,2,7:43.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Wright),,41,44
137,2,7:40.0,,D. Wright misses 3-pt jump shot from 27 ft,41,44
138,2,7:37.0,Defensive rebound by K. Kuzma,,41,44
139,2,7:31.0,M. Muscala makes 3-pt jump shot from 28 ft (assist by L. James),,44,44
140,2,7:13.0,,J. Noah makes 2-pt dunk from 1 ft (assist by J. Holiday),44,46
141,2,6:53.0,K. Kuzma misses 2-pt jump shot from 7 ft,,44,46
142,2,6:50.0,,Defensive rebound by J. Noah,44,46
143,2,6:46.0,,M. Conley makes 2-pt jump shot from 13 ft,44,48
144,2,6:46.0,,Shooting foul by K. Kuzma (drawn by M. Conley),44,48
145,2,6:46.0,R. Bullock enters the game for K. Kuzma,,44,48
146,2,6:46.0,,A. Bradley enters the game for B. Caboclo,44,48
147,2,6:46.0,,I. Rabb enters the game for J. Holiday,44,48
148,2,6:46.0,,M. Conley makes free throw 1 of 1,44,49
149,2,6:23.0,L. James misses 2-pt jump shot from 21 ft,,44,49
150,2,6:20.0,,Defensive rebound by A. Bradley,44,49
151,2,6:16.0,,A. Bradley misses 3-pt jump shot from 26 ft,44,49
152,2,6:12.0,Defensive rebound by M. Muscala,,44,49
153,2,6:09.0,B. Ingram makes 2-pt layup from 1 ft (assist by R. Bullock),,46,49
154,2,6:09.0,Shooting foul by D. Wright (drawn by B. Ingram),,46,49
155,2,6:09.0,J. Hart enters the game for K. Caldwell-Pope,,46,49
156,2,6:09.0,,J. Valančiūnas enters the game for J. Noah,46,49
157,2,6:09.0,B. Ingram makes free throw 1 of 1,,47,49
158,2,5:51.0,,M. Conley misses 3-pt jump shot from 27 ft,47,49
159,2,5:47.0,Defensive rebound by B. Ingram,,47,49
160,2,5:32.0,R. Bullock misses 3-pt jump shot from 24 ft,,47,49
161,2,5:28.0,,Defensive rebound by D. Wright,47,49
162,2,5:23.0,,D. Wright misses 2-pt layup from 2 ft,47,49
163,2,5:22.0,,Offensive rebound by J. Valančiūnas,47,49
164,2,5:22.0,,J. Valančiūnas makes 2-pt dunk at rim,47,51
165,2,5:22.0,LA Lakers full timeout,,47,51
166,2,5:22.0,T. Chandler enters the game for M. Muscala,,47,51
167,2,5:08.0,Personal foul by I. Rabb (drawn by B. Ingram),,47,51
168,2,5:01.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by L. James),,50,51
169,2,4:44.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,50,53
170,2,4:31.0,Turnover by R. Bullock (bad pass; steal by J. Valančiūnas),,50,53
171,2,4:18.0,,D. Wright misses 3-pt jump shot from 25 ft,50,53
172,2,4:15.0,Defensive rebound by B. Ingram,,50,53
173,2,4:05.0,R. Bullock misses 3-pt jump shot from 23 ft,,50,53
174,2,4:02.0,,Defensive rebound by I. Rabb,50,53
175,2,3:53.0,,Personal foul by J. Hart (drawn by I. Rabb),50,53
176,2,3:53.0,,J. Holiday enters the game for D. Wright,50,53
177,2,3:49.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by M. Conley),50,56
178,2,3:34.0,J. Hart misses 3-pt jump shot from 26 ft,,50,56
179,2,3:30.0,,Defensive rebound by J. Valančiūnas,50,56
180,2,3:17.0,,A. Bradley makes 2-pt jump shot from 18 ft,50,58
181,2,3:02.0,J. Hart misses 2-pt jump shot from 11 ft,,50,58
182,2,2:58.0,Offensive rebound by J. Hart,,50,58
183,2,2:53.0,B. Ingram misses 2-pt dunk from 1 ft,,50,58
184,2,2:51.0,,Defensive rebound by A. Bradley,50,58
185,2,2:47.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by A. Bradley),50,61
