,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,J. Allen misses 2-pt hook shot from 4 ft,0,0
1,1,11:41.0,Defensive rebound by B. Portis,,0,0
2,1,11:29.0,B. Beal misses 2-pt jump shot from 12 ft,,0,0
3,1,11:25.0,,Defensive rebound by C. LeVert,0,0
4,1,11:10.0,,T. Graham makes 2-pt layup from 2 ft,0,2
5,1,11:04.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,2
6,1,11:02.0,Offensive rebound by T. Satoranský,,0,2
7,1,10:56.0,B. Portis misses 2-pt hook shot from 7 ft,,0,2
8,1,10:53.0,,Defensive rebound by J. Allen,0,2
9,1,10:40.0,,D. Russell makes 2-pt jump shot from 14 ft,0,4
10,1,10:25.0,B. Portis misses 3-pt jump shot from 26 ft,,0,4
11,1,10:22.0,,Defensive rebound by T. Graham,0,4
12,1,10:16.0,,D. Russell makes 3-pt jump shot from 26 ft,0,7
13,1,9:55.0,T. Satoranský misses 2-pt jump shot from 15 ft,,0,7
14,1,9:51.0,,Defensive rebound by J. Allen,0,7
15,1,9:41.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),0,10
16,1,9:39.0,Washington full timeout,,0,10
17,1,9:27.0,B. Portis misses 2-pt hook shot from 3 ft,,0,10
18,1,9:24.0,,Defensive rebound by J. Allen,0,10
19,1,9:20.0,Violation by Team (kicked ball),,0,10
20,1,9:07.0,,D. Russell misses 3-pt jump shot from 25 ft,0,10
21,1,9:04.0,Defensive rebound by J. Green,,0,10
22,1,8:57.0,J. Green makes 2-pt jump shot from 16 ft (assist by T. Ariza),,2,10
23,1,8:41.0,,Personal foul by B. Portis (drawn by T. Graham),2,10
24,1,8:32.0,,Turnover by D. Russell (bad pass),2,10
25,1,8:19.0,B. Beal makes 2-pt layup from 8 ft (assist by T. Satoranský),,4,10
26,1,8:07.0,,C. LeVert misses 2-pt jump shot from 8 ft,4,10
27,1,8:05.0,Defensive rebound by B. Portis,,4,10
28,1,8:00.0,T. Ariza misses 3-pt jump shot from 26 ft,,4,10
29,1,7:56.0,Offensive rebound by B. Portis,,4,10
30,1,7:56.0,B. Portis misses 2-pt layup at rim,,4,10
31,1,7:53.0,,Defensive rebound by T. Graham,4,10
32,1,7:39.0,,Turnover by D. Russell (bad pass; steal by B. Portis),4,10
33,1,7:36.0,B. Portis makes 2-pt layup from 2 ft (assist by J. Green),,6,10
34,1,7:17.0,,D. Russell makes 2-pt layup from 2 ft,6,12
35,1,6:59.0,T. Satoranský misses 2-pt jump shot from 23 ft,,6,12
36,1,6:56.0,,Defensive rebound by T. Graham,6,12
37,1,6:45.0,,C. LeVert misses 3-pt jump shot from 25 ft,6,12
38,1,6:42.0,Defensive rebound by B. Portis,,6,12
39,1,6:33.0,B. Beal makes 3-pt jump shot from 25 ft,,9,12
40,1,6:32.0,,Brooklyn full timeout,9,12
41,1,6:13.0,,T. Graham misses 3-pt jump shot from 25 ft,9,12
42,1,6:09.0,Defensive rebound by J. Green,,9,12
43,1,5:56.0,B. Portis misses 2-pt jump shot from 18 ft,,9,12
44,1,5:53.0,,Defensive rebound by T. Graham,9,12
45,1,5:44.0,,C. LeVert misses 3-pt jump shot from 24 ft,9,12
46,1,5:41.0,,Offensive rebound by J. Allen,9,12
47,1,5:40.0,,J. Allen makes 2-pt layup from 2 ft,9,14
48,1,5:27.0,T. Ariza makes 2-pt layup from 4 ft (assist by T. Satoranský),,11,14
49,1,5:27.0,Shooting foul by T. Graham (drawn by T. Ariza),,11,14
50,1,5:27.0,,A. Crabbe enters the game for C. LeVert,11,14
51,1,5:27.0,T. Ariza misses free throw 1 of 1,,11,14
52,1,5:25.0,,Defensive rebound by T. Graham,11,14
53,1,5:16.0,,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),11,16
54,1,5:09.0,B. Beal misses 3-pt jump shot from 26 ft,,11,16
55,1,5:06.0,,Defensive rebound by A. Crabbe,11,16
56,1,4:53.0,,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),11,18
57,1,4:53.0,,Shooting foul by T. Satoranský (drawn by J. Allen),11,18
58,1,4:53.0,C. Randle enters the game for T. Satoranský,,11,18
59,1,4:53.0,,R. Kurucs enters the game for T. Graham,11,18
60,1,4:53.0,,S. Napier enters the game for D. Russell,11,18
61,1,4:53.0,,J. Allen misses free throw 1 of 1,11,18
62,1,4:51.0,Defensive rebound by T. Ariza,,11,18
63,1,4:42.0,B. Beal makes 2-pt layup from 1 ft,,13,18
64,1,4:42.0,Shooting foul by A. Crabbe (drawn by B. Beal),,13,18
65,1,4:42.0,,E. Davis enters the game for J. Allen,13,18
66,1,4:42.0,B. Beal makes free throw 1 of 1,,14,18
67,1,4:31.0,,Turnover by E. Davis (lost ball; steal by B. Beal),14,18
68,1,4:25.0,T. Ariza makes 2-pt layup from 3 ft (assist by B. Beal),,16,18
69,1,4:13.0,,E. Davis misses 2-pt layup from 3 ft,16,18
70,1,4:11.0,Defensive rebound by B. Portis,,16,18
71,1,4:08.0,Shooting foul by E. Davis (drawn by B. Portis),,16,18
72,1,4:08.0,B. Portis makes free throw 1 of 2,,17,18
73,1,4:08.0,J. Parker enters the game for J. Green,,17,18
74,1,4:08.0,,D. Carroll enters the game for J. Harris,17,18
75,1,4:08.0,B. Portis makes free throw 2 of 2,,18,18
76,1,3:59.0,,A. Crabbe misses 3-pt jump shot from 26 ft,18,18
77,1,3:54.0,Defensive rebound by J. Parker,,18,18
78,1,3:50.0,B. Beal makes 2-pt layup from 2 ft (assist by C. Randle),,20,18
79,1,3:35.0,,Shooting foul by T. Ariza (drawn by R. Kurucs),20,18
80,1,3:35.0,,R. Kurucs makes free throw 1 of 2,20,19
81,1,3:35.0,T. Brown enters the game for T. Ariza,,20,19
82,1,3:35.0,,R. Kurucs makes free throw 2 of 2,20,20
83,1,3:24.0,C. Randle misses 3-pt jump shot from 23 ft,,20,20
84,1,3:20.0,,Defensive rebound by A. Crabbe,20,20
85,1,3:10.0,,A. Crabbe misses 3-pt jump shot from 26 ft,20,20
86,1,3:07.0,Defensive rebound by B. Portis,,20,20
87,1,3:01.0,T. Brown misses 2-pt layup from 3 ft,,20,20
88,1,2:59.0,Offensive rebound by J. Parker,,20,20
89,1,2:58.0,B. Portis misses 3-pt jump shot from 24 ft,,20,20
90,1,2:58.0,Offensive rebound by Team,,20,20
91,1,2:58.0,T. Bryant enters the game for B. Portis,,20,20
92,1,2:51.0,B. Beal misses 2-pt jump shot from 18 ft,,20,20
93,1,2:48.0,Offensive rebound by T. Brown,,20,20
94,1,2:48.0,Personal foul by D. Carroll (drawn by T. Brown),,20,20
95,1,2:35.0,Turnover by C. Randle (lost ball; steal by A. Crabbe),,20,20
96,1,2:30.0,,D. Carroll misses 3-pt jump shot from 25 ft,20,20
97,1,2:28.0,Defensive rebound by Team,,20,20
98,1,2:20.0,T. Brown makes 3-pt jump shot from 22 ft (assist by J. Parker),,23,20
99,1,2:04.0,,S. Napier misses 3-pt jump shot from 25 ft (block by T. Bryant),23,20
100,1,2:00.0,Defensive rebound by J. Parker,,23,20
101,1,1:59.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Bryant),,25,20
102,1,1:59.0,Shooting foul by D. Carroll (drawn by B. Beal),,25,20
103,1,1:59.0,B. Beal makes free throw 1 of 1,,26,20
104,1,1:47.0,,S. Napier misses 3-pt jump shot from 25 ft,26,20
105,1,1:46.0,Defensive rebound by Team,,26,20
106,1,1:46.0,,Loose ball foul by E. Davis (drawn by T. Bryant),26,20
107,1,1:46.0,T. Bryant makes free throw 1 of 2,,27,20
108,1,1:46.0,T. Bryant makes free throw 2 of 2,,28,20
109,1,1:36.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by D. Carroll),28,23
110,1,1:24.0,T. Bryant makes 2-pt hook shot from 4 ft (assist by C. Randle),,30,23
111,1,1:14.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by E. Davis),30,26
112,1,0:59.0,C. Randle misses 2-pt jump shot from 18 ft,,30,26
113,1,0:56.0,Offensive rebound by T. Brown,,30,26
114,1,0:55.0,J. Parker makes 2-pt hook shot from 6 ft (assist by T. Brown),,32,26
115,1,0:43.0,,D. Carroll makes 2-pt layup from 4 ft,32,28
116,1,0:33.0,B. Beal misses 3-pt jump shot from 26 ft,,32,28
117,1,0:30.0,,Defensive rebound by R. Kurucs,32,28
118,1,0:25.0,,R. Kurucs misses 2-pt layup from 3 ft,32,28
119,1,0:25.0,Defensive rebound by J. Parker,,32,28
