,QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
0,1,11:42.0,Personal foul by C. Joseph (drawn by P. Millsap),,0,0
1,1,11:29.0,N. Jokić misses 2-pt hook shot from 4 ft,,0,0
2,1,11:28.0,,Defensive rebound by Team,0,0
3,1,11:28.0,Loose ball foul by P. Millsap (drawn by T. Young),,0,0
4,1,11:16.0,,Turnover by M. Turner (traveling),0,0
5,1,11:08.0,Turnover by W. Barton (bad pass; steal by M. Turner),,0,0
6,1,10:58.0,,M. Turner misses 2-pt jump shot from 17 ft,0,0
7,1,10:54.0,Defensive rebound by N. Jokić,,0,0
8,1,10:36.0,Turnover by J. Murray (bad pass; steal by C. Joseph),,0,0
9,1,10:31.0,,B. Bogdanović makes 2-pt layup at rim (assist by C. Joseph),0,2
10,1,10:16.0,N. Jokić misses 2-pt jump shot from 8 ft,,0,2
11,1,10:13.0,,Defensive rebound by M. Turner,0,2
12,1,9:59.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),0,4
13,1,9:40.0,J. Murray misses 2-pt jump shot from 12 ft,,0,4
14,1,9:36.0,Offensive rebound by J. Murray,,0,4
15,1,9:35.0,W. Barton makes 2-pt jump shot from 8 ft (assist by J. Murray),,2,4
16,1,9:09.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,2,7
17,1,8:57.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),,4,7
18,1,8:44.0,,M. Turner makes 2-pt jump shot from 16 ft (assist by C. Joseph),4,9
19,1,8:25.0,W. Barton makes 2-pt jump shot from 12 ft (assist by G. Harris),,6,9
20,1,8:11.0,,Personal foul by W. Barton (drawn by B. Bogdanović),6,9
21,1,7:54.0,,W. Matthews misses 3-pt jump shot from 29 ft,6,9
22,1,7:52.0,,Offensive rebound by M. Turner,6,9
23,1,7:52.0,,M. Turner misses 2-pt dunk from 1 ft (block by N. Jokić),6,9
24,1,7:50.0,Defensive rebound by J. Murray,,6,9
25,1,7:47.0,P. Millsap makes 3-pt jump shot from 28 ft (assist by J. Murray),,9,9
26,1,7:34.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by B. Bogdanović),9,11
27,1,7:16.0,P. Millsap misses 2-pt jump shot from 10 ft,,9,11
28,1,7:15.0,Offensive rebound by Team,,9,11
29,1,7:13.0,J. Murray makes 2-pt jump shot from 16 ft (assist by N. Jokić),,11,11
30,1,6:56.0,,Turnover by T. Young (out of bounds lost ball),11,11
31,1,6:56.0,,Indiana full timeout,11,11
32,1,6:47.0,W. Barton misses 2-pt layup from 1 ft,,11,11
33,1,6:45.0,Offensive rebound by N. Jokić,,11,11
34,1,6:45.0,N. Jokić makes 2-pt layup at rim,,13,11
35,1,6:29.0,,T. Young makes 2-pt layup from 1 ft,13,13
36,1,6:10.0,Turnover by J. Murray (lost ball; steal by B. Bogdanović),,13,13
37,1,6:07.0,,B. Bogdanović makes 2-pt dunk at rim,13,15
38,1,5:48.0,P. Millsap misses 2-pt layup from 7 ft,,13,15
39,1,5:46.0,,Defensive rebound by B. Bogdanović,13,15
40,1,5:40.0,,Turnover by T. Young (lost ball; steal by P. Millsap),13,15
41,1,5:35.0,G. Harris makes 2-pt layup from 1 ft,,15,15
42,1,5:16.0,,M. Turner misses 3-pt jump shot from 24 ft,15,15
43,1,5:13.0,Defensive rebound by W. Barton,,15,15
44,1,5:04.0,W. Barton misses 2-pt jump shot from 7 ft,,15,15
45,1,5:01.0,,Defensive rebound by T. Young,15,15
46,1,4:52.0,,M. Turner makes 2-pt layup from 2 ft (assist by W. Matthews),15,17
47,1,4:26.0,N. Jokić makes 2-pt layup at rim (assist by J. Murray),,17,17
48,1,4:12.0,,W. Matthews misses 2-pt layup from 3 ft,17,17
49,1,4:11.0,Defensive rebound by N. Jokić,,17,17
50,1,4:04.0,P. Millsap makes 2-pt dunk from 1 ft (assist by J. Murray),,19,17
51,1,3:40.0,,T. Young misses 2-pt jump shot from 20 ft,19,17
52,1,3:37.0,Defensive rebound by J. Murray,,19,17
53,1,3:34.0,Turnover by J. Murray (bad pass; steal by C. Joseph),,19,17
54,1,3:30.0,,B. Bogdanović makes 2-pt layup from 1 ft,19,19
55,1,3:12.0,J. Murray misses 2-pt jump shot from 3 ft,,19,19
56,1,3:08.0,,Defensive rebound by M. Turner,19,19
57,1,3:04.0,,M. Turner makes 2-pt dunk from 1 ft,19,21
58,1,3:03.0,Denver full timeout,,19,21
59,1,3:03.0,M. Beasley enters the game for G. Harris,,19,21
60,1,3:03.0,M. Morris enters the game for P. Millsap,,19,21
61,1,3:03.0,M. Plumlee enters the game for J. Murray,,19,21
62,1,3:03.0,,T. Evans enters the game for C. Joseph,19,21
63,1,3:03.0,,D. Sabonis enters the game for T. Young,19,21
64,1,2:49.0,W. Barton misses 3-pt jump shot from 26 ft,,19,21
65,1,2:47.0,,Defensive rebound by T. Evans,19,21
66,1,2:34.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by W. Matthews),19,24
67,1,2:21.0,Turnover by M. Plumlee (bad pass),,19,24
68,1,2:21.0,P. Millsap enters the game for N. Jokić,,19,24
69,1,2:11.0,,Turnover by D. Sabonis (traveling),19,24
70,1,2:11.0,,D. McDermott enters the game for B. Bogdanović,19,24
71,1,1:59.0,Turnover by W. Barton (bad pass),,19,24
72,1,1:45.0,,D. Sabonis makes 2-pt layup at rim (assist by W. Matthews),19,26
73,1,1:31.0,Personal foul by D. Sabonis (drawn by P. Millsap),,19,26
74,1,1:31.0,,A. Holiday enters the game for W. Matthews,19,26
75,1,1:31.0,,T. Young enters the game for M. Turner,19,26
76,1,1:29.0,M. Beasley makes 2-pt jump shot from 18 ft (assist by W. Barton),,21,26
77,1,1:12.0,,A. Holiday misses 3-pt jump shot from 24 ft,21,26
78,1,1:09.0,Defensive rebound by Team,,21,26
79,1,1:09.0,T. Craig enters the game for W. Barton,,21,26
80,1,0:49.0,P. Millsap misses 2-pt jump shot from 9 ft,,21,26
81,1,0:46.0,,Defensive rebound by D. Sabonis,21,26
82,1,0:29.0,,D. Sabonis misses 2-pt hook shot from 5 ft,21,26
83,1,0:27.0,,Offensive rebound by D. McDermott,21,26
84,1,0:25.0,,D. McDermott misses 2-pt jump shot from 16 ft,21,26
85,1,0:24.0,Defensive rebound by Team,,21,26
86,1,0:24.0,,Loose ball foul by D. Sabonis (drawn by M. Plumlee),21,26
87,1,0:24.0,M. Plumlee makes free throw 1 of 2,,22,26
88,1,0:24.0,M. Plumlee makes free throw 2 of 2,,23,26
89,1,0:11.0,,Shooting foul by T. Craig (drawn by T. Evans),23,26
90,1,0:11.0,,T. Evans makes free throw 1 of 2,23,27
91,1,0:11.0,J. Murray enters the game for T. Craig,,23,27
92,1,0:11.0,,M. Turner enters the game for D. Sabonis,23,27
93,1,0:11.0,,T. Evans misses free throw 2 of 2,23,27
94,1,0:10.0,Defensive rebound by M. Plumlee,,23,27
95,1,0:02.0,J. Murray misses 3-pt jump shot from 31 ft,,23,27
96,1,0:00.0,Offensive rebound by Team,,23,27
97,2,11:37.0,,Shooting foul by M. Morris (drawn by D. Sabonis),23,27
98,2,11:37.0,,D. Sabonis misses free throw 1 of 2,23,27
99,2,11:37.0,,Offensive rebound by Team,23,27
100,2,11:37.0,,D. Sabonis makes free throw 2 of 2,23,28
101,2,11:25.0,M. Morris misses 2-pt jump shot from 18 ft,,23,28
102,2,11:22.0,,Defensive rebound by T. Evans,23,28
103,2,11:18.0,,T. Evans misses 2-pt layup from 3 ft,23,28
104,2,11:18.0,Defensive rebound by Team,,23,28
105,2,11:10.0,M. Plumlee misses 2-pt layup from 1 ft (block by T. Evans),,23,28
106,2,11:08.0,,Defensive rebound by D. McDermott,23,28
107,2,10:58.0,,D. Sabonis makes 2-pt jump shot from 5 ft (assist by T. Evans),23,30
108,2,10:37.0,M. Morris misses 3-pt jump shot from 27 ft,,23,30
109,2,10:33.0,Offensive rebound by P. Millsap,,23,30
110,2,10:30.0,Turnover by P. Millsap (traveling),,23,30
111,2,10:17.0,,Turnover by T. Evans (bad pass; steal by M. Beasley),23,30
112,2,10:14.0,Shooting foul by D. McDermott (drawn by M. Beasley),,23,30
113,2,10:14.0,M. Beasley makes free throw 1 of 2,,24,30
114,2,10:14.0,M. Beasley makes free throw 2 of 2,,25,30
115,2,10:02.0,,D. McDermott makes 2-pt jump shot from 20 ft (assist by T. Young),25,32
116,2,9:40.0,Personal foul by D. McDermott (drawn by M. Beasley),,25,32
117,2,9:38.0,Personal foul by A. Holiday (drawn by P. Millsap),,25,32
118,2,9:26.0,Shooting foul by T. Young (drawn by M. Plumlee),,25,32
119,2,9:26.0,M. Plumlee makes free throw 1 of 2,,26,32
120,2,9:26.0,M. Plumlee makes free throw 2 of 2,,27,32
121,2,9:10.0,,T. Evans misses 3-pt jump shot from 25 ft,27,32
122,2,9:09.0,Defensive rebound by M. Beasley,,27,32
123,2,8:50.0,M. Beasley misses 3-pt jump shot from 26 ft,,27,32
124,2,8:47.0,,Defensive rebound by D. Sabonis,27,32
125,2,8:41.0,,T. Evans makes 2-pt layup from 2 ft (assist by A. Holiday),27,34
126,2,8:35.0,M. Beasley misses 2-pt layup from 1 ft,,27,34
127,2,8:32.0,,Defensive rebound by D. Sabonis,27,34
128,2,8:25.0,,D. McDermott misses 3-pt jump shot from 27 ft,27,34
129,2,8:22.0,,Offensive rebound by D. Sabonis,27,34
130,2,8:12.0,,D. McDermott makes 2-pt layup from 5 ft (assist by T. Young),27,36
131,2,7:56.0,Turnover by M. Plumlee (lost ball; steal by T. Young),,27,36
132,2,7:56.0,,Personal take foul by M. Plumlee (drawn by T. Evans),27,36
133,2,7:56.0,G. Harris enters the game for M. Beasley,,27,36
134,2,7:56.0,N. Jokić enters the game for P. Millsap,,27,36
135,2,7:56.0,J. Murray enters the game for M. Morris,,27,36
136,2,7:56.0,,M. Turner enters the game for T. Young,27,36
137,2,7:41.0,,D. McDermott makes 2-pt jump shot from 18 ft (assist by D. Sabonis),27,38
138,2,7:18.0,N. Jokić makes 2-pt jump shot from 16 ft (assist by M. Plumlee),,29,38
139,2,7:02.0,,T. Evans misses 2-pt dunk from 5 ft (block by T. Craig),29,38
140,2,7:01.0,,Offensive rebound by D. Sabonis,29,38
141,2,6:57.0,,D. McDermott misses 3-pt jump shot from 27 ft,29,38
