,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BROOKLYN_ACTION,ATLANTA_SCORE,BROOKLYN_SCORE
0,1,11:39.0,K. Bazemore misses 2-pt layup from 5 ft,,0,0
1,1,11:34.0,,Defensive rebound by J. Allen,0,0
2,1,11:18.0,,R. Hollis-Jefferson misses 2-pt layup from 4 ft,0,0
3,1,11:14.0,Defensive rebound by D. Dedmon,,0,0
4,1,11:11.0,K. Huerter misses 3-pt jump shot from 25 ft,,0,0
5,1,11:08.0,,Defensive rebound by D. Russell,0,0
6,1,10:54.0,,R. Kurucs misses 3-pt jump shot from 24 ft,0,0
7,1,10:52.0,Defensive rebound by J. Collins,,0,0
8,1,10:38.0,J. Collins makes 2-pt jump shot from 7 ft,,2,0
9,1,10:25.0,,D. Russell makes 2-pt jump shot from 14 ft,2,2
10,1,10:10.0,J. Collins misses 3-pt jump shot from 26 ft,,2,2
11,1,10:08.0,,Defensive rebound by R. Kurucs,2,2
12,1,10:03.0,,R. Kurucs misses 3-pt jump shot from 26 ft,2,2
13,1,10:01.0,Defensive rebound by K. Bazemore,,2,2
14,1,9:53.0,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),,4,2
15,1,9:38.0,,J. Allen misses 2-pt hook shot from 4 ft (block by J. Collins),4,2
16,1,9:38.0,,Offensive rebound by D. Russell,4,2
17,1,9:36.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),4,5
18,1,9:20.0,K. Huerter misses 2-pt layup from 6 ft,,4,5
19,1,9:17.0,,Defensive rebound by D. Russell,4,5
20,1,9:11.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Harris),4,8
21,1,8:52.0,Turnover by J. Collins (lost ball; steal by D. Russell),,4,8
22,1,8:49.0,,Shooting foul by K. Huerter (drawn by R. Hollis-Jefferson),4,8
23,1,8:49.0,,R. Hollis-Jefferson makes free throw 1 of 2,4,9
24,1,8:49.0,,R. Hollis-Jefferson makes free throw 2 of 2,4,10
25,1,8:35.0,T. Young makes 2-pt jump shot from 14 ft (assist by D. Dedmon),,6,10
26,1,8:23.0,,D. Russell makes 2-pt jump shot from 4 ft,6,12
27,1,8:09.0,D. Dedmon misses 2-pt jump shot from 21 ft,,6,12
28,1,8:05.0,Offensive rebound by K. Huerter,,6,12
29,1,8:02.0,Personal foul by D. Russell (drawn by K. Bazemore),,6,12
30,1,7:59.0,D. Dedmon misses 2-pt jump shot from 18 ft,,6,12
31,1,7:57.0,Offensive rebound by Team,,6,12
32,1,7:55.0,Turnover by K. Huerter (bad pass; steal by J. Harris),,6,12
33,1,7:48.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by R. Kurucs),6,14
34,1,7:48.0,,Shooting foul by K. Bazemore (drawn by R. Hollis-Jefferson),6,14
35,1,7:48.0,J. Lin enters the game for T. Young,,6,14
36,1,7:48.0,,R. Hollis-Jefferson makes free throw 1 of 1,6,15
37,1,7:34.0,K. Bazemore misses 2-pt layup from 5 ft (block by J. Allen),,6,15
38,1,7:31.0,,Defensive rebound by R. Hollis-Jefferson,6,15
39,1,7:28.0,,D. Russell misses 3-pt jump shot from 25 ft,6,15
40,1,7:25.0,,Offensive rebound by J. Allen,6,15
41,1,7:25.0,,J. Allen makes 2-pt layup from 1 ft,6,17
42,1,7:25.0,Atlanta full timeout,,6,17
43,1,7:25.0,D. Bembry enters the game for K. Bazemore,,6,17
44,1,7:25.0,V. Carter enters the game for D. Dedmon,,6,17
45,1,7:15.0,J. Lin misses 3-pt jump shot from 25 ft,,6,17
46,1,7:12.0,,Defensive rebound by R. Kurucs,6,17
47,1,7:00.0,,J. Allen makes 2-pt dunk from 2 ft (assist by J. Harris),6,19
48,1,6:46.0,J. Collins makes 2-pt layup from 4 ft (assist by J. Lin),,8,19
49,1,6:38.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Harris),8,22
50,1,6:24.0,J. Collins misses 2-pt dunk from 2 ft (block by J. Allen),,8,22
51,1,6:23.0,,Defensive rebound by D. Russell,8,22
52,1,6:16.0,,J. Harris misses 3-pt jump shot from 27 ft,8,22
53,1,6:14.0,,Offensive rebound by J. Allen,8,22
54,1,6:07.0,,R. Hollis-Jefferson makes 2-pt layup from 3 ft (assist by R. Kurucs),8,24
55,1,6:05.0,Atlanta full timeout,,8,24
56,1,6:05.0,K. Bazemore enters the game for K. Huerter,,8,24
57,1,5:51.0,D. Bembry makes 2-pt layup from 1 ft (assist by V. Carter),,10,24
58,1,5:30.0,,J. Allen makes 2-pt hook shot from 2 ft (assist by J. Harris),10,26
59,1,5:16.0,Shooting foul by J. Allen (drawn by J. Collins),,10,26
60,1,5:16.0,,D. Carroll enters the game for R. Kurucs,10,26
61,1,5:16.0,,S. Dinwiddie enters the game for D. Russell,10,26
62,1,5:16.0,J. Collins misses free throw 1 of 2,,10,26
63,1,5:16.0,Offensive rebound by Team,,10,26
64,1,5:16.0,J. Collins misses free throw 2 of 2,,10,26
65,1,5:12.0,,Defensive rebound by J. Allen,10,26
66,1,4:56.0,,J. Allen makes 2-pt jump shot from 6 ft (assist by S. Dinwiddie),10,28
67,1,4:43.0,J. Collins misses 2-pt layup from 3 ft,,10,28
68,1,4:39.0,,Defensive rebound by R. Hollis-Jefferson,10,28
69,1,4:34.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Bembry),10,28
70,1,4:25.0,V. Carter makes 2-pt dunk from 1 ft (assist by K. Bazemore),,12,28
71,1,4:12.0,,D. Carroll makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),12,31
72,1,3:55.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),,14,31
73,1,3:55.0,,Brooklyn full timeout,14,31
74,1,3:55.0,A. Len enters the game for J. Collins,,14,31
75,1,3:55.0,,E. Davis enters the game for J. Allen,14,31
76,1,3:55.0,,J. Dudley enters the game for R. Hollis-Jefferson,14,31
77,1,3:38.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by E. Davis),14,34
78,1,3:22.0,J. Lin makes 2-pt jump shot from 12 ft,,16,34
79,1,3:04.0,,Turnover by S. Dinwiddie (bad pass; steal by K. Bazemore),16,34
80,1,2:56.0,V. Carter makes 2-pt layup from 5 ft (assist by K. Bazemore),,18,34
81,1,2:35.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Dudley),18,37
82,1,2:18.0,D. Bembry misses 2-pt layup from 5 ft,,18,37
83,1,2:17.0,,Defensive rebound by E. Davis,18,37
84,1,2:00.0,,D. Carroll misses 3-pt jump shot from 23 ft,18,37
85,1,1:55.0,Defensive rebound by D. Bembry,,18,37
86,1,1:45.0,A. Len misses 2-pt jump shot from 8 ft,,18,37
87,1,1:43.0,,Defensive rebound by J. Harris,18,37
88,1,1:33.0,,E. Davis makes 2-pt layup from 3 ft (assist by S. Dinwiddie),18,39
89,1,1:13.0,K. Bazemore makes 2-pt layup from 3 ft (assist by A. Len),,20,39
90,1,1:13.0,Shooting foul by E. Davis (drawn by K. Bazemore),,20,39
91,1,1:13.0,D. Hamilton enters the game for D. Bembry,,20,39
92,1,1:13.0,T. Young enters the game for J. Lin,,20,39
93,1,1:13.0,,D. Russell enters the game for J. Harris,20,39
94,1,1:13.0,K. Bazemore makes free throw 1 of 1,,21,39
95,1,0:51.0,,S. Dinwiddie makes 3-pt jump shot from 24 ft,21,42
96,1,0:37.0,T. Young misses 3-pt jump shot from 26 ft,,21,42
97,1,0:35.0,,Defensive rebound by J. Dudley,21,42
98,1,0:31.0,,D. Russell misses 3-pt jump shot from 26 ft,21,42
99,1,0:28.0,,Offensive rebound by D. Carroll,21,42
100,1,0:26.0,,E. Davis misses 2-pt hook shot from 5 ft,21,42
101,1,0:26.0,Defensive rebound by D. Hamilton,,21,42
102,1,0:18.0,Shooting foul by J. Dudley (drawn by A. Len),,21,42
103,1,0:18.0,D. Bembry enters the game for V. Carter,,21,42
104,1,0:18.0,A. Len makes free throw 1 of 2,,22,42
105,1,0:18.0,A. Len makes free throw 2 of 2,,23,42
106,1,0:00.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,23,42
107,1,0:00.0,,Offensive rebound by Team,23,42
108,2,11:45.0,,D. Russell makes 2-pt jump shot from 6 ft,23,44
109,2,11:24.0,J. Collins makes 2-pt hook shot from 3 ft,,25,44
110,2,11:07.0,,D. Carroll misses 3-pt jump shot from 25 ft,25,44
111,2,11:03.0,Defensive rebound by D. Hamilton,,25,44
112,2,10:57.0,T. Young makes 3-pt jump shot from 25 ft,,28,44
113,2,10:36.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,28,44
114,2,10:32.0,Defensive rebound by D. Dedmon,,28,44
115,2,10:26.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by D. Hamilton),,31,44
116,2,10:24.0,,Brooklyn full timeout,31,44
117,2,10:24.0,,R. Kurucs enters the game for S. Dinwiddie,31,44
118,2,10:10.0,,D. Russell misses 3-pt jump shot from 25 ft,31,44
119,2,10:08.0,,Offensive rebound by Team,31,44
120,2,10:01.0,,R. Kurucs misses 3-pt jump shot from 25 ft,31,44
121,2,9:58.0,Defensive rebound by D. Dedmon,,31,44
122,2,9:52.0,D. Hamilton makes 3-pt jump shot from 25 ft (assist by T. Young),,34,44
123,2,9:36.0,,Personal foul by T. Young (drawn by D. Russell),34,44
124,2,9:30.0,,D. Russell makes 2-pt jump shot from 7 ft,34,46
125,2,9:12.0,T. Young misses 2-pt jump shot from 17 ft,,34,46
126,2,9:10.0,,Defensive rebound by E. Davis,34,46
127,2,9:05.0,,J. Dudley misses 3-pt jump shot from 25 ft,34,46
128,2,9:03.0,,Offensive rebound by E. Davis,34,46
129,2,9:01.0,,E. Davis misses 2-pt layup from 3 ft,34,46
130,2,9:01.0,,Offensive rebound by E. Davis,34,46
131,2,9:01.0,,Personal foul by D. Hamilton (drawn by E. Davis),34,46
132,2,8:51.0,,D. Carroll misses 2-pt jump shot from 21 ft,34,46
133,2,8:49.0,,Offensive rebound by J. Dudley,34,46
134,2,8:49.0,,Shooting foul by J. Collins (drawn by J. Dudley),34,46
135,2,8:49.0,,J. Dudley makes free throw 1 of 2,34,47
136,2,8:49.0,K. Bazemore enters the game for D. Hamilton,,34,47
137,2,8:49.0,,J. Dudley makes free throw 2 of 2,34,48
138,2,8:31.0,D. Dedmon misses 2-pt hook shot from 4 ft,,34,48
139,2,8:29.0,Offensive rebound by J. Collins,,34,48
140,2,8:29.0,Personal foul by J. Dudley (drawn by J. Collins),,34,48
141,2,8:29.0,V. Carter enters the game for J. Collins,,34,48
142,2,8:25.0,Shooting foul by R. Kurucs (drawn by K. Bazemore),,34,48
143,2,8:25.0,K. Bazemore makes free throw 1 of 2,,35,48
144,2,8:25.0,K. Bazemore makes free throw 2 of 2,,36,48
145,2,8:17.0,,D. Russell makes 2-pt layup from 3 ft (assist by D. Carroll),36,50
146,2,8:07.0,D. Dedmon makes 3-pt jump shot from 27 ft (assist by T. Young),,39,50
147,2,7:54.0,,Shooting foul by V. Carter (drawn by R. Kurucs),39,50
148,2,7:54.0,,R. Kurucs makes free throw 1 of 2,39,51
149,2,7:54.0,,R. Kurucs makes free throw 2 of 2,39,52
150,2,7:45.0,T. Young misses 2-pt jump shot from 13 ft,,39,52
151,2,7:42.0,Offensive rebound by D. Dedmon,,39,52
152,2,7:37.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,42,52
153,2,7:24.0,,Shooting foul by T. Young (drawn by D. Carroll),42,52
154,2,7:24.0,,D. Carroll makes free throw 1 of 2,42,53
155,2,7:24.0,,D. Carroll makes free throw 2 of 2,42,54
156,2,7:16.0,Personal foul by D. Russell (drawn by T. Young),,42,54
157,2,7:16.0,,S. Dinwiddie enters the game for D. Carroll,42,54
158,2,7:12.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by D. Dedmon),,45,54
159,2,6:58.0,,S. Dinwiddie makes 2-pt layup from 3 ft,45,56
160,2,6:46.0,V. Carter misses 3-pt jump shot from 24 ft,,45,56
161,2,6:44.0,,Defensive rebound by S. Dinwiddie,45,56
162,2,6:37.0,,J. Dudley makes 2-pt layup from 2 ft (assist by S. Dinwiddie),45,58
163,2,6:37.0,,Shooting foul by K. Huerter (drawn by J. Dudley),45,58
164,2,6:37.0,,J. Dudley makes free throw 1 of 1,45,59
165,2,6:25.0,D. Dedmon makes 2-pt dunk from 2 ft (assist by T. Young),,47,59
166,2,6:13.0,,D. Russell misses 2-pt layup from 4 ft (block by D. Dedmon),47,59
167,2,6:13.0,,Offensive rebound by Team,47,59
168,2,6:13.0,D. Bembry enters the game for K. Huerter,,47,59
169,2,6:13.0,,J. Allen enters the game for E. Davis,47,59
170,2,6:13.0,,J. Harris enters the game for J. Dudley,47,59
171,2,6:13.0,,R. Hollis-Jefferson enters the game for D. Russell,47,59
172,2,6:06.0,,S. Dinwiddie misses 2-pt layup from 3 ft,47,59
173,2,6:04.0,,Offensive rebound by S. Dinwiddie,47,59
174,2,6:01.0,,J. Harris misses 3-pt jump shot from 26 ft,47,59
175,2,6:01.0,Defensive rebound by D. Dedmon,,47,59
176,2,5:51.0,Personal foul by S. Dinwiddie (drawn by D. Bembry),,47,59
177,2,5:47.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by V. Carter),,50,59
178,2,5:29.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by R. Kurucs),50,61
179,2,5:29.0,,Shooting foul by D. Dedmon (drawn by R. Hollis-Jefferson),50,61
180,2,5:29.0,,R. Hollis-Jefferson misses free throw 1 of 1,50,61
181,2,5:26.0,Defensive rebound by D. Dedmon,,50,61
182,2,5:18.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),,52,61
183,2,5:01.0,,Shooting foul by D. Dedmon (drawn by J. Harris),52,61
184,2,5:01.0,,J. Harris misses free throw 1 of 2,52,61
185,2,5:01.0,,Offensive rebound by Team,52,61
186,2,5:01.0,,J. Harris makes free throw 2 of 2,52,62
187,2,4:54.0,Personal foul by S. Dinwiddie (drawn by T. Young),,52,62
188,2,4:54.0,T. Young makes free throw 1 of 2,,53,62
189,2,4:54.0,T. Young makes free throw 2 of 2,,54,62
190,2,4:38.0,,Offensive foul by J. Allen (drawn by D. Bembry),54,62
191,2,4:38.0,,Turnover by J. Allen (offensive foul),54,62
192,2,4:38.0,,D. Carroll enters the game for R. Kurucs,54,62
193,2,4:21.0,Personal foul by J. Allen (drawn by D. Dedmon),,54,62
194,2,4:21.0,D. Dedmon makes free throw 1 of 2,,55,62
195,2,4:21.0,J. Collins enters the game for V. Carter,,55,62
196,2,4:21.0,,E. Davis enters the game for J. Allen,55,62
197,2,4:21.0,D. Dedmon makes free throw 2 of 2,,56,62
198,2,4:12.0,,Shooting foul by J. Collins (drawn by S. Dinwiddie),56,62
199,2,4:12.0,,S. Dinwiddie makes free throw 1 of 2,56,63
200,2,4:12.0,,S. Dinwiddie makes free throw 2 of 2,56,64
201,2,3:56.0,Turnover by K. Bazemore (lost ball; steal by R. Hollis-Jefferson),,56,64
202,2,3:53.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Bazemore),56,64
203,2,3:37.0,D. Bembry misses 2-pt jump shot from 11 ft,,56,64
204,2,3:33.0,Offensive rebound by D. Dedmon,,56,64
205,2,3:27.0,D. Bembry misses 3-pt jump shot from 22 ft,,56,64
206,2,3:24.0,,Defensive rebound by D. Carroll,56,64
207,2,3:18.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,56,64
208,2,3:14.0,Defensive rebound by K. Bazemore,,56,64
209,2,3:09.0,K. Bazemore makes 2-pt layup from 3 ft,,58,64
210,2,2:48.0,,R. Hollis-Jefferson makes 2-pt jump shot from 4 ft,58,66
211,2,2:35.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Young),,60,66
212,2,2:17.0,,S. Dinwiddie misses 2-pt layup from 5 ft,60,66
213,2,2:16.0,Defensive rebound by J. Collins,,60,66
214,2,1:59.0,D. Bembry makes 2-pt layup from 2 ft (assist by T. Young),,62,66
215,2,1:41.0,,J. Harris misses 3-pt jump shot from 25 ft,62,66
216,2,1:39.0,Defensive rebound by J. Collins,,62,66
217,2,1:34.0,Shooting foul by J. Harris (drawn by K. Bazemore),,62,66
218,2,1:34.0,Atlanta full timeout,,62,66
219,2,1:34.0,K. Huerter enters the game for D. Bembry,,62,66
220,2,1:34.0,A. Len enters the game for D. Dedmon,,62,66
221,2,1:34.0,K. Bazemore makes free throw 1 of 2,,63,66
222,2,1:34.0,K. Bazemore makes free throw 2 of 2,,64,66
223,2,1:21.0,,Shooting foul by A. Len (drawn by R. Hollis-Jefferson),64,66
224,2,1:21.0,,R. Hollis-Jefferson makes free throw 1 of 2,64,67
225,2,1:21.0,,R. Hollis-Jefferson makes free throw 2 of 2,64,68
226,2,1:04.0,Turnover by T. Young (bad pass; steal by R. Hollis-Jefferson),,64,68
227,2,1:00.0,,D. Carroll makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),64,70
228,2,0:54.0,T. Young makes 2-pt layup from 3 ft (assist by K. Huerter),,66,70
229,2,0:37.0,,S. Dinwiddie makes 2-pt layup from 2 ft,66,72
230,2,0:28.0,K. Bazemore misses 3-pt jump shot from 23 ft,,66,72
231,2,0:24.0,Offensive rebound by J. Collins,,66,72
232,2,0:21.0,J. Collins misses 2-pt layup from 2 ft,,66,72
233,2,0:21.0,Offensive rebound by Team,,66,72
234,2,0:16.0,K. Bazemore misses 3-pt jump shot from 25 ft,,66,72
235,2,0:13.0,,Defensive rebound by R. Hollis-Jefferson,66,72
236,2,0:01.0,,D. Carroll misses 3-pt jump shot from 26 ft,66,72
237,2,0:01.0,Defensive rebound by T. Young,,66,72
238,3,11:38.0,,D. Russell makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),66,74
239,3,11:19.0,K. Bazemore misses 2-pt layup from 3 ft,,66,74
240,3,11:17.0,,Defensive rebound by R. Hollis-Jefferson,66,74
241,3,11:06.0,,D. Russell makes 3-pt jump shot from 27 ft,66,77
242,3,10:51.0,T. Young misses 2-pt jump shot from 8 ft,,66,77
243,3,10:48.0,Offensive rebound by T. Young,,66,77
244,3,10:47.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,68,77
245,3,10:30.0,,Shooting foul by J. Collins (drawn by J. Harris),68,77
246,3,10:30.0,,J. Harris makes free throw 1 of 2,68,78
247,3,10:30.0,,J. Harris makes free throw 2 of 2,68,79
248,3,10:07.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Bazemore),,70,79
249,3,9:50.0,,R. Kurucs makes 2-pt hook shot from 4 ft,70,81
250,3,9:31.0,J. Collins makes 2-pt layup from 2 ft (assist by K. Huerter),,72,81
251,3,9:13.0,,D. Russell makes 2-pt jump shot from 11 ft,72,83
252,3,9:00.0,K. Bazemore misses 3-pt jump shot from 25 ft,,72,83
253,3,8:59.0,,Defensive rebound by Team,72,83
254,3,8:49.0,,Turnover by J. Harris (lost ball; steal by D. Dedmon),72,83
255,3,8:44.0,J. Collins misses 2-pt layup from 2 ft,,72,83
256,3,8:44.0,,Defensive rebound by R. Kurucs,72,83
257,3,8:40.0,,Turnover by R. Kurucs (bad pass),72,83
258,3,8:27.0,K. Huerter makes 2-pt layup from 3 ft (assist by K. Bazemore),,74,83
259,3,8:08.0,,J. Allen makes 2-pt layup from 3 ft (assist by J. Harris),74,85
260,3,8:08.0,,Shooting foul by D. Dedmon (drawn by J. Allen),74,85
261,3,8:08.0,,J. Allen makes free throw 1 of 1,74,86
262,3,7:55.0,J. Collins makes 2-pt layup from 2 ft (assist by D. Dedmon),,76,86
263,3,7:38.0,,R. Kurucs makes 2-pt layup from 1 ft (assist by D. Russell),76,88
264,3,7:22.0,Shooting foul by J. Allen (drawn by J. Collins),,76,88
265,3,7:22.0,J. Collins makes free throw 1 of 2,,77,88
266,3,7:22.0,V. Carter enters the game for D. Dedmon,,77,88
267,3,7:22.0,J. Lin enters the game for T. Young,,77,88
268,3,7:22.0,,E. Davis enters the game for J. Allen,77,88
269,3,7:22.0,J. Collins makes free throw 2 of 2,,78,88
270,3,7:03.0,,J. Harris makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),78,90
271,3,6:50.0,K. Bazemore misses 2-pt jump shot from 15 ft,,78,90
272,3,6:47.0,,Defensive rebound by E. Davis,78,90
273,3,6:38.0,,D. Russell misses 2-pt layup from 2 ft,78,90
274,3,6:38.0,,Offensive rebound by Team,78,90
275,3,6:38.0,,Brooklyn full timeout,78,90
276,3,6:38.0,D. Bembry enters the game for K. Huerter,,78,90
277,3,6:38.0,,S. Dinwiddie enters the game for D. Russell,78,90
278,3,6:33.0,,R. Hollis-Jefferson misses 2-pt layup from 8 ft (block by V. Carter),78,90
279,3,6:29.0,Defensive rebound by K. Bazemore,,78,90
280,3,6:24.0,D. Bembry makes 2-pt layup from 2 ft (assist by K. Bazemore),,80,90
281,3,6:07.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by J. Harris),80,92
282,3,5:43.0,D. Bembry makes 2-pt layup from 2 ft,,82,92
283,3,5:28.0,,R. Hollis-Jefferson makes 3-pt jump shot from 26 ft (assist by R. Kurucs),82,95
284,3,5:14.0,J. Lin misses 3-pt jump shot from 26 ft,,82,95
285,3,5:12.0,,Defensive rebound by R. Kurucs,82,95
286,3,4:56.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,82,95
287,3,4:54.0,Defensive rebound by J. Collins,,82,95
288,3,4:51.0,Shooting foul by J. Harris (drawn by J. Lin),,82,95
289,3,4:51.0,D. Dedmon enters the game for K. Bazemore,,82,95
290,3,4:51.0,D. Hamilton enters the game for J. Collins,,82,95
291,3,4:51.0,,D. Carroll enters the game for R. Kurucs,82,95
292,3,4:51.0,J. Lin makes free throw 1 of 2,,83,95
293,3,4:51.0,J. Lin makes free throw 2 of 2,,84,95
294,3,4:36.0,,Shooting foul by D. Hamilton (drawn by S. Dinwiddie),84,95
295,3,4:36.0,,S. Dinwiddie makes free throw 1 of 2,84,96
296,3,4:36.0,,S. Dinwiddie makes free throw 2 of 2,84,97
297,3,4:24.0,D. Dedmon misses 2-pt jump shot from 7 ft,,84,97
298,3,4:21.0,,Defensive rebound by E. Davis,84,97
299,3,4:11.0,,S. Dinwiddie misses 2-pt jump shot from 20 ft,84,97
300,3,4:08.0,Defensive rebound by D. Bembry,,84,97
301,3,4:03.0,V. Carter makes 3-pt jump shot from 27 ft (assist by D. Bembry),,87,97
302,3,3:41.0,,Shooting foul by V. Carter (drawn by J. Harris),87,97
303,3,3:41.0,,J. Harris makes free throw 1 of 2,87,98
304,3,3:41.0,,J. Dudley enters the game for R. Hollis-Jefferson,87,98
305,3,3:41.0,,J. Harris makes free throw 2 of 2,87,99
306,3,3:32.0,J. Lin makes 2-pt layup from 1 ft,,89,99
307,3,3:16.0,,J. Dudley misses 3-pt jump shot from 25 ft,89,99
308,3,3:15.0,Defensive rebound by Team,,89,99
309,3,3:15.0,,D. Russell enters the game for J. Harris,89,99
310,3,3:04.0,Turnover by J. Lin (bad pass; steal by E. Davis),,89,99
311,3,3:04.0,,Personal foul by J. Lin (drawn by S. Dinwiddie),89,99
312,3,3:04.0,,S. Dinwiddie makes free throw 1 of 2,89,100
313,3,3:04.0,T. Young enters the game for J. Lin,,89,100
314,3,3:04.0,,S. Dinwiddie makes free throw 2 of 2,89,101
315,3,2:49.0,D. Hamilton misses 3-pt jump shot from 25 ft,,89,101
