,QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),0,3
1,1,11:35.0,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),,2,3
2,1,11:19.0,,S. Adams misses 2-pt dunk from 1 ft,2,3
3,1,11:17.0,Defensive rebound by L. Markkanen,,2,3
4,1,11:13.0,K. Dunn makes 2-pt jump shot from 8 ft,,4,3
5,1,10:52.0,,J. Grant misses 2-pt layup from 4 ft (block by L. Markkanen),4,3
6,1,10:50.0,,Offensive rebound by Team,4,3
7,1,10:47.0,,T. Ferguson misses 3-pt jump shot from 23 ft,4,3
8,1,10:43.0,,Offensive rebound by R. Westbrook,4,3
9,1,10:39.0,,R. Westbrook misses 2-pt jump shot from 14 ft,4,3
10,1,10:35.0,Defensive rebound by L. Markkanen,,4,3
11,1,10:11.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,4,3
12,1,10:11.0,Offensive rebound by Team,,4,3
13,1,10:11.0,Turnover by Team (shot clock),,4,3
14,1,10:03.0,,P. George misses 3-pt jump shot from 25 ft,4,3
15,1,10:01.0,Defensive rebound by L. Markkanen,,4,3
16,1,9:53.0,L. Markkanen misses 3-pt jump shot from 25 ft,,4,3
17,1,9:50.0,,Defensive rebound by R. Westbrook,4,3
18,1,9:46.0,,Turnover by R. Westbrook (bad pass; steal by L. Markkanen),4,3
19,1,9:40.0,J. Holiday misses 3-pt jump shot from 25 ft,,4,3
20,1,9:37.0,,Defensive rebound by R. Westbrook,4,3
21,1,9:32.0,,R. Westbrook misses 2-pt jump shot from 20 ft,4,3
22,1,9:30.0,Defensive rebound by L. Markkanen,,4,3
23,1,9:22.0,J. Holiday misses 2-pt jump shot from 14 ft,,4,3
24,1,9:20.0,,Defensive rebound by R. Westbrook,4,3
25,1,9:15.0,,T. Ferguson misses 2-pt layup from 1 ft,4,3
26,1,9:13.0,Defensive rebound by W. Carter,,4,3
27,1,9:02.0,L. Markkanen misses 2-pt jump shot from 6 ft,,4,3
28,1,8:59.0,Offensive rebound by L. Markkanen,,4,3
29,1,8:59.0,L. Markkanen makes 2-pt layup at rim,,6,3
30,1,8:51.0,,Personal foul by K. Dunn (drawn by R. Westbrook),6,3
31,1,8:45.0,,S. Adams misses 2-pt layup from 1 ft,6,3
32,1,8:43.0,,Offensive rebound by S. Adams,6,3
33,1,8:43.0,,S. Adams makes 2-pt layup from 1 ft,6,5
34,1,8:30.0,K. Dunn misses 2-pt jump shot from 4 ft,,6,5
35,1,8:26.0,Offensive rebound by L. Markkanen,,6,5
