,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
0,1,11:36.0,T. Satoranský misses 3-pt jump shot from 26 ft,,0,0
1,1,11:33.0,,Defensive rebound by D. Melton,0,0
2,1,11:29.0,,D. Booker makes 3-pt jump shot from 25 ft,0,3
3,1,11:15.0,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),,2,3
4,1,10:57.0,,Turnover by D. Booker (bad pass; steal by T. Satoranský),2,3
5,1,10:48.0,B. Portis misses 3-pt jump shot from 25 ft,,2,3
6,1,10:45.0,,Defensive rebound by D. Ayton,2,3
7,1,10:32.0,,M. Bridges misses 3-pt jump shot from 23 ft,2,3
8,1,10:30.0,Defensive rebound by T. Bryant,,2,3
9,1,10:17.0,B. Beal makes 2-pt jump shot from 3 ft,,4,3
10,1,10:04.0,,D. Booker makes 2-pt jump shot from 9 ft,4,5
11,1,9:46.0,B. Beal misses 3-pt jump shot from 24 ft,,4,5
12,1,9:43.0,,Defensive rebound by M. Bridges,4,5
13,1,9:25.0,,Turnover by D. Melton (bad pass; steal by T. Satoranský),4,5
14,1,9:19.0,T. Brown misses 2-pt layup from 1 ft (block by D. Bender),,4,5
15,1,9:17.0,,Defensive rebound by M. Bridges,4,5
16,1,9:11.0,,M. Bridges misses 3-pt jump shot from 23 ft,4,5
17,1,9:08.0,Defensive rebound by B. Portis,,4,5
18,1,8:57.0,B. Beal misses 3-pt jump shot from 25 ft,,4,5
19,1,8:57.0,,Defensive rebound by D. Booker,4,5
20,1,8:48.0,,D. Ayton makes 2-pt layup from 3 ft,4,7
21,1,8:48.0,,Shooting foul by B. Portis (drawn by D. Ayton),4,7
22,1,8:48.0,,D. Ayton misses free throw 1 of 1,4,7
23,1,8:47.0,Defensive rebound by B. Portis,,4,7
24,1,8:35.0,T. Brown makes 2-pt layup from 1 ft (assist by B. Portis),,6,7
25,1,8:35.0,Shooting foul by M. Bridges (drawn by T. Brown),,6,7
26,1,8:35.0,T. Brown misses free throw 1 of 1,,6,7
27,1,8:34.0,,Defensive rebound by D. Ayton,6,7
28,1,8:20.0,,Turnover by D. Bender (bad pass; steal by T. Satoranský),6,7
29,1,8:13.0,T. Satoranský makes 2-pt layup from 2 ft,,8,7
30,1,7:57.0,,Def 3 sec tech foul by Team,8,7
31,1,7:57.0,,D. Booker makes technical free throw,8,8
32,1,7:45.0,,D. Ayton misses 2-pt jump shot from 16 ft,8,8
33,1,7:42.0,Defensive rebound by T. Bryant,,8,8
34,1,7:25.0,T. Bryant makes 3-pt jump shot from 25 ft (assist by T. Brown),,11,8
35,1,7:06.0,,D. Booker misses 3-pt jump shot from 26 ft,11,8
36,1,7:01.0,Defensive rebound by B. Portis,,11,8
37,1,6:46.0,T. Brown misses 2-pt layup from 3 ft,,11,8
38,1,6:43.0,,Defensive rebound by D. Ayton,11,8
39,1,6:34.0,,D. Ayton misses 2-pt hook shot from 4 ft,11,8
40,1,6:32.0,Defensive rebound by T. Bryant,,11,8
