,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:44.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,2,0
1,1,11:24.0,,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by M. Turner),2,2
2,1,11:08.0,T. Young misses 2-pt layup from 2 ft,,2,2
3,1,11:07.0,,Defensive rebound by Team,2,2
4,1,10:50.0,,D. Collison makes 3-pt jump shot from 27 ft (assist by M. Turner),2,5
5,1,10:35.0,A. Len misses 2-pt dunk from 1 ft (block by M. Turner),,2,5
6,1,10:33.0,Offensive rebound by A. Len,,2,5
7,1,10:29.0,Personal foul by D. Collison (drawn by T. Young),,2,5
8,1,10:26.0,J. Collins makes 3-pt jump shot from 27 ft (assist by A. Len),,5,5
9,1,10:03.0,,M. Turner misses 3-pt jump shot from 26 ft,5,5
10,1,9:59.0,Defensive rebound by D. Hamilton,,5,5
11,1,9:57.0,Offensive foul by A. Len (drawn by M. Turner),,5,5
12,1,9:57.0,Turnover by A. Len (offensive foul),,5,5
13,1,9:44.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),5,7
14,1,9:21.0,D. Hamilton misses 2-pt jump shot from 12 ft,,5,7
15,1,9:18.0,Offensive rebound by A. Len,,5,7
16,1,9:18.0,A. Len makes 2-pt layup at rim,,7,7
17,1,8:57.0,,V. Oladipo makes 2-pt layup from 1 ft,7,9
18,1,8:46.0,T. Young makes 3-pt jump shot from 27 ft,,10,9
19,1,8:30.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by D. Collison),10,11
20,1,8:18.0,D. Hamilton misses 3-pt jump shot from 23 ft,,10,11
21,1,8:15.0,,Defensive rebound by M. Turner,10,11
22,1,8:09.0,,Turnover by T. Young (bad pass; steal by T. Young),10,11
23,1,7:59.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Hamilton),,12,11
24,1,7:48.0,,Turnover by B. Bogdanović (step out of bounds),12,11
25,1,7:35.0,K. Huerter makes 3-pt jump shot from 29 ft (assist by T. Young),,15,11
26,1,7:23.0,,Personal foul by T. Young (drawn by D. Collison),15,11
27,1,7:23.0,D. Bembry enters the game for D. Hamilton,,15,11
28,1,7:23.0,A. Poythress enters the game for A. Len,,15,11
29,1,7:13.0,,B. Bogdanović misses 2-pt layup at rim (block by K. Huerter),15,11
30,1,7:13.0,,Offensive rebound by Team,15,11
31,1,7:11.0,,B. Bogdanović misses 2-pt jump shot from 15 ft,15,11
32,1,7:07.0,Defensive rebound by A. Poythress,,15,11
33,1,7:01.0,Turnover by K. Huerter (bad pass; steal by V. Oladipo),,15,11
34,1,6:57.0,,V. Oladipo misses 3-pt jump shot from 27 ft,15,11
35,1,6:54.0,,Offensive rebound by T. Young,15,11
36,1,6:46.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by D. Collison),15,13
37,1,6:26.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,17,13
38,1,6:14.0,,T. Young misses 2-pt layup at rim,17,13
39,1,6:12.0,Defensive rebound by J. Collins,,17,13
40,1,6:09.0,T. Young makes 3-pt jump shot from 28 ft (assist by J. Collins),,20,13
