,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:45.0,Turnover by J. Ingles (bad pass; steal by D. Ayton),,0,0
1,1,11:27.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Bender),0,3
2,1,11:07.0,R. Rubio misses 2-pt jump shot from 12 ft,,0,3
3,1,11:03.0,,Defensive rebound by D. Bender,0,3
4,1,10:54.0,,T. Johnson misses 2-pt jump shot from 21 ft,0,3
5,1,10:52.0,Defensive rebound by D. Mitchell,,0,3
6,1,10:45.0,D. Favors makes 2-pt dunk at rim (assist by D. Mitchell),,2,3
7,1,10:27.0,,T. Johnson makes 2-pt layup from 1 ft,2,5
8,1,10:09.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. Favors),,5,5
9,1,9:52.0,,Turnover by T. Johnson (bad pass; steal by D. Mitchell),5,5
10,1,9:45.0,R. Rubio misses 3-pt jump shot from 23 ft,,5,5
11,1,9:43.0,Offensive rebound by R. Gobert,,5,5
12,1,9:40.0,R. Gobert misses 2-pt layup at rim,,5,5
13,1,9:40.0,,Defensive rebound by Team,5,5
14,1,9:30.0,,K. Oubre misses 3-pt jump shot from 25 ft,5,5
15,1,9:27.0,Defensive rebound by R. Gobert,,5,5
16,1,9:17.0,D. Favors misses 3-pt jump shot from 23 ft,,5,5
17,1,9:14.0,,Defensive rebound by D. Ayton,5,5
18,1,9:06.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),5,8
19,1,8:47.0,D. Mitchell misses 2-pt jump shot from 2 ft,,5,8
20,1,8:47.0,,Defensive rebound by Team,5,8
21,1,8:31.0,,D. Ayton misses 2-pt jump shot from 14 ft,5,8
22,1,8:28.0,Defensive rebound by R. Gobert,,5,8
23,1,8:18.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,7,8
24,1,8:04.0,,Personal foul by J. Ingles (drawn by D. Ayton),7,8
25,1,7:54.0,,Turnover by K. Oubre (step out of bounds),7,8
26,1,7:36.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Favors),,9,8
27,1,7:24.0,,D. Booker misses 2-pt jump shot from 16 ft,9,8
28,1,7:23.0,,Offensive rebound by T. Johnson,9,8
29,1,7:23.0,,Personal foul by D. Mitchell (drawn by T. Johnson),9,8
30,1,7:12.0,,D. Ayton misses 2-pt jump shot from 11 ft,9,8
31,1,7:10.0,Defensive rebound by R. Rubio,,9,8
32,1,6:50.0,D. Mitchell misses 3-pt jump shot from 25 ft,,9,8
33,1,6:47.0,,Defensive rebound by D. Booker,9,8
34,1,6:41.0,,D. Booker misses 2-pt jump shot from 12 ft,9,8
35,1,6:38.0,Defensive rebound by D. Mitchell,,9,8
