,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
0,1,11:48.0,Turnover by R. Rubio (bad pass),,0,0
1,1,11:30.0,,T. Prince makes 2-pt jump shot from 13 ft (assist by J. Collins),0,2
2,1,11:16.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Gobert),,2,2
3,1,11:02.0,,K. Huerter misses 3-pt jump shot from 25 ft,2,2
4,1,10:59.0,Defensive rebound by R. Gobert,,2,2
5,1,10:55.0,Personal foul by K. Huerter (drawn by D. Mitchell),,2,2
6,1,10:47.0,Turnover by D. Favors (lost ball; steal by J. Collins),,2,2
7,1,10:41.0,,J. Collins misses 3-pt jump shot from 25 ft,2,2
8,1,10:37.0,Defensive rebound by R. Rubio,,2,2
9,1,10:30.0,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Rubio),,4,2
10,1,10:19.0,,Turnover by T. Young (bad pass),4,2
11,1,10:06.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,6,2
12,1,9:49.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),6,5
13,1,9:36.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),,9,5
14,1,9:24.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),9,8
15,1,9:11.0,Offensive foul by J. Ingles (drawn by T. Prince),,9,8
16,1,9:11.0,Turnover by J. Ingles (offensive foul),,9,8
17,1,9:01.0,,T. Young misses 2-pt jump shot from 13 ft,9,8
18,1,8:58.0,Defensive rebound by R. Rubio,,9,8
19,1,8:52.0,R. Rubio makes 2-pt jump shot from 18 ft,,11,8
20,1,8:33.0,,K. Huerter makes 2-pt jump shot from 12 ft (assist by T. Prince),11,10
21,1,8:11.0,D. Mitchell misses 2-pt jump shot from 11 ft,,11,10
22,1,8:06.0,Offensive rebound by D. Favors,,11,10
23,1,8:06.0,D. Favors misses 2-pt layup from 1 ft (block by D. Dedmon),,11,10
24,1,8:06.0,,Defensive rebound by K. Huerter,11,10
25,1,8:02.0,,Turnover by K. Huerter (bad pass; steal by J. Ingles),11,10
26,1,7:58.0,R. Rubio misses 3-pt jump shot from 24 ft,,11,10
27,1,7:53.0,,Defensive rebound by T. Young,11,10
28,1,7:43.0,,J. Collins misses 2-pt jump shot from 16 ft,11,10
29,1,7:40.0,Defensive rebound by R. Gobert,,11,10
30,1,7:32.0,R. Rubio misses 2-pt jump shot from 15 ft,,11,10
31,1,7:29.0,,Defensive rebound by T. Prince,11,10
32,1,7:25.0,,T. Prince makes 3-pt jump shot from 26 ft,11,13
