,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,0,0
1,1,11:37.0,,Offensive rebound by M. Beasley,0,0
2,1,11:34.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by M. Beasley),0,2
3,1,11:11.0,J. Jackson misses 2-pt jump shot from 6 ft,,0,2
4,1,11:06.0,Offensive rebound by J. Jackson,,0,2
5,1,11:05.0,J. Jackson misses 2-pt layup from 2 ft (block by I. Zubac),,0,2
6,1,11:03.0,Offensive rebound by E. Okobo,,0,2
7,1,11:01.0,Turnover by D. Bender (step out of bounds),,0,2
8,1,10:40.0,,I. Zubac misses 2-pt hook shot from 5 ft,0,2
9,1,10:38.0,Defensive rebound by D. Bender,,0,2
10,1,10:30.0,D. Booker misses 2-pt layup from 2 ft,,0,2
11,1,10:24.0,Offensive rebound by D. Bender,,0,2
12,1,10:24.0,D. Bender makes 2-pt layup at rim,,2,2
13,1,10:10.0,,Shooting foul by D. Bender (drawn by I. Zubac),2,2
14,1,10:10.0,,I. Zubac makes free throw 1 of 2,2,3
15,1,10:10.0,,I. Zubac makes free throw 2 of 2,2,4
16,1,9:56.0,J. Jackson misses 3-pt jump shot from 25 ft,,2,4
17,1,9:52.0,,Defensive rebound by I. Zubac,2,4
18,1,9:45.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,2,4
19,1,9:41.0,,Offensive rebound by K. Caldwell-Pope,2,4
20,1,9:41.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,2,6
21,1,9:33.0,M. Bridges misses 3-pt jump shot from 25 ft,,2,6
22,1,9:30.0,,Defensive rebound by R. Rondo,2,6
23,1,9:17.0,,B. Ingram makes 2-pt layup from 3 ft,2,8
24,1,9:07.0,Turnover by D. Bender (bad pass),,2,8
25,1,8:49.0,,B. Ingram makes 2-pt hook shot from 5 ft,2,10
26,1,8:47.0,Phoenix full timeout,,2,10
27,1,8:41.0,J. Jackson misses 2-pt layup from 4 ft (block by I. Zubac),,2,10
