,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
0,1,11:44.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),0,2
1,1,11:44.0,,Shooting foul by N. Noel (drawn by A. Gordon),0,2
2,1,11:44.0,,A. Gordon makes free throw 1 of 1,0,3
3,1,11:35.0,P. George misses 2-pt jump shot from 15 ft,,0,3
4,1,11:31.0,,Defensive rebound by N. Vučević,0,3
5,1,11:19.0,,N. Vučević misses 2-pt hook shot from 8 ft,0,3
6,1,11:17.0,Defensive rebound by R. Westbrook,,0,3
7,1,11:09.0,Turnover by J. Grant (bad pass; steal by J. Isaac),,0,3
8,1,11:05.0,,Shooting foul by P. George (drawn by J. Isaac),0,3
9,1,11:05.0,,J. Isaac makes free throw 1 of 2,0,4
10,1,11:05.0,,J. Isaac makes free throw 2 of 2,0,5
11,1,10:53.0,P. George makes 2-pt layup from 4 ft (assist by R. Westbrook),,2,5
12,1,10:39.0,,A. Gordon makes 2-pt jump shot from 3 ft,2,7
13,1,10:39.0,,Shooting foul by P. George (drawn by A. Gordon),2,7
14,1,10:39.0,,A. Gordon makes free throw 1 of 1,2,8
15,1,10:29.0,R. Westbrook misses 2-pt layup from 3 ft,,2,8
16,1,10:27.0,,Defensive rebound by J. Isaac,2,8
17,1,10:17.0,,A. Gordon misses 2-pt layup from 2 ft,2,8
18,1,10:12.0,,Offensive rebound by A. Gordon,2,8
19,1,10:11.0,,A. Gordon makes 2-pt layup from 2 ft,2,10
20,1,10:06.0,Personal foul by D. Augustin (drawn by H. Diallo),,2,10
21,1,9:57.0,Turnover by N. Noel (traveling),,2,10
22,1,9:48.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by A. Gordon),2,12
23,1,9:35.0,J. Grant misses 2-pt layup from 2 ft,,2,12
24,1,9:32.0,Offensive rebound by R. Westbrook,,2,12
25,1,9:30.0,J. Grant misses 2-pt jump shot from 15 ft,,2,12
26,1,9:25.0,Offensive rebound by P. George,,2,12
27,1,9:24.0,H. Diallo makes 2-pt layup from 1 ft (assist by P. George),,4,12
28,1,9:24.0,Shooting foul by N. Vučević (drawn by H. Diallo),,4,12
29,1,9:24.0,H. Diallo makes free throw 1 of 1,,5,12
30,1,9:07.0,,E. Fournier misses 2-pt layup from 3 ft (block by H. Diallo),5,12
31,1,9:04.0,,Offensive rebound by E. Fournier,5,12
32,1,9:04.0,,Turnover by N. Vučević (3 sec),5,12
33,1,8:54.0,J. Grant misses 3-pt jump shot from 25 ft,,5,12
