,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
0,1,11:40.0,,I. Canaan misses 3-pt jump shot from 25 ft,0,0
1,1,11:37.0,Defensive rebound by J. Allen,,0,0
2,1,11:22.0,D. Russell makes 2-pt layup at rim (assist by J. Allen),,2,0
3,1,11:06.0,,D. Ayton misses 2-pt jump shot from 20 ft,2,0
4,1,11:04.0,Defensive rebound by J. Allen,,2,0
5,1,10:58.0,D. Russell misses 2-pt layup from 1 ft,,2,0
6,1,10:58.0,Offensive rebound by Team,,2,0
7,1,10:58.0,Personal foul by D. Ayton (drawn by J. Allen),,2,0
8,1,10:49.0,D. Russell misses 2-pt jump shot from 12 ft,,2,0
9,1,10:46.0,Offensive rebound by D. Russell,,2,0
10,1,10:36.0,J. Allen misses 3-pt jump shot from 24 ft,,2,0
11,1,10:34.0,,Defensive rebound by I. Canaan,2,0
12,1,10:27.0,,D. Booker makes 3-pt jump shot from 25 ft,2,3
13,1,10:14.0,Turnover by J. Dudley (bad pass),,2,3
14,1,10:04.0,,D. Booker misses 3-pt jump shot from 25 ft,2,3
15,1,10:01.0,Defensive rebound by D. Russell,,2,3
16,1,9:50.0,J. Harris misses 3-pt jump shot from 23 ft,,2,3
17,1,9:48.0,,Defensive rebound by D. Booker,2,3
18,1,9:42.0,,Personal foul by J. Harris (drawn by D. Ayton),2,3
19,1,9:26.0,,Turnover by D. Ayton (step out of bounds),2,3
20,1,9:18.0,J. Harris makes 2-pt layup at rim (assist by D. Russell),,4,3
21,1,9:03.0,,D. Booker misses 2-pt jump shot from 17 ft,4,3
22,1,9:03.0,Defensive rebound by Team,,4,3
23,1,8:54.0,C. LeVert makes 2-pt dunk from 1 ft (assist by J. Allen),,6,3
24,1,8:39.0,,D. Ayton misses 2-pt jump shot from 19 ft,6,3
25,1,8:36.0,Defensive rebound by J. Allen,,6,3
26,1,8:30.0,D. Russell misses 3-pt jump shot from 26 ft,,6,3
27,1,8:26.0,,Defensive rebound by D. Booker,6,3
28,1,8:25.0,,Personal foul by J. Allen (drawn by D. Booker),6,3
29,1,8:16.0,,D. Ayton makes 2-pt jump shot from 18 ft,6,5
30,1,8:05.0,J. Dudley misses 3-pt jump shot from 25 ft,,6,5
31,1,8:02.0,,Defensive rebound by D. Ayton,6,5
32,1,7:58.0,,Personal foul by J. Dudley (drawn by I. Canaan),6,5
33,1,7:58.0,,Away from play foul by J. Harris (drawn by T. Ariza),6,5
34,1,7:58.0,,T. Ariza misses free throw 1 of 1,6,5
35,1,7:58.0,,Offensive rebound by Team,6,5
36,1,7:58.0,A. Crabbe enters the game for J. Harris,,6,5
37,1,7:50.0,,Turnover by D. Booker (traveling),6,5
38,1,7:50.0,,Violation by Team (delay of game),6,5
39,1,7:44.0,Personal foul by I. Canaan (drawn by C. LeVert),,6,5
40,1,7:39.0,D. Russell misses 2-pt jump shot from 18 ft,,6,5
41,1,7:36.0,,Defensive rebound by T. Ariza,6,5
42,1,7:32.0,,D. Ayton makes 2-pt layup from 1 ft (assist by I. Canaan),6,7
43,1,7:32.0,,Shooting foul by D. Russell (drawn by D. Ayton),6,7
44,1,7:32.0,,D. Ayton makes free throw 1 of 1,6,8
45,1,7:10.0,C. LeVert misses 2-pt jump shot from 4 ft,,6,8
46,1,7:08.0,Offensive rebound by J. Allen,,6,8
47,1,7:07.0,J. Allen makes 2-pt layup at rim,,8,8
48,1,6:51.0,,D. Booker misses 3-pt jump shot from 26 ft,8,8
49,1,6:48.0,Defensive rebound by J. Allen,,8,8
