,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:50.0,Offensive foul by R. Holmes (drawn by S. Curry),,0,0
1,1,11:50.0,Turnover by R. Holmes (offensive foul),,0,0
2,1,11:30.0,,Turnover by D. Lillard (bad pass; steal by T. Ariza),0,0
3,1,11:22.0,J. Jackson makes 2-pt hook shot from 5 ft,,2,0
4,1,11:02.0,,M. Harkless makes 2-pt dunk at rim (assist by J. Nurkić),2,2
5,1,10:46.0,J. Jackson misses 2-pt layup from 2 ft,,2,2
6,1,10:44.0,,Defensive rebound by J. Nurkić,2,2
7,1,10:31.0,,J. Nurkić misses 2-pt layup from 4 ft,2,2
8,1,10:29.0,,Offensive rebound by A. Aminu,2,2
9,1,10:27.0,,D. Lillard makes 3-pt jump shot from 32 ft (assist by A. Aminu),2,5
10,1,10:08.0,T. Ariza misses 2-pt jump shot from 13 ft,,2,5
11,1,10:06.0,,Defensive rebound by J. Nurkić,2,5
12,1,9:58.0,,Personal foul by T. Ariza (drawn by D. Lillard),2,5
13,1,9:47.0,,A. Aminu makes 2-pt layup from 2 ft (assist by D. Lillard),2,7
14,1,9:31.0,E. Okobo misses 2-pt jump shot from 15 ft (block by S. Curry),,2,7
15,1,9:31.0,Offensive rebound by E. Okobo,,2,7
16,1,9:25.0,E. Okobo misses 2-pt jump shot from 17 ft,,2,7
17,1,9:20.0,,Defensive rebound by J. Nurkić,2,7
18,1,9:13.0,,S. Curry misses 2-pt jump shot from 21 ft,2,7
19,1,9:10.0,Defensive rebound by J. Jackson,,2,7
20,1,9:00.0,Turnover by J. Jackson (lost ball; steal by M. Harkless),,2,7
21,1,9:00.0,,Personal take foul by E. Okobo (drawn by D. Lillard),2,7
22,1,9:00.0,D. Ayton enters the game for R. Holmes,,2,7
23,1,8:48.0,,D. Lillard makes 2-pt jump shot from 9 ft,2,9
24,1,8:36.0,Phoenix full timeout,,2,9
25,1,8:24.0,E. Okobo misses 2-pt jump shot from 15 ft,,2,9
26,1,8:21.0,,Defensive rebound by D. Lillard,2,9
27,1,8:13.0,,D. Lillard makes 2-pt jump shot from 21 ft,2,11
28,1,8:02.0,T. Ariza misses 3-pt jump shot from 27 ft,,2,11
29,1,8:01.0,,Defensive rebound by J. Nurkić,2,11
30,1,7:51.0,,Turnover by S. Curry (lost ball; steal by D. Ayton),2,11
31,1,7:45.0,T. Ariza makes 2-pt layup from 2 ft (assist by M. Bridges),,4,11
32,1,7:24.0,,D. Lillard makes 3-pt jump shot from 29 ft (assist by S. Curry),4,14
33,1,7:02.0,D. Ayton misses 2-pt jump shot from 18 ft,,4,14
34,1,7:02.0,Offensive rebound by M. Bridges,,4,14
35,1,6:58.0,Shooting foul by M. Harkless (drawn by D. Ayton),,4,14
36,1,6:58.0,D. Ayton misses free throw 1 of 2,,4,14
37,1,6:58.0,Offensive rebound by Team,,4,14
38,1,6:58.0,D. Ayton makes free throw 2 of 2,,5,14
39,1,6:49.0,,D. Lillard makes 2-pt layup from 1 ft,5,16
40,1,6:39.0,Personal foul by D. Lillard (drawn by M. Bridges),,5,16
41,1,6:30.0,D. Ayton misses 2-pt jump shot from 18 ft,,5,16
42,1,6:27.0,,Defensive rebound by A. Aminu,5,16
43,1,6:12.0,,Offensive foul by J. Nurkić (drawn by J. Jackson),5,16
44,1,6:12.0,,Turnover by J. Nurkić (offensive foul),5,16
45,1,5:56.0,Personal foul by M. Harkless (drawn by J. Jackson),,5,16
