,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:36.0,D. Favors misses 3-pt jump shot from 23 ft,,0,0
1,1,11:32.0,,Defensive rebound by G. Harris,0,0
2,1,11:16.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by N. Jokić),0,2
3,1,10:57.0,D. Mitchell makes 2-pt jump shot from 21 ft (assist by D. Favors),,2,2
4,1,10:47.0,,Personal foul by J. Ingles (drawn by J. Murray),2,2
5,1,10:36.0,,J. Murray misses 2-pt layup from 1 ft,2,2
6,1,10:34.0,Defensive rebound by D. Mitchell,,2,2
7,1,10:28.0,Turnover by R. Rubio (bad pass; steal by T. Craig),,2,2
8,1,10:23.0,,Turnover by N. Jokić (bad pass; steal by R. Rubio),2,2
9,1,10:19.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Ingles),,5,2
10,1,10:02.0,,N. Jokić makes 2-pt hook shot from 6 ft,5,4
11,1,9:36.0,D. Mitchell misses 3-pt jump shot from 31 ft,,5,4
12,1,9:33.0,,Defensive rebound by Team,5,4
13,1,9:17.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),5,6
14,1,9:01.0,J. Ingles misses 3-pt jump shot from 23 ft,,5,6
15,1,9:00.0,,Defensive rebound by N. Jokić,5,6
16,1,8:54.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),5,8
17,1,8:38.0,D. Mitchell misses 3-pt jump shot from 26 ft,,5,8
18,1,8:35.0,,Defensive rebound by G. Harris,5,8
19,1,8:28.0,,N. Jokić misses 2-pt layup from 2 ft (block by D. Favors),5,8
20,1,8:25.0,Defensive rebound by D. Favors,,5,8
21,1,8:21.0,R. Rubio makes 2-pt layup from 3 ft,,7,8
22,1,8:16.0,,Turnover by N. Jokić (bad pass; steal by R. Rubio),7,8
23,1,8:16.0,Shooting foul by J. Murray (drawn by R. Rubio),,7,8
24,1,8:16.0,R. Rubio makes free throw 1 of 2,,8,8
25,1,8:16.0,R. Rubio makes free throw 2 of 2,,9,8
26,1,8:09.0,,J. Murray misses 2-pt jump shot from 17 ft,9,8
27,1,8:06.0,Defensive rebound by J. Ingles,,9,8
28,1,7:56.0,R. Rubio misses 3-pt jump shot from 23 ft,,9,8
29,1,7:53.0,,Defensive rebound by G. Harris,9,8
30,1,7:45.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by G. Harris),9,11
31,1,7:24.0,D. Mitchell misses 2-pt hook shot from 8 ft,,9,11
32,1,7:21.0,,Defensive rebound by N. Jokić,9,11
33,1,7:12.0,,P. Millsap misses 3-pt jump shot from 25 ft,9,11
