,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:41.0,B. Lopez misses 2-pt jump shot from 14 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Allen,0,0
2,1,11:21.0,,J. Harris misses 2-pt layup from 4 ft (block by B. Lopez),0,0
3,1,11:18.0,,Offensive rebound by J. Allen,0,0
4,1,11:16.0,,J. Allen misses 3-pt jump shot from 22 ft,0,0
5,1,11:14.0,Defensive rebound by G. Antetokounmpo,,0,0
6,1,11:07.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,0,0
7,1,11:06.0,,Defensive rebound by J. Allen,0,0
8,1,11:02.0,,D. Carroll misses 3-pt jump shot from 25 ft,0,0
9,1,10:59.0,Defensive rebound by E. Bledsoe,,0,0
10,1,10:50.0,Milwaukee full timeout,,0,0
11,1,10:43.0,S. Brown makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,2,0
12,1,10:43.0,Shooting foul by D. Carroll (drawn by S. Brown),,2,0
13,1,10:43.0,S. Brown makes free throw 1 of 1,,3,0
14,1,10:31.0,,Turnover by J. Allen (lost ball; steal by E. Bledsoe),3,0
15,1,10:25.0,B. Lopez makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),,6,0
16,1,10:09.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Carroll),6,3
17,1,9:55.0,E. Bledsoe makes 2-pt jump shot from 5 ft,,8,3
18,1,9:45.0,,D. Russell misses 2-pt jump shot from 12 ft,8,3
19,1,9:43.0,Defensive rebound by S. Brown,,8,3
20,1,9:37.0,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by S. Brown),,11,3
21,1,9:26.0,,Turnover by R. Kurucs (lost ball; steal by B. Lopez),11,3
22,1,9:21.0,B. Lopez misses 3-pt jump shot from 28 ft,,11,3
23,1,9:17.0,,Defensive rebound by D. Russell,11,3
24,1,9:10.0,,R. Kurucs makes 3-pt jump shot from 26 ft (assist by J. Allen),11,6
25,1,8:55.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,11,6
26,1,8:54.0,,Defensive rebound by J. Allen,11,6
27,1,8:45.0,,D. Russell makes 2-pt jump shot from 10 ft,11,8
28,1,8:36.0,Shooting foul by R. Kurucs (drawn by B. Lopez),,11,8
29,1,8:36.0,B. Lopez makes free throw 1 of 2,,12,8
30,1,8:36.0,B. Lopez makes free throw 2 of 2,,13,8
31,1,8:28.0,,Shooting foul by G. Antetokounmpo (drawn by R. Kurucs),13,8
32,1,8:28.0,,R. Kurucs misses free throw 1 of 2,13,8
33,1,8:28.0,,Offensive rebound by Team,13,8
34,1,8:28.0,D. Wilson enters the game for B. Lopez,,13,8
35,1,8:28.0,,R. Kurucs makes free throw 2 of 2,13,9
36,1,8:15.0,G. Antetokounmpo misses 2-pt layup from 5 ft,,13,9
37,1,8:12.0,,Defensive rebound by R. Kurucs,13,9
